['participants', [12014, 12026]]
['participants', [12984, 12996]]
['participants', [13621, 13633]]
['participants', [13730, 13742]]
['participants', [14246, 14258]]
['participants', [14967, 14979]]
['participants', [15144, 15156]]
['participants', [22549, 22561]]
['participants', [27059, 27071]]
['participants', [31568, 31580]]
['participants', [34713, 34725]]
['participants', [34830, 34842]]
['participants', [36519, 36531]]
['participants', [37836, 37848]]
['participants', [37953, 37965]]
['participants', [39642, 39654]]
['baseline', [230, 238]]
['baseline', [2220, 2228]]
['baseline', [2325, 2333]]
['baseline', [2970, 2978]]
['baseline', [3852, 3860]]
['baseline', [4705, 4713]]
['baseline', [12037, 12045]]
['baseline', [12142, 12150]]
['baseline', [12788, 12796]]
['baseline', [13671, 13679]]
['baseline', [14524, 14532]]
['baseline', [20816, 20824]]
['baseline', [20943, 20951]]
['baseline', [22404, 22412]]
['baseline', [25327, 25335]]
['baseline', [25454, 25462]]
['baseline', [26915, 26923]]
['baseline', [29836, 29844]]
['baseline', [29963, 29971]]
['baseline', [31424, 31432]]
['baseline', [36603, 36611]]
['baseline', [39726, 39734]]
['weight', [20, 26]]
['weight', [108, 114]]
['weight', [258, 264]]
['weight', [283, 289]]
['weight', [473, 479]]
['weight', [545, 551]]
['weight', [660, 666]]
['weight', [774, 780]]
['weight', [1031, 1037]]
['weight', [2366, 2372]]
['weight', [2637, 2643]]
['weight', [2723, 2729]]
['weight', [2955, 2961]]
['weight', [3005, 3011]]
['weight', [3625, 3631]]
['weight', [3836, 3842]]
['weight', [5083, 5089]]
['weight', [5102, 5108]]
['weight', [5252, 5258]]
['weight', [5280, 5286]]
['weight', [5392, 5398]]
['weight', [5469, 5475]]
['weight', [5963, 5969]]
['weight', [9104, 9110]]
['weight', [9268, 9274]]
['weight', [9536, 9542]]
['weight', [9723, 9729]]
['weight', [9825, 9831]]
['weight', [9916, 9922]]
['weight', [10060, 10066]]
['weight', [10090, 10096]]
['weight', [10199, 10205]]
['weight', [10302, 10308]]
['weight', [10407, 10413]]
['weight', [12183, 12189]]
['weight', [12454, 12460]]
['weight', [12540, 12546]]
['weight', [12773, 12779]]
['weight', [12823, 12829]]
['weight', [13443, 13449]]
['weight', [13655, 13661]]
['weight', [14902, 14908]]
['weight', [14921, 14927]]
['weight', [15071, 15077]]
['weight', [15099, 15105]]
['weight', [15212, 15218]]
['weight', [15289, 15295]]
['weight', [15783, 15789]]
['weight', [18925, 18931]]
['weight', [19089, 19095]]
['weight', [19357, 19363]]
['weight', [19544, 19550]]
['weight', [19646, 19652]]
['weight', [19737, 19743]]
['weight', [19881, 19887]]
['weight', [19911, 19917]]
['weight', [20020, 20026]]
['weight', [20123, 20129]]
['weight', [20228, 20234]]
['weight', [20865, 20871]]
['weight', [22602, 22608]]
['weight', [22771, 22777]]
['weight', [22801, 22807]]
['weight', [22921, 22927]]
['weight', [23102, 23108]]
['weight', [23181, 23187]]
['weight', [23471, 23477]]
['weight', [23884, 23890]]
['weight', [24429, 24435]]
['weight', [24487, 24493]]
['weight', [24552, 24558]]
['weight', [24632, 24638]]
['weight', [24663, 24669]]
['weight', [24717, 24723]]
['weight', [24752, 24758]]
['weight', [24827, 24833]]
['weight', [24883, 24889]]
['weight', [24936, 24942]]
['weight', [25018, 25024]]
['weight', [25058, 25064]]
['weight', [25192, 25198]]
['weight', [25208, 25214]]
['weight', [25289, 25295]]
['weight', [25376, 25382]]
['weight', [27112, 27118]]
['weight', [27281, 27287]]
['weight', [27311, 27317]]
['weight', [27431, 27437]]
['weight', [27612, 27618]]
['weight', [27691, 27697]]
['weight', [27981, 27987]]
['weight', [28393, 28399]]
['weight', [28938, 28944]]
['weight', [28996, 29002]]
['weight', [29061, 29067]]
['weight', [29141, 29147]]
['weight', [29172, 29178]]
['weight', [29226, 29232]]
['weight', [29261, 29267]]
['weight', [29336, 29342]]
['weight', [29392, 29398]]
['weight', [29445, 29451]]
['weight', [29527, 29533]]
['weight', [29567, 29573]]
['weight', [29701, 29707]]
['weight', [29717, 29723]]
['weight', [29798, 29804]]
['weight', [29885, 29891]]
['weight', [31621, 31627]]
['weight', [31790, 31796]]
['weight', [31820, 31826]]
['weight', [31940, 31946]]
['weight', [32121, 32127]]
['weight', [32200, 32206]]
['weight', [32490, 32496]]
['weight', [32902, 32908]]
['weight', [33447, 33453]]
['weight', [33505, 33511]]
['weight', [33570, 33576]]
['weight', [33650, 33656]]
['weight', [33681, 33687]]
['weight', [33735, 33741]]
['weight', [33770, 33776]]
['weight', [33845, 33851]]
['weight', [33901, 33907]]
['weight', [33954, 33960]]
['weight', [34036, 34042]]
['weight', [34076, 34082]]
['weight', [34210, 34216]]
['weight', [34226, 34232]]
['weight', [34307, 34313]]
['weight', [34507, 34513]]
['weight', [34657, 34663]]
['weight', [34737, 34743]]
['weight', [34769, 34775]]
['weight', [34793, 34799]]
['weight', [34899, 34905]]
['weight', [35284, 35290]]
['weight', [35447, 35453]]
['weight', [35868, 35874]]
['weight', [36560, 36566]]
['weight', [36754, 36760]]
['weight', [36869, 36875]]
['weight', [36991, 36997]]
['weight', [37306, 37312]]
['weight', [37630, 37636]]
['weight', [37780, 37786]]
['weight', [37860, 37866]]
['weight', [37892, 37898]]
['weight', [37916, 37922]]
['weight', [38022, 38028]]
['weight', [38407, 38413]]
['weight', [38570, 38576]]
['weight', [38991, 38997]]
['weight', [39683, 39689]]
['weight', [39877, 39883]]
['weight', [39992, 39998]]
['weight', [40114, 40120]]
['weight', [40429, 40435]]
['meaning', [323, 330]]
['meaning', [3675, 3682]]
['meaning', [10116, 10123]]
['meaning', [13493, 13500]]
['meaning', [19937, 19944]]
['meaning', [22827, 22834]]
['meaning', [23170, 23177]]
['meaning', [23460, 23467]]
['meaning', [27337, 27344]]
['meaning', [27680, 27687]]
['meaning', [27970, 27977]]
['meaning', [31846, 31853]]
['meaning', [32189, 32196]]
['meaning', [32479, 32486]]
['meaning', [34629, 34636]]
['meaning', [34888, 34895]]
['meaning', [35273, 35280]]
['meaning', [35436, 35443]]
['meaning', [35646, 35653]]
['meaning', [36743, 36750]]
['meaning', [36980, 36987]]
['meaning', [37752, 37759]]
['meaning', [38011, 38018]]
['meaning', [38396, 38403]]
['meaning', [38559, 38566]]
['meaning', [38769, 38776]]
['meaning', [39866, 39873]]
['meaning', [40103, 40110]]
['increases', [334, 343]]
['increases', [3686, 3695]]
['increases', [13504, 13513]]
['decreases', [347, 356]]
['decreases', [3699, 3708]]
['decreases', [13517, 13526]]
['kg', [363, 365]]
['kg', [583, 585]]
['kg', [618, 620]]
['kg', [3719, 3721]]
['kg', [13537, 13539]]
['kg', [22640, 22642]]
['kg', [22675, 22677]]
['kg', [27150, 27152]]
['kg', [27185, 27187]]
['kg', [31659, 31661]]
['kg', [31694, 31696]]
['kg', [34653, 34655]]
['kg', [37776, 37778]]
['potential', [368, 377]]
['potential', [4013, 4022]]
['potential', [4226, 4235]]
['potential', [9137, 9146]]
['potential', [9459, 9468]]
['potential', [13832, 13841]]
['potential', [14045, 14054]]
['potential', [18958, 18967]]
['potential', [19280, 19289]]
['risk factors', [378, 390]]
['risk factors', [1135, 1147]]
['risk factors', [9469, 9481]]
['risk factors', [9667, 9679]]
['risk factors', [10390, 10402]]
['risk factors', [19290, 19302]]
['risk factors', [19488, 19500]]
['risk factors', [20211, 20223]]
