['r', [11406, 11407]]
['r', [11435, 11436]]
['r', [11451, 11452]]
['r', [11480, 11481]]
['r', [11487, 11488]]
['r', [11496, 11497]]
['r', [11501, 11502]]
['r', [11506, 11507]]
['r', [11559, 11560]]
['r', [11590, 11591]]
['r', [11598, 11599]]
['r', [11608, 11609]]
['r', [11633, 11634]]
['r', [11639, 11640]]
['r', [11654, 11655]]
['r', [11672, 11673]]
['r', [11681, 11682]]
['r', [11704, 11705]]
['r', [11714, 11715]]
['r', [11728, 11729]]
['r', [11735, 11736]]
['r', [11744, 11745]]
['r', [11756, 11757]]
['r', [11778, 11779]]
['r', [11783, 11784]]
['r', [11806, 11807]]
['r', [11815, 11816]]
['r', [11820, 11821]]
['r', [11892, 11893]]
['r', [11902, 11903]]
['r', [11916, 11917]]
['r', [11956, 11957]]
['r', [11991, 11992]]
['r', [12002, 12003]]
['r', [12021, 12022]]
['r', [12027, 12028]]
['r', [12063, 12064]]
['r', [12073, 12074]]
['r', [12089, 12090]]
['r', [12106, 12107]]
['r', [12119, 12120]]
['r', [12136, 12137]]
['r', [12159, 12160]]
['r', [12169, 12170]]
['r', [12179, 12180]]
['r', [12184, 12185]]
['r', [12193, 12194]]
['r', [12202, 12203]]
['r', [12238, 12239]]
['r', [12256, 12257]]
['r', [12314, 12315]]
['r', [12332, 12333]]
['r', [12346, 12347]]
['r', [12353, 12354]]
['r', [12356, 12357]]
['r', [12357, 12358]]
['r', [12407, 12408]]
['r', [12413, 12414]]
['r', [12419, 12420]]
['r', [12420, 12421]]
['r', [12450, 12451]]
['r', [12456, 12457]]
['r', [12578, 12579]]
['r', [12585, 12586]]
['r', [12591, 12592]]
['r', [12607, 12608]]
['r', [12626, 12627]]
['r', [12637, 12638]]
['r', [12644, 12645]]
['r', [12645, 12646]]
['r', [12681, 12682]]
['r', [12682, 12683]]
['r', [12721, 12722]]
['r', [12722, 12723]]
['r', [12760, 12761]]
['r', [12768, 12769]]
['r', [12769, 12770]]
['r', [12805, 12806]]
['r', [12826, 12827]]
['r', [12850, 12851]]
['r', [12857, 12858]]
['r', [12862, 12863]]
['r', [12872, 12873]]
