['reveal', [41341, 41347]]
['reveal', [43525, 43531]]
['reveal', [44377, 44383]]
['reveal', [44517, 44523]]
['reveal', [45883, 45889]]
['reveal', [46397, 46403]]
['reveal', [46443, 46449]]
['reveal', [47544, 47550]]
['ii', [6483, 6485]]
['ii', [6598, 6600]]
['ii', [6637, 6639]]
['ii', [6807, 6809]]
['ii', [18991, 18993]]
['ii', [19106, 19108]]
['ii', [19145, 19147]]
['ii', [19315, 19317]]
['ii', [40357, 40359]]
['ii', [43532, 43534]]
['\\?', [9265, 9267]]
['\\?', [21774, 21776]]
['\\?', [38588, 38590]]
['4\\+', [9266, 9269]]
['4\\+', [21775, 21778]]
['genotype', [3079, 3087]]
['genotype', [7365, 7373]]
['genotype', [9269, 9277]]
['genotype', [19873, 19881]]
['genotype', [21778, 21786]]
['disclosure\\.', [6429, 6441]]
['disclosure\\.', [7555, 7567]]
['disclosure\\.', [9278, 9290]]
['disclosure\\.', [20063, 20075]]
['disclosure\\.', [21787, 21799]]
['there', [4010, 4015]]
['there', [6063, 6068]]
['there', [8870, 8875]]
['there', [9290, 9295]]
['there', [9846, 9851]]
['there', [12876, 12881]]
['there', [21379, 21384]]
['there', [21799, 21804]]
['there', [22356, 22361]]
['there', [25386, 25391]]
['there', [47002, 47007]]
['genetic', [46, 53]]
['genetic', [225, 232]]
['genetic', [329, 336]]
['genetic', [425, 432]]
['genetic', [1068, 1075]]
['genetic', [1130, 1137]]
['genetic', [1214, 1221]]
['genetic', [2617, 2624]]
['genetic', [2781, 2788]]
['genetic', [3212, 3219]]
['genetic', [3222, 3229]]
['genetic', [3352, 3359]]
['genetic', [3446, 3453]]
['genetic', [3786, 3793]]
['genetic', [4172, 4179]]
['genetic', [4395, 4402]]
['genetic', [4703, 4710]]
['genetic', [4846, 4853]]
['genetic', [5078, 5085]]
['genetic', [5167, 5174]]
['genetic', [5352, 5359]]
['genetic', [5460, 5467]]
['genetic', [5621, 5628]]
['genetic', [5782, 5789]]
['genetic', [5896, 5903]]
['genetic', [6291, 6298]]
['genetic', [6361, 6368]]
['genetic', [6416, 6423]]
['genetic', [6835, 6842]]
['genetic', [7108, 7115]]
['genetic', [7249, 7256]]
['genetic', [8930, 8937]]
['genetic', [9997, 10004]]
['genetic', [10124, 10131]]
['genetic', [10283, 10290]]
['genetic', [10366, 10373]]
['genetic', [10591, 10598]]
['genetic', [10817, 10824]]
['genetic', [12418, 12425]]
['genetic', [13390, 13397]]
['genetic', [17091, 17098]]
['genetic', [17823, 17830]]
['genetic', [19343, 19350]]
['genetic', [19616, 19623]]
['genetic', [19757, 19764]]
['genetic', [21439, 21446]]
['genetic', [22507, 22514]]
['genetic', [22634, 22641]]
['genetic', [22793, 22800]]
['genetic', [22876, 22883]]
['genetic', [23101, 23108]]
['genetic', [23327, 23334]]
['genetic', [24928, 24935]]
['genetic', [25900, 25907]]
['genetic', [29602, 29609]]
['genetic', [30335, 30342]]
['genetic', [33158, 33165]]
['genetic', [36248, 36255]]
['genetic', [37765, 37772]]
['genetic', [37920, 37927]]
['genetic', [38051, 38058]]
['genetic', [38110, 38117]]
['genetic', [38182, 38189]]
['genetic', [38316, 38323]]
['genetic', [38509, 38516]]
['genetic', [38989, 38996]]
['genetic', [39009, 39016]]
['genetic', [39151, 39158]]
['genetic', [39215, 39222]]
['genetic', [39414, 39421]]
['genetic', [41287, 41294]]
['genetic', [41378, 41385]]
['genetic', [41489, 41496]]
['genetic', [41531, 41538]]
['genetic', [41620, 41627]]
['genetic', [41727, 41734]]
['genetic', [41801, 41808]]
['genetic', [42164, 42171]]
['genetic', [42184, 42191]]
['genetic', [42326, 42333]]
['genetic', [42390, 42397]]
['genetic', [42589, 42596]]
['genetic', [44463, 44470]]
['genetic', [44554, 44561]]
['genetic', [44665, 44672]]
['genetic', [44707, 44714]]
['genetic', [44796, 44803]]
['genetic', [44903, 44910]]
['genetic', [44977, 44984]]
['genetic', [45558, 45565]]
['genetic', [47421, 47428]]
['genetic', [47516, 47523]]
['genetic', [48148, 48155]]
['testing\\.', [3375, 3384]]
['testing\\.', [5175, 5184]]
['testing\\.', [10291, 10300]]
['testing\\.', [10825, 10834]]
['testing\\.', [22801, 22810]]
['testing\\.', [23335, 23344]]
['testing\\.', [33166, 33175]]
['testing\\.', [36256, 36265]]
['testing\\.', [37788, 37797]]
['testing\\.', [38059, 38068]]
['testing\\.', [38324, 38333]]
['testing\\.', [39437, 39446]]
['testing\\.', [42612, 42621]]
['a', [0, 1]]
['a', [8, 9]]
['a', [14, 15]]
['a', [33, 34]]
['a', [39, 40]]
['a', [81, 82]]
['a', [99, 100]]
['a', [109, 110]]
['a', [140, 141]]
['a', [171, 172]]
['a', [179, 180]]
['a', [187, 188]]
['a', [212, 213]]
['a', [218, 219]]
['a', [260, 261]]
['a', [278, 279]]
['a', [283, 284]]
['a', [316, 317]]
['a', [322, 323]]
['a', [349, 350]]
['a', [367, 368]]
['a', [376, 377]]
['a', [381, 382]]
['a', [398, 399]]
['a', [416, 417]]
['a', [439, 440]]
['a', [445, 446]]
