['t', [1630, 1631]]
['t', [1643, 1644]]
['t', [1656, 1657]]
['t', [1666, 1667]]
['t', [1674, 1675]]
['t', [1686, 1687]]
['t', [1704, 1705]]
['t', [1710, 1711]]
['t', [1719, 1720]]
['t', [1750, 1751]]
['t', [1754, 1755]]
['t', [1765, 1766]]
['t', [1777, 1778]]
['t', [1788, 1789]]
['t', [1795, 1796]]
['t', [1814, 1815]]
['t', [1824, 1825]]
['t', [1844, 1845]]
['t', [1854, 1855]]
['t', [1878, 1879]]
['t', [1897, 1898]]
['t', [1900, 1901]]
['t', [1932, 1933]]
['t', [1935, 1936]]
['t', [1941, 1942]]
['t', [1946, 1947]]
['t', [1956, 1957]]
['t', [1959, 1960]]
['t', [1970, 1971]]
['t', [1982, 1983]]
['t', [1991, 1992]]
['t', [1997, 1998]]
['t', [2027, 2028]]
['t', [2040, 2041]]
['t', [2042, 2043]]
['t', [2050, 2051]]
['t', [2057, 2058]]
['t', [2060, 2061]]
['t', [2069, 2070]]
['t', [2075, 2076]]
['t', [2086, 2087]]
['t', [2104, 2105]]
['t', [2112, 2113]]
['t', [2115, 2116]]
['t', [2117, 2118]]
['t', [2159, 2160]]
['t', [2169, 2170]]
['t', [2178, 2179]]
['t', [2190, 2191]]
['t', [2215, 2216]]
['t', [2220, 2221]]
['t', [2223, 2224]]
['t', [2235, 2236]]
['t', [2240, 2241]]
['t', [2253, 2254]]
['t', [2269, 2270]]
['t', [2286, 2287]]
['t', [2290, 2291]]
['t', [2293, 2294]]
['t', [2307, 2308]]
['t', [2314, 2315]]
['t', [2328, 2329]]
['t', [2331, 2332]]
['t', [2338, 2339]]
['t', [2344, 2345]]
['t', [2360, 2361]]
['t', [2377, 2378]]
['t', [2381, 2382]]
['t', [2411, 2412]]
['t', [2423, 2424]]
['t', [2435, 2436]]
['t', [2446, 2447]]
['t', [2449, 2450]]
['t', [2453, 2454]]
['t', [2478, 2479]]
['t', [2482, 2483]]
['t', [2490, 2491]]
['t', [2513, 2514]]
['t', [2520, 2521]]
['t', [2532, 2533]]
['t', [2539, 2540]]
['t', [2552, 2553]]
['t', [2560, 2561]]
['t', [2575, 2576]]
['t', [2603, 2604]]
['t', [2649, 2650]]
['t', [2653, 2654]]
['t', [2659, 2660]]
['t', [2679, 2680]]
['t', [2732, 2733]]
['t', [2756, 2757]]
['t', [2761, 2762]]
['t', [2778, 2779]]
['t', [2801, 2802]]
['t', [2804, 2805]]
['t', [2811, 2812]]
['t', [2835, 2836]]
['t', [2857, 2858]]
['t', [2869, 2870]]
['t', [2872, 2873]]
['t', [2878, 2879]]
['t', [2880, 2881]]
['t', [2883, 2884]]
['t', [2892, 2893]]
['t', [2909, 2910]]
['t', [2939, 2940]]
['t', [2946, 2947]]
['t', [2959, 2960]]
['t', [2963, 2964]]
['t', [2969, 2970]]
['t', [2976, 2977]]
['t', [2981, 2982]]
['t', [2987, 2988]]
['t', [3028, 3029]]
['t', [3045, 3046]]
['t', [3061, 3062]]
['t', [3086, 3087]]
['t', [3096, 3097]]
['t', [3107, 3108]]
['t', [3112, 3113]]
['t', [3131, 3132]]
['t', [3136, 3137]]
['t', [3150, 3151]]
['t', [3168, 3169]]
['t', [3173, 3174]]
['t', [3177, 3178]]
['t', [3184, 3185]]
['t', [3208, 3209]]
['t', [3217, 3218]]
['t', [3232, 3233]]
['t', [3240, 3241]]
['t', [3243, 3244]]
['t', [3261, 3262]]
['t', [3272, 3273]]
['t', [3276, 3277]]
['t', [3280, 3281]]
['t', [3285, 3286]]
['t', [3287, 3288]]
['t', [3319, 3320]]
['t', [3327, 3328]]
['t', [3334, 3335]]
['t', [3347, 3348]]
['t', [3349, 3350]]
['t', [3352, 3353]]
['t', [3356, 3357]]
['t', [3375, 3376]]
['t', [3396, 3397]]
['t', [3400, 3401]]
['t', [3408, 3409]]
['t', [3415, 3416]]
['t', [3421, 3422]]
['t', [3454, 3455]]
['t', [3459, 3460]]
['t', [3491, 3492]]
['t', [3517, 3518]]
['t', [3540, 3541]]
['t', [3545, 3546]]
['t', [3548, 3549]]
['t', [3558, 3559]]
['t', [3573, 3574]]
['t', [3579, 3580]]
['t', [3600, 3601]]
['t', [3614, 3615]]
['t', [3662, 3663]]
['t', [3684, 3685]]
['t', [3692, 3693]]
['t', [3719, 3720]]
['t', [3736, 3737]]
['t', [3762, 3763]]
['t', [3793, 3794]]
['t', [3795, 3796]]
['t', [3798, 3799]]
