['1', [48734, 48735]]
['1', [48737, 48738]]
['1', [49291, 49292]]
['1', [49306, 49307]]
['1', [49397, 49398]]
['1', [49414, 49415]]
['1', [49435, 49436]]
['1', [49441, 49442]]
['1', [49450, 49451]]
['1', [49459, 49460]]
['1', [49494, 49495]]
['1', [49508, 49509]]
['1', [49511, 49512]]
['1', [49517, 49518]]
['1', [49520, 49521]]
['1', [49541, 49542]]
['1', [49562, 49563]]
['1', [49621, 49622]]
['1', [49623, 49624]]
['1', [49639, 49640]]
['1', [49641, 49642]]
['1', [49659, 49660]]
['1', [49671, 49672]]
['1', [49679, 49680]]
['1', [49689, 49690]]
['1', [49691, 49692]]
['1', [49709, 49710]]
['1', [49742, 49743]]
['1', [49758, 49759]]
['1', [49788, 49789]]
['1', [49797, 49798]]
['1', [49800, 49801]]
['1', [49805, 49806]]
['1', [49813, 49814]]
['1', [49858, 49859]]
['1', [49866, 49867]]
['1', [49868, 49869]]
['1', [49876, 49877]]
['1', [49907, 49908]]
['1', [49915, 49916]]
['1', [49917, 49918]]
['1', [49925, 49926]]
['1', [49981, 49982]]
['1', [49983, 49984]]
['1', [49990, 49991]]
['1', [49999, 50000]]
['1', [50001, 50002]]
['1', [50019, 50020]]
['1', [50031, 50032]]
['1', [50049, 50050]]
['1', [50051, 50052]]
['1', [50069, 50070]]
['1', [50119, 50120]]
['1', [50158, 50159]]
['1', [50167, 50168]]
['1', [50175, 50176]]
['1', [50176, 50177]]
['1', [50220, 50221]]
['1', [50228, 50229]]
['1', [50231, 50232]]
['1', [50253, 50254]]
['1', [50269, 50270]]
['1', [50277, 50278]]
['\xe2\x80\x93', [2192, 2195]]
['\xe2\x80\x93', [2617, 2620]]
['\xe2\x80\x93', [5623, 5626]]
['\xe2\x80\x93', [8846, 8849]]
['\xe2\x80\x93', [9567, 9570]]
['\xe2\x80\x93', [10004, 10007]]
['\xe2\x80\x93', [12677, 12680]]
['\xe2\x80\x93', [15902, 15905]]
['\xe2\x80\x93', [16624, 16627]]
['\xe2\x80\x93', [17061, 17064]]
['\xe2\x80\x93', [33433, 33436]]
['\xe2\x80\x93', [39969, 39972]]
['7', [495, 496]]
['7', [975, 976]]
['7', [1211, 1212]]
['7', [1248, 1249]]
['7', [2196, 2197]]
['7', [2388, 2389]]
['7', [3570, 3571]]
['7', [4050, 4051]]
['7', [4286, 4287]]
['7', [4323, 4324]]
['7', [5404, 5405]]
['7', [5680, 5681]]
['7', [5920, 5921]]
['7', [5984, 5985]]
['7', [6103, 6104]]
['7', [6204, 6205]]
['7', [6231, 6232]]
['7', [6308, 6309]]
['7', [8078, 8079]]
['7', [8317, 8318]]
['7', [8422, 8423]]
['7', [8488, 8489]]
['7', [9525, 9526]]
['7', [12458, 12459]]
['7', [12734, 12735]]
['7', [12974, 12975]]
['7', [13038, 13039]]
['7', [13157, 13158]]
['7', [13258, 13259]]
['7', [13285, 13286]]
['7', [13362, 13363]]
['7', [15133, 15134]]
['7', [15372, 15373]]
['7', [15477, 15478]]
['7', [15543, 15544]]
['7', [16582, 16583]]
['7', [19448, 19449]]
['7', [20170, 20171]]
['7', [20456, 20457]]
['7', [20496, 20497]]
['7', [21028, 21029]]
['7', [21884, 21885]]
['7', [22691, 22692]]
['7', [23413, 23414]]
['7', [23699, 23700]]
['7', [23739, 23740]]
['7', [24271, 24272]]
['7', [25127, 25128]]
['7', [25926, 25927]]
['7', [26162, 26163]]
['7', [27234, 27235]]
['7', [27520, 27521]]
['7', [27560, 27561]]
['7', [28092, 28093]]
['7', [28948, 28949]]
['7', [29338, 29339]]
['7', [29624, 29625]]
['7', [29664, 29665]]
['7', [30196, 30197]]
['7', [31052, 31053]]
['7', [36402, 36403]]
['7', [37358, 37359]]
['7', [42939, 42940]]
['7', [43895, 43896]]
['7', [45685, 45686]]
['7', [45728, 45729]]
['7', [45745, 45746]]
['7', [45774, 45775]]
['7', [45916, 45917]]
['7', [46005, 46006]]
['7', [46040, 46041]]
['7', [46343, 46344]]
['7', [46370, 46371]]
['7', [46386, 46387]]
['7', [46416, 46417]]
['7', [46813, 46814]]
['7', [46822, 46823]]
['7', [46873, 46874]]
['7', [46897, 46898]]
['7', [47561, 47562]]
['7', [47759, 47760]]
['7', [47814, 47815]]
['7', [47834, 47835]]
['7', [47851, 47852]]
['7', [47888, 47889]]
['7', [47933, 47934]]
['7', [47967, 47968]]
['7', [47988, 47989]]
['7', [47994, 47995]]
['7', [48009, 48010]]
['7', [48022, 48023]]
['7', [48040, 48041]]
['7', [48112, 48113]]
['7', [48200, 48201]]
['7', [48243, 48244]]
['7', [48275, 48276]]
['7', [48438, 48439]]
['7', [48467, 48468]]
['7', [48518, 48519]]
['7', [48549, 48550]]
['7', [48645, 48646]]
['7', [48661, 48662]]
['7', [48697, 48698]]
['7', [48702, 48703]]
['7', [48709, 48710]]
['7', [48713, 48714]]
['7', [48733, 48734]]
['7', [48751, 48752]]
['7', [49292, 49293]]
['7', [49309, 49310]]
['7', [49349, 49350]]
['7', [49355, 49356]]
['7', [49393, 49394]]
['7', [49411, 49412]]
['7', [49467, 49468]]
['7', [49766, 49767]]
['7', [49781, 49782]]
['7', [49814, 49815]]
['7', [50004, 50005]]
['7', [50164, 50165]]
['7', [50225, 50226]]
['gantry', [7031, 7037]]
['gantry', [14086, 14092]]
['rotation', [7038, 7046]]
['rotation', [14093, 14101]]
['time', [6032, 6036]]
['time', [7047, 7051]]
['time', [13086, 13090]]
['time', [14102, 14106]]
['500', [7052, 7055]]
['500', [14107, 14110]]
['ms', [6975, 6977]]
['ms', [7056, 7058]]
['ms', [8632, 8634]]
['ms', [8851, 8853]]
['ms', [9003, 9005]]
['ms', [9698, 9700]]
['ms', [14030, 14032]]
['ms', [14111, 14113]]
['ms', [15688, 15690]]
['ms', [15907, 15909]]
['ms', [16059, 16061]]
['ms', [16755, 16757]]
['ms', [34373, 34375]]
['ms', [40910, 40912]]
['s1\\.', [7132, 7136]]
['s1\\.', [14187, 14191]]
['axially-oriented', [9428, 9444]]
['axially-oriented', [16484, 16500]]
['image\\.', [9445, 9452]]
['image\\.', [16501, 16508]]
['risk', [9452, 9456]]
['risk', [9489, 9493]]
['risk', [16509, 16513]]
['risk', [16546, 16550]]
['risk', [37230, 37234]]
['risk', [37714, 37718]]
['risk', [37834, 37838]]
['risk', [43767, 43771]]
['risk', [44252, 44256]]
['risk', [44372, 44376]]
['factor', [9457, 9463]]
['factor', [9494, 9500]]
['factor', [16514, 16520]]
['factor', [16551, 16557]]
['factor', [37235, 37241]]
['factor', [38159, 38165]]
['factor', [43772, 43778]]
['factor', [44697, 44703]]
['fpg', [9793, 9796]]
['fpg', [9889, 9892]]
['fpg', [9997, 10000]]
['fpg', [16850, 16853]]
['fpg', [16946, 16949]]
['fpg', [17054, 17057]]
['insulin', [9941, 9948]]
['insulin', [16998, 17005]]
['ifg', [9977, 9980]]
['ifg', [17034, 17037]]
['table', [5935, 5940]]
['table', [6118, 6123]]
['table', [7060, 7065]]
['table', [12989, 12994]]
['table', [13172, 13177]]
['table', [14115, 14120]]
['table', [19528, 19533]]
['table', [19727, 19732]]
['table', [19975, 19980]]
['table', [22153, 22158]]
['table', [22430, 22435]]
['table', [22526, 22531]]
['table', [22771, 22776]]
['table', [22970, 22975]]
['table', [23218, 23223]]
['table', [25396, 25401]]
['table', [25673, 25678]]
['table', [25769, 25774]]
['table', [26006, 26011]]
['table', [26242, 26247]]
['table', [26442, 26447]]
['table', [26790, 26795]]
['table', [27039, 27044]]
['table', [29143, 29148]]
['table', [31322, 31327]]
['table', [31599, 31604]]
['table', [31695, 31700]]
['table', [31872, 31877]]
['table', [32149, 32154]]
['table', [32245, 32250]]
['table', [45342, 45347]]
['table', [45349, 45354]]
['table', [46455, 46460]]
['table', [47030, 47035]]
['table', [49018, 49023]]
['3', [929, 930]]
['3', [974, 975]]
['3', [1028, 1029]]
['3', [1037, 1038]]
['3', [1079, 1080]]
['3', [1210, 1211]]
['3', [1255, 1256]]
['3', [1286, 1287]]
['3', [1309, 1310]]
['3', [1360, 1361]]
['3', [4004, 4005]]
['3', [4049, 4050]]
['3', [4103, 4104]]
['3', [4112, 4113]]
['3', [4154, 4155]]
['3', [4285, 4286]]
['3', [4330, 4331]]
['3', [4361, 4362]]
['3', [4384, 4385]]
['3', [4435, 4436]]
['3', [5409, 5410]]
['3', [5632, 5633]]
['3', [5634, 5635]]
['3', [5919, 5920]]
['3', [6102, 6103]]
['3', [6152, 6153]]
['3', [6971, 6972]]
['3', [6972, 6973]]
['3', [7071, 7072]]
['3', [7175, 7176]]
['3', [7275, 7276]]
['3', [8844, 8845]]
['3', [8849, 8850]]
['3', [9322, 9323]]
['3', [12087, 12088]]
['3', [12463, 12464]]
['3', [12686, 12687]]
['3', [12688, 12689]]
['3', [12973, 12974]]
['3', [13156, 13157]]
['3', [13206, 13207]]
['3', [14026, 14027]]
['3', [14027, 14028]]
['3', [14126, 14127]]
['3', [14230, 14231]]
['3', [14330, 14331]]
['3', [15900, 15901]]
['3', [15905, 15906]]
['3', [16378, 16379]]
['3', [19145, 19146]]
['3', [19431, 19432]]
['3', [19658, 19659]]
['3', [19686, 19687]]
['3', [19704, 19705]]
['3', [19981, 19982]]
['3', [20169, 20170]]
['3', [20879, 20880]]
['3', [21026, 21027]]
['3', [21029, 21030]]
['3', [21064, 21065]]
['3', [21417, 21418]]
['3', [21418, 21419]]
