['a', [6851, 6852]]
['a', [6858, 6859]]
['a', [6879, 6880]]
['a', [6884, 6885]]
['a', [6910, 6911]]
['a', [6923, 6924]]
['a', [6930, 6931]]
['a', [6944, 6945]]
['a', [6985, 6986]]
['a', [6997, 6998]]
['a', [7041, 7042]]
['a', [7065, 7066]]
['a', [7068, 7069]]
['a', [7095, 7096]]
['a', [7107, 7108]]
['a', [7120, 7121]]
['a', [7125, 7126]]
['a', [7146, 7147]]
['a', [7156, 7157]]
['a', [7163, 7164]]
['a', [7167, 7168]]
['a', [7174, 7175]]
['a', [7184, 7185]]
['a', [7193, 7194]]
['a', [7216, 7217]]
['a', [7228, 7229]]
['a', [7239, 7240]]
['a', [7253, 7254]]
['a', [7295, 7296]]
['a', [7313, 7314]]
['a', [7328, 7329]]
['a', [7330, 7331]]
['a', [7334, 7335]]
['a', [7344, 7345]]
['a', [7365, 7366]]
['a', [7372, 7373]]
['a', [7424, 7425]]
['a', [7441, 7442]]
['a', [7447, 7448]]
['a', [7466, 7467]]
['a', [7500, 7501]]
['a', [7504, 7505]]
['a', [7507, 7508]]
['a', [7517, 7518]]
['a', [7570, 7571]]
['a', [7599, 7600]]
['a', [7622, 7623]]
['a', [7637, 7638]]
['a', [7651, 7652]]
['a', [7656, 7657]]
['a', [7675, 7676]]
['a', [7686, 7687]]
['a', [7725, 7726]]
['a', [7729, 7730]]
['a', [7761, 7762]]
['a', [7773, 7774]]
['a', [7781, 7782]]
['a', [7790, 7791]]
['a', [7798, 7799]]
['a', [7821, 7822]]
['a', [7824, 7825]]
['a', [7835, 7836]]
['a', [7859, 7860]]
['a', [7881, 7882]]
['a', [7898, 7899]]
['a', [7900, 7901]]
['a', [7928, 7929]]
['a', [7933, 7934]]
['a', [7939, 7940]]
['a', [7954, 7955]]
['a', [7958, 7959]]
['a', [7977, 7978]]
['a', [7996, 7997]]
['a', [8011, 8012]]
['a', [8020, 8021]]
['a', [8041, 8042]]
['a', [8043, 8044]]
['a', [8048, 8049]]
['a', [8058, 8059]]
['a', [8061, 8062]]
['a', [8068, 8069]]
['a', [8072, 8073]]
['a', [8083, 8084]]
['a', [8094, 8095]]
['a', [8116, 8117]]
['a', [8121, 8122]]
['a', [8142, 8143]]
['a', [8166, 8167]]
['a', [8171, 8172]]
['a', [8177, 8178]]
['a', [8188, 8189]]
['a', [8198, 8199]]
['a', [8220, 8221]]
['a', [8224, 8225]]
['a', [8249, 8250]]
['a', [8254, 8255]]
['a', [8260, 8261]]
['a', [8271, 8272]]
['a', [8322, 8323]]
['a', [8343, 8344]]
['a', [8348, 8349]]
['a', [8371, 8372]]
['a', [8381, 8382]]
['a', [8387, 8388]]
['a', [8430, 8431]]
['a', [8450, 8451]]
['a', [8454, 8455]]
['a', [8471, 8472]]
['a', [8485, 8486]]
['a', [8495, 8496]]
['a', [8511, 8512]]
['a', [8518, 8519]]
['a', [8529, 8530]]
['a', [8544, 8545]]
['a', [8588, 8589]]
['a', [8651, 8652]]
['a', [8656, 8657]]
['a', [8670, 8671]]
['a', [8681, 8682]]
['a', [8702, 8703]]
['a', [8720, 8721]]
['a', [8740, 8741]]
['a', [8858, 8859]]
['a', [8888, 8889]]
['a', [8902, 8903]]
['a', [8906, 8907]]
['a', [8943, 8944]]
['a', [8946, 8947]]
['a', [8965, 8966]]
['a', [8979, 8980]]
['a', [8984, 8985]]
['a', [9019, 9020]]
['a', [9039, 9040]]
['a', [9053, 9054]]
['a', [9057, 9058]]
['a', [9062, 9063]]
['a', [9067, 9068]]
['a', [9079, 9080]]
['a', [9097, 9098]]
['a', [9110, 9111]]
['a', [9129, 9130]]
['a', [9145, 9146]]
['a', [9157, 9158]]
['a', [9160, 9161]]
['a', [9173, 9174]]
['a', [9181, 9182]]
['a', [9241, 9242]]
['a', [9252, 9253]]
['a', [9260, 9261]]
['a', [9273, 9274]]
['a', [9304, 9305]]
['a', [9319, 9320]]
['a', [9338, 9339]]
['a', [9345, 9346]]
['a', [9362, 9363]]
['a', [9372, 9373]]
['a', [9379, 9380]]
['a', [9386, 9387]]
['a', [9392, 9393]]
['a', [9430, 9431]]
['a', [9442, 9443]]
['a', [9485, 9486]]
['a', [9510, 9511]]
['a', [9527, 9528]]
['a', [9534, 9535]]
['a', [9545, 9546]]
['a', [9562, 9563]]
['a', [9584, 9585]]
['a', [9602, 9603]]
['a', [9653, 9654]]
['a', [9692, 9693]]
['a', [9704, 9705]]
['a', [9713, 9714]]
['a', [9725, 9726]]
['a', [9751, 9752]]
['a', [9768, 9769]]
['a', [9772, 9773]]
['a', [9780, 9781]]
['a', [9786, 9787]]
['a', [9789, 9790]]
['a', [9801, 9802]]
['a', [9806, 9807]]
['a', [9833, 9834]]
['a', [9835, 9836]]
['a', [9844, 9845]]
['a', [9864, 9865]]
['a', [9882, 9883]]
['a', [9892, 9893]]
['a', [9901, 9902]]
['a', [9921, 9922]]
['a', [9942, 9943]]
['a', [9960, 9961]]
['a', [9970, 9971]]
['a', [9979, 9980]]
['a', [10007, 10008]]
['a', [10017, 10018]]
['a', [10030, 10031]]
['a', [10040, 10041]]
['a', [10064, 10065]]
['a', [10081, 10082]]
['a', [10100, 10101]]
['a', [10112, 10113]]
['a', [10135, 10136]]
['a', [10149, 10150]]
['a', [10159, 10160]]
['a', [10161, 10162]]
['a', [10188, 10189]]
['a', [10193, 10194]]
['a', [10206, 10207]]
['a', [10211, 10212]]
['a', [10231, 10232]]
['a', [10248, 10249]]
['a', [10263, 10264]]
['a', [10269, 10270]]
['a', [10298, 10299]]
['a', [10341, 10342]]
['a', [10347, 10348]]
['a', [10350, 10351]]
['a', [10357, 10358]]
['a', [10401, 10402]]
['a', [10421, 10422]]
['a', [10460, 10461]]
['a', [10465, 10466]]
['a', [10470, 10471]]
['a', [10490, 10491]]
['a', [10500, 10501]]
['a', [10527, 10528]]
['a', [10544, 10545]]
['a', [10550, 10551]]
['a', [10583, 10584]]
['a', [10634, 10635]]
['a', [10669, 10670]]
['a', [10678, 10679]]
['a', [10688, 10689]]
['a', [10693, 10694]]
['a', [10696, 10697]]
['a', [10708, 10709]]
['a', [10771, 10772]]
['a', [10790, 10791]]
['a', [10799, 10800]]
['a', [10812, 10813]]
['a', [10818, 10819]]
['a', [10878, 10879]]
['a', [10901, 10902]]
['a', [10921, 10922]]
['a', [10932, 10933]]
['a', [10936, 10937]]
['a', [10984, 10985]]
['a', [10993, 10994]]
['a', [11034, 11035]]
['a', [11036, 11037]]
['a', [11054, 11055]]
['a', [11077, 11078]]
['a', [11104, 11105]]
['a', [11112, 11113]]
['a', [11133, 11134]]
['a', [11145, 11146]]
['a', [11170, 11171]]
['a', [11192, 11193]]
['a', [11210, 11211]]
['a', [11214, 11215]]
['a', [11232, 11233]]
['a', [11241, 11242]]
['a', [11264, 11265]]
['a', [11285, 11286]]
['a', [11300, 11301]]
['a', [11316, 11317]]
['a', [11339, 11340]]
['a', [11345, 11346]]
['a', [11351, 11352]]
['a', [11372, 11373]]
['a', [11400, 11401]]
['a', [11416, 11417]]
['a', [11430, 11431]]
['a', [11444, 11445]]
['a', [11460, 11461]]
['a', [11500, 11501]]
['a', [11510, 11511]]
['a', [11513, 11514]]
['a', [11516, 11517]]
['a', [11545, 11546]]
['a', [11549, 11550]]
['a', [11562, 11563]]
['a', [11578, 11579]]
['a', [11585, 11586]]
['a', [11591, 11592]]
['a', [11606, 11607]]
['a', [11616, 11617]]
['a', [11655, 11656]]
['a', [11661, 11662]]
['a', [11667, 11668]]
['a', [11677, 11678]]
['a', [11691, 11692]]
['a', [11700, 11701]]
['a', [11726, 11727]]
['a', [11760, 11761]]
['a', [11766, 11767]]
['a', [11781, 11782]]
['a', [11816, 11817]]
['a', [11860, 11861]]
['a', [11871, 11872]]
['a', [11874, 11875]]
['a', [11951, 11952]]
['a', [11967, 11968]]
['a', [11988, 11989]]
['a', [11999, 12000]]
['a', [12020, 12021]]
['a', [12026, 12027]]
['a', [12044, 12045]]
['a', [12057, 12058]]
['a', [12063, 12064]]
['a', [12090, 12091]]
['a', [12110, 12111]]
['a', [12167, 12168]]
['a', [12196, 12197]]
['a', [12199, 12200]]
['a', [12210, 12211]]
['a', [12217, 12218]]
['a', [12232, 12233]]
['a', [12234, 12235]]
['a', [12247, 12248]]
['a', [12263, 12264]]
['a', [12269, 12270]]
['a', [12284, 12285]]
['a', [12295, 12296]]
['a', [12298, 12299]]
['a', [12303, 12304]]
['a', [12322, 12323]]
['a', [12326, 12327]]
['a', [12337, 12338]]
['a', [12342, 12343]]
['a', [12347, 12348]]
['a', [12350, 12351]]
['a', [12352, 12353]]
['a', [12364, 12365]]
['a', [12371, 12372]]
['a', [12387, 12388]]
['a', [12429, 12430]]
['a', [12455, 12456]]
['a', [12487, 12488]]
['a', [12497, 12498]]
['a', [12512, 12513]]
['a', [12558, 12559]]
['a', [12580, 12581]]
['a', [12616, 12617]]
['a', [12627, 12628]]
['a', [12639, 12640]]
['a', [12642, 12643]]
['a', [12681, 12682]]
['a', [12777, 12778]]
['a', [12787, 12788]]
['a', [12789, 12790]]
['a', [12802, 12803]]
['a', [12845, 12846]]
['a', [12847, 12848]]
['a', [12849, 12850]]
['a', [12851, 12852]]
['a', [12858, 12859]]
['a', [12864, 12865]]
['a', [12868, 12869]]
['a', [12870, 12871]]
['a', [12872, 12873]]
['a', [12877, 12878]]
['a', [12879, 12880]]
['a', [12889, 12890]]
['a', [12936, 12937]]
['a', [13023, 13024]]
['a', [13033, 13034]]
['a', [13036, 13037]]
['a', [13045, 13046]]
['a', [13056, 13057]]
['a', [13064, 13065]]
['a', [13069, 13070]]
['a', [13072, 13073]]
['a', [13076, 13077]]
['a', [13078, 13079]]
['a', [13092, 13093]]
['a', [13097, 13098]]
['a', [13100, 13101]]
['a', [13116, 13117]]
['a', [13125, 13126]]
['a', [13166, 13167]]
['a', [13170, 13171]]
['a', [13176, 13177]]
['a', [13184, 13185]]
['a', [13195, 13196]]
['a', [13201, 13202]]
['a', [13222, 13223]]
['a', [13224, 13225]]
['a', [13230, 13231]]
['a', [13239, 13240]]
['a', [13251, 13252]]
['a', [13254, 13255]]
['a', [13261, 13262]]
['a', [13265, 13266]]
['a', [13276, 13277]]
['a', [13280, 13281]]
['a', [13286, 13287]]
['a', [13298, 13299]]
['a', [13301, 13302]]
['a', [13310, 13311]]
['a', [13320, 13321]]
['a', [13329, 13330]]
['a', [13335, 13336]]
['a', [13345, 13346]]
['a', [13354, 13355]]
['a', [13358, 13359]]
['a', [13361, 13362]]
['a', [13367, 13368]]
['a', [13383, 13384]]
['a', [13396, 13397]]
['a', [13417, 13418]]
['a', [13424, 13425]]
['a', [13431, 13432]]
['a', [13447, 13448]]
['a', [13455, 13456]]
['a', [13485, 13486]]
['a', [13487, 13488]]
['a', [13497, 13498]]
['a', [13504, 13505]]
['a', [13506, 13507]]
['a', [13533, 13534]]
['a', [13547, 13548]]
['a', [13552, 13553]]
['a', [13588, 13589]]
['a', [13604, 13605]]
['a', [13606, 13607]]
['a', [13612, 13613]]
['a', [13633, 13634]]
['a', [13645, 13646]]
['a', [13658, 13659]]
['a', [13663, 13664]]
['a', [13693, 13694]]
['a', [13702, 13703]]
['a', [13711, 13712]]
['a', [13728, 13729]]
['a', [13735, 13736]]
['a', [13767, 13768]]
['a', [13769, 13770]]
['a', [13780, 13781]]
['a', [13816, 13817]]
['a', [13836, 13837]]
['a', [13843, 13844]]
['a', [13859, 13860]]
['a', [13864, 13865]]
['a', [13877, 13878]]
['a', [13895, 13896]]
['a', [13917, 13918]]
['a', [13938, 13939]]
['a', [13943, 13944]]
['a', [13949, 13950]]
['a', [13965, 13966]]
['a', [13976, 13977]]
['a', [13991, 13992]]
['a', [14008, 14009]]
['a', [14031, 14032]]
['a', [14036, 14037]]
['a', [14058, 14059]]
['a', [14065, 14066]]
['a', [14077, 14078]]
['a', [14103, 14104]]
['a', [14105, 14106]]
['a', [14117, 14118]]
['a', [14129, 14130]]
['a', [14181, 14182]]
['a', [14204, 14205]]
['a', [14206, 14207]]
['a', [14224, 14225]]
['a', [14251, 14252]]
['a', [14256, 14257]]
['a', [14281, 14282]]
['a', [14308, 14309]]
['a', [14319, 14320]]
['a', [14321, 14322]]
['a', [14366, 14367]]
['a', [14385, 14386]]
['a', [14404, 14405]]
['a', [14412, 14413]]
['a', [14418, 14419]]
['a', [14421, 14422]]
['a', [14428, 14429]]
['a', [14431, 14432]]
['a', [14440, 14441]]
['a', [14444, 14445]]
['a', [14469, 14470]]
['a', [14476, 14477]]
['a', [14497, 14498]]
['a', [14544, 14545]]
['a', [14548, 14549]]
['a', [14551, 14552]]
['a', [14568, 14569]]
['a', [14570, 14571]]
['a', [14577, 14578]]
['a', [14586, 14587]]
['a', [14603, 14604]]
['a', [14623, 14624]]
['a', [14660, 14661]]
['a', [14673, 14674]]
['a', [14700, 14701]]
['a', [14705, 14706]]
['a', [14713, 14714]]
['a', [14719, 14720]]
['a', [14722, 14723]]
['a', [14751, 14752]]
['a', [14754, 14755]]
['a', [14757, 14758]]
['a', [14764, 14765]]
['a', [14798, 14799]]
['a', [14803, 14804]]
['a', [14811, 14812]]
['a', [14817, 14818]]
['a', [14820, 14821]]
['a', [14827, 14828]]
['a', [14832, 14833]]
['a', [14835, 14836]]
['a', [14858, 14859]]
['a', [14864, 14865]]
['a', [14866, 14867]]
['a', [14918, 14919]]
['a', [14921, 14922]]
['a', [14946, 14947]]
['a', [14951, 14952]]
['a', [14953, 14954]]
['a', [14961, 14962]]
['a', [14969, 14970]]
['a', [14976, 14977]]
['a', [14998, 14999]]
['a', [15005, 15006]]
['a', [15029, 15030]]
['a', [15034, 15035]]
['a', [15068, 15069]]
['a', [15143, 15144]]
['a', [15153, 15154]]
['a', [15163, 15164]]
['a', [15180, 15181]]
['a', [15182, 15183]]
['a', [15207, 15208]]
['a', [15215, 15216]]
['a', [15218, 15219]]
['a', [15220, 15221]]
['a', [15261, 15262]]
['a', [15277, 15278]]
['a', [15309, 15310]]
['a', [15314, 15315]]
['a', [15326, 15327]]
['a', [15330, 15331]]
['a', [15338, 15339]]
['a', [15344, 15345]]
['a', [15366, 15367]]
['a', [15370, 15371]]
['a', [15393, 15394]]
['a', [15404, 15405]]
['a', [15410, 15411]]
['a', [15424, 15425]]
['a', [15426, 15427]]
['a', [15437, 15438]]
['a', [15442, 15443]]
['a', [15454, 15455]]
['a', [15459, 15460]]
['a', [15466, 15467]]
['a', [15484, 15485]]
['a', [15496, 15497]]
['a', [15504, 15505]]
['a', [15509, 15510]]
['a', [15521, 15522]]
['a', [15527, 15528]]
['a', [15539, 15540]]
['a', [15552, 15553]]
['a', [15581, 15582]]
['a', [15584, 15585]]
['a', [15589, 15590]]
['a', [15591, 15592]]
['a', [15601, 15602]]
['a', [15605, 15606]]
['a', [15607, 15608]]
['a', [15616, 15617]]
['a', [15638, 15639]]
['a', [15642, 15643]]
['a', [15652, 15653]]
['a', [15662, 15663]]
['a', [15674, 15675]]
['a', [15682, 15683]]
['a', [15698, 15699]]
['a', [15706, 15707]]
['a', [15708, 15709]]
['a', [15716, 15717]]
['a', [15719, 15720]]
['a', [15726, 15727]]
['a', [15729, 15730]]
['a', [15750, 15751]]
['a', [15773, 15774]]
['a', [15782, 15783]]
['a', [15787, 15788]]
['a', [15789, 15790]]
['a', [15815, 15816]]
['a', [15822, 15823]]
['a', [15842, 15843]]
['a', [15859, 15860]]
['a', [15873, 15874]]
['a', [15878, 15879]]
['a', [15880, 15881]]
['a', [15915, 15916]]
['a', [15920, 15921]]
['a', [15927, 15928]]
['a', [15933, 15934]]
['a', [15938, 15939]]
['a', [15941, 15942]]
