['men', [72912, 72915]]
['men', [73001, 73004]]
['men', [73558, 73561]]
['men', [74181, 74184]]
['men', [75753, 75756]]
['men', [75771, 75774]]
['men', [76389, 76392]]
['men', [77733, 77736]]
['men', [77956, 77959]]
['men', [79075, 79078]]
['men', [80611, 80614]]
['men', [80777, 80780]]
['men', [80907, 80910]]
['men', [80995, 80998]]
['men', [82155, 82158]]
['men', [83029, 83032]]
['men', [84601, 84604]]
['men', [84619, 84622]]
['men', [85237, 85240]]
['men', [86581, 86584]]
['men', [86804, 86807]]
['men', [87923, 87926]]
['men', [89459, 89462]]
['men', [89625, 89628]]
['men', [89755, 89758]]
['men', [89843, 89846]]
['men', [91003, 91006]]
['men', [91594, 91597]]
['men', [91817, 91820]]
['men', [92936, 92939]]
['men', [93777, 93780]]
['men', [94000, 94003]]
['men', [95119, 95122]]
['men', [97229, 97232]]
['men', [97395, 97398]]
['men', [97525, 97528]]
['men', [97613, 97616]]
['men', [98458, 98461]]
['men', [98624, 98627]]
['men', [98754, 98757]]
['men', [98842, 98845]]
['men', [100003, 100006]]
['men', [101035, 101038]]
['men', [101993, 101996]]
['men', [103598, 103601]]
['ftc', [244, 247]]
['ftc', [391, 394]]
['ftc', [943, 946]]
['ftc', [992, 995]]
['ftc', [3157, 3160]]
['ftc', [3324, 3327]]
['ftc', [3396, 3399]]
['ftc', [4427, 4430]]
['ftc', [4614, 4617]]
['ftc', [4857, 4860]]
['ftc', [7630, 7633]]
['ftc', [7725, 7728]]
['ftc', [8809, 8812]]
['ftc', [10907, 10910]]
['ftc', [11074, 11077]]
['ftc', [11146, 11149]]
['ftc', [12177, 12180]]
['ftc', [12364, 12367]]
['ftc', [12607, 12610]]
['ftc', [15381, 15384]]
['ftc', [15476, 15479]]
['ftc', [16561, 16564]]
['ftc', [16834, 16837]]
['ftc', [17388, 17391]]
['ftc', [17437, 17440]]
['ftc', [17959, 17962]]
['ftc', [21167, 21170]]
['ftc', [21270, 21273]]
['ftc', [26832, 26835]]
['ftc', [30042, 30045]]
['ftc', [30145, 30148]]
['ftc', [36039, 36042]]
['ftc', [36142, 36145]]
['ftc', [38067, 38070]]
['ftc', [38170, 38173]]
['ftc', [46528, 46531]]
['ftc', [53360, 53363]]
['ftc', [60184, 60187]]
['ftc', [60823, 60826]]
['ftc', [73867, 73870]]
['ftc', [77626, 77629]]
['ftc', [78765, 78768]]
['ftc', [79748, 79751]]
['ftc', [79847, 79850]]
['ftc', [80136, 80139]]
['ftc', [80233, 80236]]
['ftc', [81387, 81390]]
['ftc', [81790, 81793]]
['ftc', [82474, 82477]]
['ftc', [82715, 82718]]
['ftc', [86474, 86477]]
['ftc', [87613, 87616]]
['ftc', [88596, 88599]]
['ftc', [88695, 88698]]
['ftc', [88984, 88987]]
['ftc', [89081, 89084]]
['ftc', [90235, 90238]]
['ftc', [90638, 90641]]
['ftc', [91322, 91325]]
['ftc', [91487, 91490]]
['ftc', [92626, 92629]]
['ftc', [93670, 93673]]
['ftc', [94809, 94812]]
['ftc', [95793, 95796]]
['ftc', [95892, 95895]]
['ftc', [96181, 96184]]
['ftc', [96278, 96281]]
['ftc', [96365, 96368]]
['ftc', [96464, 96467]]
['ftc', [96753, 96756]]
['ftc', [96850, 96853]]
['ftc', [98005, 98008]]
['ftc', [99234, 99237]]
['ftc', [99638, 99641]]
['ftc', [100322, 100325]]
['ftc', [100670, 100673]]
['ftc', [101354, 101357]]
['ftc', [102766, 102769]]
['ftc', [102957, 102960]]
['ftc', [104371, 104374]]
['ftc', [104562, 104565]]
['susceptibility', [947, 961]]
['susceptibility', [1138, 1152]]
['susceptibility', [5299, 5313]]
['susceptibility', [7861, 7875]]
['susceptibility', [13049, 13063]]
['susceptibility', [15612, 15626]]
['susceptibility', [17392, 17406]]
['susceptibility', [17583, 17597]]
['susceptibility', [20914, 20928]]
['susceptibility', [23968, 23982]]
['susceptibility', [24139, 24153]]
['susceptibility', [24207, 24221]]
['susceptibility', [24259, 24273]]
['susceptibility', [29789, 29803]]
['susceptibility', [32843, 32857]]
['susceptibility', [33014, 33028]]
['susceptibility', [33082, 33096]]
['susceptibility', [33134, 33148]]
['susceptibility', [35786, 35800]]
['susceptibility', [37814, 37828]]
['susceptibility', [42598, 42612]]
['susceptibility', [42769, 42783]]
['susceptibility', [42837, 42851]]
['susceptibility', [42889, 42903]]
['susceptibility', [44090, 44104]]
['susceptibility', [44142, 44156]]
['susceptibility', [51583, 51597]]
['susceptibility', [58415, 58429]]
['susceptibility', [67998, 68012]]
['susceptibility', [72067, 72081]]
['susceptibility', [78786, 78800]]
['susceptibility', [87634, 87648]]
['susceptibility', [92647, 92661]]
['susceptibility', [94830, 94844]]
['susceptibility', [101653, 101667]]
['susceptibility', [102961, 102975]]
['susceptibility', [103258, 103272]]
['susceptibility', [104566, 104580]]
['genes', [962, 967]]
['genes', [2594, 2599]]
['genes', [4810, 4815]]
['genes', [10343, 10348]]
['genes', [12560, 12565]]
['genes', [17407, 17412]]
['genes', [101668, 101673]]
['genes', [102976, 102981]]
['genes', [103273, 103278]]
['genes', [104581, 104586]]
['tc', [245, 247]]
['tc', [392, 394]]
['tc', [471, 473]]
['tc', [619, 621]]
['tc', [705, 707]]
['tc', [750, 752]]
['tc', [779, 781]]
['tc', [944, 946]]
['tc', [993, 995]]
['tc', [1054, 1056]]
['tc', [1464, 1466]]
['tc', [2496, 2498]]
['tc', [2612, 2614]]
['tc', [2698, 2700]]
['tc', [3158, 3160]]
['tc', [3325, 3327]]
['tc', [3397, 3399]]
['tc', [3565, 3567]]
['tc', [3852, 3854]]
['tc', [4164, 4166]]
['tc', [4428, 4430]]
['tc', [4539, 4541]]
['tc', [4615, 4617]]
['tc', [4858, 4860]]
['tc', [5749, 5751]]
['tc', [7631, 7633]]
['tc', [7726, 7728]]
['tc', [8810, 8812]]
['tc', [9212, 9214]]
['tc', [10245, 10247]]
['tc', [10361, 10363]]
['tc', [10447, 10449]]
['tc', [10908, 10910]]
['tc', [11075, 11077]]
['tc', [11147, 11149]]
['tc', [11315, 11317]]
