['4', [83934, 83935]]
['4', [83940, 83941]]
['4', [83952, 83953]]
['4', [83953, 83954]]
['4', [83971, 83972]]
['4', [83977, 83978]]
['4', [83978, 83979]]
['4', [83989, 83990]]
['4', [84007, 84008]]
['4', [84028, 84029]]
['4', [84029, 84030]]
['4', [84033, 84034]]
['4', [84038, 84039]]
['4', [84043, 84044]]
['4', [84048, 84049]]
['4', [84049, 84050]]
['4', [84079, 84080]]
['4', [84089, 84090]]
['4', [84094, 84095]]
['4', [84114, 84115]]
['4', [84149, 84150]]
['4', [84179, 84180]]
['4', [84194, 84195]]
['4', [84209, 84210]]
['4', [84219, 84220]]
['4', [84225, 84226]]
['4', [84231, 84232]]
['4', [84237, 84238]]
['4', [84249, 84250]]
['4', [84255, 84256]]
['4', [84261, 84262]]
['4', [84281, 84282]]
['4', [84293, 84294]]
['4', [84299, 84300]]
['4', [84305, 84306]]
['4', [84317, 84318]]
['4', [84336, 84337]]
['4', [84342, 84343]]
['4', [84348, 84349]]
['4', [84354, 84355]]
['4', [84360, 84361]]
['4', [84366, 84367]]
['4', [84372, 84373]]
['4', [84393, 84394]]
['4', [84398, 84399]]
['4', [84399, 84400]]
['4', [84403, 84404]]
['4', [84418, 84419]]
['4', [84459, 84460]]
['4', [84474, 84475]]
['4', [84494, 84495]]
['4', [84584, 84585]]
['4', [84585, 84586]]
['4', [84608, 84609]]
['4', [84683, 84684]]
['4', [84708, 84709]]
['4', [84714, 84715]]
['4', [84720, 84721]]
['4', [84738, 84739]]
['4', [84744, 84745]]
['4', [84774, 84775]]
['4', [84779, 84780]]
['4', [84812, 84813]]
['4', [84823, 84824]]
['4', [84864, 84865]]
['4', [84888, 84889]]
['4', [84910, 84911]]
['4', [84911, 84912]]
['4', [84916, 84917]]
['4', [84922, 84923]]
['4', [84934, 84935]]
['4', [84935, 84936]]
['4', [84940, 84941]]
['4', [84941, 84942]]
['4', [84971, 84972]]
['4', [84977, 84978]]
['4', [84983, 84984]]
['4', [84995, 84996]]
['4', [85049, 85050]]
['4', [85094, 85095]]
['4', [85133, 85134]]
['4', [85294, 85295]]
['4', [85670, 85671]]
['4', [85686, 85687]]
['4', [85719, 85720]]
['4', [85744, 85745]]
['4', [85791, 85792]]
['4', [85832, 85833]]
['4', [85892, 85893]]
['4', [85897, 85898]]
['4', [85902, 85903]]
['4', [85942, 85943]]
['4', [85947, 85948]]
['4', [86006, 86007]]
['4', [86021, 86022]]
['4', [86026, 86027]]
['4', [86031, 86032]]
['4', [86053, 86054]]
['4', [86229, 86230]]
['4', [86361, 86362]]
['4', [86619, 86620]]
['4', [86635, 86636]]
['4', [86669, 86670]]
['4', [86675, 86676]]
['4', [86681, 86682]]
['4', [86687, 86688]]
['4', [86693, 86694]]
['4', [86694, 86695]]
['4', [86699, 86700]]
['4', [86700, 86701]]
['4', [86705, 86706]]
['4', [86711, 86712]]
['4', [86724, 86725]]
['4', [86912, 86913]]
['4', [86918, 86919]]
['4', [86924, 86925]]
['4', [86943, 86944]]
['4', [86948, 86949]]
['4', [86954, 86955]]
['4', [86967, 86968]]
['4', [87000, 87001]]
['4', [87045, 87046]]
['4', [87080, 87081]]
['4', [87105, 87106]]
['4', [89049, 89050]]
['4', [89059, 89060]]
['4', [89201, 89202]]
['4', [89234, 89235]]
['4', [89242, 89243]]
['4', [89268, 89269]]
['4', [89272, 89273]]
['4', [89313, 89314]]
['4', [89315, 89316]]
['4', [89451, 89452]]
['4', [89484, 89485]]
['4', [90335, 90336]]
['4', [90351, 90352]]
['4', [90376, 90377]]
['4', [90382, 90383]]
['4', [90394, 90395]]
['4', [90400, 90401]]
['4', [90412, 90413]]
['4', [90413, 90414]]
['4', [90431, 90432]]
['4', [90437, 90438]]
['4', [90438, 90439]]
['4', [90449, 90450]]
['4', [90467, 90468]]
['4', [90488, 90489]]
['4', [90489, 90490]]
['4', [90493, 90494]]
['4', [90498, 90499]]
['4', [90503, 90504]]
['4', [90508, 90509]]
['4', [90509, 90510]]
['4', [90539, 90540]]
['4', [90549, 90550]]
['4', [90554, 90555]]
['4', [90574, 90575]]
['4', [90609, 90610]]
['4', [90639, 90640]]
['4', [90654, 90655]]
['4', [90669, 90670]]
['4', [90679, 90680]]
['4', [90685, 90686]]
['4', [90691, 90692]]
['4', [90697, 90698]]
['4', [90709, 90710]]
['4', [90715, 90716]]
['4', [90721, 90722]]
['4', [90741, 90742]]
['4', [90753, 90754]]
['4', [90759, 90760]]
['4', [90765, 90766]]
['4', [90777, 90778]]
['4', [90796, 90797]]
['4', [90802, 90803]]
['4', [90808, 90809]]
['4', [90814, 90815]]
['4', [90820, 90821]]
['4', [90826, 90827]]
['4', [90832, 90833]]
['4', [90853, 90854]]
['4', [90858, 90859]]
['4', [90859, 90860]]
['4', [90863, 90864]]
['4', [90878, 90879]]
['4', [90919, 90920]]
['4', [90934, 90935]]
['4', [90954, 90955]]
['4', [91044, 91045]]
['4', [91045, 91046]]
['4', [91068, 91069]]
['4', [91143, 91144]]
['4', [91168, 91169]]
['4', [91174, 91175]]
['4', [91180, 91181]]
['4', [91198, 91199]]
['4', [91204, 91205]]
['4', [91234, 91235]]
['4', [91239, 91240]]
['4', [91272, 91273]]
['4', [91283, 91284]]
['4', [91324, 91325]]
['4', [91348, 91349]]
['4', [91370, 91371]]
['4', [91371, 91372]]
['4', [91376, 91377]]
['4', [91382, 91383]]
['4', [91394, 91395]]
['4', [91395, 91396]]
['4', [91400, 91401]]
['4', [91401, 91402]]
['4', [91431, 91432]]
['4', [91437, 91438]]
['4', [91443, 91444]]
['4', [91455, 91456]]
['4', [91509, 91510]]
['4', [91554, 91555]]
['4', [91593, 91594]]
['4', [91754, 91755]]
['4', [92130, 92131]]
['4', [92146, 92147]]
['4', [92179, 92180]]
['4', [92204, 92205]]
['4', [92251, 92252]]
['4', [92292, 92293]]
['4', [92352, 92353]]
['4', [92357, 92358]]
['4', [92362, 92363]]
['4', [92402, 92403]]
['4', [92407, 92408]]
['4', [92466, 92467]]
['4', [92481, 92482]]
['4', [92486, 92487]]
['4', [92491, 92492]]
['4', [92513, 92514]]
['4', [92689, 92690]]
['4', [92821, 92822]]
['4', [93079, 93080]]
['4', [93095, 93096]]
['4', [93129, 93130]]
['4', [93135, 93136]]
['4', [93141, 93142]]
