['4', [30416, 30417]]
['4', [30799, 30800]]
['4', [31508, 31509]]
['4', [31570, 31571]]
['4', [31602, 31603]]
['4', [31722, 31723]]
['4', [31826, 31827]]
['4', [31867, 31868]]
['4', [32081, 32082]]
['4', [32171, 32172]]
['4', [32172, 32173]]
['4', [32351, 32352]]
['4', [32352, 32353]]
['4', [32485, 32486]]
['4', [32486, 32487]]
['4', [32574, 32575]]
['4', [32689, 32690]]
['4', [32690, 32691]]
['4', [32753, 32754]]
['4', [32754, 32755]]
['4', [33007, 33008]]
['4', [33008, 33009]]
['4', [33254, 33255]]
['4', [33261, 33262]]
['4', [33323, 33324]]
['4', [33328, 33329]]
['4', [33329, 33330]]
['4', [33381, 33382]]
['4', [33643, 33644]]
['4', [33899, 33900]]
['4', [33988, 33989]]
['4', [34545, 34546]]
['4', [34594, 34595]]
['4', [34696, 34697]]
['4', [34697, 34698]]
['4', [34939, 34940]]
['4', [35077, 35078]]
['4', [35384, 35385]]
['4', [35523, 35524]]
['4', [35599, 35600]]
['4', [35833, 35834]]
['4', [35891, 35892]]
['4', [35941, 35942]]
['4', [36025, 36026]]
['4', [36085, 36086]]
['4', [36200, 36201]]
['4', [36329, 36330]]
['4', [36428, 36429]]
['4', [36567, 36568]]
['4', [36585, 36586]]
['4', [36968, 36969]]
['4', [37677, 37678]]
['4', [37739, 37740]]
['4', [37771, 37772]]
['4', [37891, 37892]]
['4', [37995, 37996]]
['4', [38036, 38037]]
['4', [38250, 38251]]
['4', [38340, 38341]]
['4', [38341, 38342]]
['4', [38520, 38521]]
['4', [38521, 38522]]
['4', [38654, 38655]]
['4', [38655, 38656]]
['4', [38743, 38744]]
['4', [38858, 38859]]
['4', [38859, 38860]]
['4', [38922, 38923]]
['4', [38923, 38924]]
['4', [39176, 39177]]
['4', [39177, 39178]]
['4', [39423, 39424]]
['4', [39430, 39431]]
['4', [39492, 39493]]
['4', [39497, 39498]]
['4', [39498, 39499]]
['4', [39550, 39551]]
['4', [39812, 39813]]
['4', [40068, 40069]]
['4', [40157, 40158]]
['4', [40714, 40715]]
['4', [40763, 40764]]
['4', [40865, 40866]]
['4', [40866, 40867]]
['4', [41108, 41109]]
['4', [41246, 41247]]
['4', [41553, 41554]]
['cxcr4', [0, 5]]
['cxcr4', [140, 145]]
['cxcr4', [323, 328]]
['cxcr4', [688, 693]]
['cxcr4', [1002, 1007]]
['cxcr4', [2291, 2296]]
['cxcr4', [2409, 2414]]
['cxcr4', [2640, 2645]]
['cxcr4', [2971, 2976]]
['cxcr4', [3157, 3162]]
['cxcr4', [3641, 3646]]
['cxcr4', [3901, 3906]]
['cxcr4', [4905, 4910]]
['cxcr4', [5125, 5130]]
['cxcr4', [5769, 5774]]
['cxcr4', [6184, 6189]]
['cxcr4', [6581, 6586]]
['cxcr4', [11627, 11632]]
['cxcr4', [12633, 12638]]
['cxcr4', [12853, 12858]]
['cxcr4', [13498, 13503]]
['cxcr4', [13914, 13919]]
['cxcr4', [14311, 14316]]
['cxcr4', [19204, 19209]]
['cxcr4', [19385, 19390]]
['cxcr4', [19507, 19512]]
['cxcr4', [19543, 19548]]
['cxcr4', [19658, 19663]]
['cxcr4', [19798, 19803]]
['cxcr4', [19986, 19991]]
['cxcr4', [20222, 20227]]
['cxcr4', [20395, 20400]]
['cxcr4', [20590, 20595]]
['cxcr4', [20703, 20708]]
['cxcr4', [21717, 21722]]
['cxcr4', [21898, 21903]]
['cxcr4', [22020, 22025]]
['cxcr4', [22056, 22061]]
['cxcr4', [22171, 22176]]
['cxcr4', [22311, 22316]]
['cxcr4', [22499, 22504]]
['cxcr4', [22735, 22740]]
['cxcr4', [22908, 22913]]
['cxcr4', [23103, 23108]]
['cxcr4', [23216, 23221]]
['cxcr4', [24222, 24227]]
['cxcr4', [24403, 24408]]
['cxcr4', [24525, 24530]]
['cxcr4', [24561, 24566]]
['cxcr4', [24676, 24681]]
['cxcr4', [24816, 24821]]
['cxcr4', [24841, 24846]]
['cxcr4', [25022, 25027]]
['cxcr4', [25144, 25149]]
['cxcr4', [25180, 25185]]
['cxcr4', [25295, 25300]]
['cxcr4', [25435, 25440]]
['cxcr4', [25624, 25629]]
['cxcr4', [25860, 25865]]
['cxcr4', [26033, 26038]]
['cxcr4', [26228, 26233]]
['cxcr4', [26341, 26346]]
['cxcr4', [26531, 26536]]
['cxcr4', [26767, 26772]]
['cxcr4', [26940, 26945]]
['cxcr4', [27135, 27140]]
