['exons', [36520, 36525]]
['exons', [36677, 36682]]
['exons', [37599, 37604]]
['exons', [37703, 37708]]
['exons', [37754, 37759]]
['exons', [37988, 37993]]
['exons', [38295, 38300]]
['exons', [38408, 38413]]
['exons', [38650, 38655]]
['exons', [38715, 38720]]
['exons', [38986, 38991]]
['exons', [39295, 39300]]
['exons', [39420, 39425]]
['exons', [39811, 39816]]
['exons', [40082, 40087]]
['exons', [40608, 40613]]
['exons', [41447, 41452]]
['exons', [41498, 41503]]
['exons', [41631, 41636]]
['exons', [42497, 42502]]
['exons', [42548, 42553]]
['exons', [42681, 42686]]
['exons', [43324, 43329]]
['exons', [43481, 43486]]
['exons', [44403, 44408]]
['exons', [44507, 44512]]
['exons', [44558, 44563]]
['exons', [44792, 44797]]
['exons', [45099, 45104]]
['exons', [45148, 45153]]
['exons', [45305, 45310]]
['exons', [46227, 46232]]
['exons', [46331, 46336]]
['exons', [46382, 46387]]
['exons', [46616, 46621]]
['exons', [46923, 46928]]
['exons', [47037, 47042]]
['exons', [47279, 47284]]
['exons', [47344, 47349]]
['exons', [47615, 47620]]
['exons', [47924, 47929]]
['exons', [48049, 48054]]
['exons', [48440, 48445]]
['exons', [48614, 48619]]
['exons', [48856, 48861]]
['exons', [48921, 48926]]
['exons', [49192, 49197]]
['exons', [49501, 49506]]
['exons', [49626, 49631]]
['exons', [50017, 50022]]
['exons', [50289, 50294]]
['exons', [50788, 50793]]
['exons', [51315, 51320]]
['exons', [52122, 52127]]
['exons', [52808, 52813]]
['exons', [53793, 53798]]
['exons', [54066, 54071]]
['exons', [54248, 54253]]
['exons', [54324, 54329]]
['exons', [54851, 54856]]
['exons', [55020, 55025]]
['exons', [55767, 55772]]
['exons', [57768, 57773]]
['exons', [58753, 58758]]
['exons', [59026, 59031]]
['exons', [59208, 59213]]
['exons', [59284, 59289]]
['exons', [59811, 59816]]
['exons', [59980, 59985]]
['exons', [60727, 60732]]
['cdna', [973, 977]]
['cdna', [5161, 5165]]
['cdna', [5197, 5201]]
