['igf', [6715, 6718]]
['igf', [6734, 6737]]
['igf', [6788, 6791]]
['igf', [6827, 6830]]
['igf', [6875, 6878]]
['igf', [6922, 6925]]
['igf', [6945, 6948]]
['igf', [7106, 7109]]
['igf', [7287, 7290]]
['igf', [7310, 7313]]
['igf', [8368, 8371]]
['igf', [8525, 8528]]
['igf', [8633, 8636]]
['igf', [9622, 9625]]
['igf', [13596, 13599]]
['igf', [13703, 13706]]
['igf', [13718, 13721]]
['igf', [13813, 13816]]
['igf', [14834, 14837]]
['igf', [14855, 14858]]
['igf', [15029, 15032]]
['igf', [15145, 15148]]
['igf', [15293, 15296]]
['igf', [15485, 15488]]
['igf', [15527, 15530]]
['igf', [15622, 15625]]
['igf', [15690, 15693]]
['igf', [15716, 15719]]
['igf', [15745, 15748]]
['igf', [15767, 15770]]
['igf', [15786, 15789]]
['igf', [15840, 15843]]
['igf', [15879, 15882]]
['igf', [15927, 15930]]
['igf', [15974, 15977]]
['igf', [15997, 16000]]
['igf', [16158, 16161]]
['igf', [16339, 16342]]
['igf', [16362, 16365]]
['igf', [17420, 17423]]
['igf', [17577, 17580]]
['igf', [17685, 17688]]
['igf', [18674, 18677]]
['igf', [22651, 22654]]
['igf', [22758, 22761]]
['igf', [22773, 22776]]
['igf', [22868, 22871]]
['igf', [23504, 23507]]
['igf', [23595, 23598]]
['igf', [23737, 23740]]
['igf', [23764, 23767]]
['igf', [23822, 23825]]
['igf', [24306, 24309]]
['igf', [24536, 24539]]
['igf', [24867, 24870]]
['igf', [25003, 25006]]
['igf', [25224, 25227]]
['igf', [25413, 25416]]
['igf', [25461, 25464]]
['igf', [25505, 25508]]
['igf', [25560, 25563]]
['igf', [25681, 25684]]
['igf', [25737, 25740]]
['igf', [25889, 25892]]
['igf', [25932, 25935]]
['igf', [26135, 26138]]
['igf', [26244, 26247]]
['igf', [26383, 26386]]
['igf', [26544, 26547]]
['igf', [26631, 26634]]
['igf', [26878, 26881]]
['igf', [26966, 26969]]
['igf', [27107, 27110]]
['igf', [27267, 27270]]
['igf', [27330, 27333]]
['igf', [27487, 27490]]
['igf', [27955, 27958]]
['igf', [28057, 28060]]
['igf', [28114, 28117]]
['igf', [28223, 28226]]
['igf', [28276, 28279]]
['igf', [28449, 28452]]
['igf', [28603, 28606]]
['igf', [28638, 28641]]
['igf', [28864, 28867]]
['igf', [28898, 28901]]
['igf', [28975, 28978]]
['igf', [29030, 29033]]
['igf', [29071, 29074]]
['igf', [29109, 29112]]
