['a', [3421, 3422]]
['a', [3430, 3431]]
['a', [3435, 3436]]
['a', [3443, 3444]]
['a', [3456, 3457]]
['a', [3463, 3464]]
['a', [3472, 3473]]
['a', [3481, 3482]]
['a', [3494, 3495]]
['a', [3497, 3498]]
['a', [3501, 3502]]
['a', [3505, 3506]]
['a', [3511, 3512]]
['a', [3529, 3530]]
['a', [3571, 3572]]
['a', [3588, 3589]]
['a', [3597, 3598]]
['a', [3618, 3619]]
['a', [3625, 3626]]
['a', [3632, 3633]]
['a', [3645, 3646]]
['a', [3686, 3687]]
['a', [3700, 3701]]
['a', [3709, 3710]]
['a', [3718, 3719]]
['a', [3739, 3740]]
['a', [3747, 3748]]
['a', [3763, 3764]]
['a', [3775, 3776]]
['a', [3782, 3783]]
['a', [3790, 3791]]
['a', [3798, 3799]]
['a', [3810, 3811]]
['a', [3818, 3819]]
['a', [3839, 3840]]
['a', [3842, 3843]]
['a', [3865, 3866]]
['a', [3870, 3871]]
['a', [3893, 3894]]
['a', [3933, 3934]]
['a', [3948, 3949]]
['a', [3956, 3957]]
['a', [3967, 3968]]
['a', [3994, 3995]]
['a', [4001, 4002]]
['a', [4005, 4006]]
['a', [4013, 4014]]
['a', [4024, 4025]]
['a', [4036, 4037]]
['a', [4046, 4047]]
['a', [4062, 4063]]
['a', [4073, 4074]]
['a', [4085, 4086]]
['a', [4100, 4101]]
['a', [4116, 4117]]
['a', [4124, 4125]]
['a', [4141, 4142]]
['a', [4151, 4152]]
['a', [4165, 4166]]
['a', [4171, 4172]]
['a', [4179, 4180]]
['a', [4196, 4197]]
['a', [4216, 4217]]
['a', [4231, 4232]]
['a', [4244, 4245]]
['a', [4275, 4276]]
['a', [4285, 4286]]
['a', [4298, 4299]]
['a', [4304, 4305]]
['a', [4329, 4330]]
['a', [4335, 4336]]
['a', [4343, 4344]]
['a', [4365, 4366]]
['a', [4390, 4391]]
['a', [4401, 4402]]
['a', [4419, 4420]]
['a', [4422, 4423]]
['a', [4431, 4432]]
['a', [4436, 4437]]
['a', [4445, 4446]]
['a', [4457, 4458]]
['a', [4470, 4471]]
['a', [4504, 4505]]
['a', [4517, 4518]]
['a', [4532, 4533]]
['a', [4546, 4547]]
['a', [4582, 4583]]
['a', [4593, 4594]]
['a', [4604, 4605]]
['a', [4642, 4643]]
['a', [4650, 4651]]
['a', [4663, 4664]]
['a', [4682, 4683]]
['a', [4698, 4699]]
['a', [4708, 4709]]
['a', [4716, 4717]]
['a', [4733, 4734]]
['a', [4765, 4766]]
['a', [4772, 4773]]
['a', [4797, 4798]]
['a', [4803, 4804]]
['a', [4812, 4813]]
['a', [4853, 4854]]
['a', [4864, 4865]]
['a', [4884, 4885]]
['a', [4889, 4890]]
['a', [4892, 4893]]
['a', [4912, 4913]]
['a', [4928, 4929]]
['a', [4955, 4956]]
['a', [4959, 4960]]
['a', [4967, 4968]]
['a', [4980, 4981]]
['a', [5013, 5014]]
['a', [5028, 5029]]
['a', [5049, 5050]]
['a', [5068, 5069]]
['a', [5083, 5084]]
['a', [5103, 5104]]
['a', [5112, 5113]]
['a', [5162, 5163]]
['a', [5164, 5165]]
['a', [5169, 5170]]
['a', [5179, 5180]]
['a', [5190, 5191]]
['a', [5202, 5203]]
['a', [5216, 5217]]
['a', [5233, 5234]]
['a', [5237, 5238]]
['a', [5244, 5245]]
['a', [5247, 5248]]
['a', [5253, 5254]]
['a', [5262, 5263]]
['a', [5270, 5271]]
['a', [5280, 5281]]
['a', [5291, 5292]]
['a', [5333, 5334]]
['a', [5337, 5338]]
['a', [5347, 5348]]
['a', [5354, 5355]]
['a', [5370, 5371]]
['a', [5383, 5384]]
['a', [5386, 5387]]
['a', [5396, 5397]]
['a', [5432, 5433]]
['a', [5448, 5449]]
['a', [5465, 5466]]
['a', [5471, 5472]]
['a', [5486, 5487]]
['a', [5496, 5497]]
['a', [5501, 5502]]
['a', [5506, 5507]]
['a', [5510, 5511]]
['a', [5525, 5526]]
['a', [5530, 5531]]
['a', [5538, 5539]]
['a', [5575, 5576]]
['a', [5582, 5583]]
['a', [5597, 5598]]
['a', [5610, 5611]]
['a', [5624, 5625]]
['a', [5639, 5640]]
['a', [5644, 5645]]
['a', [5650, 5651]]
['a', [5656, 5657]]
['a', [5670, 5671]]
['a', [5701, 5702]]
['a', [5713, 5714]]
['a', [5725, 5726]]
['a', [5735, 5736]]
['a', [5759, 5760]]
['a', [5781, 5782]]
['a', [5790, 5791]]
['a', [5801, 5802]]
['a', [5804, 5805]]
['a', [5830, 5831]]
['a', [5837, 5838]]
['a', [5846, 5847]]
['a', [5857, 5858]]
['a', [5870, 5871]]
['a', [5885, 5886]]
['a', [5895, 5896]]
['a', [5905, 5906]]
['a', [5917, 5918]]
['a', [5922, 5923]]
['a', [5953, 5954]]
['a', [5992, 5993]]
['a', [6001, 6002]]
['a', [6011, 6012]]
['a', [6017, 6018]]
['a', [6024, 6025]]
['a', [6031, 6032]]
['a', [6063, 6064]]
['a', [6070, 6071]]
['a', [6122, 6123]]
['a', [6136, 6137]]
['a', [6144, 6145]]
['a', [6146, 6147]]
['a', [6152, 6153]]
['a', [6155, 6156]]
['a', [6161, 6162]]
['a', [6181, 6182]]
['a', [6184, 6185]]
['a', [6188, 6189]]
['a', [6199, 6200]]
['a', [6206, 6207]]
['a', [6225, 6226]]
['a', [6235, 6236]]
['a', [6246, 6247]]
['a', [6266, 6267]]
['a', [6280, 6281]]
['a', [6284, 6285]]
['a', [6306, 6307]]
['a', [6313, 6314]]
['a', [6341, 6342]]
['a', [6347, 6348]]
['a', [6354, 6355]]
['a', [6364, 6365]]
['a', [6368, 6369]]
['a', [6389, 6390]]
['a', [6414, 6415]]
['a', [6418, 6419]]
['a', [6427, 6428]]
['a', [6448, 6449]]
['a', [6452, 6453]]
['a', [6461, 6462]]
['a', [6471, 6472]]
['a', [6500, 6501]]
['a', [6508, 6509]]
['a', [6511, 6512]]
['a', [6520, 6521]]
['a', [6526, 6527]]
['a', [6539, 6540]]
['a', [6567, 6568]]
['a', [6588, 6589]]
['a', [6602, 6603]]
['a', [6611, 6612]]
['a', [6623, 6624]]
['a', [6633, 6634]]
['a', [6641, 6642]]
['a', [6663, 6664]]
['a', [6674, 6675]]
['a', [6681, 6682]]
['a', [6688, 6689]]
['a', [6718, 6719]]
['a', [6730, 6731]]
['a', [6735, 6736]]
['a', [6753, 6754]]
['a', [6757, 6758]]
['a', [6761, 6762]]
['a', [6771, 6772]]
['a', [6776, 6777]]
['a', [6783, 6784]]
['a', [6785, 6786]]
['a', [6797, 6798]]
['a', [6799, 6800]]
['a', [6811, 6812]]
['a', [6835, 6836]]
['a', [6844, 6845]]
['a', [6851, 6852]]
['a', [6855, 6856]]
['a', [6867, 6868]]
['a', [6878, 6879]]
['a', [6891, 6892]]
['a', [6906, 6907]]
['a', [6913, 6914]]
['a', [6937, 6938]]
['a', [6958, 6959]]
['a', [6970, 6971]]
['a', [6974, 6975]]
['a', [6983, 6984]]
['a', [7002, 7003]]
['a', [7006, 7007]]
['a', [7015, 7016]]
['a', [7022, 7023]]
['a', [7118, 7119]]
['a', [7129, 7130]]
['a', [7141, 7142]]
['a', [7193, 7194]]
['a', [7203, 7204]]
['a', [7221, 7222]]
['a', [7229, 7230]]
['a', [7243, 7244]]
['a', [7250, 7251]]
['a', [7265, 7266]]
['a', [7272, 7273]]
['a', [7280, 7281]]
['a', [7294, 7295]]
['a', [7299, 7300]]
['a', [7305, 7306]]
['a', [7309, 7310]]
['a', [7334, 7335]]
['a', [7341, 7342]]
['a', [7350, 7351]]
['a', [7360, 7361]]
['a', [7363, 7364]]
['a', [7385, 7386]]
['a', [7390, 7391]]
['a', [7440, 7441]]
['a', [7457, 7458]]
['a', [7464, 7465]]
['a', [7477, 7478]]
['a', [7485, 7486]]
['a', [7503, 7504]]
['a', [7511, 7512]]
['a', [7523, 7524]]
['a', [7530, 7531]]
['a', [7541, 7542]]
['a', [7551, 7552]]
['a', [7571, 7572]]
['a', [7577, 7578]]
['a', [7588, 7589]]
['a', [7614, 7615]]
['a', [7624, 7625]]
['a', [7649, 7650]]
['a', [7651, 7652]]
['a', [7654, 7655]]
['a', [7661, 7662]]
['a', [7700, 7701]]
['a', [7715, 7716]]
['a', [7723, 7724]]
['a', [7731, 7732]]
['a', [7738, 7739]]
['a', [7744, 7745]]
['a', [7761, 7762]]
['a', [7766, 7767]]
['a', [7771, 7772]]
['a', [7787, 7788]]
['a', [7792, 7793]]
['a', [7811, 7812]]
['a', [7837, 7838]]
['a', [7845, 7846]]
['a', [7863, 7864]]
['a', [7867, 7868]]
['a', [7913, 7914]]
['a', [7928, 7929]]
['a', [7942, 7943]]
['a', [7952, 7953]]
['a', [7959, 7960]]
['a', [7986, 7987]]
['a', [7993, 7994]]
['a', [8021, 8022]]
['a', [8029, 8030]]
['a', [8066, 8067]]
['a', [8072, 8073]]
['a', [8086, 8087]]
['a', [8096, 8097]]
['a', [8104, 8105]]
['a', [8109, 8110]]
['a', [8112, 8113]]
['a', [8115, 8116]]
['a', [8124, 8125]]
['a', [8147, 8148]]
['a', [8154, 8155]]
['a', [8174, 8175]]
['a', [8181, 8182]]
['a', [8183, 8184]]
['a', [8185, 8186]]
['a', [8198, 8199]]
['a', [8205, 8206]]
['a', [8217, 8218]]
['a', [8221, 8222]]
['a', [8245, 8246]]
['a', [8265, 8266]]
['a', [8270, 8271]]
['a', [8280, 8281]]
['a', [8297, 8298]]
['a', [8314, 8315]]
['a', [8329, 8330]]
['a', [8345, 8346]]
['a', [8361, 8362]]
