['c2p', [84345, 84348]]
['c2p', [84395, 84398]]
['c2p', [84520, 84523]]
['c2p', [84534, 84537]]
['c2p', [85952, 85955]]
['c2p', [86002, 86005]]
['c2p', [86127, 86130]]
['c2p', [86141, 86144]]
['c2p', [86679, 86682]]
['c2p', [86890, 86893]]
['c2p', [86992, 86995]]
['c2p', [87218, 87221]]
['c2p', [87725, 87728]]
['c2p', [87991, 87994]]
['c2p', [88202, 88205]]
['c2p', [88304, 88307]]
['c2p', [88530, 88533]]
['c2p', [89037, 89040]]
['team', [264, 268]]
['team', [538, 542]]
['team', [900, 904]]
['team', [1197, 1201]]
['team', [1784, 1788]]
['team', [2783, 2787]]
['team', [3506, 3510]]
['team', [5223, 5227]]
['team', [6019, 6023]]
['team', [6105, 6109]]
['team', [6565, 6569]]
['team', [6662, 6666]]
['team', [8766, 8770]]
['team', [9489, 9493]]
['team', [11207, 11211]]
['team', [12003, 12007]]
['team', [12089, 12093]]
['team', [12549, 12553]]
['team', [12646, 12650]]
['team', [13822, 13826]]
['team', [14818, 14822]]
['team', [14960, 14964]]
['team', [15833, 15837]]
['team', [16670, 16674]]
['team', [18285, 18289]]
['team', [19284, 19288]]
['team', [20007, 20011]]
['team', [21724, 21728]]
['team', [22520, 22524]]
['team', [22606, 22610]]
['team', [23066, 23070]]
['team', [23163, 23167]]
['team', [28289, 28293]]
['team', [30248, 30252]]
['team', [32698, 32702]]
['team', [33697, 33701]]
['team', [34693, 34697]]
['team', [34835, 34839]]
['team', [35708, 35712]]
['team', [36545, 36549]]
['team', [38160, 38164]]
['team', [39159, 39163]]
['team', [39882, 39886]]
['team', [41599, 41603]]
['team', [42395, 42399]]
['team', [42481, 42485]]
['team', [42941, 42945]]
['team', [43038, 43042]]
['team', [48164, 48168]]
['team', [50123, 50127]]
['team', [52573, 52577]]
['team', [57523, 57527]]
['team', [59482, 59486]]
['team', [61932, 61936]]
['team', [66882, 66886]]
['team', [68841, 68845]]
['team', [71291, 71295]]
['team', [75393, 75397]]
['team', [77352, 77356]]
['team', [80987, 80991]]
['team', [82946, 82950]]
['team', [87005, 87009]]
['team', [88317, 88321]]
['team', [90010, 90014]]
['team', [91667, 91671]]
['team', [92699, 92703]]
['team', [94463, 94467]]
['team', [95495, 95499]]
['members', [269, 276]]
['members', [348, 355]]
['members', [543, 550]]
['members', [1789, 1796]]
['members', [2788, 2795]]
['members', [3264, 3271]]
['members', [4557, 4564]]
['members', [4716, 4723]]
['members', [5228, 5235]]
['members', [5418, 5425]]
['members', [6048, 6055]]
['members', [6570, 6577]]
['members', [6667, 6674]]
['members', [8771, 8778]]
['members', [9247, 9254]]
['members', [10541, 10548]]
['members', [10700, 10707]]
['members', [11212, 11219]]
['members', [11402, 11409]]
['members', [12032, 12039]]
['members', [12554, 12561]]
['members', [12651, 12658]]
['members', [14374, 14381]]
['members', [14823, 14830]]
['members', [15311, 15318]]
['members', [15970, 15977]]
['members', [16403, 16410]]
['members', [16675, 16682]]
['members', [16736, 16743]]
['members', [18290, 18297]]
['members', [19289, 19296]]
['members', [19765, 19772]]
['members', [21058, 21065]]
['members', [21217, 21224]]
['members', [21729, 21736]]
['members', [21919, 21926]]
['members', [22549, 22556]]
['members', [23071, 23078]]
['members', [23168, 23175]]
['members', [27194, 27201]]
['members', [27375, 27382]]
['members', [28182, 28189]]
['members', [28294, 28301]]
['members', [28945, 28952]]
['members', [30253, 30260]]
['members', [30687, 30694]]
['members', [30777, 30784]]
['members', [30860, 30867]]
['members', [31565, 31572]]
['members', [34249, 34256]]
['members', [34698, 34705]]
['members', [35186, 35193]]
['members', [35845, 35852]]
