['si', [9153, 9155]]
['si', [9726, 9728]]
['si', [9916, 9918]]
['si', [10129, 10131]]
['si', [10166, 10168]]
['si', [10225, 10227]]
['si', [10289, 10291]]
['si', [10309, 10311]]
['si', [10646, 10648]]
['si', [10978, 10980]]
['si', [11155, 11157]]
['si', [11214, 11216]]
['si', [11229, 11231]]
['si', [11837, 11839]]
['si', [12394, 12396]]
['si', [12687, 12689]]
['si', [13154, 13156]]
['si', [13176, 13178]]
['si', [13578, 13580]]
['si', [14501, 14503]]
['si', [14620, 14622]]
['si', [14646, 14648]]
['si', [14658, 14660]]
['si', [14754, 14756]]
['si', [15327, 15329]]
['si', [15517, 15519]]
['si', [15730, 15732]]
['si', [15767, 15769]]
['si', [15826, 15828]]
['si', [15890, 15892]]
['si', [15910, 15912]]
['si', [16247, 16249]]
['si', [17218, 17220]]
['si', [17545, 17547]]
['si', [18320, 18322]]
['si', [18331, 18333]]
['si', [18465, 18467]]
['si', [18563, 18565]]
['si', [18615, 18617]]
['si', [18883, 18885]]
['si', [19090, 19092]]
['si', [19519, 19521]]
['si', [19576, 19578]]
['si', [19646, 19648]]
['si', [19675, 19677]]
['si', [19718, 19720]]
['si', [19929, 19931]]
['si', [19963, 19965]]
['si', [20229, 20231]]
['si', [20318, 20320]]
['si', [20356, 20358]]
['si', [20431, 20433]]
['si', [20527, 20529]]
['si', [20599, 20601]]
['si', [20754, 20756]]
['si', [20922, 20924]]
['si', [21034, 21036]]
['si', [21072, 21074]]
['si', [21146, 21148]]
['si', [21430, 21432]]
['si', [21474, 21476]]
['si', [21700, 21702]]
['si', [21847, 21849]]
['si', [21887, 21889]]
['si', [22887, 22889]]
['si', [22964, 22966]]
['si', [23029, 23031]]
['si', [23108, 23110]]
['si', [23131, 23133]]
['si', [23143, 23145]]
['si', [23224, 23226]]
['si', [23328, 23330]]
['si', [23379, 23381]]
['si', [23403, 23405]]
['si', [23495, 23497]]
['si', [23610, 23612]]
['si', [23999, 24001]]
['si', [24113, 24115]]
['si', [24158, 24160]]
['si', [24240, 24242]]
['si', [24305, 24307]]
['si', [24853, 24855]]
['si', [24870, 24872]]
['si', [25181, 25183]]
['si', [25287, 25289]]
['si', [25515, 25517]]
['si', [25532, 25534]]
['si', [25623, 25625]]
['si', [25774, 25776]]
['si', [26277, 26279]]
['si', [26614, 26616]]
['si', [26738, 26740]]
['si', [26745, 26747]]
['si', [26875, 26877]]
['si', [26899, 26901]]
['si', [26974, 26976]]
['si', [27890, 27892]]
['si', [28217, 28219]]
['si', [28992, 28994]]
['si', [29003, 29005]]
['si', [29137, 29139]]
['si', [29235, 29237]]
['si', [29287, 29289]]
['si', [29555, 29557]]
['si', [29762, 29764]]
['si', [30191, 30193]]
['si', [30248, 30250]]
['si', [30318, 30320]]
['si', [30347, 30349]]
['si', [30390, 30392]]
['si', [30601, 30603]]
['si', [30635, 30637]]
['si', [30901, 30903]]
['si', [30990, 30992]]
['si', [31028, 31030]]
['si', [31103, 31105]]
['si', [31199, 31201]]
['si', [31271, 31273]]
['si', [31426, 31428]]
['si', [31594, 31596]]
['si', [31706, 31708]]
['si', [31744, 31746]]
['si', [31818, 31820]]
['si', [32102, 32104]]
['si', [32146, 32148]]
['si', [32372, 32374]]
['si', [32519, 32521]]
['si', [32559, 32561]]
['si', [33559, 33561]]
['si', [33636, 33638]]
['si', [33701, 33703]]
['si', [33780, 33782]]
['si', [33803, 33805]]
['si', [33815, 33817]]
['si', [33896, 33898]]
['si', [34000, 34002]]
['si', [34051, 34053]]
['si', [34075, 34077]]
['si', [34167, 34169]]
['si', [34282, 34284]]
['si', [34671, 34673]]
['si', [34785, 34787]]
['si', [34830, 34832]]
['si', [34912, 34914]]
['si', [34977, 34979]]
['si', [35525, 35527]]
['si', [35542, 35544]]
['si', [35853, 35855]]
['si', [35959, 35961]]
['si', [36187, 36189]]
['si', [36204, 36206]]
['si', [36295, 36297]]
['si', [36446, 36448]]
['si', [36949, 36951]]
['si', [37286, 37288]]
['si', [37410, 37412]]
['si', [37417, 37419]]
['si', [37547, 37549]]
['si', [37571, 37573]]
['si', [37646, 37648]]
['si', [38536, 38538]]
['si', [39665, 39667]]
['si', [39993, 39995]]
['si', [40768, 40770]]
['si', [40779, 40781]]
['si', [40913, 40915]]
['si', [41011, 41013]]
['si', [41063, 41065]]
['si', [41331, 41333]]
['si', [41538, 41540]]
['si', [41967, 41969]]
['si', [42024, 42026]]
['si', [42094, 42096]]
['si', [42123, 42125]]
['si', [42166, 42168]]
['si', [42377, 42379]]
['si', [42411, 42413]]
['si', [42677, 42679]]
['si', [42766, 42768]]
['si', [42804, 42806]]
['si', [42879, 42881]]
['si', [42975, 42977]]
['si', [43047, 43049]]
['si', [43202, 43204]]
['si', [43370, 43372]]
['si', [43482, 43484]]
['si', [43520, 43522]]
['si', [43594, 43596]]
['si', [43878, 43880]]
['si', [43922, 43924]]
['si', [44148, 44150]]
['si', [44295, 44297]]
['si', [44335, 44337]]
['si', [45335, 45337]]
['si', [45412, 45414]]
['si', [45477, 45479]]
['si', [45556, 45558]]
['si', [45579, 45581]]
['si', [45591, 45593]]
['si', [45672, 45674]]
['si', [45776, 45778]]
['si', [45827, 45829]]
['si', [45851, 45853]]
['si', [45943, 45945]]
['si', [46058, 46060]]
['si', [46447, 46449]]
['si', [46561, 46563]]
['si', [46606, 46608]]
['si', [46688, 46690]]
['si', [46753, 46755]]
['si', [47301, 47303]]
