['\xe2\x80\x93', [42405, 42408]]
['\xe2\x80\x93', [42540, 42543]]
['\xe2\x80\x93', [44324, 44327]]
['\xe2\x80\x93', [44459, 44462]]
['\xe2\x80\x93', [55681, 55684]]
['\xe2\x80\x93', [55693, 55696]]
['\xe2\x80\x93', [56083, 56086]]
['\xe2\x80\x93', [56687, 56690]]
['\xe2\x80\x93', [66228, 66231]]
['\xe2\x80\x93', [66240, 66243]]
['\xe2\x80\x93', [66630, 66633]]
['\xe2\x80\x93', [67234, 67237]]
['43', [6326, 6328]]
['43', [6737, 6739]]
['43', [16150, 16152]]
['43', [16561, 16563]]
['43', [20920, 20922]]
['43', [21331, 21333]]
['43', [23825, 23827]]
['43', [24236, 24238]]
['family', [11, 17]]
['family', [180, 186]]
['family', [641, 647]]
['family', [696, 702]]
['family', [1280, 1286]]
['family', [1575, 1581]]
['family', [2432, 2438]]
['family', [2705, 2711]]
['family', [3519, 3525]]
['family', [4123, 4129]]
['family', [4151, 4157]]
['family', [4294, 4300]]
['family', [4368, 4374]]
['family', [4583, 4589]]
['family', [4688, 4694]]
['family', [5497, 5503]]
['family', [5518, 5524]]
['family', [6740, 6746]]
['family', [6791, 6797]]
['family', [7091, 7097]]
['family', [7130, 7136]]
['family', [7209, 7215]]
['family', [7288, 7294]]
['family', [7344, 7350]]
['family', [7483, 7489]]
['family', [8618, 8624]]
['family', [8636, 8642]]
['family', [8658, 8664]]
['family', [10614, 10620]]
['family', [12254, 12260]]
['family', [12527, 12533]]
['family', [13342, 13348]]
['family', [13946, 13952]]
['family', [13974, 13980]]
['family', [14118, 14124]]
['family', [14192, 14198]]
['family', [14407, 14413]]
['family', [14512, 14518]]
['family', [15321, 15327]]
['family', [15342, 15348]]
['family', [16564, 16570]]
['family', [16615, 16621]]
['family', [16915, 16921]]
['family', [16954, 16960]]
['family', [17033, 17039]]
['family', [17112, 17118]]
['family', [17168, 17174]]
['family', [17307, 17313]]
['family', [18442, 18448]]
['family', [18460, 18466]]
['family', [18482, 18488]]
['family', [18887, 18893]]
['family', [18961, 18967]]
['family', [19176, 19182]]
['family', [19281, 19287]]
['family', [20091, 20097]]
['family', [20112, 20118]]
['family', [21334, 21340]]
['family', [21385, 21391]]
['family', [21685, 21691]]
['family', [21724, 21730]]
['family', [21803, 21809]]
['family', [21882, 21888]]
['family', [21938, 21944]]
['family', [22077, 22083]]
['family', [22995, 23001]]
['family', [23016, 23022]]
['family', [24240, 24246]]
['family', [24291, 24297]]
['family', [24592, 24598]]
['family', [24631, 24637]]
['family', [24710, 24716]]
['family', [24789, 24795]]
['family', [24845, 24851]]
['family', [24984, 24990]]
['family', [26120, 26126]]
['family', [26138, 26144]]
['family', [26160, 26166]]
['family', [28117, 28123]]
['family', [29662, 29668]]
['family', [30652, 30658]]
['family', [30831, 30837]]
['family', [31033, 31039]]
['family', [31051, 31057]]
['family', [31936, 31942]]
['family', [32037, 32043]]
['family', [32787, 32793]]
['family', [33715, 33721]]
['family', [34512, 34518]]
['family', [35925, 35931]]
['family', [36915, 36921]]
['family', [37094, 37100]]
['family', [37296, 37302]]
['family', [37314, 37320]]
['family', [38199, 38205]]
['family', [38300, 38306]]
['family', [39050, 39056]]
['family', [39978, 39984]]
['family', [40775, 40781]]
['family', [42180, 42186]]
['family', [43170, 43176]]
['family', [43349, 43355]]
['family', [43551, 43557]]
['family', [43569, 43575]]
['family', [44099, 44105]]
['family', [45089, 45095]]
['family', [45268, 45274]]
['family', [45470, 45476]]
['family', [45488, 45494]]
['family', [46374, 46380]]
['family', [46475, 46481]]
['family', [47204, 47210]]
['family', [47305, 47311]]
['family', [48056, 48062]]
['family', [48984, 48990]]
['family', [49781, 49787]]
['family', [50959, 50965]]
['family', [51887, 51893]]
['family', [52684, 52690]]
['family', [54727, 54733]]
['family', [55662, 55668]]
['family', [55828, 55834]]
['family', [55977, 55983]]
['family', [56242, 56248]]
['family', [56400, 56406]]
['family', [58184, 58190]]
['family', [58256, 58262]]
['family', [58522, 58528]]
['family', [59357, 59363]]
['family', [59466, 59472]]
['family', [59538, 59544]]
['family', [59783, 59789]]
['family', [60063, 60069]]
['family', [62669, 62675]]
['family', [63062, 63068]]
['family', [63571, 63577]]
['family', [63637, 63643]]
['family', [63851, 63857]]
['family', [64206, 64212]]
['family', [64243, 64249]]
['family', [64410, 64416]]
['family', [64878, 64884]]
['family', [65274, 65280]]
['family', [66209, 66215]]
['family', [66375, 66381]]
['family', [66524, 66530]]
['family', [66789, 66795]]
['family', [66947, 66953]]
['family', [68731, 68737]]
['family', [68803, 68809]]
['family', [69069, 69075]]
['family', [69904, 69910]]
['family', [70013, 70019]]
['family', [70085, 70091]]
['family', [70330, 70336]]
['family', [70610, 70616]]
['family', [73216, 73222]]
['family', [73609, 73615]]
['family', [74118, 74124]]
['family', [74184, 74190]]
['family', [74398, 74404]]
['family', [74753, 74759]]
['family', [74790, 74796]]
['family', [74957, 74963]]
['family', [75425, 75431]]
['family', [75860, 75866]]
['family', [75926, 75932]]
['family', [76140, 76146]]
['family', [76495, 76501]]
['family', [76532, 76538]]
['family', [76699, 76705]]
['family', [77167, 77173]]
['family', [77602, 77608]]
['family', [77668, 77674]]
['family', [77882, 77888]]
['family', [78237, 78243]]
['family', [78274, 78280]]
['family', [78441, 78447]]
['family', [78909, 78915]]
['stressors', [481, 490]]
['stressors', [4130, 4139]]
['stressors', [5576, 5585]]
['stressors', [5713, 5722]]
['stressors', [5798, 5807]]
['stressors', [6747, 6756]]
['stressors', [6798, 6807]]
['stressors', [6913, 6922]]
['stressors', [6929, 6938]]
['stressors', [6971, 6980]]
['stressors', [7017, 7026]]
['stressors', [7055, 7064]]
['stressors', [8625, 8634]]
['stressors', [13953, 13962]]
['stressors', [15400, 15409]]
['stressors', [15537, 15546]]
['stressors', [15622, 15631]]
['stressors', [16571, 16580]]
['stressors', [16622, 16631]]
['stressors', [16737, 16746]]
['stressors', [16753, 16762]]
['stressors', [16795, 16804]]
['stressors', [16841, 16850]]
['stressors', [16879, 16888]]
['stressors', [18449, 18458]]
['stressors', [20170, 20179]]
['stressors', [20307, 20316]]
['stressors', [20392, 20401]]
['stressors', [21341, 21350]]
['stressors', [21392, 21401]]
['stressors', [21507, 21516]]
['stressors', [21523, 21532]]
['stressors', [21565, 21574]]
['stressors', [21611, 21620]]
['stressors', [21649, 21658]]
['stressors', [23074, 23083]]
['stressors', [23211, 23220]]
['stressors', [23296, 23305]]
['stressors', [24247, 24256]]
['stressors', [24298, 24307]]
['stressors', [24413, 24422]]
['stressors', [24429, 24438]]
['stressors', [24471, 24480]]
['stressors', [24517, 24526]]
['stressors', [24555, 24564]]
['stressors', [26127, 26136]]
['stressors', [31040, 31049]]
['stressors', [37303, 37312]]
['stressors', [43558, 43567]]
['stressors', [45477, 45486]]
['stressors', [58191, 58200]]
['stressors', [68738, 68747]]
['spouse\\/partner', [6956, 6971]]
['spouse\\/partner', [6982, 6997]]
['spouse\\/partner', [16780, 16795]]
['spouse\\/partner', [16806, 16821]]
['spouse\\/partner', [21550, 21565]]
['spouse\\/partner', [21576, 21591]]
['spouse\\/partner', [24456, 24471]]
['spouse\\/partner', [24482, 24497]]
['friend', [4594, 4600]]
['friend', [7048, 7054]]
['friend', [7070, 7076]]
['friend', [14418, 14424]]
['friend', [16872, 16878]]
['friend', [16894, 16900]]
['friend', [19187, 19193]]
['friend', [21642, 21648]]
['friend', [21664, 21670]]
['friend', [24548, 24554]]
['friend', [24570, 24576]]
['friend', [56407, 56413]]
['friend', [58310, 58316]]
['friend', [66954, 66960]]
['friend', [68857, 68863]]
['resources\\.', [7077, 7088]]
['resources\\.', [16901, 16912]]
['resources\\.', [21671, 21682]]
['resources\\.', [24577, 24588]]
['39', [5724, 5726]]
['39', [6099, 6101]]
['39', [7088, 7090]]
['39', [15548, 15550]]
['39', [15923, 15925]]
['39', [16912, 16914]]
['39', [20318, 20320]]
['39', [20693, 20695]]
['39', [21682, 21684]]
['39', [23222, 23224]]
['39', [23597, 23599]]
['39', [24588, 24590]]
['39', [29628, 29630]]
['39', [35891, 35893]]
['39', [42146, 42148]]
['39', [44065, 44067]]
['mcmaster', [632, 640]]
['mcmaster', [7200, 7208]]
['mcmaster', [17024, 17032]]
['mcmaster', [21794, 21802]]
['mcmaster', [24701, 24709]]
['table', [6698, 6703]]
['table', [7928, 7933]]
['table', [10511, 10516]]
['table', [11402, 11407]]
['table', [16522, 16527]]
['table', [17752, 17757]]
['table', [21292, 21297]]
['table', [24197, 24202]]
['table', [25430, 25435]]
['table', [28014, 28019]]
['table', [28905, 28910]]
['table', [29468, 29473]]
['table', [30220, 30225]]
['table', [31161, 31166]]
['table', [31472, 31477]]
['table', [32208, 32213]]
['table', [33166, 33171]]
['table', [35136, 35141]]
['table', [35731, 35736]]
['table', [36483, 36488]]
['table', [37424, 37429]]
['table', [37735, 37740]]
['table', [38471, 38476]]
['table', [39429, 39434]]
['table', [41399, 41404]]
['table', [41986, 41991]]
['table', [42738, 42743]]
['table', [43679, 43684]]
['table', [43905, 43910]]
['table', [44657, 44662]]
['table', [45598, 45603]]
['table', [45910, 45915]]
['table', [46740, 46745]]
['table', [47477, 47482]]
['table', [48435, 48440]]
['table', [50380, 50385]]
['table', [51338, 51343]]
['table', [53309, 53314]]
['table', [53915, 53920]]
['table', [57316, 57321]]
['table', [67863, 67868]]
['1', [867, 868]]
['1', [2032, 2033]]
['1', [2087, 2088]]
['1', [2265, 2266]]
['1', [2314, 2315]]
['1', [2369, 2370]]
['1', [2476, 2477]]
['1', [2546, 2547]]
['1', [2589, 2590]]
['1', [3309, 3310]]
['1', [4436, 4437]]
['1', [4501, 4502]]
['1', [4772, 4773]]
['1', [4773, 4774]]
['1', [4777, 4778]]
['1', [4782, 4783]]
['1', [6015, 6016]]
['1', [6025, 6026]]
['1', [6235, 6236]]
['1', [6731, 6732]]
['1', [7900, 7901]]
['1', [7934, 7935]]
['1', [10812, 10813]]
['1', [11490, 11491]]
['1', [11854, 11855]]
['1', [11909, 11910]]
['1', [12087, 12088]]
['1', [12136, 12137]]
['1', [12191, 12192]]
['1', [12298, 12299]]
['1', [12368, 12369]]
['1', [12411, 12412]]
['1', [13132, 13133]]
['1', [14260, 14261]]
['1', [14325, 14326]]
['1', [14596, 14597]]
['1', [14597, 14598]]
['1', [14601, 14602]]
['1', [14606, 14607]]
['1', [15839, 15840]]
['1', [15849, 15850]]
['1', [16059, 16060]]
['1', [16555, 16556]]
['1', [17724, 17725]]
['1', [17758, 17759]]
['1', [19029, 19030]]
['1', [19094, 19095]]
['1', [19365, 19366]]
['1', [19366, 19367]]
['1', [19370, 19371]]
['1', [19375, 19376]]
['1', [20609, 20610]]
['1', [20619, 20620]]
['1', [20829, 20830]]
['1', [21325, 21326]]
['1', [23513, 23514]]
['1', [23523, 23524]]
['1', [23734, 23735]]
['1', [24230, 24231]]
['1', [25402, 25403]]
['1', [25436, 25437]]
['1', [28315, 28316]]
['1', [28993, 28994]]
['1', [29474, 29475]]
['1', [29623, 29624]]
['1', [29693, 29694]]
['1', [29696, 29697]]
['1', [29718, 29719]]
['1', [29721, 29722]]
['1', [29758, 29759]]
['1', [29935, 29936]]
['1', [29987, 29988]]
['1', [30045, 30046]]
['1', [30048, 30049]]
['1', [30065, 30066]]
['1', [30092, 30093]]
