['oncogenic', [71517, 71526]]
['cell', [7, 11]]
['cell', [400, 404]]
['cell', [1026, 1030]]
['cell', [1040, 1044]]
['cell', [1159, 1163]]
['cell', [1420, 1424]]
['cell', [1702, 1706]]
['cell', [1881, 1885]]
['cell', [2071, 2075]]
['cell', [2348, 2352]]
['cell', [2655, 2659]]
['cell', [2902, 2906]]
['cell', [2957, 2961]]
['cell', [3593, 3597]]
['cell', [3741, 3745]]
['cell', [3985, 3989]]
['cell', [5352, 5356]]
['cell', [5941, 5945]]
['cell', [6025, 6029]]
['cell', [6156, 6160]]
['cell', [6457, 6461]]
['cell', [6480, 6484]]
['cell', [6616, 6620]]
['cell', [6816, 6820]]
['cell', [7584, 7588]]
['cell', [8101, 8105]]
['cell', [9088, 9092]]
['cell', [9237, 9241]]
['cell', [9288, 9292]]
['cell', [9317, 9321]]
['cell', [9402, 9406]]
['cell', [9430, 9434]]
['cell', [10054, 10058]]
['cell', [10329, 10333]]
['cell', [10575, 10579]]
['cell', [10791, 10795]]
['cell', [11559, 11563]]
['cell', [11765, 11769]]
['cell', [11971, 11975]]
['cell', [12026, 12030]]
['cell', [12092, 12096]]
['cell', [12160, 12164]]
['cell', [12277, 12281]]
['cell', [12478, 12482]]
['cell', [12609, 12613]]
['cell', [12790, 12794]]
['cell', [12893, 12897]]
['cell', [12992, 12996]]
['cell', [14032, 14036]]
['cell', [14132, 14136]]
['cell', [14205, 14209]]
['cell', [14261, 14265]]
['cell', [15037, 15041]]
['cell', [16021, 16025]]
['cell', [16538, 16542]]
['cell', [17527, 17531]]
['cell', [17676, 17680]]
['cell', [17727, 17731]]
['cell', [17756, 17760]]
['cell', [17841, 17845]]
['cell', [17869, 17873]]
['cell', [18493, 18497]]
['cell', [18769, 18773]]
['cell', [19015, 19019]]
['cell', [19231, 19235]]
['cell', [19999, 20003]]
['cell', [20205, 20209]]
['cell', [20411, 20415]]
['cell', [20466, 20470]]
['cell', [20532, 20536]]
['cell', [20600, 20604]]
['cell', [20717, 20721]]
['cell', [20918, 20922]]
['cell', [21049, 21053]]
['cell', [21230, 21234]]
['cell', [21333, 21337]]
['cell', [21432, 21436]]
['cell', [22473, 22477]]
['cell', [22573, 22577]]
['cell', [22646, 22650]]
['cell', [22702, 22706]]
['cell', [23478, 23482]]
['cell', [24107, 24111]]
['cell', [24453, 24457]]
['cell', [24586, 24590]]
['cell', [24792, 24796]]
['cell', [27007, 27011]]
['cell', [27384, 27388]]
['cell', [27785, 27789]]
['cell', [27913, 27917]]
['cell', [28060, 28064]]
['cell', [28150, 28154]]
['cell', [28906, 28910]]
['cell', [29414, 29418]]
['cell', [29539, 29543]]
['cell', [29693, 29697]]
['cell', [29884, 29888]]
['cell', [32889, 32893]]
['cell', [33972, 33976]]
['cell', [34152, 34156]]
['cell', [34231, 34235]]
['cell', [34546, 34550]]
['cell', [34674, 34678]]
['cell', [34821, 34825]]
['cell', [34911, 34915]]
['cell', [35667, 35671]]
['cell', [36175, 36179]]
['cell', [36300, 36304]]
['cell', [36454, 36458]]
['cell', [36645, 36649]]
['cell', [39650, 39654]]
['cell', [40733, 40737]]
['cell', [40913, 40917]]
['cell', [40992, 40996]]
['cell', [41299, 41303]]
['cell', [41427, 41431]]
['cell', [41574, 41578]]
['cell', [41664, 41668]]
['cell', [42420, 42424]]
['cell', [42755, 42759]]
['cell', [42883, 42887]]
['cell', [43030, 43034]]
['cell', [43120, 43124]]
['cell', [43876, 43880]]
['cell', [44817, 44821]]
['cell', [44942, 44946]]
['cell', [45096, 45100]]
['cell', [45287, 45291]]
['cell', [45577, 45581]]
['cell', [45702, 45706]]
['cell', [45856, 45860]]
['cell', [46047, 46051]]
['cell', [51132, 51136]]
['cell', [52004, 52008]]
['cell', [53088, 53092]]
['cell', [53268, 53272]]
['cell', [53347, 53351]]
['cell', [54249, 54253]]
['cell', [54429, 54433]]
['cell', [54508, 54512]]
['cell', [54764, 54768]]
['cell', [55170, 55174]]
['cell', [55721, 55725]]
['cell', [56126, 56130]]
['cell', [56441, 56445]]
['cell', [56712, 56716]]
['cell', [57698, 57702]]
['cell', [57830, 57834]]
['cell', [59904, 59908]]
['cell', [59967, 59971]]
['cell', [61673, 61677]]
['cell', [61994, 61998]]
['cell', [62601, 62605]]
['cell', [62709, 62713]]
['cell', [63720, 63724]]
['cell', [63899, 63903]]
['cell', [64268, 64272]]
['cell', [64674, 64678]]
['cell', [65225, 65229]]
['cell', [65630, 65634]]
['cell', [65945, 65949]]
['cell', [66216, 66220]]
['cell', [67202, 67206]]
['cell', [67334, 67338]]
['cell', [69408, 69412]]
['cell', [69471, 69475]]
['cell', [71177, 71181]]
['cell', [71498, 71502]]
['cell', [72105, 72109]]
['cell', [72213, 72217]]
['cell', [73224, 73228]]
['cell', [73403, 73407]]
['cancer', [1413, 1419]]
['cancer', [6054, 6060]]
['cells', [1420, 1425]]
['cells', [1702, 1707]]
['cells', [1881, 1886]]
['cells', [2655, 2660]]
['cells', [2957, 2962]]
['cells', [6025, 6030]]
['cells', [6156, 6161]]
['cells', [6816, 6821]]
['cells', [8101, 8106]]
['cells', [9088, 9093]]
['cells', [9237, 9242]]
['cells', [9288, 9293]]
['cells', [10054, 10059]]
['cells', [10791, 10796]]
['cells', [11971, 11976]]
['cells', [12092, 12097]]
['cells', [12277, 12282]]
['cells', [12478, 12483]]
['cells', [12609, 12614]]
['cells', [12790, 12795]]
['cells', [12893, 12898]]
['cells', [12992, 12997]]
['cells', [14032, 14037]]
['cells', [14132, 14137]]
['cells', [14205, 14210]]
['cells', [14261, 14266]]
['cells', [15037, 15042]]
['cells', [16538, 16543]]
['cells', [17527, 17532]]
['cells', [17676, 17681]]
['cells', [17727, 17732]]
['cells', [18493, 18498]]
['cells', [19231, 19236]]
['cells', [20411, 20416]]
['cells', [20532, 20537]]
['cells', [20717, 20722]]
['cells', [20918, 20923]]
['cells', [21049, 21054]]
['cells', [21230, 21235]]
['cells', [21333, 21338]]
['cells', [21432, 21437]]
['cells', [22473, 22478]]
['cells', [22573, 22578]]
['cells', [22646, 22651]]
['cells', [22702, 22707]]
['cells', [23478, 23483]]
['cells', [24107, 24112]]
['cells', [24453, 24458]]
['cells', [24586, 24591]]
['cells', [24792, 24797]]
['cells', [27007, 27012]]
['cells', [27384, 27389]]
['cells', [27785, 27790]]
['cells', [27913, 27918]]
['cells', [28150, 28155]]
['cells', [28906, 28911]]
['cells', [29414, 29419]]
['cells', [29539, 29544]]
['cells', [29693, 29698]]
['cells', [29884, 29889]]
['cells', [33972, 33977]]
['cells', [34152, 34157]]
['cells', [34231, 34236]]
['cells', [34546, 34551]]
['cells', [34674, 34679]]
['cells', [34911, 34916]]
['cells', [35667, 35672]]
['cells', [36175, 36180]]
['cells', [36300, 36305]]
['cells', [36454, 36459]]
['cells', [36645, 36650]]
['cells', [40733, 40738]]
['cells', [40913, 40918]]
['cells', [40992, 40997]]
['cells', [41299, 41304]]
['cells', [41427, 41432]]
['cells', [41664, 41669]]
['cells', [42420, 42425]]
['cells', [42755, 42760]]
['cells', [42883, 42888]]
['cells', [43120, 43125]]
['cells', [43876, 43881]]
['cells', [44817, 44822]]
['cells', [44942, 44947]]
['cells', [45096, 45101]]
['cells', [45287, 45292]]
['cells', [45577, 45582]]
['cells', [45702, 45707]]
['cells', [45856, 45861]]
['cells', [46047, 46052]]
['cells', [53088, 53093]]
['cells', [53268, 53273]]
['cells', [53347, 53352]]
['cells', [54249, 54254]]
['cells', [54429, 54434]]
['cells', [54508, 54513]]
['cells', [55170, 55175]]
['cells', [55721, 55726]]
['cells', [56126, 56131]]
['cells', [56441, 56446]]
['cells', [56712, 56717]]
['cells', [61673, 61678]]
['cells', [61994, 61999]]
['cells', [64674, 64679]]
['cells', [65225, 65230]]
['cells', [65630, 65635]]
['cells', [65945, 65950]]
['cells', [66216, 66221]]
['cells', [71177, 71182]]
['cells', [71498, 71503]]
['immature', [1853, 1861]]
['and', [106, 109]]
['and', [157, 160]]
['and', [410, 413]]
['and', [901, 904]]
['and', [1036, 1039]]
['and', [1400, 1403]]
['and', [1542, 1545]]
['and', [1652, 1655]]
['and', [1862, 1865]]
['and', [1970, 1973]]
['and', [2325, 2328]]
['and', [2419, 2422]]
['and', [2440, 2443]]
['and', [2700, 2703]]
['and', [2967, 2970]]
['and', [3329, 3332]]
['and', [3526, 3529]]
['and', [3630, 3633]]
['and', [3997, 4000]]
['and', [4142, 4145]]
['and', [4271, 4274]]
['and', [4329, 4332]]
['and', [4375, 4378]]
['and', [4424, 4427]]
['and', [4473, 4476]]
['and', [4497, 4500]]
['and', [4570, 4573]]
['and', [4706, 4709]]
['and', [4911, 4914]]
['and', [5014, 5017]]
['and', [5098, 5101]]
['and', [5146, 5149]]
['and', [5480, 5483]]
['and', [5911, 5914]]
['and', [6081, 6084]]
['and', [6226, 6229]]
['and', [6330, 6333]]
['and', [6467, 6470]]
['and', [6730, 6733]]
['and', [7004, 7007]]
['and', [8085, 8088]]
['and', [8136, 8139]]
['and', [8583, 8586]]
['and', [8839, 8842]]
['and', [9139, 9142]]
['and', [9598, 9601]]
['and', [9684, 9687]]
['and', [9907, 9910]]
['and', [9958, 9961]]
['and', [10024, 10027]]
['and', [10320, 10323]]
['and', [10602, 10605]]
['and', [10726, 10729]]
['and', [10967, 10970]]
['and', [11429, 11432]]
['and', [12101, 12104]]
['and', [12378, 12381]]
['and', [12710, 12713]]
['and', [12934, 12937]]
['and', [13096, 13099]]
['and', [13242, 13245]]
['and', [13378, 13381]]
['and', [13452, 13455]]
['and', [13585, 13588]]
['and', [13663, 13666]]
['and', [13698, 13701]]
['and', [13768, 13771]]
['and', [13835, 13838]]
['and', [13959, 13962]]
['and', [14081, 14084]]
['and', [14138, 14141]]
['and', [14233, 14236]]
['and', [14322, 14325]]
['and', [14375, 14378]]
['and', [14619, 14622]]
['and', [14722, 14725]]
['and', [14818, 14821]]
['and', [14951, 14954]]
['and', [15478, 15481]]
['and', [16522, 16525]]
['and', [16573, 16576]]
['and', [17021, 17024]]
['and', [17277, 17280]]
['and', [17578, 17581]]
['and', [18037, 18040]]
['and', [18123, 18126]]
['and', [18346, 18349]]
['and', [18397, 18400]]
['and', [18463, 18466]]
['and', [18760, 18763]]
['and', [19042, 19045]]
['and', [19166, 19169]]
['and', [19407, 19410]]
['and', [19869, 19872]]
['and', [20541, 20544]]
['and', [20818, 20821]]
['and', [21150, 21153]]
['and', [21374, 21377]]
['and', [21536, 21539]]
['and', [21682, 21685]]
['and', [21818, 21821]]
['and', [21892, 21895]]
['and', [22025, 22028]]
['and', [22103, 22106]]
['and', [22139, 22142]]
['and', [22209, 22212]]
['and', [22276, 22279]]
['and', [22400, 22403]]
['and', [22522, 22525]]
['and', [22579, 22582]]
['and', [22674, 22677]]
['and', [22763, 22766]]
['and', [22816, 22819]]
['and', [23060, 23063]]
['and', [23163, 23166]]
['and', [23259, 23262]]
['and', [23392, 23395]]
['and', [23919, 23922]]
['and', [24469, 24472]]
['and', [24819, 24822]]
['and', [25069, 25072]]
['and', [25350, 25353]]
['and', [25425, 25428]]
['and', [25445, 25448]]
['and', [25618, 25621]]
['and', [25698, 25701]]
['and', [25810, 25813]]
['and', [26060, 26063]]
['and', [26561, 26564]]
['and', [26613, 26616]]
['and', [26768, 26771]]
['and', [26978, 26981]]
['and', [27059, 27062]]
['and', [27202, 27205]]
['and', [27297, 27300]]
['and', [27458, 27461]]
['and', [28076, 28079]]
['and', [28208, 28211]]
['and', [28330, 28333]]
['and', [28544, 28547]]
['and', [29052, 29055]]
['and', [29166, 29169]]
['and', [29303, 29306]]
['and', [29458, 29461]]
['and', [29590, 29593]]
['and', [29959, 29962]]
['and', [30374, 30377]]
['and', [30696, 30699]]
['and', [31392, 31395]]
['and', [31630, 31633]]
['and', [32031, 32034]]
['and', [32294, 32297]]
['and', [32358, 32361]]
['and', [32366, 32369]]
['and', [32417, 32420]]
['and', [32513, 32516]]
['and', [32677, 32680]]
['and', [32804, 32807]]
['and', [32971, 32974]]
['and', [33094, 33097]]
['and', [33425, 33428]]
['and', [33657, 33660]]
['and', [34057, 34060]]
['and', [34837, 34840]]
['and', [34969, 34972]]
['and', [35091, 35094]]
['and', [35305, 35308]]
['and', [35813, 35816]]
['and', [35927, 35930]]
['and', [36064, 36067]]
['and', [36219, 36222]]
['and', [36351, 36354]]
['and', [36720, 36723]]
['and', [37135, 37138]]
['and', [37457, 37460]]
['and', [38153, 38156]]
['and', [38391, 38394]]
['and', [38792, 38795]]
['and', [39055, 39058]]
['and', [39119, 39122]]
['and', [39127, 39130]]
['and', [39178, 39181]]
['and', [39274, 39277]]
['and', [39438, 39441]]
['and', [39565, 39568]]
['and', [39732, 39735]]
['and', [39855, 39858]]
['and', [40186, 40189]]
['and', [40418, 40421]]
['and', [40818, 40821]]
['and', [41590, 41593]]
['and', [41722, 41725]]
['and', [41844, 41847]]
['and', [42058, 42061]]
['and', [43046, 43049]]
['and', [43178, 43181]]
['and', [43300, 43303]]
['and', [43514, 43517]]
['and', [44023, 44026]]
['and', [44137, 44140]]
['and', [44274, 44277]]
['and', [44454, 44457]]
['and', [44568, 44571]]
['and', [44705, 44708]]
['and', [44861, 44864]]
['and', [44993, 44996]]
['and', [45362, 45365]]
['and', [45621, 45624]]
['and', [45753, 45756]]
['and', [46122, 46125]]
['and', [46538, 46541]]
['and', [46860, 46863]]
['and', [47556, 47559]]
['and', [47794, 47797]]
['and', [48195, 48198]]
['and', [48616, 48619]]
['and', [48938, 48941]]
['and', [49634, 49637]]
['and', [49872, 49875]]
['and', [50273, 50276]]
['and', [50537, 50540]]
['and', [50601, 50604]]
['and', [50609, 50612]]
['and', [50660, 50663]]
['and', [50756, 50759]]
['and', [50920, 50923]]
['and', [51047, 51050]]
['and', [51214, 51217]]
['and', [51337, 51340]]
['and', [51409, 51412]]
['and', [51473, 51476]]
['and', [51481, 51484]]
['and', [51532, 51535]]
['and', [51628, 51631]]
['and', [51792, 51795]]
['and', [51919, 51922]]
['and', [52086, 52089]]
['and', [52209, 52212]]
['and', [52541, 52544]]
['and', [52773, 52776]]
['and', [53173, 53176]]
['and', [53702, 53705]]
['and', [53934, 53937]]
['and', [54334, 54337]]
['and', [54783, 54786]]
['and', [54819, 54822]]
['and', [54887, 54890]]
['and', [55073, 55076]]
['and', [55329, 55332]]
['and', [56067, 56070]]
['and', [56245, 56248]]
['and', [56312, 56315]]
['and', [56942, 56945]]
['and', [57001, 57004]]
['and', [57030, 57033]]
['and', [57081, 57084]]
['and', [57363, 57366]]
['and', [58063, 58066]]
['and', [60301, 60304]]
['and', [60461, 60464]]
['and', [60660, 60663]]
['and', [60720, 60723]]
['and', [61787, 61790]]
['and', [61950, 61953]]
['and', [62132, 62135]]
['and', [62256, 62259]]
['and', [62590, 62593]]
['and', [62824, 62827]]
