['se', [73104, 73106]]
['se', [73187, 73189]]
['se', [73202, 73204]]
['se', [73260, 73262]]
['se', [73266, 73268]]
['se', [73420, 73422]]
['se', [73513, 73515]]
['se', [73632, 73634]]
['se', [73777, 73779]]
['se', [73895, 73897]]
['se', [74382, 74384]]
['se', [74601, 74603]]
['se', [74633, 74635]]
['se', [75211, 75213]]
['se', [75579, 75581]]
['se', [75705, 75707]]
['se', [75844, 75846]]
['se', [75954, 75956]]
['se', [75977, 75979]]
['se', [76106, 76108]]
['se', [76959, 76961]]
['se', [77322, 77324]]
['se', [78564, 78566]]
['se', [78582, 78584]]
['se', [78606, 78608]]
['se', [78626, 78628]]
['se', [78653, 78655]]
['se', [78775, 78777]]
['se', [78779, 78781]]
['se', [79076, 79078]]
['se', [79094, 79096]]
['se', [79152, 79154]]
['se', [79161, 79163]]
['se', [79185, 79187]]
['se', [79204, 79206]]
['se', [79213, 79215]]
['se', [79237, 79239]]
['se', [79257, 79259]]
['se', [79267, 79269]]
['se', [79291, 79293]]
['se', [79310, 79312]]
['se', [79314, 79316]]
['se', [79437, 79439]]
['se', [80157, 80159]]
['se', [80385, 80387]]
['se', [80418, 80420]]
['se', [80456, 80458]]
['se', [80463, 80465]]
['se', [80912, 80914]]
['se', [81063, 81065]]
['se', [81291, 81293]]
['se', [81529, 81531]]
['se', [81619, 81621]]
['se', [82472, 82474]]
['se', [82835, 82837]]
['se', [84077, 84079]]
['se', [84095, 84097]]
['se', [84119, 84121]]
['se', [84139, 84141]]
['se', [84166, 84168]]
['se', [84288, 84290]]
['se', [84292, 84294]]
['se', [84589, 84591]]
['se', [84607, 84609]]
['se', [84665, 84667]]
['se', [84674, 84676]]
['se', [84698, 84700]]
['se', [84717, 84719]]
['se', [84726, 84728]]
['se', [84750, 84752]]
['se', [84770, 84772]]
['se', [84780, 84782]]
['se', [84804, 84806]]
['se', [84823, 84825]]
['se', [84827, 84829]]
['se', [84950, 84952]]
['se', [85670, 85672]]
['se', [85898, 85900]]
['se', [85931, 85933]]
['se', [85969, 85971]]
['se', [85976, 85978]]
['se', [86425, 86427]]
['se', [86576, 86578]]
['se', [86804, 86806]]
['se', [87042, 87044]]
['pap', [282, 285]]
['pap', [300, 303]]
['pap', [1149, 1152]]
['pap', [1610, 1613]]
['pap', [1880, 1883]]
['pap', [1916, 1919]]
['pap', [2174, 2177]]
['pap', [3475, 3478]]
['pap', [3706, 3709]]
['pap', [4259, 4262]]
['pap', [4279, 4282]]
['pap', [5678, 5681]]
['pap', [5787, 5790]]
['pap', [6064, 6067]]
['pap', [6447, 6450]]
['pap', [6509, 6512]]
['pap', [6698, 6701]]
['pap', [6950, 6953]]
['pap', [7158, 7161]]
['pap', [7303, 7306]]
['pap', [7428, 7431]]
['pap', [8278, 8281]]
['pap', [11715, 11718]]
['pap', [11812, 11815]]
['pap', [12076, 12079]]
['pap', [12431, 12434]]
['pap', [12564, 12567]]
['pap', [13257, 13260]]
['pap', [13286, 13289]]
['pap', [13383, 13386]]
['pap', [13425, 13428]]
['pap', [13467, 13470]]
['pap', [13555, 13558]]
['pap', [13821, 13824]]
['pap', [13988, 13991]]
['pap', [14009, 14012]]
['pap', [14285, 14288]]
['pap', [14378, 14381]]
['pap', [14586, 14589]]
['pap', [14667, 14670]]
['pap', [14830, 14833]]
['pap', [14901, 14904]]
['pap', [15600, 15603]]
['pap', [15785, 15788]]
['pap', [16455, 16458]]
['pap', [16623, 16626]]
['pap', [16667, 16670]]
['pap', [16774, 16777]]
['pap', [17018, 17021]]
['pap', [17039, 17042]]
['pap', [24372, 24375]]
['pap', [24518, 24521]]
['pap', [24699, 24702]]
['pap', [25268, 25271]]
['pap', [25522, 25525]]
['pap', [25860, 25863]]
['pap', [26275, 26278]]
['pap', [28384, 28387]]
['pap', [31821, 31824]]
['pap', [31918, 31921]]
['pap', [32182, 32185]]
['pap', [32537, 32540]]
['pap', [32670, 32673]]
['pap', [33364, 33367]]
['pap', [33393, 33396]]
['pap', [33490, 33493]]
['pap', [33532, 33535]]
['pap', [33574, 33577]]
['pap', [33662, 33665]]
['pap', [33928, 33931]]
['pap', [34095, 34098]]
['pap', [34116, 34119]]
['pap', [34392, 34395]]
['pap', [34485, 34488]]
['pap', [34693, 34696]]
['pap', [34774, 34777]]
['pap', [34937, 34940]]
['pap', [35008, 35011]]
['pap', [35707, 35710]]
['pap', [35892, 35895]]
['pap', [36562, 36565]]
['pap', [36730, 36733]]
['pap', [36774, 36777]]
['pap', [36881, 36884]]
['pap', [37125, 37128]]
['pap', [37146, 37149]]
['pap', [44480, 44483]]
['pap', [44626, 44629]]
['pap', [44807, 44810]]
['pap', [45376, 45379]]
['pap', [45630, 45633]]
['pap', [45968, 45971]]
['pap', [46383, 46386]]
['pap', [50267, 50270]]
['pap', [50353, 50356]]
['pap', [51255, 51258]]
['pap', [51565, 51568]]
['pap', [51801, 51804]]
['pap', [55216, 55219]]
['pap', [55302, 55305]]
['pap', [56204, 56207]]
['pap', [56514, 56517]]
['pap', [56750, 56753]]
['pap', [60164, 60167]]
['pap', [60250, 60253]]
['pap', [61152, 61155]]
['pap', [61462, 61465]]
['pap', [61698, 61701]]
['pap', [64582, 64585]]
['pap', [65157, 65160]]
['pap', [65369, 65372]]
