['cells', [60205, 60210]]
['cells', [60466, 60471]]
['cells', [62520, 62525]]
['cells', [62786, 62791]]
['cells', [63143, 63148]]
['cells', [63215, 63220]]
['lysosomal', [1833, 1842]]
['lysosomal', [33867, 33876]]
['lysosomal', [57637, 57646]]
['enzymes', [1843, 1850]]
['hydrophobic', [12, 23]]
['hydrophobic', [2926, 2937]]
['hydrophobic', [3054, 3065]]
['hydrophobic', [3129, 3140]]
['hydrophobic', [3176, 3187]]
['hydrophobic', [3494, 3505]]
['hydrophobic', [3637, 3648]]
['hydrophobic', [3786, 3797]]
['hydrophobic', [4450, 4461]]
['hydrophobic', [4508, 4519]]
['hydrophobic', [4732, 4743]]
['hydrophobic', [4831, 4842]]
['hydrophobic', [21527, 21538]]
['hydrophobic', [22836, 22847]]
['hydrophobic', [22980, 22991]]
['hydrophobic', [23041, 23052]]
['hydrophobic', [23323, 23334]]
['hydrophobic', [23361, 23372]]
['hydrophobic', [23476, 23487]]
['hydrophobic', [23653, 23664]]
['hydrophobic', [24102, 24113]]
['hydrophobic', [24167, 24178]]
['hydrophobic', [24795, 24806]]
['hydrophobic', [27188, 27199]]
['hydrophobic', [28000, 28011]]
['hydrophobic', [28533, 28544]]
['hydrophobic', [32854, 32865]]
['hydrophobic', [35335, 35346]]
['hydrophobic', [35523, 35534]]
['hydrophobic', [36832, 36843]]
['hydrophobic', [36976, 36987]]
['hydrophobic', [37037, 37048]]
['hydrophobic', [37319, 37330]]
['hydrophobic', [37357, 37368]]
['hydrophobic', [37472, 37483]]
['hydrophobic', [37649, 37660]]
['hydrophobic', [38098, 38109]]
['hydrophobic', [38163, 38174]]
['hydrophobic', [38791, 38802]]
['hydrophobic', [41184, 41195]]
['hydrophobic', [41996, 42007]]
['hydrophobic', [42529, 42540]]
['hydrophobic', [45292, 45303]]
['hydrophobic', [46601, 46612]]
['hydrophobic', [46745, 46756]]
['hydrophobic', [46806, 46817]]
['hydrophobic', [47088, 47099]]
['hydrophobic', [47126, 47137]]
['hydrophobic', [47241, 47252]]
['hydrophobic', [47418, 47429]]
['hydrophobic', [47867, 47878]]
['hydrophobic', [47932, 47943]]
['hydrophobic', [48560, 48571]]
['hydrophobic', [50955, 50966]]
['hydrophobic', [51767, 51778]]
['hydrophobic', [52301, 52312]]
['hydrophobic', [56624, 56635]]
['hydrophobic', [59105, 59116]]
['hydrophobic', [59253, 59264]]
['side', [680, 684]]
['side', [2938, 2942]]
['side', [4520, 4524]]
['side', [4843, 4847]]
['side', [7340, 7344]]
['side', [8831, 8835]]
['side', [15462, 15466]]
['side', [16954, 16958]]
['side', [22457, 22461]]
['side', [33730, 33734]]
['side', [36453, 36457]]
['side', [46222, 46226]]
['side', [57500, 57504]]
['side', [59949, 59953]]
['side', [60386, 60390]]
['chains', [2943, 2949]]
['chains', [3035, 3041]]
['chains', [4525, 4531]]
['chains', [4848, 4854]]
['domains', [3188, 3195]]
['hydrophilic', [3653, 3664]]
['hydrophilic', [29039, 29050]]
['hydrophilic', [43035, 43046]]
['hydrophilic', [52807, 52818]]
['components', [3665, 3675]]
['mammalian', [5068, 5077]]
['dmap', [5255, 5259]]
['dmap', [7026, 7030]]
['dmap', [8312, 8316]]
['dmap', [13376, 13380]]
['dmap', [15148, 15152]]
['dmap', [16434, 16438]]
['dmf', [5285, 5288]]
['dmf', [7015, 7018]]
['dmf', [13406, 13409]]
['dmf', [15137, 15140]]
['fitc', [5336, 5340]]
['fitc', [8117, 8121]]
['fitc', [8160, 8164]]
['fitc', [8351, 8355]]
['fitc', [11490, 11494]]
['fitc', [11797, 11801]]
['fitc', [13457, 13461]]
['fitc', [16239, 16243]]
