['x', [25240, 25241]]
['x', [25309, 25310]]
['x', [25340, 25341]]
['x', [25384, 25385]]
['x', [25401, 25402]]
['x', [25425, 25426]]
['x', [25449, 25450]]
['x', [25541, 25542]]
['x', [25700, 25701]]
['x', [25764, 25765]]
['x', [26189, 26190]]
['x', [26377, 26378]]
['x', [26883, 26884]]
['x', [27391, 27392]]
['x', [27743, 27744]]
['x', [27857, 27858]]
['x', [27947, 27948]]
['x', [28033, 28034]]
['x', [28139, 28140]]
['x', [28504, 28505]]
['x', [28835, 28836]]
['x', [28889, 28890]]
['x', [29169, 29170]]
['x', [29186, 29187]]
['x', [29320, 29321]]
['x', [29386, 29387]]
['x', [29455, 29456]]
['x', [29609, 29610]]
['x', [29730, 29731]]
['x', [29764, 29765]]
['x', [29800, 29801]]
['x', [29878, 29879]]
['x', [29966, 29967]]
['x', [30025, 30026]]
['x', [30048, 30049]]
['x', [30104, 30105]]
['x', [30120, 30121]]
['x', [30232, 30233]]
['x', [30320, 30321]]
['x', [30368, 30369]]
['x', [30464, 30465]]
['x', [30511, 30512]]
['x', [30608, 30609]]
['x', [30627, 30628]]
['x', [30685, 30686]]
['x', [30713, 30714]]
['x', [30772, 30773]]
['x', [31216, 31217]]
['x', [31266, 31267]]
['x', [31433, 31434]]
['x', [31588, 31589]]
['x', [31716, 31717]]
['x', [31944, 31945]]
['x', [32103, 32104]]
['x', [32167, 32168]]
['x', [32592, 32593]]
['x', [32780, 32781]]
['x', [33286, 33287]]
['x', [33794, 33795]]
['x', [34146, 34147]]
['x', [34260, 34261]]
['x', [34350, 34351]]
['x', [34436, 34437]]
['x', [34542, 34543]]
['x', [34907, 34908]]
['x', [35238, 35239]]
['x', [35292, 35293]]
['x', [35572, 35573]]
['x', [35589, 35590]]
['x', [35723, 35724]]
['x', [35789, 35790]]
['x', [35858, 35859]]
['x', [36012, 36013]]
['x', [36133, 36134]]
['x', [36167, 36168]]
['x', [36203, 36204]]
['x', [36281, 36282]]
['x', [36369, 36370]]
['x', [36428, 36429]]
['x', [36451, 36452]]
['x', [36507, 36508]]
['x', [36523, 36524]]
['x', [36635, 36636]]
['x', [36723, 36724]]
['x', [36771, 36772]]
['x', [36867, 36868]]
['x', [36914, 36915]]
['x', [37011, 37012]]
['x', [37030, 37031]]
['x', [37088, 37089]]
['x', [37116, 37117]]
['x', [37175, 37176]]
['x', [37619, 37620]]
['x', [37669, 37670]]
['x', [37836, 37837]]
['x', [37991, 37992]]
['x', [38119, 38120]]
['x', [38339, 38340]]
['x', [38498, 38499]]
['x', [38562, 38563]]
['x', [39058, 39059]]
['x', [39217, 39218]]
['x', [39281, 39282]]
['x', [39707, 39708]]
['x', [39895, 39896]]
['x', [40401, 40402]]
['x', [40909, 40910]]
['x', [41261, 41262]]
['x', [41375, 41376]]
['x', [41465, 41466]]
['x', [41551, 41552]]
['x', [41637, 41638]]
['x', [41825, 41826]]
['x', [42331, 42332]]
['x', [42839, 42840]]
['x', [43191, 43192]]
['x', [43305, 43306]]
['x', [43395, 43396]]
['x', [43481, 43482]]
['x', [43588, 43589]]
['x', [43953, 43954]]
['x', [44284, 44285]]
['x', [44338, 44339]]
['x', [44618, 44619]]
['x', [44635, 44636]]
['x', [44769, 44770]]
['x', [44835, 44836]]
['x', [44904, 44905]]
['x', [45058, 45059]]
['x', [45179, 45180]]
['x', [45213, 45214]]
['x', [45249, 45250]]
['x', [45327, 45328]]
['x', [45415, 45416]]
['x', [45474, 45475]]
['x', [45497, 45498]]
['x', [45572, 45573]]
['x', [45937, 45938]]
['x', [46268, 46269]]
['x', [46322, 46323]]
['x', [46602, 46603]]
['x', [46619, 46620]]
['x', [46753, 46754]]
['x', [46819, 46820]]
['x', [46888, 46889]]
['x', [47042, 47043]]
['x', [47163, 47164]]
['x', [47197, 47198]]
