genia tagger: 0

['mice', [55633, 55637]]
['mice', [55707, 55711]]
['mice', [55832, 55836]]
['mice', [56311, 56315]]
['mice', [56378, 56382]]
['mice', [57125, 57129]]
['mice', [57130, 57134]]
['mice', [57830, 57834]]
['high', [538, 542]]
['high', [2014, 2018]]
['high', [12754, 12758]]
['high', [20332, 20336]]
['high', [27902, 27906]]
['high', [29312, 29316]]
['high', [41753, 41757]]
['high', [42907, 42911]]
['high', [43034, 43038]]
['high', [45242, 45246]]
['high', [45341, 45345]]
['high', [46145, 46149]]
['high', [47299, 47303]]
['high', [47426, 47430]]
['high', [49634, 49638]]
['high', [49733, 49737]]
['load', [560, 564]]
['ink4a', [319, 324]]
['ink4a', [637, 642]]
['ink4a', [2430, 2435]]
['ink4a', [4023, 4028]]
['ink4a', [5177, 5182]]
['ink4a', [7842, 7847]]
['ink4a', [8997, 9002]]
['ink4a', [12073, 12078]]
['ink4a', [12151, 12156]]
['ink4a', [14135, 14140]]
['ink4a', [14212, 14217]]
['ink4a', [14337, 14342]]
['ink4a', [14427, 14432]]
['ink4a', [14609, 14614]]
['ink4a', [15156, 15161]]
['ink4a', [15318, 15323]]
['ink4a', [15603, 15608]]
['ink4a', [16432, 16437]]
['ink4a', [17854, 17859]]
['ink4a', [18400, 18405]]
['ink4a', [18481, 18486]]
['ink4a', [18725, 18730]]
['ink4a', [19651, 19656]]
['ink4a', [19729, 19734]]
['ink4a', [21713, 21718]]
['ink4a', [21790, 21795]]
['ink4a', [21915, 21920]]
['ink4a', [22005, 22010]]
['ink4a', [22187, 22192]]
['ink4a', [22734, 22739]]
['ink4a', [22896, 22901]]
['ink4a', [23181, 23186]]
['ink4a', [24010, 24015]]
['ink4a', [25432, 25437]]
['ink4a', [25978, 25983]]
['ink4a', [26059, 26064]]
['ink4a', [26303, 26308]]
['ink4a', [27221, 27226]]
['ink4a', [27299, 27304]]
['ink4a', [28631, 28636]]
['ink4a', [28709, 28714]]
['ink4a', [32005, 32010]]
['ink4a', [32082, 32087]]
['ink4a', [32207, 32212]]
['ink4a', [32297, 32302]]
['ink4a', [32479, 32484]]
['ink4a', [33026, 33031]]
['ink4a', [33188, 33193]]
['ink4a', [33473, 33478]]
['ink4a', [34302, 34307]]
['ink4a', [34919, 34924]]
['ink4a', [34996, 35001]]
['ink4a', [35121, 35126]]
['ink4a', [35211, 35216]]
['ink4a', [35393, 35398]]
['ink4a', [35940, 35945]]
['ink4a', [36102, 36107]]
['ink4a', [36387, 36392]]
['ink4a', [37216, 37221]]
['ink4a', [38639, 38644]]
['ink4a', [39185, 39190]]
['ink4a', [39266, 39271]]
['ink4a', [39510, 39515]]
['ink4a', [40578, 40583]]
['ink4a', [41124, 41129]]
['ink4a', [41205, 41210]]
['ink4a', [41449, 41454]]
['ink4a', [42154, 42159]]
['ink4a', [46546, 46551]]
['ink4a', [51409, 51414]]
['ink4a', [52442, 52447]]
['ink4a', [52990, 52995]]
['ink4a', [53210, 53215]]
['ink4a', [53961, 53966]]
['ink4a', [55259, 55264]]
['ink4a', [56292, 56297]]
['ink4a', [56840, 56845]]
['ink4a', [57060, 57065]]
['ink4a', [57811, 57816]]
['arf', [643, 646]]
['arf', [1011, 1014]]
['arf', [4029, 4032]]
['arf', [5183, 5186]]
['arf', [7848, 7851]]
['arf', [9003, 9006]]
['arf', [12079, 12082]]
['arf', [12157, 12160]]
['arf', [14141, 14144]]
['arf', [14218, 14221]]
['arf', [14269, 14272]]
['arf', [14343, 14346]]
['arf', [14433, 14436]]
['arf', [14615, 14618]]
['arf', [15162, 15165]]
['arf', [15324, 15327]]
['arf', [15609, 15612]]
['arf', [16438, 16441]]
['arf', [17860, 17863]]
['arf', [18406, 18409]]
['arf', [18487, 18490]]
['arf', [18731, 18734]]
['arf', [19657, 19660]]
['arf', [19735, 19738]]
['arf', [21719, 21722]]
['arf', [21796, 21799]]
['arf', [21847, 21850]]
['arf', [21921, 21924]]
['arf', [22011, 22014]]
['arf', [22193, 22196]]
['arf', [22740, 22743]]
['arf', [22902, 22905]]
['arf', [23187, 23190]]
['arf', [24016, 24019]]
['arf', [25438, 25441]]
['arf', [25984, 25987]]
['arf', [26065, 26068]]
['arf', [26309, 26312]]
['arf', [27227, 27230]]
['arf', [27305, 27308]]
['arf', [28637, 28640]]
['arf', [28715, 28718]]
['arf', [32011, 32014]]
['arf', [32088, 32091]]
['arf', [32139, 32142]]
['arf', [32213, 32216]]
['arf', [32303, 32306]]
['arf', [32485, 32488]]
['arf', [33032, 33035]]
['arf', [33194, 33197]]
['arf', [33479, 33482]]
['arf', [34308, 34311]]
['arf', [34925, 34928]]
['arf', [35002, 35005]]
['arf', [35053, 35056]]
['arf', [35127, 35130]]
['arf', [35217, 35220]]
['arf', [35399, 35402]]
['arf', [35946, 35949]]
['arf', [36108, 36111]]
['arf', [36393, 36396]]
['arf', [37222, 37225]]
['arf', [38645, 38648]]
['arf', [39191, 39194]]
['arf', [39272, 39275]]
['arf', [39516, 39519]]
['arf', [40584, 40587]]
['arf', [41130, 41133]]
['arf', [41211, 41214]]
['arf', [41455, 41458]]
['arf', [42160, 42163]]
['arf', [44223, 44226]]
['arf', [46552, 46555]]
['arf', [48615, 48618]]
['arf', [51415, 51418]]
['arf', [52448, 52451]]
['arf', [52996, 52999]]
['arf', [53216, 53219]]
['arf', [53688, 53691]]
['arf', [53967, 53970]]
['arf', [55265, 55268]]
['arf', [56298, 56301]]
['arf', [56846, 56849]]
['arf', [57066, 57069]]
['arf', [57538, 57541]]
['arf', [57817, 57820]]
['mutations', [647, 656]]
['inducing', [661, 669]]
['colitis', [670, 677]]
['colitis', [1944, 1951]]
['colitis', [4239, 4246]]
['colitis', [8059, 8066]]
['colitis', [12387, 12394]]
['colitis', [12548, 12555]]
['colitis', [19965, 19972]]
['colitis', [20126, 20133]]
['colitis', [27535, 27542]]
['colitis', [27696, 27703]]
['colitis', [28945, 28952]]
['colitis', [29106, 29113]]
['colitis', [42755, 42762]]
['colitis', [47147, 47154]]
['dextran sulfate sodium', [683, 705]]
['dextran sulfate sodium', [4335, 4357]]
['dextran sulfate sodium', [8155, 8177]]
['dextran sulfate sodium', [12430, 12452]]
['dextran sulfate sodium', [20008, 20030]]
['dextran sulfate sodium', [27578, 27600]]
['dextran sulfate sodium', [28988, 29010]]
['p16', [316, 319]]
['p16', [713, 716]]
['p16', [2427, 2430]]
['p16', [3844, 3847]]
['p16', [4265, 4268]]
['p16', [7663, 7666]]
['p16', [8085, 8088]]
['p16', [12584, 12587]]
['p16', [12826, 12829]]
['p16', [12904, 12907]]
['p16', [14261, 14264]]
['p16', [14529, 14532]]
['p16', [14674, 14677]]
['p16', [15028, 15031]]
['p16', [17841, 17844]]
['p16', [20162, 20165]]
['p16', [20404, 20407]]
['p16', [20482, 20485]]
['p16', [21839, 21842]]
['p16', [22107, 22110]]
['p16', [22252, 22255]]
['p16', [22606, 22609]]
['p16', [25419, 25422]]
['p16', [27732, 27735]]
['p16', [29142, 29145]]
['p16', [29385, 29388]]
['p16', [29463, 29466]]
['p16', [30695, 30698]]
['p16', [30773, 30776]]
['p16', [32131, 32134]]
['p16', [32399, 32402]]
['p16', [32544, 32547]]
['p16', [32898, 32901]]
['p16', [35045, 35048]]
['p16', [35313, 35316]]
['p16', [35458, 35461]]
['p16', [35812, 35815]]
['p16', [38626, 38629]]
['p16', [40565, 40568]]
['p16', [50929, 50932]]
['p16', [52426, 52429]]
['p16', [53197, 53200]]
['p16', [53662, 53665]]
['p16', [53739, 53742]]
['p16', [54779, 54782]]
['p16', [56276, 56279]]
['p16', [57047, 57050]]
['p16', [57512, 57515]]
['p16', [57589, 57592]]
['\\/week', [15082, 15088]]
['\\/week', [22660, 22666]]
['\\/week', [32952, 32958]]
['\\/week', [35866, 35872]]
['week', [763, 767]]
['week', [825, 829]]
['week', [857, 861]]
['week', [4427, 4431]]
['week', [4759, 4763]]
['week', [4805, 4809]]
['week', [4908, 4912]]
['week', [4984, 4988]]
['week', [8247, 8251]]
['week', [8579, 8583]]
['week', [8625, 8629]]
['week', [8728, 8732]]
['week', [8804, 8808]]
['week', [13062, 13066]]
['week', [13123, 13127]]
['week', [13170, 13174]]
['week', [15020, 15024]]
['week', [15083, 15087]]
['week', [20640, 20644]]
['week', [20701, 20705]]
['week', [20748, 20752]]
['week', [22598, 22602]]
['week', [22661, 22665]]
['week', [29621, 29625]]
['week', [29682, 29686]]
['week', [29729, 29733]]
['week', [30931, 30935]]
['week', [30992, 30996]]
['week', [31039, 31043]]
['week', [32890, 32894]]
['week', [32953, 32957]]
['week', [35804, 35808]]
['week', [35867, 35871]]
['week', [45827, 45831]]
['week', [45848, 45852]]
['week', [50219, 50223]]
['week', [50240, 50244]]
['week', [50512, 50516]]
['week', [50684, 50688]]
['week', [50777, 50781]]
['week', [50818, 50822]]
['week', [52398, 52402]]
['week', [54362, 54366]]
['week', [54534, 54538]]
['week', [54627, 54631]]
['week', [54668, 54672]]
['week', [56248, 56252]]
['injection', [790, 799]]
['injection', [3113, 3122]]
['injection', [4671, 4680]]
['injection', [4946, 4955]]
['injection', [5041, 5050]]
['injection', [8491, 8500]]
['injection', [8766, 8775]]
['injection', [8861, 8870]]
['injection', [12935, 12944]]
['injection', [16882, 16891]]
['injection', [20513, 20522]]
['injection', [24460, 24469]]
['injection', [29494, 29503]]
['injection', [30804, 30813]]
['injection', [34752, 34761]]
['injection', [37666, 37675]]
['carrier', [803, 810]]
['carrier', [942, 949]]
['carrier', [1176, 1183]]
['carrier', [7455, 7462]]
['carrier', [11277, 11284]]
['carrier', [12865, 12872]]
['carrier', [13095, 13102]]
['carrier', [13691, 13698]]
['carrier', [13818, 13825]]
['carrier', [13953, 13960]]
['carrier', [14708, 14715]]
['carrier', [15645, 15652]]
['carrier', [15772, 15779]]
['carrier', [15942, 15949]]
['carrier', [17923, 17930]]
['carrier', [18524, 18531]]
['carrier', [20443, 20450]]
['carrier', [20673, 20680]]
['carrier', [21269, 21276]]
['carrier', [21396, 21403]]
['carrier', [21531, 21538]]
['carrier', [22286, 22293]]
['carrier', [23223, 23230]]
['carrier', [23350, 23357]]
['carrier', [23520, 23527]]
['carrier', [25501, 25508]]
['carrier', [26102, 26109]]
['carrier', [29424, 29431]]
['carrier', [29654, 29661]]
['carrier', [30250, 30257]]
['carrier', [30377, 30384]]
['carrier', [30512, 30519]]
['carrier', [30734, 30741]]
['carrier', [30964, 30971]]
['carrier', [31560, 31567]]
['carrier', [31687, 31694]]
['carrier', [31822, 31829]]
['carrier', [32578, 32585]]
['carrier', [33515, 33522]]
['carrier', [33642, 33649]]
['carrier', [33812, 33819]]
['carrier', [35492, 35499]]
['carrier', [36429, 36436]]
['carrier', [36556, 36563]]
['carrier', [36726, 36733]]
['carrier', [38708, 38715]]
['carrier', [39309, 39316]]
['carrier', [40647, 40654]]
['carrier', [41248, 41255]]
['carrier', [51147, 51154]]
['carrier', [51841, 51848]]
['carrier', [51966, 51973]]
['carrier', [52189, 52196]]
['carrier', [52340, 52347]]
['carrier', [54003, 54010]]
['carrier', [54997, 55004]]
