['wnt5a', [52779, 52784]]
['wnt5a', [52973, 52978]]
['wnt5a', [53075, 53080]]
['wnt5a', [53145, 53150]]
['wnt5a', [53237, 53242]]
['wnt5a', [53428, 53433]]
['wnt5a', [53563, 53568]]
['wnt5a', [53592, 53597]]
['wnt5a', [53705, 53710]]
['wnt5a', [53744, 53749]]
['wnt5a', [53779, 53784]]
['wnt5a', [53860, 53865]]
['wnt5a', [53992, 53997]]
['wnt5a', [54081, 54086]]
['wnt5a', [54134, 54139]]
['wnt5a', [54175, 54180]]
['wnt5a', [54446, 54451]]
['wnt5a', [54478, 54483]]
['wnt5a', [54535, 54540]]
['wnt5a', [54666, 54671]]
['wnt5a', [54731, 54736]]
['wnt5a', [54782, 54787]]
['wnt5a', [54944, 54949]]
['wnt5a', [55298, 55303]]
['wnt5a', [55353, 55358]]
['wnt5a', [55433, 55438]]
['wnt5a', [55594, 55599]]
['wnt5a', [55612, 55617]]
['wnt5a', [56067, 56072]]
['wnt5a', [56231, 56236]]
['wnt5a', [56539, 56544]]
['wnt5a', [56733, 56738]]
['wnt5a', [56835, 56840]]
['wnt5a', [56905, 56910]]
['wnt5a', [56997, 57002]]
['wnt5a', [57188, 57193]]
['wnt5a', [57323, 57328]]
['wnt5a', [57352, 57357]]
['wnt5a', [57465, 57470]]
['wnt5a', [57504, 57509]]
['wnt5a', [57539, 57544]]
['wnt5a', [57620, 57625]]
['wnt5a', [57752, 57757]]
['wnt5a', [57841, 57846]]
['wnt5a', [57894, 57899]]
['wnt5a', [57935, 57940]]
['wnt5a', [58206, 58211]]
['wnt5a', [58238, 58243]]
['wnt5a', [58295, 58300]]
['wnt5a', [58426, 58431]]
['wnt5a', [58491, 58496]]
['wnt5a', [58542, 58547]]
['wnt5a', [58704, 58709]]
['wnt5a', [59058, 59063]]
['wnt5a', [59113, 59118]]
['wnt5a', [59193, 59198]]
['wnt5a', [59539, 59544]]
['wnt5a', [59588, 59593]]
['wnt5a', [59724, 59729]]
['wnt5a', [59871, 59876]]
['wnt5a', [59915, 59920]]
['wnt5a', [60106, 60111]]
['wnt5a', [60114, 60119]]
['wnt5a', [60168, 60173]]
['wnt5a', [60190, 60195]]
['wnt5a', [60554, 60559]]
['wnt5a', [60576, 60581]]
['wnt5a', [60657, 60662]]
['wnt5a', [60770, 60775]]
['wnt5a', [60843, 60848]]
['wnt5a', [61189, 61194]]
['wnt5a', [61238, 61243]]
['wnt5a', [61374, 61379]]
['wnt5a', [61521, 61526]]
['wnt5a', [61565, 61570]]
['wnt5a', [61756, 61761]]
['wnt5a', [61764, 61769]]
['wnt5a', [61818, 61823]]
['wnt5a', [61840, 61845]]
['wnt5a', [62204, 62209]]
['wnt5a', [62226, 62231]]
['wnt5a', [62307, 62312]]
['wnt5a', [62420, 62425]]
['wnt5a', [62493, 62498]]
['wnt5a', [62587, 62592]]
['wnt5a', [62614, 62619]]
['wnt5a', [62843, 62848]]
['wnt5a', [63024, 63029]]
['wnt5a', [63167, 63172]]
['wnt5a', [63210, 63215]]
['wnt5a', [63396, 63401]]
['wnt5a', [63494, 63499]]
['wnt5a', [63594, 63599]]
['wnt5a', [63688, 63693]]
['wnt5a', [63715, 63720]]
['wnt5a', [63944, 63949]]
