['a1065t', [21024, 21030]]
['wild', [5754, 5758]]
['wild', [5937, 5941]]
['wild', [6643, 6647]]
['wild', [11185, 11189]]
['wild', [11368, 11372]]
['wild', [12074, 12078]]
['wild', [17376, 17380]]
['wild', [17614, 17618]]
['wild', [21514, 21518]]
['wild', [21624, 21628]]
['type', [829, 833]]
['type', [2237, 2241]]
['type', [2764, 2768]]
['type', [5759, 5763]]
['type', [5942, 5946]]
['type', [6648, 6652]]
['type', [7664, 7668]]
['type', [8191, 8195]]
['type', [11190, 11194]]
['type', [11373, 11377]]
['type', [12079, 12083]]
['type', [13407, 13411]]
['type', [13518, 13522]]
['type', [14365, 14369]]
['type', [14663, 14667]]
['type', [15724, 15728]]
['type', [16088, 16092]]
['type', [16651, 16655]]
['type', [17381, 17385]]
['type', [17619, 17623]]
['type', [19643, 19647]]
['type', [20458, 20462]]
['type', [21175, 21179]]
['type', [21519, 21523]]
['type', [21629, 21633]]
['cdnas', [5927, 5932]]
['cdnas', [11358, 11363]]
['recombinant', [6126, 6137]]
['recombinant', [11557, 11568]]
['rh', [6145, 6147]]
['rh', [11576, 11578]]
['rh', [17322, 17324]]
['rh', [17510, 17512]]
['rh', [17666, 17668]]
['rh', [17978, 17980]]
['rh', [21486, 21488]]
['rh', [21558, 21560]]
['vegf', [1185, 1189]]
['vegf', [5134, 5138]]
['vegf', [6148, 6152]]
['vegf', [6248, 6252]]
['vegf', [6286, 6290]]
['vegf', [6616, 6620]]
['vegf', [10564, 10568]]
['vegf', [11579, 11583]]
['vegf', [11679, 11683]]
['vegf', [11717, 11721]]
['vegf', [12047, 12051]]
['vegf', [13842, 13846]]
['vegf', [14039, 14043]]
['vegf', [14575, 14579]]
['vegf', [14585, 14589]]
['vegf', [17324, 17328]]
['vegf', [17512, 17516]]
['vegf', [17668, 17672]]
['vegf', [18361, 18365]]
['vegf', [18451, 18455]]
['vegf', [18476, 18480]]
['vegf', [18487, 18491]]
['vegf', [18611, 18615]]
['vegf', [21488, 21492]]
['vegf', [21560, 21564]]
['anti-phospho-vegfr2', [6235, 6254]]
['anti-phospho-vegfr2', [11666, 11685]]
['clone', [5293, 5298]]
['clone', [6265, 6270]]
['clone', [10723, 10728]]
['clone', [11696, 11701]]
['19a10', [6271, 6276]]
['19a10', [11702, 11707]]
['growth', [6494, 6500]]
['growth', [6580, 6586]]
['growth', [11925, 11931]]
['growth', [12011, 12017]]
