['gbm', [60440, 60443]]
['gbm', [60529, 60532]]
['gbm', [60662, 60665]]
['gbm', [62464, 62467]]
['gbm', [63118, 63121]]
['gbm', [63519, 63522]]
['gbm', [64123, 64126]]
['gbm', [64570, 64573]]
['gbm', [66612, 66615]]
['gbm', [67281, 67284]]
['gbm', [67323, 67326]]
['gbm', [67407, 67410]]
['gbm', [67440, 67443]]
['gbm', [67468, 67471]]
['gbm', [67503, 67506]]
['gbm', [67532, 67535]]
['gbm', [67567, 67570]]
['gbm', [67603, 67606]]
['gbm', [67640, 67643]]
['gbm', [67675, 67678]]
['gbm', [67710, 67713]]
['gbm', [67745, 67748]]
['gbm', [67776, 67779]]
['gbm', [67810, 67813]]
['gbm', [67849, 67852]]
['gbm', [67879, 67882]]
['gbm', [67916, 67919]]
['gbm', [67945, 67948]]
['gbm', [67977, 67980]]
['gbm', [68013, 68016]]
['gbm', [68050, 68053]]
['gbm', [68382, 68385]]
['gbm', [68408, 68411]]
['gbm', [68459, 68462]]
['gbm', [68504, 68507]]
['gbm', [68551, 68554]]
['gbm', [68598, 68601]]
['gbm', [68651, 68654]]
['gbm', [68703, 68706]]
['gbm', [68754, 68757]]
['gbm', [68798, 68801]]
['gbm', [68846, 68849]]
['gbm', [68895, 68898]]
['gbm', [68945, 68948]]
['gbm', [68994, 68997]]
['gbm', [69038, 69041]]
['gbm', [69085, 69088]]
['gbm', [69138, 69141]]
['gbm', [69184, 69187]]
['gbm', [69232, 69235]]
['gbm', [69281, 69284]]
['gbm', [69325, 69328]]
['gbm', [69753, 69756]]
['gbm', [70200, 70203]]
['gbm', [72242, 72245]]
['gbm', [72911, 72914]]
['gbm', [72953, 72956]]
['gbm', [73037, 73040]]
['gbm', [73070, 73073]]
['gbm', [73098, 73101]]
['gbm', [73133, 73136]]
['gbm', [73162, 73165]]
['gbm', [73197, 73200]]
['gbm', [73233, 73236]]
['gbm', [73270, 73273]]
['gbm', [73305, 73308]]
['gbm', [73340, 73343]]
['gbm', [73375, 73378]]
['gbm', [73406, 73409]]
['gbm', [73440, 73443]]
['gbm', [73479, 73482]]
['gbm', [73509, 73512]]
['gbm', [73546, 73549]]
['gbm', [73575, 73578]]
['gbm', [73607, 73610]]
['gbm', [73643, 73646]]
['gbm', [73680, 73683]]
['gbm', [74012, 74015]]
['gbm', [74038, 74041]]
['gbm', [74089, 74092]]
['gbm', [74134, 74137]]
['gbm', [74181, 74184]]
['gbm', [74228, 74231]]
['gbm', [74281, 74284]]
['gbm', [74333, 74336]]
['gbm', [74384, 74387]]
['gbm', [74428, 74431]]
['gbm', [74476, 74479]]
['gbm', [74525, 74528]]
['gbm', [74575, 74578]]
['gbm', [74624, 74627]]
['gbm', [74668, 74671]]
['gbm', [74715, 74718]]
['gbm', [74768, 74771]]
['gbm', [74814, 74817]]
['gbm', [74862, 74865]]
['gbm', [74911, 74914]]
['gbm', [74955, 74958]]
['tmz\\/rt', [347, 354]]
['tmz\\/rt', [489, 496]]
['tmz\\/rt', [826, 833]]
['tmz\\/rt', [2206, 2213]]
['tmz\\/rt', [4332, 4339]]
['tmz\\/rt', [4670, 4677]]
['tmz\\/rt', [9193, 9200]]
['tmz\\/rt', [9317, 9324]]
['tmz\\/rt', [13624, 13631]]
['tmz\\/rt', [13748, 13755]]
['tmz\\/rt', [17406, 17413]]
['tmz\\/rt', [17530, 17537]]
['tmz\\/rt', [20435, 20442]]
['tmz\\/rt', [21520, 21527]]
['tmz\\/rt', [21834, 21841]]
['tmz\\/rt', [22136, 22143]]
['tmz\\/rt', [22976, 22983]]
['tmz\\/rt', [23651, 23658]]
['tmz\\/rt', [23729, 23736]]
['tmz\\/rt', [24406, 24413]]
['tmz\\/rt', [25457, 25464]]
['tmz\\/rt', [29014, 29021]]
['tmz\\/rt', [30099, 30106]]
['tmz\\/rt', [30413, 30420]]
['tmz\\/rt', [30715, 30722]]
['tmz\\/rt', [31555, 31562]]
['tmz\\/rt', [32230, 32237]]
['tmz\\/rt', [32308, 32315]]
['tmz\\/rt', [32985, 32992]]
['tmz\\/rt', [34036, 34043]]
['tmz\\/rt', [39009, 39016]]
['tmz\\/rt', [40378, 40385]]
['tmz\\/rt', [41464, 41471]]
['tmz\\/rt', [41778, 41785]]
['tmz\\/rt', [42080, 42087]]
['tmz\\/rt', [42920, 42927]]
['tmz\\/rt', [43595, 43602]]
['tmz\\/rt', [43673, 43680]]
['tmz\\/rt', [44490, 44497]]
['tmz\\/rt', [44804, 44811]]
['tmz\\/rt', [45106, 45113]]
['tmz\\/rt', [45946, 45953]]
['tmz\\/rt', [46621, 46628]]
['tmz\\/rt', [46699, 46706]]
['tmz\\/rt', [47377, 47384]]
['tmz\\/rt', [48428, 48435]]
['tmz\\/rt', [48780, 48787]]
['tmz\\/rt', [49831, 49838]]
['tmz\\/rt', [55327, 55334]]
['tmz\\/rt', [56912, 56919]]
['tmz\\/rt', [60975, 60982]]
['tmz\\/rt', [62560, 62567]]
['tmz\\/rt', [64911, 64918]]
['tmz\\/rt', [65582, 65589]]
['tmz\\/rt', [65633, 65640]]
['tmz\\/rt', [66084, 66091]]
['tmz\\/rt', [66215, 66222]]
['tmz\\/rt', [67121, 67128]]
['tmz\\/rt', [68350, 68357]]
['tmz\\/rt', [68401, 68408]]
['tmz\\/rt', [70541, 70548]]
['tmz\\/rt', [71212, 71219]]
['tmz\\/rt', [71263, 71270]]
['tmz\\/rt', [71714, 71721]]
['tmz\\/rt', [71845, 71852]]
['tmz\\/rt', [72751, 72758]]
['tmz\\/rt', [73980, 73987]]
['tmz\\/rt', [74031, 74038]]
['p53', [961, 964]]
['p53', [4805, 4808]]
['p53', [8212, 8215]]
['p53', [8254, 8257]]
['p53', [8844, 8847]]
['p53', [12643, 12646]]
['p53', [12685, 12688]]
['p53', [13275, 13278]]
['p53', [16424, 16427]]
['p53', [16466, 16469]]
['p53', [17057, 17060]]
['p53', [22288, 22291]]
['p53', [22497, 22500]]
['p53', [22888, 22891]]
['p53', [23198, 23201]]
['p53', [23385, 23388]]
['p53', [23446, 23449]]
['p53', [23516, 23519]]
['p53', [23627, 23630]]
['p53', [23705, 23708]]
['p53', [23858, 23861]]
['p53', [23876, 23879]]
['p53', [24013, 24016]]
['p53', [30867, 30870]]
['p53', [31076, 31079]]
['p53', [31467, 31470]]
['p53', [31777, 31780]]
['p53', [31964, 31967]]
['p53', [32025, 32028]]
['p53', [32095, 32098]]
['p53', [32206, 32209]]
['p53', [32284, 32287]]
['p53', [32437, 32440]]
['p53', [32455, 32458]]
['p53', [32592, 32595]]
['p53', [42232, 42235]]
['p53', [42441, 42444]]
['p53', [42832, 42835]]
['p53', [43142, 43145]]
['p53', [43329, 43332]]
['p53', [43390, 43393]]
['p53', [43460, 43463]]
['p53', [43571, 43574]]
['p53', [43649, 43652]]
['p53', [43802, 43805]]
['p53', [43820, 43823]]
['p53', [43957, 43960]]
['p53', [45258, 45261]]
['p53', [45467, 45470]]
['p53', [45858, 45861]]
['p53', [46168, 46171]]
['p53', [46355, 46358]]
['p53', [46416, 46419]]
['p53', [46486, 46489]]
['p53', [46597, 46600]]
['p53', [46675, 46678]]
['p53', [46828, 46831]]
['p53', [46846, 46849]]
['p53', [46983, 46986]]
['p53', [64542, 64545]]
['p53', [65668, 65671]]
['p53', [70172, 70175]]
['p53', [71298, 71301]]
['1', [795, 796]]
['1', [867, 868]]
['1', [889, 890]]
['1', [897, 898]]
['1', [1145, 1146]]
['1', [1146, 1147]]
['1', [1377, 1378]]
['1', [1527, 1528]]
['1', [1554, 1555]]
['1', [2021, 2022]]
['1', [2286, 2287]]
['1', [3302, 3303]]
['1', [3303, 3304]]
['1', [3463, 3464]]
['1', [3468, 3469]]
['1', [4639, 4640]]
['1', [4711, 4712]]
['1', [4733, 4734]]
['1', [4741, 4742]]
['1', [4989, 4990]]
['1', [4990, 4991]]
['1', [5221, 5222]]
['1', [5371, 5372]]
['1', [5398, 5399]]
['1', [5900, 5901]]
['1', [5948, 5949]]
['1', [5953, 5954]]
['1', [6617, 6618]]
['1', [6622, 6623]]
['1', [6972, 6973]]
['1', [7166, 7167]]
['1', [8178, 8179]]
['1', [8319, 8320]]
['1', [8439, 8440]]
['1', [8445, 8446]]
['1', [10331, 10332]]
['1', [10379, 10380]]
['1', [10384, 10385]]
['1', [11048, 11049]]
['1', [11053, 11054]]
['1', [11403, 11404]]
['1', [11597, 11598]]
['1', [12609, 12610]]
['1', [12750, 12751]]
['1', [12870, 12871]]
['1', [12876, 12877]]
['1', [14827, 14828]]
['1', [14832, 14833]]
['1', [15182, 15183]]
['1', [15376, 15377]]
['1', [16389, 16390]]
['1', [16531, 16532]]
['1', [16651, 16652]]
['1', [16657, 16658]]
['1', [18553, 18554]]
['1', [18777, 18778]]
['1', [18778, 18779]]
['1', [18887, 18888]]
['1', [20466, 20467]]
['1', [20781, 20782]]
['1', [20783, 20784]]
['1', [20800, 20801]]
['1', [20851, 20852]]
['1', [20870, 20871]]
['1', [20922, 20923]]
['1', [21433, 21434]]
['1', [21596, 21597]]
['1', [21778, 21779]]
['1', [21979, 21980]]
['1', [22039, 22040]]
['1', [22454, 22455]]
['1', [22707, 22708]]
['1', [23237, 23238]]
['1', [23558, 23559]]
['1', [23560, 23561]]
['1', [23574, 23575]]
['1', [23766, 23767]]
['1', [23917, 23918]]
['1', [23960, 23961]]
['1', [24554, 24555]]
['1', [25010, 25011]]
['1', [25028, 25029]]
['1', [25029, 25030]]
['1', [25112, 25113]]
['1', [25124, 25125]]
['1', [25126, 25127]]
['1', [25132, 25133]]
['1', [25794, 25795]]
['1', [25865, 25866]]
['1', [25904, 25905]]
['1', [25973, 25974]]
['1', [26017, 26018]]
['1', [26066, 26067]]
['1', [26077, 26078]]
['1', [26151, 26152]]
['1', [26257, 26258]]
['1', [26592, 26593]]
['1', [26610, 26611]]
['1', [26635, 26636]]
['1', [26855, 26856]]
['1', [27132, 27133]]
['1', [27356, 27357]]
['1', [27357, 27358]]
['1', [27466, 27467]]
['1', [29045, 29046]]
['1', [29360, 29361]]
['1', [29362, 29363]]
['1', [29379, 29380]]
['1', [29430, 29431]]
['1', [29449, 29450]]
['1', [29501, 29502]]
['1', [30012, 30013]]
['1', [30175, 30176]]
['1', [30357, 30358]]
['1', [30558, 30559]]
['1', [30618, 30619]]
['1', [31033, 31034]]
['1', [31286, 31287]]
['1', [31816, 31817]]
['1', [32137, 32138]]
['1', [32139, 32140]]
['1', [32153, 32154]]
['1', [32345, 32346]]
['1', [32496, 32497]]
['1', [32539, 32540]]
['1', [33133, 33134]]
['1', [33589, 33590]]
['1', [33607, 33608]]
['1', [33608, 33609]]
['1', [33691, 33692]]
['1', [33703, 33704]]
['1', [33705, 33706]]
['1', [33711, 33712]]
['1', [34373, 34374]]
['1', [34444, 34445]]
['1', [34483, 34484]]
['1', [34552, 34553]]
['1', [34596, 34597]]
['1', [34645, 34646]]
['1', [34656, 34657]]
['1', [34730, 34731]]
['1', [34836, 34837]]
['1', [35171, 35172]]
['1', [35189, 35190]]
['1', [35214, 35215]]
['1', [35434, 35435]]
['1', [35703, 35704]]
['1', [35927, 35928]]
['1', [35928, 35929]]
['1', [36037, 36038]]
['1', [37126, 37127]]
['1', [37350, 37351]]
['1', [37351, 37352]]
['1', [37460, 37461]]
['1', [39040, 39041]]
['1', [39355, 39356]]
['1', [39357, 39358]]
['1', [39374, 39375]]
['1', [39425, 39426]]
['1', [39444, 39445]]
['1', [39496, 39497]]
['1', [40409, 40410]]
['1', [40724, 40725]]
['1', [40726, 40727]]
['1', [40743, 40744]]
['1', [40794, 40795]]
['1', [40813, 40814]]
['1', [40865, 40866]]
['1', [41377, 41378]]
['1', [41540, 41541]]
['1', [41722, 41723]]
['1', [41923, 41924]]
['1', [41983, 41984]]
['1', [42398, 42399]]
['1', [42651, 42652]]
['1', [43181, 43182]]
['1', [43502, 43503]]
['1', [43504, 43505]]
['1', [43518, 43519]]
['1', [43710, 43711]]
['1', [43861, 43862]]
['1', [43904, 43905]]
['1', [44403, 44404]]
['1', [44566, 44567]]
['1', [44748, 44749]]
['1', [44949, 44950]]
['1', [45009, 45010]]
['1', [45424, 45425]]
['1', [45677, 45678]]
['1', [46207, 46208]]
['1', [46528, 46529]]
['1', [46530, 46531]]
['1', [46544, 46545]]
['1', [46736, 46737]]
['1', [46887, 46888]]
['1', [46930, 46931]]
['1', [47525, 47526]]
['1', [47981, 47982]]
['1', [47999, 48000]]
['1', [48000, 48001]]
['1', [48083, 48084]]
['1', [48095, 48096]]
['1', [48097, 48098]]
['1', [48103, 48104]]
['1', [48928, 48929]]
['1', [49384, 49385]]
['1', [49402, 49403]]
['1', [49403, 49404]]
['1', [49486, 49487]]
['1', [49498, 49499]]
['1', [49500, 49501]]
['1', [49506, 49507]]
['1', [50169, 50170]]
['1', [50240, 50241]]
['1', [50279, 50280]]
['1', [50348, 50349]]
['1', [50392, 50393]]
['1', [50441, 50442]]
['1', [50452, 50453]]
['1', [50526, 50527]]
['1', [50632, 50633]]
['1', [50967, 50968]]
['1', [50985, 50986]]
['1', [51010, 51011]]
['1', [51230, 51231]]
['1', [51523, 51524]]
['1', [51594, 51595]]
['1', [51633, 51634]]
['1', [51702, 51703]]
['1', [51746, 51747]]
['1', [51795, 51796]]
['1', [51806, 51807]]
