['ovarian cancer', [18307, 18321]]
['ovarian cancer', [18401, 18415]]
['ovarian cancer', [19225, 19239]]
['ovarian cancer', [19840, 19854]]
['ovarian cancer', [20169, 20183]]
['ovarian cancer', [20207, 20221]]
['ovarian cancer', [20548, 20562]]
['ovarian cancer', [20756, 20770]]
['ovarian cancer', [21347, 21361]]
['ovarian cancer', [21476, 21490]]
['ovarian cancer', [21820, 21834]]
['ovarian cancer', [22724, 22738]]
['ovarian cancer', [23250, 23264]]
['ovarian cancer', [23416, 23430]]
['ovarian cancer', [23510, 23524]]
['ovarian cancer', [24334, 24348]]
['ovarian cancer', [24949, 24963]]
['ovarian cancer', [25752, 25766]]
['ovarian cancer', [26555, 26569]]
['ovarian cancer', [27022, 27036]]
['ovarian cancer', [27054, 27068]]
['daughters', [81, 90]]
['daughters', [1109, 1118]]
['daughters', [1312, 1321]]
['daughters', [7278, 7287]]
['daughters', [8244, 8253]]
['daughters', [10992, 11001]]
['daughters', [11958, 11967]]
['daughters', [12378, 12387]]
['daughters', [12809, 12818]]
['daughters', [14279, 14288]]
['daughters', [14736, 14745]]
['daughters', [15461, 15470]]
['daughters', [15669, 15678]]
['daughters', [18329, 18338]]
['daughters', [18423, 18432]]
['daughters', [19205, 19214]]
['daughters', [20570, 20579]]
['daughters', [20778, 20787]]
['daughters', [23438, 23447]]
['daughters', [23532, 23541]]
['daughters', [24314, 24323]]
['daughters', [26936, 26945]]
['puberty', [94, 101]]
['puberty', [691, 698]]
['puberty', [15227, 15234]]
['puberty', [15418, 15425]]
['puberty', [16445, 16452]]
['puberty', [18947, 18954]]
['puberty', [20336, 20343]]
['puberty', [20527, 20534]]
['puberty', [21554, 21561]]
['puberty', [24056, 24063]]
['puberty', [26836, 26843]]
['distance', [107, 115]]
['distance', [2397, 2405]]
['distance', [2471, 2479]]
['distance', [2541, 2549]]
['distance', [2631, 2639]]
['distance', [2751, 2759]]
['distance', [26883, 26891]]
['distance', [26968, 26976]]
['iliac crest', [128, 139]]
['iliac crest', [2418, 2429]]
['iliac crest', [2492, 2503]]
['iliac crest', [16061, 16072]]
['iliac crest', [16332, 16343]]
['iliac crest', [21170, 21181]]
['iliac crest', [21441, 21452]]
['iliac crest', [26904, 26915]]
['female pelvis', [148, 161]]
['interspinous diameter', [196, 217]]
['interspinous diameter', [1136, 1157]]
['interspinous diameter', [2514, 2535]]
['interspinous diameter', [5240, 5261]]
['interspinous diameter', [5380, 5401]]
['interspinous diameter', [5867, 5888]]
['interspinous diameter', [8284, 8305]]
['interspinous diameter', [8954, 8975]]
['interspinous diameter', [9094, 9115]]
['interspinous diameter', [9581, 9602]]
['interspinous diameter', [11998, 12019]]
['interspinous diameter', [14319, 14340]]
['interspinous diameter', [14776, 14797]]
['interspinous diameter', [16289, 16310]]
['interspinous diameter', [21398, 21419]]
['estrogens', [268, 277]]
['estrogens', [17389, 17398]]
['estrogens', [17447, 17456]]
['estrogens', [22498, 22507]]
['estrogens', [22556, 22565]]
['women', [305, 310]]
['women', [469, 474]]
