['cases', [6716, 6721]]
['cases', [13835, 13840]]
['cases', [13854, 13859]]
['cases', [13906, 13911]]
['cases', [19824, 19829]]
['cases', [19843, 19848]]
['cases', [19895, 19900]]
['cases', [27829, 27834]]
['cases', [27848, 27853]]
['cases', [27900, 27905]]
['cases', [28523, 28528]]
['cases', [28542, 28547]]
['cases', [28594, 28599]]
['pcs', [7182, 7185]]
['brf', [7243, 7246]]
['junior', [7337, 7343]]
['members', [7344, 7351]]
['1\\.5t', [8096, 8101]]
['mr', [171, 173]]
['mr', [518, 520]]
['mr', [791, 793]]
['mr', [1030, 1032]]
['mr', [1254, 1256]]
['mr', [1545, 1547]]
['mr', [3879, 3881]]
['mr', [4065, 4067]]
['mr', [4120, 4122]]
['mr', [4526, 4528]]
['mr', [4640, 4642]]
['mr', [4861, 4863]]
['mr', [5135, 5137]]
['mr', [5374, 5376]]
['mr', [5598, 5600]]
['mr', [5890, 5892]]
['mr', [7133, 7135]]
['mr', [7564, 7566]]
['mr', [8101, 8103]]
['mr', [8182, 8184]]
['mr', [8279, 8281]]
['mr', [8789, 8791]]
['mr', [11431, 11433]]
['mr', [12423, 12425]]
['mr', [12476, 12478]]
['mr', [12557, 12559]]
['mr', [12653, 12655]]
['mr', [12855, 12857]]
['mr', [13342, 13344]]
['mr', [13405, 13407]]
['mr', [13497, 13499]]
['mr', [13651, 13653]]
['mr', [13754, 13756]]
['mr', [17420, 17422]]
['mr', [18412, 18414]]
['mr', [18465, 18467]]
['mr', [18546, 18548]]
['mr', [18642, 18644]]
['mr', [18844, 18846]]
['mr', [19331, 19333]]
['mr', [19394, 19396]]
['mr', [19486, 19488]]
['mr', [19640, 19642]]
['mr', [19743, 19745]]
['mr', [22875, 22877]]
['mr', [24517, 24519]]
['mr', [25510, 25512]]
['mr', [25563, 25565]]
['mr', [25644, 25646]]
['mr', [25740, 25742]]
['mr', [25942, 25944]]
['mr', [26416, 26418]]
['mr', [26469, 26471]]
['mr', [26550, 26552]]
['mr', [26646, 26648]]
['mr', [26848, 26850]]
['mr', [27336, 27338]]
['mr', [27399, 27401]]
['mr', [27491, 27493]]
['mr', [27645, 27647]]
['mr', [27748, 27750]]
['mr', [28030, 28032]]
['mr', [28093, 28095]]
['mr', [28185, 28187]]
['mr', [28339, 28341]]
['mr', [28442, 28444]]
['mr', [35201, 35203]]
['mr', [35519, 35521]]
['mr', [35615, 35617]]
['mr', [35905, 35907]]
['mr', [36018, 36020]]
['mr', [36195, 36197]]
['mr', [36310, 36312]]
['mr', [36393, 36395]]
['mr', [37027, 37029]]
['mr', [37247, 37249]]
['mr', [37299, 37301]]
['mr', [38854, 38856]]
['mr', [42198, 42200]]
['mr', [42516, 42518]]
['mr', [42612, 42614]]
['mr', [42902, 42904]]
['mr', [43015, 43017]]
['mr', [43192, 43194]]
['mr', [43307, 43309]]
['mr', [43390, 43392]]
['mr', [44024, 44026]]
['mr', [44244, 44246]]
['mr', [44296, 44298]]
['mr', [45851, 45853]]
['mr', [48088, 48090]]
['mr', [48280, 48282]]
['mr', [48729, 48731]]
['mr', [48948, 48950]]
['unit', [1888, 1892]]
['unit', [8104, 8108]]
['tr\\/te', [8486, 8492]]
['tr\\/te', [8526, 8532]]
['tr\\/te', [8606, 8612]]
['11000\\/140', [8612, 8622]]
['sequences', [8437, 8446]]
['sequences', [8792, 8801]]
['table', [12684, 12689]]
['table', [13448, 13453]]
['table', [18673, 18678]]
['table', [19437, 19442]]
['table', [25771, 25776]]
['table', [26677, 26682]]
['table', [27442, 27447]]
['table', [28136, 28141]]
['table', [48531, 48536]]
['table', [48891, 48896]]
['1', [1173, 1174]]
['1', [1174, 1175]]
['1', [1242, 1243]]
['1', [1244, 1245]]
['1', [1921, 1922]]
['1', [1928, 1929]]
['1', [2000, 2001]]
['1', [3307, 3308]]
['1', [3552, 3553]]
['1', [3553, 3554]]
['1', [5517, 5518]]
['1', [5518, 5519]]
['1', [5586, 5587]]
['1', [5588, 5589]]
['1', [6284, 6285]]
['1', [7875, 7876]]
['1', [7885, 7886]]
['1', [7901, 7902]]
['1', [8096, 8097]]
['1', [8220, 8221]]
['1', [8468, 8469]]
['1', [8496, 8497]]
['1', [8544, 8545]]
['1', [8612, 8613]]
['1', [8613, 8614]]
['1', [8618, 8619]]
['1', [8685, 8686]]
['1', [8752, 8753]]
['1', [8845, 8846]]
['1', [8862, 8863]]
['1', [8898, 8899]]
['1', [8991, 8992]]
['1', [10364, 10365]]
['1', [10614, 10615]]
['1', [10676, 10677]]
['1', [10680, 10681]]
['1', [10997, 10998]]
['1', [11588, 11589]]
['1', [11628, 11629]]
['1', [11718, 11719]]
['1', [11794, 11795]]
['1', [11799, 11800]]
['1', [11881, 11882]]
['1', [11923, 11924]]
['1', [11973, 11974]]
['1', [12119, 12120]]
['1', [12120, 12121]]
['1', [12248, 12249]]
['1', [12250, 12251]]
['1', [12274, 12275]]
['1', [12275, 12276]]
['1', [12923, 12924]]
['1', [13454, 13455]]
['1', [13601, 13602]]
['1', [13880, 13881]]
['1', [14154, 14155]]
['1', [14159, 14160]]
['1', [14213, 14214]]
['1', [14341, 14342]]
['1', [14487, 14488]]
['1', [14653, 14654]]
['1', [14854, 14855]]
['1', [14859, 14860]]
['1', [14941, 14942]]
['1', [15004, 15005]]
['1', [15035, 15036]]
['1', [15036, 15037]]
['1', [15066, 15067]]
['1', [15183, 15184]]
['1', [15206, 15207]]
['1', [15229, 15230]]
['1', [15288, 15289]]
['1', [15358, 15359]]
['1', [16353, 16354]]
['1', [16603, 16604]]
['1', [16665, 16666]]
['1', [16669, 16670]]
['1', [16986, 16987]]
['1', [17577, 17578]]
['1', [17617, 17618]]
['1', [17707, 17708]]
['1', [17783, 17784]]
['1', [17788, 17789]]
['1', [17870, 17871]]
['1', [17912, 17913]]
['1', [17962, 17963]]
['1', [18108, 18109]]
['1', [18109, 18110]]
['1', [18237, 18238]]
['1', [18239, 18240]]
['1', [18263, 18264]]
['1', [18264, 18265]]
['1', [18912, 18913]]
['1', [19443, 19444]]
['1', [19590, 19591]]
['1', [19869, 19870]]
['1', [20143, 20144]]
['1', [20148, 20149]]
['1', [20202, 20203]]
['1', [20330, 20331]]
['1', [20476, 20477]]
['1', [20642, 20643]]
['1', [20843, 20844]]
['1', [20848, 20849]]
['1', [20930, 20931]]
['1', [20993, 20994]]
['1', [21024, 21025]]
['1', [21025, 21026]]
['1', [21055, 21056]]
['1', [21172, 21173]]
['1', [21195, 21196]]
['1', [21218, 21219]]
['1', [21277, 21278]]
['1', [21347, 21348]]
['1', [22441, 22442]]
['1', [23032, 23033]]
['1', [23072, 23073]]
['1', [23162, 23163]]
['1', [23238, 23239]]
['1', [23243, 23244]]
['1', [23325, 23326]]
['1', [23367, 23368]]
['1', [23417, 23418]]
['1', [23563, 23564]]
['1', [23564, 23565]]
['1', [23692, 23693]]
['1', [23694, 23695]]
['1', [23718, 23719]]
['1', [23719, 23720]]
['1', [24083, 24084]]
['1', [24674, 24675]]
['1', [24714, 24715]]
['1', [24804, 24805]]
['1', [24880, 24881]]
['1', [24885, 24886]]
['1', [24967, 24968]]
['1', [25009, 25010]]
['1', [25059, 25060]]
['1', [25205, 25206]]
['1', [25206, 25207]]
['1', [25334, 25335]]
['1', [25336, 25337]]
['1', [25360, 25361]]
['1', [25361, 25362]]
['1', [26010, 26011]]
['1', [26916, 26917]]
['1', [27448, 27449]]
['1', [27595, 27596]]
['1', [27874, 27875]]
['1', [28142, 28143]]
['1', [28289, 28290]]
['1', [28568, 28569]]
['1', [28843, 28844]]
['1', [28848, 28849]]
['1', [28902, 28903]]
['1', [29030, 29031]]
['1', [29176, 29177]]
['1', [29342, 29343]]
['1', [29479, 29480]]
['1', [29484, 29485]]
['1', [29538, 29539]]
['1', [29666, 29667]]
['1', [29812, 29813]]
['1', [29978, 29979]]
['1', [30180, 30181]]
['1', [30185, 30186]]
['1', [30267, 30268]]
['1', [30330, 30331]]
['1', [30361, 30362]]
['1', [30362, 30363]]
['1', [30392, 30393]]
['1', [30509, 30510]]
['1', [30532, 30533]]
['1', [30555, 30556]]
['1', [30614, 30615]]
['1', [30684, 30685]]
['1', [31761, 31762]]
['1', [31766, 31767]]
['1', [31848, 31849]]
['1', [31911, 31912]]
['1', [31942, 31943]]
['1', [31943, 31944]]
['1', [31973, 31974]]
['1', [32090, 32091]]
['1', [32113, 32114]]
['1', [32136, 32137]]
['1', [32195, 32196]]
['1', [32265, 32266]]
['1', [34527, 34528]]
['1', [34528, 34529]]
['1', [34685, 34686]]
['1', [34852, 34853]]
['1', [35377, 35378]]
['1', [36374, 36375]]
['1', [36379, 36380]]
['1', [36384, 36385]]
['1', [36485, 36486]]
['1', [37173, 37174]]
['1', [37228, 37229]]
['1', [37327, 37328]]
['1', [37417, 37418]]
['1', [37710, 37711]]
['1', [37855, 37856]]
['1', [37860, 37861]]
['1', [38164, 38165]]
['1', [41524, 41525]]
['1', [41525, 41526]]
['1', [41682, 41683]]
['1', [41849, 41850]]
['1', [42374, 42375]]
['1', [43371, 43372]]
['1', [43376, 43377]]
['1', [43381, 43382]]
['1', [43482, 43483]]
['1', [44170, 44171]]
['1', [44225, 44226]]
['1', [44324, 44325]]
['1', [44414, 44415]]
['1', [44707, 44708]]
['1', [44852, 44853]]
['1', [44857, 44858]]
['1', [45161, 45162]]
['1', [48544, 48545]]
['1', [48553, 48554]]
['1', [48706, 48707]]
['1', [48897, 48898]]
['1', [49023, 49024]]
['1', [49035, 49036]]
['1', [49038, 49039]]
['1', [49045, 49046]]
['rib', [3511, 3514]]
['rib', [9251, 9254]]
['rib', [14287, 14290]]
['rib', [14379, 14382]]
['rib', [20276, 20279]]
['rib', [20368, 20371]]
['rib', [28976, 28979]]
['rib', [29068, 29071]]
['rib', [29612, 29615]]
['rib', [29704, 29707]]
['perform\\.', [33388, 33397]]
['perform\\.', [40385, 40394]]
['hemosiderin', [36611, 36622]]
['hemosiderin', [43608, 43619]]
['ischemia\\.', [13863, 13873]]
['ischemia\\.', [19852, 19862]]
['ischemia\\.', [27857, 27867]]
['ischemia\\.', [28551, 28561]]
['ischemia\\.', [48689, 48699]]
['figure', [13873, 13879]]
['figure', [19862, 19868]]
['figure', [27867, 27873]]
['figure', [28561, 28567]]
['figure', [48520, 48526]]
['figure', [48537, 48543]]
['figure', [48546, 48552]]
['figure', [48699, 48705]]
['1b\\.', [48706, 48710]]
['diffusion', [7698, 7707]]
['diffusion', [8630, 8639]]
['diffusion', [13993, 14002]]
['diffusion', [15806, 15815]]
['diffusion', [19982, 19991]]
['diffusion', [21795, 21804]]
['diffusion', [27987, 27996]]
['diffusion', [28681, 28690]]
['diffusion', [31132, 31141]]
['diffusion', [32713, 32722]]
['diffusion', [36537, 36546]]
['diffusion', [36841, 36850]]
['diffusion', [43534, 43543]]
['diffusion', [43838, 43847]]
['diffusion', [48710, 48719]]
['weighted', [8596, 8604]]
['weighted', [8640, 8648]]
['weighted', [8900, 8908]]
['weighted', [8927, 8935]]
