['se', [11866, 11868]]
['se', [11942, 11944]]
['se', [12019, 12021]]
['se', [12069, 12071]]
['se', [12314, 12316]]
['se', [12331, 12333]]
['se', [12377, 12379]]
['se', [12380, 12382]]
['se', [12442, 12444]]
['se', [12644, 12646]]
['se', [12755, 12757]]
['se', [12868, 12870]]
['se', [13360, 13362]]
['se', [13363, 13365]]
['se', [13419, 13421]]
['se', [13471, 13473]]
['se', [13477, 13479]]
['se', [13564, 13566]]
['se', [13632, 13634]]
['se', [13701, 13703]]
['se', [13879, 13881]]
['se', [13882, 13884]]
['se', [13917, 13919]]
['se', [13965, 13967]]
['se', [13975, 13977]]
['se', [13987, 13989]]
['se', [13993, 13995]]
['se', [14057, 14059]]
['se', [14162, 14164]]
['se', [14197, 14199]]
['se', [14274, 14276]]
['se', [14340, 14342]]
['se', [14361, 14363]]
['se', [14551, 14553]]
['se', [14715, 14717]]
['se', [14803, 14805]]
['se', [14830, 14832]]
['se', [14926, 14928]]
['se', [15049, 15051]]
['se', [15062, 15064]]
['se', [15226, 15228]]
['se', [15311, 15313]]
['se', [15427, 15429]]
['se', [15585, 15587]]
['se', [15689, 15691]]
['se', [15692, 15694]]
['se', [15780, 15782]]
['se', [15882, 15884]]
['se', [15936, 15938]]
['se', [15939, 15941]]
['se', [16087, 16089]]
['se', [16267, 16269]]
['se', [16413, 16415]]
['se', [16504, 16506]]
['se', [16512, 16514]]
['se', [16553, 16555]]
['se', [16595, 16597]]
['se', [16629, 16631]]
['se', [16632, 16634]]
['se', [16667, 16669]]
['se', [16846, 16848]]
['se', [16893, 16895]]
['se', [16903, 16905]]


spacy + metamap: 1978['potential', [0, 9]]
['potential', [3079, 3088]]
['potential', [3456, 3465]]
['potential', [3765, 3774]]
['potential', [3889, 3898]]
['potential', [6948, 6957]]
['potential', [8469, 8478]]
['potential', [8993, 9002]]
['potential', [12741, 12750]]
['potential', [14748, 14757]]
['potential', [15571, 15580]]
['potential', [15855, 15864]]
['stages', [10, 16]]
['stages', [476, 482]]
['stages', [1416, 1422]]
['stages', [3206, 3212]]
['stages', [6997, 7003]]
['stages', [13366, 13372]]
['stages', [13523, 13529]]
['stages', [14101, 14107]]
['stages', [14758, 14764]]
['stages', [15792, 15798]]
['prostate cancer prevention', [21, 47]]
['prostate cancer prevention', [4062, 4088]]
['prostate cancer prevention', [10055, 10081]]
['selenium', [53, 61]]
['selenium', [525, 533]]
['selenium', [795, 803]]
['selenium', [3111, 3119]]
['selenium', [3266, 3274]]
['selenium', [4032, 4040]]
['selenium', [4049, 4057]]
['selenium', [4148, 4156]]
['selenium', [4426, 4434]]
['selenium', [4583, 4591]]
['selenium', [4978, 4986]]
['selenium', [5058, 5066]]
['selenium', [5277, 5285]]
['selenium', [5355, 5363]]
['selenium', [5718, 5726]]
['selenium', [5791, 5799]]
['selenium', [5867, 5875]]
['selenium', [6048, 6056]]
['selenium', [6314, 6322]]
['selenium', [6469, 6477]]
['selenium', [6968, 6976]]
['selenium', [7048, 7056]]
['selenium', [7242, 7250]]
['selenium', [7491, 7499]]
['selenium', [7613, 7621]]
['selenium', [7847, 7855]]
['selenium', [7861, 7869]]
['selenium', [7989, 7997]]
['selenium', [8102, 8110]]
['selenium', [8494, 8502]]
['selenium', [9041, 9049]]
['selenium', [9227, 9235]]
['selenium', [9450, 9458]]
['selenium', [9687, 9695]]
