['t', [12498, 12499]]
['t', [12513, 12514]]
['t', [12533, 12534]]
['t', [12542, 12543]]
['t', [12593, 12594]]
['t', [12625, 12626]]
['t', [12636, 12637]]
['t', [12642, 12643]]
['t', [12696, 12697]]
['t', [12750, 12751]]
['t', [12758, 12759]]
['t', [12777, 12778]]
['t', [12797, 12798]]
['t', [12803, 12804]]
['t', [12821, 12822]]
['t', [12825, 12826]]
['t', [12841, 12842]]
['t', [12858, 12859]]
['t', [12867, 12868]]
['t', [12877, 12878]]
['t', [12885, 12886]]
['t', [12889, 12890]]
['t', [12909, 12910]]
['t', [12955, 12956]]
['t', [12959, 12960]]
['t', [12988, 12989]]
['t', [13007, 13008]]
['t', [13042, 13043]]
['t', [13052, 13053]]
['t', [13060, 13061]]
['t', [13069, 13070]]
['t', [13086, 13087]]
['t', [13114, 13115]]
['t', [13118, 13119]]
['t', [13135, 13136]]
['t', [13165, 13166]]
['t', [13179, 13180]]
['t', [13188, 13189]]
['t', [13196, 13197]]
['t', [13201, 13202]]
['t', [13208, 13209]]
['t', [13219, 13220]]
['t', [13263, 13264]]
['t', [13269, 13270]]
['t', [13299, 13300]]
['t', [13313, 13314]]
['t', [13348, 13349]]
['t', [13354, 13355]]
['t', [13364, 13365]]
['t', [13390, 13391]]
['t', [13395, 13396]]
['t', [13411, 13412]]
['t', [13414, 13415]]
['t', [13421, 13422]]
['t', [13431, 13432]]
['t', [13436, 13437]]
['t', [13465, 13466]]
['t', [13493, 13494]]
['t', [13507, 13508]]
['t', [13523, 13524]]
['t', [13553, 13554]]
['t', [13568, 13569]]
['t', [13590, 13591]]
['t', [13620, 13621]]
['t', [13628, 13629]]
['t', [13636, 13637]]
['t', [13660, 13661]]
['t', [13686, 13687]]
['t', [13731, 13732]]
['t', [13747, 13748]]
['t', [13755, 13756]]
['t', [13783, 13784]]
['t', [13807, 13808]]
['t', [13822, 13823]]
['t', [13839, 13840]]
['t', [13859, 13860]]
['t', [13887, 13888]]
['t', [13889, 13890]]
['t', [13891, 13892]]
['t', [13897, 13898]]
['t', [13909, 13910]]
['t', [13925, 13926]]
['t', [13936, 13937]]
['t', [13970, 13971]]
['t', [13975, 13976]]
['t', [13983, 13984]]
['t', [13984, 13985]]
['t', [13986, 13987]]
['t', [13994, 13995]]
['t', [13996, 13997]]
['t', [14001, 14002]]
['t', [14010, 14011]]
['t', [14016, 14017]]
['t', [14021, 14022]]
['t', [14022, 14023]]
['t', [14025, 14026]]
['t', [14038, 14039]]
['t', [14040, 14041]]
['t', [14042, 14043]]
['t', [14085, 14086]]
['t', [14087, 14088]]
['t', [14088, 14089]]
['t', [14089, 14090]]
