['human', [98356, 98361]]
['human', [98856, 98861]]
['human', [99021, 99026]]
['human', [99283, 99288]]
['human', [99506, 99511]]
['human', [99762, 99767]]
['human', [99907, 99912]]
['human', [100407, 100412]]
['human', [100572, 100577]]
['human', [100834, 100839]]
['human', [106010, 106015]]
['human', [106301, 106306]]
['human', [106554, 106559]]
['human', [107384, 107389]]
['human', [107597, 107602]]
['human', [114088, 114093]]
['human', [114379, 114384]]
['human', [114632, 114637]]
['human', [115462, 115467]]
['human', [115675, 115680]]
['cognitive', [95, 104]]
['cognitive', [1298, 1307]]
['cognitive', [1971, 1980]]
['cognitive', [2144, 2153]]
['cognitive', [2319, 2328]]
['cognitive', [3398, 3407]]
['cognitive', [3539, 3548]]
['cognitive', [8285, 8294]]
['cognitive', [108660, 108669]]
['cognitive', [116738, 116747]]
['sequence', [733, 741]]
['sequence', [4469, 4477]]
['sequence', [8295, 8303]]
['sequence', [9274, 9282]]
['sequence', [26754, 26762]]
['sequence', [26842, 26850]]
['sequence', [28368, 28376]]
['sequence', [29295, 29303]]
['sequence', [55212, 55220]]
['sequence', [55300, 55308]]
['sequence', [56826, 56834]]
['sequence', [57753, 57761]]
['sequence', [64955, 64963]]
['sequence', [72473, 72481]]
['sequence', [79983, 79991]]
['sequence', [82527, 82535]]
['sequence', [102173, 102181]]
['sequence', [102807, 102815]]
['sequence', [110251, 110259]]
['sequence', [110885, 110893]]
['msns\\.', [8849, 8855]]
['msns\\.', [9002, 9008]]
['msns\\.', [17735, 17741]]
['msns\\.', [43394, 43400]]
['ltp', [5618, 5621]]
['ltp', [8995, 8998]]
['ltp', [18872, 18875]]
['ltp', [19648, 19651]]
['ltp', [19959, 19962]]
['ltp', [20001, 20004]]
['ltp', [20390, 20393]]
['ltp', [20644, 20647]]
['ltp', [21941, 21944]]
['ltp', [22063, 22066]]
['ltp', [22510, 22513]]
['ltp', [23124, 23127]]
['ltp', [32837, 32840]]
['ltp', [44532, 44535]]
['ltp', [45308, 45311]]
['ltp', [45619, 45622]]
['ltp', [45661, 45664]]
['ltp', [46050, 46053]]
['ltp', [46304, 46307]]
['ltp', [47601, 47604]]
['ltp', [47723, 47726]]
['ltp', [48170, 48173]]
['ltp', [48784, 48787]]
['ltp', [61295, 61298]]
['stdp', [9097, 9101]]
['stdp', [18993, 18997]]
['stdp', [19218, 19222]]
['stdp', [19406, 19410]]
['stdp', [20120, 20124]]
['stdp', [20220, 20224]]
['stdp', [20341, 20345]]
['stdp', [21958, 21962]]
['stdp', [22408, 22412]]
['stdp', [22423, 22427]]
['stdp', [44653, 44657]]
['stdp', [44878, 44882]]
['stdp', [45066, 45070]]
['stdp', [45780, 45784]]
['stdp', [45880, 45884]]
['stdp', [46001, 46005]]
['stdp', [47618, 47622]]
['stdp', [48068, 48072]]
['stdp', [48083, 48087]]
['original', [9265, 9273]]
['original', [20918, 20926]]
['original', [46578, 46586]]
['original', [65394, 65402]]
['original', [72912, 72920]]
['original', [80422, 80430]]
['original', [82966, 82974]]
['original', [104533, 104541]]
['original', [112611, 112619]]
['ikir', [10322, 10326]]
['ikir', [10388, 10392]]
['ikir', [10545, 10549]]
['ikir', [12820, 12824]]
['ikir', [13673, 13677]]
['ikir', [13976, 13980]]
['ikir', [14045, 14049]]
['ikir', [35980, 35984]]
['ikir', [36046, 36050]]
['ikir', [36203, 36207]]
['ikir', [38478, 38482]]
['ikir', [39332, 39336]]
['ikir', [39635, 39639]]
['ikir', [39704, 39708]]
['ikir', [66805, 66809]]
['ikir', [74323, 74327]]
['ikir', [84378, 84382]]
['ikir', [87795, 87799]]
['ikrp', [11643, 11647]]
['ikrp', [13819, 13823]]
['ikrp', [37301, 37305]]
['ikrp', [39478, 39482]]
['il-ca', [11973, 11978]]
['il-ca', [12841, 12846]]
['il-ca', [13724, 13729]]
['il-ca', [13985, 13990]]
['il-ca', [14054, 14059]]
['il-ca', [14146, 14151]]
['il-ca', [15173, 15178]]
['il-ca', [37631, 37636]]
['il-ca', [38499, 38504]]
['il-ca', [39383, 39388]]
['il-ca', [39644, 39649]]
['il-ca', [39713, 39718]]
['il-ca', [39805, 39810]]
['il-ca', [40832, 40837]]
['i', [15, 16]]
['i', [33, 34]]
['i', [44, 45]]
['i', [52, 53]]
['i', [56, 57]]
['i', [62, 63]]
['i', [72, 73]]
['i', [85, 86]]
['i', [91, 92]]
['i', [99, 100]]
['i', [101, 102]]
['i', [108, 109]]
['i', [110, 111]]
['i', [114, 115]]
['i', [121, 122]]
['i', [132, 133]]
['i', [146, 147]]
['i', [157, 158]]
['i', [162, 163]]
['i', [176, 177]]
['i', [192, 193]]
['i', [206, 207]]
['i', [210, 211]]
['i', [231, 232]]
['i', [234, 235]]
['i', [249, 250]]
['i', [253, 254]]
['i', [268, 269]]
['i', [287, 288]]
['i', [304, 305]]
['i', [357, 358]]
['i', [364, 365]]
['i', [380, 381]]
['i', [387, 388]]
['i', [390, 391]]
['i', [423, 424]]
['i', [429, 430]]
['i', [445, 446]]
['i', [471, 472]]
['i', [473, 474]]
['i', [488, 489]]
['i', [498, 499]]
['i', [515, 516]]
['i', [538, 539]]
['i', [562, 563]]
['i', [572, 573]]
['i', [608, 609]]
['i', [624, 625]]
['i', [644, 645]]
['i', [654, 655]]
['i', [666, 667]]
['i', [671, 672]]
['i', [680, 681]]
['i', [697, 698]]
['i', [716, 717]]
['i', [747, 748]]
['i', [761, 762]]
['i', [771, 772]]
['i', [816, 817]]
['i', [833, 834]]
['i', [844, 845]]
['i', [862, 863]]
['i', [902, 903]]
['i', [910, 911]]
['i', [921, 922]]
['i', [932, 933]]
['i', [973, 974]]
['i', [975, 976]]
['i', [984, 985]]
['i', [1011, 1012]]
['i', [1015, 1016]]
['i', [1032, 1033]]
['i', [1041, 1042]]
['i', [1044, 1045]]
['i', [1070, 1071]]
['i', [1086, 1087]]
['i', [1089, 1090]]
['i', [1113, 1114]]
['i', [1142, 1143]]
['i', [1157, 1158]]
['i', [1185, 1186]]
['i', [1194, 1195]]
['i', [1202, 1203]]
['i', [1227, 1228]]
['i', [1264, 1265]]
['i', [1267, 1268]]
['i', [1285, 1286]]
['i', [1302, 1303]]
['i', [1304, 1305]]
['i', [1316, 1317]]
['i', [1326, 1327]]
['i', [1333, 1334]]
['i', [1344, 1345]]
['i', [1374, 1375]]
['i', [1397, 1398]]
['i', [1414, 1415]]
['i', [1445, 1446]]
['i', [1464, 1465]]
['i', [1472, 1473]]
['i', [1477, 1478]]
['i', [1500, 1501]]
['i', [1522, 1523]]
['i', [1526, 1527]]
['i', [1557, 1558]]
['i', [1575, 1576]]
['i', [1595, 1596]]
['i', [1599, 1600]]
['i', [1612, 1613]]
['i', [1621, 1622]]
['i', [1640, 1641]]
['i', [1661, 1662]]
['i', [1685, 1686]]
['i', [1695, 1696]]
['i', [1699, 1700]]
['i', [1735, 1736]]
['i', [1743, 1744]]
['i', [1751, 1752]]
['i', [1763, 1764]]
['i', [1773, 1774]]
['i', [1780, 1781]]
['i', [1788, 1789]]
['i', [1816, 1817]]
['i', [1820, 1821]]
['i', [1829, 1830]]
['i', [1836, 1837]]
['i', [1881, 1882]]
['i', [1902, 1903]]
['i', [1906, 1907]]
['i', [1952, 1953]]
['i', [1961, 1962]]
['i', [1965, 1966]]
['i', [1975, 1976]]
['i', [1977, 1978]]
['i', [1986, 1987]]
['i', [2003, 2004]]
['i', [2013, 2014]]
['i', [2043, 2044]]
['i', [2051, 2052]]
['i', [2062, 2063]]
['i', [2091, 2092]]
['i', [2100, 2101]]
['i', [2105, 2106]]
['i', [2111, 2112]]
['i', [2115, 2116]]
['i', [2123, 2124]]
['i', [2127, 2128]]
['i', [2140, 2141]]
['i', [2148, 2149]]
['i', [2150, 2151]]
['i', [2275, 2276]]
['i', [2285, 2286]]
['i', [2289, 2290]]
['i', [2294, 2295]]
['i', [2310, 2311]]
['i', [2323, 2324]]
['i', [2325, 2326]]
['i', [2332, 2333]]
['i', [2334, 2335]]
['i', [2381, 2382]]
['i', [2386, 2387]]
['i', [2396, 2397]]
['i', [2412, 2413]]
['i', [2450, 2451]]
['i', [2474, 2475]]
['i', [2478, 2479]]
['i', [2516, 2517]]
['i', [2534, 2535]]
['i', [2548, 2549]]
['i', [2572, 2573]]
['i', [2574, 2575]]
['i', [2587, 2588]]
['i', [2596, 2597]]
['i', [2601, 2602]]
['i', [2623, 2624]]
['i', [2627, 2628]]
['i', [2641, 2642]]
['i', [2658, 2659]]
['i', [2666, 2667]]
['i', [2673, 2674]]
['i', [2681, 2682]]
['i', [2686, 2687]]
['i', [2694, 2695]]
['i', [2726, 2727]]
['i', [2728, 2729]]
['i', [2732, 2733]]
['i', [2747, 2748]]
['i', [2751, 2752]]
['i', [2822, 2823]]
['i', [2824, 2825]]
['i', [2828, 2829]]
['i', [2897, 2898]]
['i', [2913, 2914]]
['i', [2916, 2917]]
['i', [2918, 2919]]
['i', [2936, 2937]]
['i', [2949, 2950]]
['i', [2952, 2953]]
['i', [2957, 2958]]
['i', [2989, 2990]]
['i', [2994, 2995]]
['i', [3008, 3009]]
['i', [3035, 3036]]
['i', [3069, 3070]]
['i', [3072, 3073]]
['i', [3096, 3097]]
['i', [3105, 3106]]
['i', [3109, 3110]]
['i', [3128, 3129]]
['i', [3134, 3135]]
['i', [3144, 3145]]
['i', [3170, 3171]]
['i', [3180, 3181]]
['i', [3194, 3195]]
['i', [3196, 3197]]
['i', [3201, 3202]]
['i', [3232, 3233]]
['i', [3236, 3237]]
['i', [3266, 3267]]
['i', [3289, 3290]]
['i', [3298, 3299]]
['i', [3332, 3333]]
['i', [3336, 3337]]
['i', [3353, 3354]]
['i', [3356, 3357]]
['i', [3390, 3391]]
['i', [3402, 3403]]
['i', [3404, 3405]]
['i', [3424, 3425]]
['i', [3434, 3435]]
['i', [3462, 3463]]
['i', [3466, 3467]]
['i', [3470, 3471]]
['i', [3476, 3477]]
['i', [3507, 3508]]
['i', [3524, 3525]]
['i', [3527, 3528]]
['i', [3543, 3544]]
['i', [3545, 3546]]
['i', [3549, 3550]]
['i', [3553, 3554]]
['i', [3560, 3561]]
['i', [3566, 3567]]
['i', [3576, 3577]]
