['macrophages', [35513, 35524]]
['macrophages', [36144, 36155]]
['macrophages', [36190, 36201]]
['macrophages', [36462, 36473]]
['macrophages', [36634, 36645]]
['macrophages', [36923, 36934]]
['macrophages', [36959, 36970]]
['macrophages', [37023, 37034]]
['macrophages', [37392, 37403]]
['macrophages', [37512, 37523]]
['macrophages', [37622, 37633]]
['macrophages', [37753, 37764]]
['macrophages', [38473, 38484]]
['macrophages', [38670, 38681]]
['macrophages', [39020, 39031]]
['macrophages', [39298, 39309]]
['macrophages', [39337, 39348]]
['macrophages', [39484, 39495]]
['macrophages', [39523, 39534]]
['macrophages', [39645, 39656]]
['macrophages', [39949, 39960]]
['macrophages', [40022, 40033]]
['macrophages', [40126, 40137]]
['macrophages', [40247, 40258]]
['macrophages', [40328, 40339]]
['macrophages', [40508, 40519]]
['macrophages', [40581, 40592]]
['macrophages', [40685, 40696]]
['macrophages', [40754, 40765]]
['macrophages', [40951, 40962]]
['macrophages', [41024, 41035]]
['macrophages', [41072, 41083]]
['macrophages', [41120, 41131]]
['macrophages', [41169, 41180]]
['macrophages', [41221, 41232]]
['macrophages', [41455, 41466]]
['macrophages', [41539, 41550]]
['macrophages', [41583, 41594]]
['macrophages', [41949, 41960]]
['macrophages', [42022, 42033]]
['macrophages', [42126, 42137]]
['macrophages', [42247, 42258]]
['macrophages', [42328, 42339]]
['macrophages', [42508, 42519]]
['macrophages', [42581, 42592]]
['macrophages', [42685, 42696]]
['macrophages', [42754, 42765]]
['macrophages', [42951, 42962]]
['macrophages', [43024, 43035]]
['macrophages', [43072, 43083]]
['macrophages', [43120, 43131]]
['macrophages', [43169, 43180]]
['macrophages', [43221, 43232]]
['macrophages', [43455, 43466]]
['macrophages', [43539, 43550]]
['macrophages', [43583, 43594]]
['nrf2', [89, 93]]
['nrf2', [562, 566]]
['nrf2', [577, 581]]
['nrf2', [611, 615]]
['nrf2', [838, 842]]
['nrf2', [950, 954]]
['nrf2', [1078, 1082]]
['nrf2', [2790, 2794]]
['nrf2', [3039, 3043]]
['nrf2', [3197, 3201]]
['nrf2', [3508, 3512]]
['nrf2', [3667, 3671]]
['nrf2', [3682, 3686]]
['nrf2', [3940, 3944]]
['nrf2', [3991, 3995]]
['nrf2', [4042, 4046]]
['nrf2', [4170, 4174]]
['nrf2', [4237, 4241]]
['nrf2', [4582, 4586]]
['nrf2', [4597, 4601]]
['nrf2', [4701, 4705]]
['nrf2', [8907, 8911]]
['nrf2', [8974, 8978]]
['nrf2', [9319, 9323]]
['nrf2', [9334, 9338]]
['nrf2', [9438, 9442]]
['nrf2', [13672, 13676]]
['nrf2', [13687, 13691]]
['nrf2', [13987, 13991]]
['nrf2', [14032, 14036]]
['nrf2', [14088, 14092]]
['nrf2', [14140, 14144]]
['nrf2', [14624, 14628]]
['nrf2', [14787, 14791]]
['nrf2', [14939, 14943]]
['nrf2', [14993, 14997]]
['nrf2', [15251, 15255]]
['nrf2', [15289, 15293]]
['nrf2', [15467, 15471]]
['nrf2', [15505, 15509]]
['nrf2', [15689, 15693]]
['nrf2', [15814, 15818]]
['nrf2', [15852, 15856]]
['nrf2', [15940, 15944]]
['nrf2', [16037, 16041]]
['nrf2', [16245, 16249]]
['nrf2', [16294, 16298]]
['nrf2', [16419, 16423]]
['nrf2', [16555, 16559]]
