['1', [2893, 2894]]
['1', [3030, 3031]]
['1', [3158, 3159]]
['1', [3256, 3257]]
['1', [3414, 3415]]
['1', [3594, 3595]]
['1', [3785, 3786]]
['1', [3862, 3863]]
['1', [3867, 3868]]
['1', [3925, 3926]]
['1', [3933, 3934]]
['1', [4083, 4084]]
['1', [4092, 4093]]
['1', [4119, 4120]]
['1', [4259, 4260]]
['1', [4474, 4475]]
['1', [4534, 4535]]
['1', [4702, 4703]]
['1', [4727, 4728]]
['1', [4877, 4878]]
['1', [5471, 5472]]
['1', [5517, 5518]]
['1', [5557, 5558]]
['1', [5712, 5713]]
['1', [5783, 5784]]
['1', [5818, 5819]]
['1', [5847, 5848]]
['1', [6212, 6213]]
['1', [6404, 6405]]
['1', [6467, 6468]]
['1', [6677, 6678]]
['1', [6765, 6766]]
['1', [6837, 6838]]
['1', [6842, 6843]]
['1', [7069, 7070]]
['1', [7349, 7350]]
['1', [7372, 7373]]
['1', [7379, 7380]]
['1', [7768, 7769]]
['1', [7857, 7858]]
['1', [7860, 7861]]
['1', [7930, 7931]]
['1', [8152, 8153]]
['1', [9011, 9012]]
['1', [9040, 9041]]
['1', [9069, 9070]]
['1', [9110, 9111]]
['1', [9160, 9161]]
['1', [9221, 9222]]
['1', [9235, 9236]]
['1', [9365, 9366]]
['1', [9621, 9622]]
['1', [9869, 9870]]
['1', [9890, 9891]]
['1', [10235, 10236]]
['1', [10323, 10324]]
['1', [10361, 10362]]
['1', [10446, 10447]]
['1', [10449, 10450]]
['1', [10549, 10550]]
['1', [10682, 10683]]
['1', [10746, 10747]]
['1', [10793, 10794]]
['1', [10848, 10849]]
['1', [11334, 11335]]
['1', [11463, 11464]]
['1', [11469, 11470]]
['1', [11476, 11477]]
['1', [11484, 11485]]
['1', [11490, 11491]]
['1', [11498, 11499]]
['1', [11695, 11696]]
['1', [11847, 11848]]
['1', [11855, 11856]]
['1', [11967, 11968]]
['1', [12106, 12107]]
['1', [12224, 12225]]
['1', [12299, 12300]]
['1', [12535, 12536]]
['1', [12611, 12612]]
['1', [12648, 12649]]
['1', [12662, 12663]]
['1', [12673, 12674]]
['1', [12756, 12757]]
['1', [12978, 12979]]
['1', [12984, 12985]]
['1', [13078, 13079]]
['1', [13146, 13147]]
['1', [13430, 13431]]
['1', [13436, 13437]]
['1', [13547, 13548]]
['1', [13595, 13596]]
['1', [13668, 13669]]
['1', [13704, 13705]]
['1', [13746, 13747]]
['1', [13813, 13814]]
['1', [14154, 14155]]
['1', [14229, 14230]]
['1', [14252, 14253]]
['1', [14345, 14346]]
['1', [14806, 14807]]
['1', [14853, 14854]]
['1', [14903, 14904]]
['1', [15818, 15819]]
['1', [16780, 16781]]
['1', [16826, 16827]]
['1', [16866, 16867]]
['1', [17022, 17023]]
['1', [17093, 17094]]
['1', [17128, 17129]]
['1', [17157, 17158]]
['1', [17522, 17523]]
['1', [17714, 17715]]
['1', [17777, 17778]]
['1', [17988, 17989]]
['1', [18076, 18077]]
['1', [18148, 18149]]
['1', [18153, 18154]]
['1', [18380, 18381]]
['1', [18661, 18662]]
['1', [18684, 18685]]
['1', [18691, 18692]]
['1', [19080, 19081]]
['1', [19169, 19170]]
['1', [19172, 19173]]
['1', [19242, 19243]]
['1', [19464, 19465]]
['1', [20324, 20325]]
['1', [20353, 20354]]
['1', [20382, 20383]]
['1', [20423, 20424]]
['1', [20473, 20474]]
['1', [20534, 20535]]
['1', [20548, 20549]]
['1', [20678, 20679]]
['1', [20935, 20936]]
['1', [21184, 21185]]
['1', [21205, 21206]]
['1', [21550, 21551]]
['1', [21639, 21640]]
['1', [21677, 21678]]
['1', [21762, 21763]]
['1', [21765, 21766]]
['1', [21865, 21866]]
['1', [21998, 21999]]
['1', [22062, 22063]]
['1', [22109, 22110]]
['1', [22164, 22165]]
['1', [22651, 22652]]
['1', [22780, 22781]]
['1', [22786, 22787]]
['1', [22793, 22794]]
['1', [22801, 22802]]
['1', [22807, 22808]]
['1', [22815, 22816]]
['1', [23012, 23013]]
['1', [23164, 23165]]
['1', [23172, 23173]]
['1', [23284, 23285]]
['1', [23423, 23424]]
['1', [23542, 23543]]
['1', [23617, 23618]]
['1', [23853, 23854]]
['1', [23929, 23930]]
['1', [23966, 23967]]
['1', [23980, 23981]]
['1', [23991, 23992]]
['1', [24074, 24075]]
['1', [24297, 24298]]
['1', [24303, 24304]]
['1', [24397, 24398]]
['1', [24465, 24466]]
['1', [24750, 24751]]
['1', [24756, 24757]]
['1', [24867, 24868]]
['1', [24915, 24916]]
['1', [24988, 24989]]
['1', [25024, 25025]]
['1', [25067, 25068]]
