genia tagger: 5759['folfox6', [224, 231]]
['5', [55174, 55175]]
['5', [55204, 55205]]
['5', [55266, 55267]]
['5', [55270, 55271]]
['5', [55278, 55279]]
['5', [55297, 55298]]
['5', [55310, 55311]]
['5', [55323, 55324]]
['5', [55336, 55337]]
['5', [55354, 55355]]
['5', [55355, 55356]]
['5', [55396, 55397]]
['5', [55401, 55402]]
['5', [55418, 55419]]
['5', [55503, 55504]]
['5', [55557, 55558]]
['5', [55561, 55562]]
['5', [55577, 55578]]
['5', [55585, 55586]]
['5', [55593, 55594]]
['5', [55595, 55596]]
['5', [55613, 55614]]
['5', [55622, 55623]]
['5', [55631, 55632]]
['5', [55677, 55678]]
['5', [55708, 55709]]
['5', [55725, 55726]]
['5', [55750, 55751]]
['5', [55827, 55828]]
['-dfur', [2503, 2508]]
['-dfur', [26898, 26903]]
['-dfur', [31416, 31421]]
['-dfur', [39000, 39005]]
['-dfur', [40444, 40449]]
['-dfur', [42606, 42611]]
['-dfur', [47003, 47008]]
['-dfur', [51687, 51692]]
['-dfur', [51746, 51751]]
['-dfur', [52020, 52025]]
['-dfur', [52355, 52360]]
['-dfur', [54947, 54952]]
['-dfur', [55006, 55011]]
['-dfur', [55280, 55285]]
['-dfur', [55615, 55620]]
['thymidine', [2555, 2564]]
['phosphorylase', [2565, 2578]]
['5fu', [174, 177]]
['5fu', [264, 267]]
['5fu', [320, 323]]
['5fu', [496, 499]]
['5fu', [1215, 1218]]
['5fu', [1289, 1292]]
['5fu', [1472, 1475]]
['5fu', [1645, 1648]]
['5fu', [1799, 1802]]
['5fu', [2059, 2062]]
['5fu', [2101, 2104]]
['5fu', [2183, 2186]]
['5fu', [2433, 2436]]
['5fu', [2532, 2535]]
['5fu', [2752, 2755]]
['5fu', [2867, 2870]]
['5fu', [3221, 3224]]
['5fu', [4933, 4936]]
['5fu', [5108, 5111]]
['5fu', [5235, 5238]]
['5fu', [5363, 5366]]
['5fu', [5539, 5542]]
['5fu', [6260, 6263]]
['5fu', [6334, 6337]]
['5fu', [7749, 7752]]
['5fu', [11401, 11404]]
['5fu', [11798, 11801]]
['5fu', [11831, 11834]]
['5fu', [11980, 11983]]
['5fu', [14043, 14046]]
['5fu', [17697, 17700]]
['5fu', [18094, 18097]]
['5fu', [18127, 18130]]
['5fu', [18276, 18279]]
['5fu', [20127, 20130]]
['5fu', [20525, 20528]]
['5fu', [20558, 20561]]
['5fu', [20707, 20710]]
['5fu', [51669, 51672]]
['5fu', [51732, 51735]]
['5fu', [52006, 52009]]
['5fu', [52297, 52300]]
['5fu', [52490, 52493]]
['5fu', [54929, 54932]]
['5fu', [54992, 54995]]
['5fu', [55266, 55269]]
['5fu', [55557, 55560]]
['5fu', [55750, 55753]]
['\\[', [1518, 1520]]
['\\[', [1586, 1588]]
['\\[', [1721, 1723]]
['\\[', [1892, 1894]]
['\\[', [2186, 2188]]
['\\[', [2756, 2758]]
['\\[', [3078, 3080]]
['\\[', [3994, 3996]]
['\\[', [4650, 4652]]
['\\[', [11230, 11232]]
['\\[', [17525, 17527]]
['\\[', [41966, 41968]]
['\\[', [42106, 42108]]
['\\[', [42368, 42370]]
['\\[', [42654, 42656]]
['\\[', [42922, 42924]]
['\\[', [46363, 46365]]
['\\[', [46503, 46505]]
['\\[', [46765, 46767]]
['\\[', [47051, 47053]]
['\\[', [47319, 47321]]
['9', [1422, 1423]]
['9', [2758, 2759]]
['9', [3640, 3641]]
['9', [3802, 3803]]
['9', [4325, 4326]]
['9', [8891, 8892]]
['9', [11970, 11971]]
['9', [11971, 11972]]
['9', [12024, 12025]]
['9', [12046, 12047]]
['9', [12047, 12048]]
['9', [12048, 12049]]
['9', [12096, 12097]]
['9', [12262, 12263]]
['9', [12329, 12330]]
['9', [12351, 12352]]
['9', [12352, 12353]]
['9', [12353, 12354]]
['9', [12441, 12442]]
['9', [12476, 12477]]
['9', [12571, 12572]]
['9', [12572, 12573]]
['9', [12573, 12574]]
['9', [12753, 12754]]
['9', [15185, 15186]]
['9', [18266, 18267]]
['9', [18267, 18268]]
['9', [18320, 18321]]
['9', [18342, 18343]]
['9', [18343, 18344]]
['9', [18344, 18345]]
['9', [18392, 18393]]
['9', [18558, 18559]]
['9', [18625, 18626]]
['9', [18647, 18648]]
['9', [18648, 18649]]
['9', [18649, 18650]]
['9', [18737, 18738]]
['9', [18772, 18773]]
['9', [18867, 18868]]
['9', [18868, 18869]]
['9', [18869, 18870]]
['9', [19049, 19050]]
['9', [20697, 20698]]
['9', [20698, 20699]]
['9', [20751, 20752]]
['9', [20773, 20774]]
['9', [20774, 20775]]
['9', [20775, 20776]]
['9', [20823, 20824]]
['9', [20989, 20990]]
['9', [21056, 21057]]
['9', [21078, 21079]]
['9', [21079, 21080]]
['9', [21080, 21081]]
['9', [21168, 21169]]
['9', [21203, 21204]]
['9', [21298, 21299]]
['9', [21299, 21300]]
['9', [21300, 21301]]
['9', [21480, 21481]]
['9', [23179, 23180]]
['9', [25790, 25791]]
['9', [25821, 25822]]
['9', [26213, 26214]]
['9', [27697, 27698]]
['9', [30308, 30309]]
['9', [30339, 30340]]
['9', [30731, 30732]]
['9', [32603, 32604]]
['9', [34195, 34196]]
['9', [37892, 37893]]
['9', [37923, 37924]]
['9', [38315, 38316]]
['9', [39336, 39337]]
['9', [39367, 39368]]
['9', [39759, 39760]]
['9', [49835, 49836]]
['9', [49879, 49880]]
['9', [49902, 49903]]
['9', [49947, 49948]]
['9', [50325, 50326]]
['9', [51821, 51822]]
['9', [51830, 51831]]
['9', [51913, 51914]]
['9', [51963, 51964]]
['9', [51969, 51970]]
['9', [52100, 52101]]
['9', [52117, 52118]]
['9', [52140, 52141]]
['9', [52147, 52148]]
['9', [52151, 52152]]
['9', [52167, 52168]]
['9', [52237, 52238]]
['9', [53095, 53096]]
['9', [53139, 53140]]
['9', [53162, 53163]]
['9', [53207, 53208]]
['9', [53585, 53586]]
['9', [55081, 55082]]
['9', [55090, 55091]]
['9', [55173, 55174]]
['9', [55223, 55224]]
['9', [55229, 55230]]
['9', [55360, 55361]]
['9', [55377, 55378]]
['9', [55400, 55401]]
['9', [55407, 55408]]
['9', [55411, 55412]]
['9', [55427, 55428]]
['9', [55497, 55498]]
['\xe2\x80\x9cxelox\xe2\x80\x9d', [3499, 3510]]
['capecitabine', [59, 71]]
['capecitabine', [112, 124]]
['capecitabine', [398, 410]]
['capecitabine', [536, 548]]
['capecitabine', [586, 598]]
['capecitabine', [916, 928]]
['capecitabine', [962, 974]]
['capecitabine', [1081, 1093]]
['capecitabine', [1169, 1181]]
['capecitabine', [2193, 2205]]
['capecitabine', [2309, 2321]]
['capecitabine', [2649, 2661]]
['capecitabine', [2798, 2810]]
['capecitabine', [2903, 2915]]
['capecitabine', [3192, 3204]]
['capecitabine', [3237, 3249]]
['capecitabine', [3383, 3395]]
['capecitabine', [3561, 3573]]
['capecitabine', [4223, 4235]]
['capecitabine', [4421, 4433]]
['capecitabine', [4801, 4813]]
['capecitabine', [4952, 4964]]
['capecitabine', [5136, 5148]]
['capecitabine', [5271, 5283]]
['capecitabine', [5441, 5453]]
['capecitabine', [5579, 5591]]
['capecitabine', [5629, 5641]]
['capecitabine', [5960, 5972]]
['capecitabine', [6007, 6019]]
['capecitabine', [6126, 6138]]
['capecitabine', [6214, 6226]]
['capecitabine', [7496, 7508]]
['capecitabine', [7928, 7940]]
['capecitabine', [11047, 11059]]
['capecitabine', [11387, 11399]]
['capecitabine', [11803, 11815]]
['capecitabine', [11836, 11848]]
['capecitabine', [12276, 12288]]
['capecitabine', [13790, 13802]]
['capecitabine', [14222, 14234]]
['capecitabine', [17342, 17354]]
['capecitabine', [17683, 17695]]
['capecitabine', [18099, 18111]]
['capecitabine', [18132, 18144]]
['capecitabine', [18572, 18584]]
['capecitabine', [20113, 20125]]
['capecitabine', [20530, 20542]]
['capecitabine', [20563, 20575]]
['capecitabine', [21003, 21015]]
['capecitabine', [24743, 24755]]
['capecitabine', [24916, 24928]]
['capecitabine', [25153, 25165]]
['capecitabine', [25586, 25598]]
['capecitabine', [25698, 25710]]
['capecitabine', [25948, 25960]]
['capecitabine', [26099, 26111]]
['capecitabine', [26578, 26590]]
['capecitabine', [26648, 26660]]
['capecitabine', [26732, 26744]]
['capecitabine', [26964, 26976]]
['capecitabine', [29261, 29273]]
