genia tagger: 2723['hnscc', [298, 303]]
['i', [4973, 4974]]
['i', [4977, 4978]]
['i', [5019, 5020]]
['i', [5025, 5026]]
['i', [5036, 5037]]
['i', [5064, 5065]]
['i', [5066, 5067]]
['i', [5068, 5069]]
['i', [5075, 5076]]
['i', [5077, 5078]]
['i', [5079, 5080]]
['i', [5088, 5089]]
['i', [5114, 5115]]
['i', [5138, 5139]]
['i', [5151, 5152]]
['i', [5158, 5159]]
['i', [5173, 5174]]
['i', [5175, 5176]]
['i', [5179, 5180]]
['i', [5188, 5189]]
['i', [5220, 5221]]
['i', [5224, 5225]]
['i', [5228, 5229]]
['i', [5241, 5242]]
['i', [5243, 5244]]
['i', [5272, 5273]]
['i', [5274, 5275]]
['i', [5337, 5338]]
['i', [5406, 5407]]
['i', [5433, 5434]]
['i', [5441, 5442]]
['i', [5447, 5448]]
['i', [5455, 5456]]
['i', [5464, 5465]]
['i', [5473, 5474]]
['i', [5488, 5489]]
['i', [5545, 5546]]
['i', [5580, 5581]]
['i', [5592, 5593]]
['i', [5631, 5632]]
['i', [5637, 5638]]
['i', [5666, 5667]]
['i', [5668, 5669]]
['i', [5688, 5689]]
['i', [5705, 5706]]
['i', [5737, 5738]]
['i', [5785, 5786]]
['i', [5788, 5789]]
['i', [5804, 5805]]
['i', [5819, 5820]]
['i', [5830, 5831]]
['i', [5841, 5842]]
['i', [5851, 5852]]
['i', [5861, 5862]]
['i', [5871, 5872]]
['i', [5874, 5875]]
['i', [5905, 5906]]
['i', [5913, 5914]]
['i', [5920, 5921]]
['i', [5925, 5926]]
['i', [5944, 5945]]
['i', [5947, 5948]]
['i', [5964, 5965]]
['i', [5973, 5974]]
['i', [5975, 5976]]
['i', [5996, 5997]]
['i', [6011, 6012]]
['i', [6016, 6017]]
['i', [6037, 6038]]
['i', [6039, 6040]]
['i', [6046, 6047]]
['i', [6049, 6050]]
['i', [6064, 6065]]
['i', [6083, 6084]]
['i', [6104, 6105]]
['i', [6110, 6111]]
['i', [6115, 6116]]
['i', [6159, 6160]]
['i', [6166, 6167]]
['i', [6176, 6177]]
['i', [6213, 6214]]
['i', [6219, 6220]]
['i', [6235, 6236]]
['i', [6242, 6243]]
['i', [6245, 6246]]
['i', [6256, 6257]]
['i', [6268, 6269]]
['i', [6273, 6274]]
['i', [6278, 6279]]
['i', [6294, 6295]]
['i', [6340, 6341]]
['i', [6373, 6374]]
['i', [6424, 6425]]
['i', [6439, 6440]]
['i', [6467, 6468]]
['i', [6498, 6499]]
['i', [6500, 6501]]
['i', [6526, 6527]]
['i', [6529, 6530]]
['i', [6573, 6574]]
['i', [6579, 6580]]
['i', [6592, 6593]]
['i', [6605, 6606]]
['i', [6627, 6628]]
['i', [6628, 6629]]
['i', [6634, 6635]]
