['platelet', [44893, 44901]]
['platelet', [45004, 45012]]
['platelet', [45771, 45779]]
['platelet', [46121, 46129]]
['platelet', [46247, 46255]]
['platelet', [47214, 47222]]
['platelet', [47396, 47404]]
['pgap-2', [5568, 5574]]
['pgap-2', [6061, 6067]]
['pgap-2', [12334, 12340]]
['pgap-2', [12828, 12834]]
['pgap-2', [31611, 31617]]
['pgap-2', [32813, 32819]]
['pgap-2', [38938, 38944]]
['pgap-2', [40140, 40146]]
['pgap-2', [40929, 40935]]
['pgap-2', [42131, 42137]]
['pgap-2', [42920, 42926]]
['pgap-2', [44122, 44128]]
['prp', [6498, 6501]]
['prp', [6586, 6589]]
['prp', [6710, 6713]]
['prp', [6753, 6756]]
['prp', [7139, 7142]]
['prp', [13265, 13268]]
['prp', [13353, 13356]]
['prp', [13477, 13480]]
['prp', [13520, 13523]]
['prp', [13907, 13910]]
['haake-rs1', [7188, 7197]]
['haake-rs1', [13956, 13965]]
['mo', [2383, 2385]]
['mo', [2392, 2394]]
['mo', [2561, 2563]]
['mo', [2627, 2629]]
['mo', [2668, 2670]]
['mo', [3546, 3548]]
['mo', [4673, 4675]]
['mo', [4844, 4846]]
['mo', [5385, 5387]]
['mo', [5639, 5641]]
['mo', [5856, 5858]]
['mo', [6210, 6212]]
['mo', [6256, 6258]]
['mo', [7203, 7205]]
['mo', [7489, 7491]]
['mo', [7805, 7807]]
['mo', [8968, 8970]]
['mo', [10360, 10362]]
['mo', [10952, 10954]]
['mo', [11067, 11069]]
['mo', [11135, 11137]]
['mo', [11610, 11612]]
['mo', [12151, 12153]]
['mo', [12405, 12407]]
['mo', [12622, 12624]]
['mo', [12977, 12979]]
['mo', [13023, 13025]]
['mo', [13971, 13973]]
['mo', [14257, 14259]]
['mo', [14573, 14575]]
['mo', [15736, 15738]]
['mo', [17128, 17130]]
['mo', [17721, 17723]]
['mo', [17836, 17838]]
['mo', [17904, 17906]]
['mo', [20434, 20436]]
['mo', [21901, 21903]]
['mo', [24388, 24390]]
['mo', [25855, 25857]]
['mo', [26891, 26893]]
['mo', [26905, 26907]]
['mo', [27158, 27160]]
['mo', [27170, 27172]]
['mo', [27219, 27221]]
['mo', [27873, 27875]]
['mo', [28690, 28692]]
['mo', [28794, 28796]]
['mo', [29336, 29338]]
['mo', [30075, 30077]]
['mo', [30261, 30263]]
['mo', [31808, 31810]]
