['1', [30451, 30452]]
['1', [30561, 30562]]
['1', [30587, 30588]]
['1', [30588, 30589]]
['1', [30656, 30657]]
['1', [30950, 30951]]
['1', [30964, 30965]]
['1', [30970, 30971]]
['1', [31081, 31082]]
['1', [31167, 31168]]
['1', [31272, 31273]]
['1', [31282, 31283]]
['1', [31380, 31381]]
['1', [31519, 31520]]
['1', [31549, 31550]]
['1', [31551, 31552]]
['1', [31725, 31726]]
['1', [31744, 31745]]
['1', [31761, 31762]]
['1', [31903, 31904]]
['1', [32666, 32667]]
['1', [33181, 33182]]
['1', [33201, 33202]]
['1', [33206, 33207]]
['1', [33526, 33527]]
['1', [33776, 33777]]
['1', [34333, 34334]]
['1', [34468, 34469]]
['1', [34477, 34478]]
['1', [34480, 34481]]
['1', [34490, 34491]]
['1', [34574, 34575]]
['1', [34646, 34647]]
['1', [34647, 34648]]
['1', [34660, 34661]]
['1', [34778, 34779]]
['1', [35062, 35063]]
['1', [35167, 35168]]
['1', [35233, 35234]]
['1', [35241, 35242]]
['1', [35274, 35275]]
['1', [35384, 35385]]
['1', [35410, 35411]]
['1', [35411, 35412]]
['1', [35479, 35480]]
['1', [35773, 35774]]
['1', [35787, 35788]]
['1', [35793, 35794]]
['1', [35904, 35905]]
['1', [35990, 35991]]
['1', [36095, 36096]]
['1', [36105, 36106]]
['1', [36203, 36204]]
['1', [36342, 36343]]
['1', [36372, 36373]]
['1', [36374, 36375]]
['1', [36548, 36549]]
['1', [36567, 36568]]
['1', [36584, 36585]]
['1', [36726, 36727]]
['1', [37489, 37490]]
['1', [38004, 38005]]
['1', [38024, 38025]]
['1', [38029, 38030]]
['1', [38349, 38350]]
['1', [38599, 38600]]
['1', [39822, 39823]]
['1', [42632, 42633]]
['1', [45804, 45805]]
['1', [45874, 45875]]
['1', [46103, 46104]]
['1', [46108, 46109]]
['1', [46114, 46115]]
['1', [46173, 46174]]
['1', [46221, 46222]]
['1', [46235, 46236]]
['1', [46240, 46241]]
['1', [46242, 46243]]
['1', [46250, 46251]]
['1', [46255, 46256]]
['1', [46260, 46261]]
['1', [46262, 46263]]
['1', [46270, 46271]]
['1', [46323, 46324]]
['1', [46351, 46352]]
['1', [46356, 46357]]
['1', [46373, 46374]]
['1', [46406, 46407]]
['1', [46410, 46411]]
['1', [46449, 46450]]
['1', [46470, 46471]]
['1', [46478, 46479]]
['1', [46494, 46495]]
['1', [46499, 46500]]
['1', [46509, 46510]]
['1', [46517, 46518]]
['1', [46520, 46521]]
['1', [46612, 46613]]
['1', [46614, 46615]]
['1', [46650, 46651]]
['1', [46655, 46656]]
['1', [46665, 46666]]
['1', [46668, 46669]]
['1', [46671, 46672]]
['1', [46676, 46677]]
['1', [46684, 46685]]
['1', [47236, 47237]]
['1', [47653, 47654]]
['1', [47876, 47877]]
['1', [47881, 47882]]
['1', [47887, 47888]]
['1', [47942, 47943]]
['1', [47952, 47953]]
['1', [47963, 47964]]
['1', [48001, 48002]]
['1', [48005, 48006]]
['1', [48010, 48011]]
['1', [48018, 48019]]
['1', [48022, 48023]]
['1', [48050, 48051]]
['1', [48096, 48097]]
['1', [48187, 48188]]
['1', [48195, 48196]]
['1', [48198, 48199]]
['1', [48209, 48210]]
['1', [48288, 48289]]
['1', [48303, 48304]]
['1', [48320, 48321]]
['1', [48323, 48324]]
['1', [48334, 48335]]
['1', [48336, 48337]]
['1', [48369, 48370]]
['1', [48445, 48446]]
['1', [48468, 48469]]
['1', [48505, 48506]]
['1', [48518, 48519]]
['1', [48535, 48536]]
['1', [48561, 48562]]
['1', [48572, 48573]]
['1', [48580, 48581]]
['1', [48596, 48597]]
['1', [48606, 48607]]
['1', [48618, 48619]]
['1', [48635, 48636]]
['1', [48640, 48641]]
['1', [48646, 48647]]
['1', [48655, 48656]]
['1', [48660, 48661]]
['1', [48688, 48689]]
['1', [48693, 48694]]
['1', [48700, 48701]]
['1', [48706, 48707]]
['1', [48709, 48710]]
['1', [48714, 48715]]
['1', [48725, 48726]]
['1', [48785, 48786]]
['1', [48794, 48795]]
['1', [48799, 48800]]
['1', [48800, 48801]]
['1', [48815, 48816]]
['1', [48820, 48821]]
['1', [48831, 48832]]
['1', [48858, 48859]]
['1', [48863, 48864]]
['1', [48874, 48875]]
['1', [48880, 48881]]
['1', [48881, 48882]]
['1', [48884, 48885]]
['1', [48895, 48896]]
['1', [49269, 49270]]
['1', [49339, 49340]]
['1', [49342, 49343]]
['1', [49697, 49698]]
['1', [49700, 49701]]
['1', [49881, 49882]]
['1', [49928, 49929]]
['1', [49942, 49943]]
['1', [49954, 49955]]
['1', [50008, 50009]]
['1', [50038, 50039]]
['1', [50060, 50061]]
['1', [50087, 50088]]
['1', [50092, 50093]]
['1', [50093, 50094]]
['1', [50100, 50101]]
['1', [50104, 50105]]
['1', [50120, 50121]]
['1', [50137, 50138]]
['1', [50152, 50153]]
['1', [50180, 50181]]
['1', [50188, 50189]]
['1', [50203, 50204]]
['1', [50206, 50207]]
['1', [50431, 50432]]
['1', [50697, 50698]]
['1', [50877, 50878]]
['1', [50878, 50879]]
['1', [50946, 50947]]
['1', [50949, 50950]]
['1', [50958, 50959]]
['1', [51012, 51013]]
