genia tagger: 5668['jakob-creutzfeldt', [60, 77]]
['2', [20824, 20825]]
['2', [20918, 20919]]
['2', [21529, 21530]]
['2', [21632, 21633]]
['2', [21656, 21657]]
['2', [21936, 21937]]
['2', [22349, 22350]]
['2', [22395, 22396]]
['2', [22400, 22401]]
['2', [22916, 22917]]
['2', [23026, 23027]]
['2', [23102, 23103]]
['2', [24162, 24163]]
['2', [24167, 24168]]
['2', [26824, 26825]]
['2', [27515, 27516]]
['2', [27519, 27520]]
['2', [27526, 27527]]
['2', [27527, 27528]]
['2', [27583, 27584]]
['2', [27628, 27629]]
['2', [27936, 27937]]
['2', [28056, 28057]]
['2', [28108, 28109]]
['2', [28113, 28114]]
['2', [29299, 29300]]
['2', [29393, 29394]]
['2', [30004, 30005]]
['2', [30107, 30108]]
['2', [30131, 30132]]
['2', [30411, 30412]]
['2', [30824, 30825]]
['2', [30870, 30871]]
['2', [30875, 30876]]
['2', [31391, 31392]]
['2', [31501, 31502]]
['2', [31577, 31578]]
['2', [32637, 32638]]
['2', [32642, 32643]]
['2', [35299, 35300]]
['2', [36149, 36150]]
['2', [37665, 37666]]
['neuronal', [1652, 1660]]
['neuronal', [1938, 1946]]
['neuronal', [8828, 8836]]
['neuronal', [9983, 9991]]
['neuronal', [13421, 13429]]
['neuronal', [14576, 14584]]
['neuronal', [16283, 16291]]
['neuronal', [16485, 16493]]
['neuronal', [17939, 17947]]
['neuronal', [18141, 18149]]
['neuronal', [21606, 21614]]
['neuronal', [21819, 21827]]
['neuronal', [22114, 22122]]
['neuronal', [24498, 24506]]
['neuronal', [27311, 27319]]
['neuronal', [30081, 30089]]
['neuronal', [30294, 30302]]
['neuronal', [30589, 30597]]
['neuronal', [32973, 32981]]
['neuronal', [35786, 35794]]
['cell', [1661, 1665]]
['cell', [9992, 9996]]
['cell', [14585, 14589]]
['cell', [23668, 23672]]
['cell', [23685, 23689]]
['cell', [24507, 24511]]
['cell', [25951, 25955]]
['cell', [26285, 26289]]
['cell', [27025, 27029]]
['cell', [27046, 27050]]
['cell', [32143, 32147]]
['cell', [32160, 32164]]
['cell', [32982, 32986]]
['cell', [34426, 34430]]
['cell', [34760, 34764]]
['cell', [35500, 35504]]
['cell', [35521, 35525]]
['loss\\.', [1666, 1672]]
['4', [1672, 1673]]
['4', [2071, 2072]]
['4', [2435, 2436]]
['4', [8397, 8398]]
['4', [8648, 8649]]
['4', [9088, 9089]]
['4', [9089, 9090]]
['4', [9091, 9092]]
['4', [9124, 9125]]
['4', [9303, 9304]]
['4', [9467, 9468]]
['4', [9539, 9540]]
['4', [9608, 9609]]
['4', [9980, 9981]]
['4', [10088, 10089]]
['4', [10089, 10090]]
['4', [10091, 10092]]
['4', [10372, 10373]]
['4', [10400, 10401]]
['4', [12989, 12990]]
['4', [13240, 13241]]
['4', [13681, 13682]]
['4', [13682, 13683]]
['4', [13684, 13685]]
['4', [13717, 13718]]
['4', [13896, 13897]]
['4', [14060, 14061]]
['4', [14132, 14133]]
['4', [14201, 14202]]
['4', [14573, 14574]]
['4', [14681, 14682]]
['4', [14682, 14683]]
['4', [14684, 14685]]
['4', [14966, 14967]]
['4', [14994, 14995]]
['4', [16543, 16544]]
['4', [16544, 16545]]
['4', [16546, 16547]]
['4', [16617, 16618]]
['4', [16618, 16619]]
['4', [16620, 16621]]
['4', [18199, 18200]]
['4', [18200, 18201]]
['4', [18202, 18203]]
['4', [18273, 18274]]
['4', [18274, 18275]]
['4', [18276, 18277]]
['4', [19128, 19129]]
['4', [20919, 20920]]
['4', [21998, 21999]]
['4', [22168, 22169]]
['4', [22169, 22170]]
['4', [23031, 23032]]
['4', [23121, 23122]]
['4', [23169, 23170]]
['4', [23507, 23508]]
['4', [26475, 26476]]
['4', [26521, 26522]]
['4', [26820, 26821]]
['4', [26823, 26824]]
['4', [26830, 26831]]
['4', [26831, 26832]]
['4', [27603, 27604]]
['4', [29394, 29395]]
['4', [30473, 30474]]
['4', [30643, 30644]]
['4', [30644, 30645]]
['4', [31506, 31507]]
['4', [31596, 31597]]
['4', [31644, 31645]]
['4', [31982, 31983]]
['4', [34950, 34951]]
['4', [34996, 34997]]
['4', [35295, 35296]]
['4', [35298, 35299]]
['4', [35305, 35306]]
['4', [35306, 35307]]
['4', [36340, 36341]]
['4', [36966, 36967]]
['4', [36967, 36968]]
['4', [36969, 36970]]
['4', [37174, 37175]]
['4', [37856, 37857]]
['4', [38482, 38483]]
['4', [38483, 38484]]
['4', [38485, 38486]]
['4', [38690, 38691]]
['loss', [1666, 1670]]
['loss', [1947, 1951]]
['loss', [8837, 8841]]
['loss', [9997, 10001]]
['loss', [13430, 13434]]
['loss', [14590, 14594]]
['loss', [16292, 16296]]
['loss', [16494, 16498]]
['loss', [16591, 16595]]
['loss', [17948, 17952]]
['loss', [18150, 18154]]
['loss', [18247, 18251]]
['loss', [21828, 21832]]
['loss', [22123, 22127]]
['loss', [24512, 24516]]
['loss', [24625, 24629]]
['loss', [30303, 30307]]
['loss', [30598, 30602]]
['loss', [32987, 32991]]
['loss', [33100, 33104]]
['5', [392, 393]]
['5', [807, 808]]
['5', [1952, 1953]]
['5', [3950, 3951]]
['5', [5670, 5671]]
['5', [8637, 8638]]
['5', [8640, 8641]]
['5', [8994, 8995]]
['5', [9092, 9093]]
['5', [10092, 10093]]
['5', [13229, 13230]]
['5', [13232, 13233]]
['5', [13587, 13588]]
['5', [13685, 13686]]
['5', [14685, 14686]]
['5', [16547, 16548]]
['5', [16621, 16622]]
['5', [17042, 17043]]
['5', [18203, 18204]]
['5', [18277, 18278]]
['5', [18698, 18699]]
['5', [19130, 19131]]
['5', [21530, 21531]]
['5', [22134, 22135]]
['5', [22200, 22201]]
['5', [23036, 23037]]
['5', [23098, 23099]]
['5', [23103, 23104]]
['5', [23126, 23127]]
['5', [23515, 23516]]
['5', [24658, 24659]]
['5', [25038, 25039]]
['5', [26388, 26389]]
['5', [27605, 27606]]
['5', [30005, 30006]]
['5', [30609, 30610]]
['5', [30675, 30676]]
['5', [31511, 31512]]
['5', [31573, 31574]]
['5', [31578, 31579]]
['5', [31601, 31602]]
['5', [31990, 31991]]
['5', [33133, 33134]]
['5', [33513, 33514]]
['5', [34863, 34864]]
['5', [36811, 36812]]
['5', [36970, 36971]]
['5', [38327, 38328]]
['5', [38486, 38487]]
['\xe2\x80\x93', [1954, 1957]]
['\xe2\x80\x93', [2337, 2340]]
['\xe2\x80\x93', [2430, 2433]]
['\xe2\x80\x93', [8645, 8648]]
['\xe2\x80\x93', [9209, 9212]]
['\xe2\x80\x93', [9256, 9259]]
['\xe2\x80\x93', [10369, 10372]]
['\xe2\x80\x93', [13237, 13240]]
['\xe2\x80\x93', [13802, 13805]]
['\xe2\x80\x93', [13849, 13852]]
['\xe2\x80\x93', [14963, 14966]]
['\xe2\x80\x93', [19047, 19050]]
['\xe2\x80\x93', [23099, 23102]]
['\xe2\x80\x93', [23170, 23173]]
['\xe2\x80\x93', [24438, 24441]]
['\xe2\x80\x93', [24517, 24520]]
['\xe2\x80\x93', [26826, 26829]]
['\xe2\x80\x93', [27522, 27525]]
['\xe2\x80\x93', [31574, 31577]]
['\xe2\x80\x93', [31645, 31648]]
['\xe2\x80\x93', [32913, 32916]]
['\xe2\x80\x93', [32992, 32995]]
['\xe2\x80\x93', [35301, 35304]]
['\xe2\x80\x93', [35845, 35848]]
['\xe2\x80\x93', [35874, 35877]]
['\xe2\x80\x93', [37361, 37364]]
['\xe2\x80\x93', [37390, 37393]]
['7', [796, 797]]
['7', [830, 831]]
['7', [831, 832]]
['7', [1958, 1959]]
['7', [2927, 2928]]
['7', [4647, 4648]]
['7', [8695, 8696]]
['7', [9208, 9209]]
['7', [9759, 9760]]
['7', [13287, 13288]]
['7', [13801, 13802]]
['7', [14352, 14353]]
['7', [17031, 17032]]
['7', [17114, 17115]]
['7', [17115, 17116]]
['7', [18687, 18688]]
['7', [18770, 18771]]
['7', [18771, 18772]]
['7', [22133, 22134]]
['7', [22201, 22202]]
['7', [22350, 22351]]
['7', [23512, 23513]]
['7', [30608, 30609]]
['7', [30676, 30677]]
['7', [30825, 30826]]
['7', [31987, 31988]]
['7', [36505, 36506]]
['7', [38021, 38022]]
['8', [797, 798]]
['8', [900, 901]]
['8', [1960, 1961]]
['8', [9255, 9256]]
['8', [10177, 10178]]
['8', [13848, 13849]]
['8', [14770, 14771]]
['8', [17032, 17033]]
['8', [17205, 17206]]
['8', [18688, 18689]]
['8', [18861, 18862]]
['8', [22396, 22397]]
['8', [23886, 23887]]
['8', [23949, 23950]]
['8', [24653, 24654]]
['8', [30871, 30872]]
['8', [32361, 32362]]
['8', [32424, 32425]]
['8', [33128, 33129]]
['8', [36231, 36232]]
['8', [36839, 36840]]
['8', [37747, 37748]]
['8', [38355, 38356]]
['prpsc', [814, 819]]
['prpsc', [1014, 1019]]
['prpsc', [1584, 1589]]
['prpsc', [1810, 1815]]
['prpsc', [1980, 1985]]
['prpsc', [2099, 2104]]
['prpsc', [2347, 2352]]
['prpsc', [9378, 9383]]
['prpsc', [13971, 13976]]
['prpsc', [16334, 16339]]
['prpsc', [17063, 17068]]
['prpsc', [17990, 17995]]
['prpsc', [18719, 18724]]
['prpsc', [21310, 21315]]
['prpsc', [21500, 21505]]
['prpsc', [21667, 21672]]
['prpsc', [21918, 21923]]
['prpsc', [22236, 22241]]
