['er', [38513, 38515]]
['er', [38548, 38550]]
['er', [38696, 38698]]
['er', [38759, 38761]]
['er', [38849, 38851]]
['er', [39049, 39051]]
['er', [39076, 39078]]
['er', [39338, 39340]]
['er', [39408, 39410]]
['er', [39570, 39572]]
['er', [39599, 39601]]
['er', [39740, 39742]]
['er', [39809, 39811]]
['er', [39982, 39984]]
['er', [40244, 40246]]
['er', [40267, 40269]]
['er', [40407, 40409]]
['er', [40431, 40433]]
['er', [40500, 40502]]
['er', [40568, 40570]]
['er', [40620, 40622]]
['er', [40631, 40633]]
['er', [40673, 40675]]
['er', [40812, 40814]]
['er', [40879, 40881]]
['er', [40903, 40905]]
['er', [40923, 40925]]
['er', [40935, 40937]]
['er', [41004, 41006]]
['er', [41050, 41052]]
['er', [41085, 41087]]
['er', [41105, 41107]]
['er', [41341, 41343]]
['er', [41602, 41604]]
['er', [41660, 41662]]
['er', [41788, 41790]]
['er', [41913, 41915]]
['er', [41975, 41977]]
['er', [42009, 42011]]
['er', [42047, 42049]]
['er', [42289, 42291]]
['er', [42299, 42301]]
['er', [42311, 42313]]
['er', [42364, 42366]]
['er', [42383, 42385]]
['er', [42435, 42437]]
['er', [42446, 42448]]
['er', [42488, 42490]]
['er', [42627, 42629]]
['er', [42694, 42696]]
['er', [42718, 42720]]
['er', [42738, 42740]]
['er', [42750, 42752]]
['er', [42819, 42821]]
['er', [42865, 42867]]
['er', [42900, 42902]]
['er', [42920, 42922]]
['er', [43156, 43158]]
['er', [43417, 43419]]
['er', [43475, 43477]]
['er', [43603, 43605]]
['er', [43728, 43730]]
['er', [43790, 43792]]
['er', [43824, 43826]]
['er', [43862, 43864]]
['er', [44104, 44106]]
['er', [44114, 44116]]
['er', [44126, 44128]]
['er', [44179, 44181]]
['er', [44215, 44217]]
['er', [44254, 44256]]
['er', [44375, 44377]]
['er', [44424, 44426]]
['er', [44439, 44441]]
['er', [44588, 44590]]
['er', [44620, 44622]]
['er', [44660, 44662]]
['er', [44776, 44778]]
['er', [44991, 44993]]
['er', [44998, 45000]]
['er', [45016, 45018]]
['er', [45024, 45026]]
['er', [45082, 45084]]
['er', [45104, 45106]]
['er', [45112, 45114]]
['er', [45126, 45128]]
['er', [45219, 45221]]
['er', [45284, 45286]]
['er', [45313, 45315]]
['er', [45337, 45339]]
['er', [45427, 45429]]
['er', [45493, 45495]]
['er', [45535, 45537]]
['er', [45544, 45546]]
['er', [45561, 45563]]
['er', [45566, 45568]]
['er', [45581, 45583]]
['er', [45631, 45633]]
['er', [45646, 45648]]
['er', [45659, 45661]]
['er', [45780, 45782]]
['er', [45814, 45816]]
['er', [45838, 45840]]
['er', [45861, 45863]]
['er', [45879, 45881]]
['er', [45997, 45999]]
['er', [46016, 46018]]
['er', [46021, 46023]]
['er', [46041, 46043]]
['er', [46066, 46068]]
['er', [46143, 46145]]
['er', [46148, 46150]]
['er', [46290, 46292]]
['er', [46319, 46321]]
['er', [46373, 46375]]
['er', [46454, 46456]]
['er', [46496, 46498]]
['er', [46535, 46537]]
['er', [46656, 46658]]
['er', [46705, 46707]]
['er', [46720, 46722]]
['er', [46869, 46871]]
['er', [46901, 46903]]
['er', [46941, 46943]]
['er', [47057, 47059]]
['er', [47272, 47274]]
['er', [47279, 47281]]
['er', [47297, 47299]]
['er', [47305, 47307]]
['er', [47363, 47365]]
['er', [47385, 47387]]
['er', [47393, 47395]]
['er', [47407, 47409]]
['er', [47500, 47502]]
['er', [47565, 47567]]
['er', [47594, 47596]]
['er', [47618, 47620]]
['er', [47708, 47710]]
['er', [47774, 47776]]
['er', [47816, 47818]]
['er', [47825, 47827]]
['er', [47842, 47844]]
['er', [47847, 47849]]
['er', [47862, 47864]]
['er', [47912, 47914]]
['er', [47927, 47929]]
['er', [47940, 47942]]
['er', [48061, 48063]]
['er', [48095, 48097]]
['er', [48119, 48121]]
['er', [48142, 48144]]
['er', [48160, 48162]]
['er', [48278, 48280]]
['er', [48297, 48299]]
['er', [48302, 48304]]
['er', [48322, 48324]]
['er', [48347, 48349]]
['er', [48424, 48426]]
['er', [48429, 48431]]
['er', [48571, 48573]]
['er', [48600, 48602]]
['er', [48654, 48656]]
['er', [48735, 48737]]
['er', [48814, 48816]]
['er', [48848, 48850]]
['er', [48872, 48874]]
['er', [48895, 48897]]
['er', [48913, 48915]]
['er', [49031, 49033]]
['er', [49050, 49052]]
['er', [49055, 49057]]
['er', [49075, 49077]]
['er', [49100, 49102]]
['er', [49177, 49179]]
['er', [49182, 49184]]
['er', [49324, 49326]]
['er', [49353, 49355]]
['er', [49407, 49409]]
['er', [49488, 49490]]
['er', [49567, 49569]]
['er', [49601, 49603]]
['er', [49625, 49627]]
['er', [49648, 49650]]
['er', [49666, 49668]]
['er', [49784, 49786]]
['er', [49803, 49805]]
['er', [49808, 49810]]
['er', [49828, 49830]]
['er', [49853, 49855]]
['er', [49930, 49932]]
['er', [49935, 49937]]
['er', [50077, 50079]]
['er', [50106, 50108]]
['er', [50160, 50162]]
['er', [50241, 50243]]
['er', [50276, 50278]]
['er', [50303, 50305]]
['er', [50343, 50345]]
['er', [50383, 50385]]
['er', [50400, 50402]]
['er', [50463, 50465]]
['er', [50501, 50503]]
['er', [50515, 50517]]
['er', [50598, 50600]]
['er', [50626, 50628]]
['er', [50684, 50686]]
['er', [50863, 50865]]
['er', [50895, 50897]]
['er', [50984, 50986]]
['er', [51279, 51281]]
['er', [51283, 51285]]
['er', [51295, 51297]]
['er', [51311, 51313]]
['er', [51344, 51346]]
['er', [51441, 51443]]
['er', [51514, 51516]]
['er', [51551, 51553]]
['er', [51603, 51605]]
['er', [51629, 51631]]
['er', [51683, 51685]]
['er', [51703, 51705]]
['er', [51901, 51903]]
['er', [51922, 51924]]
['er', [52036, 52038]]
['er', [52067, 52069]]
['er', [52089, 52091]]
['er', [52194, 52196]]
['er', [52356, 52358]]
['er', [52371, 52373]]
['er', [52454, 52456]]
['er', [52481, 52483]]
['er', [52490, 52492]]
['er', [52511, 52513]]
['er', [52523, 52525]]
['er', [52789, 52791]]
['er', [52823, 52825]]
['er', [52899, 52901]]
['er', [53012, 53014]]
['er', [53027, 53029]]
['er', [53035, 53037]]
['er', [53084, 53086]]
['er', [53115, 53117]]
['er', [53224, 53226]]
['er', [53274, 53276]]
['er', [53323, 53325]]
['er', [53422, 53424]]
['er', [53427, 53429]]
['er', [53458, 53460]]
['er', [53463, 53465]]
['er', [53483, 53485]]
['er', [53939, 53941]]
['er', [53956, 53958]]
['er', [54129, 54131]]
['er', [54181, 54183]]
['er', [54355, 54357]]
['er', [54944, 54946]]
['er', [55062, 55064]]
['er', [55272, 55274]]
['er', [55302, 55304]]
['er', [55334, 55336]]
['er', [55341, 55343]]
['er', [55443, 55445]]
['er', [55448, 55450]]
['er', [55470, 55472]]
['er', [55532, 55534]]
['er', [55566, 55568]]
['er', [55596, 55598]]
['er', [55642, 55644]]
['er', [55735, 55737]]
['er', [55769, 55771]]
['er', [55812, 55814]]
['er', [55871, 55873]]
['er', [55905, 55907]]
['er', [55928, 55930]]
['er', [55961, 55963]]
['er', [55968, 55970]]
['er', [56010, 56012]]
['er', [56064, 56066]]
['er', [56161, 56163]]
['er', [56425, 56427]]
['er', [56513, 56515]]
['er', [56558, 56560]]
['er', [56781, 56783]]
['er', [56951, 56953]]
['er', [56977, 56979]]
['er', [57119, 57121]]
['er', [57145, 57147]]
['er', [57214, 57216]]
['er', [57314, 57316]]
['er', [57444, 57446]]
['er', [57458, 57460]]
['er', [57606, 57608]]
['er', [57713, 57715]]
['er', [57778, 57780]]
['er', [58143, 58145]]
['er', [58260, 58262]]
['er', [58287, 58289]]
['er', [58327, 58329]]
['er', [58367, 58369]]
['er', [58384, 58386]]
['er', [58447, 58449]]
['er', [58485, 58487]]
['er', [58499, 58501]]
['er', [58582, 58584]]
['er', [58610, 58612]]
['er', [58668, 58670]]
['er', [58847, 58849]]
['er', [58879, 58881]]
['er', [58968, 58970]]
['er', [59263, 59265]]
['er', [59267, 59269]]
['er', [59279, 59281]]
['er', [59295, 59297]]
['er', [59328, 59330]]
