['1', [70127, 70128]]
['1', [70140, 70141]]
['1', [70143, 70144]]
['1', [70156, 70157]]
['1', [70165, 70166]]
['1', [70179, 70180]]
['1', [70194, 70195]]
['1', [70197, 70198]]
['1', [70211, 70212]]
['1', [70227, 70228]]
['1', [70249, 70250]]
['1', [70252, 70253]]
['1', [70256, 70257]]
['1', [70264, 70265]]
['1', [70265, 70266]]
['1', [70274, 70275]]
['1', [70280, 70281]]
['1', [70296, 70297]]
['1', [70339, 70340]]
['1', [70351, 70352]]
['1', [70366, 70367]]
['1', [70381, 70382]]
['1', [70397, 70398]]
['1', [70427, 70428]]
['1', [70435, 70436]]
['1', [70436, 70437]]
['1', [70445, 70446]]
['1', [70451, 70452]]
['1', [70467, 70468]]
['1', [70472, 70473]]
['1', [70511, 70512]]
['1', [70514, 70515]]
['1', [70525, 70526]]
['1', [70540, 70541]]
['1', [70555, 70556]]
['1', [70558, 70559]]
['1', [70573, 70574]]
['1', [70595, 70596]]
['1', [70600, 70601]]
['1', [70603, 70604]]
['1', [70608, 70609]]
['1', [70621, 70622]]
['1', [70624, 70625]]
['1', [70637, 70638]]
['1', [70646, 70647]]
['1', [70713, 70714]]
['1', [70728, 70729]]
['1', [70731, 70732]]
['1', [70745, 70746]]
['1', [70767, 70768]]
['1', [70780, 70781]]
['1', [70800, 70801]]
['1', [70876, 70877]]
['1', [70908, 70909]]
['1', [70933, 70934]]
['1', [70962, 70963]]
['1', [70974, 70975]]
['1', [71001, 71002]]
['1', [71004, 71005]]
['1', [71039, 71040]]
['1', [71045, 71046]]
['1', [71079, 71080]]
['1', [71409, 71410]]
['1', [71470, 71471]]
['1', [71535, 71536]]
['1', [71545, 71546]]
['1', [71546, 71547]]
['1', [71827, 71828]]
['1', [72165, 72166]]
['1', [72173, 72174]]
['1', [72176, 72177]]
['1', [72177, 72178]]
['1', [72178, 72179]]
['1', [72198, 72199]]
['1', [72219, 72220]]
['1', [72317, 72318]]
['1', [72322, 72323]]
['1', [72324, 72325]]
['1', [72329, 72330]]
['1', [72330, 72331]]
['1', [72355, 72356]]
['1', [72367, 72368]]
['1', [72372, 72373]]
['1', [72379, 72380]]
['1', [72381, 72382]]
['1', [72406, 72407]]
['1', [72452, 72453]]
['1', [72457, 72458]]
['1', [72462, 72463]]
['1', [72464, 72465]]
['1', [72471, 72472]]
['1', [72474, 72475]]
['1', [72522, 72523]]
['1', [72557, 72558]]
['1', [72564, 72565]]
['1', [72565, 72566]]
['1', [72571, 72572]]
['1', [72626, 72627]]
['1', [72648, 72649]]
['1', [72672, 72673]]
['1', [72800, 72801]]
['1', [72807, 72808]]
['1', [72811, 72812]]
['1', [72814, 72815]]
['1', [72871, 72872]]
['1', [72909, 72910]]
['1', [72916, 72917]]
['1', [72923, 72924]]
['1', [73037, 73038]]
['1', [73046, 73047]]
['1', [73047, 73048]]
['1', [73053, 73054]]
['1', [73060, 73061]]
['1', [73118, 73119]]
['1', [73141, 73142]]
['1', [73208, 73209]]
['1', [73209, 73210]]
['1', [73210, 73211]]
['1', [73215, 73216]]
['1', [73583, 73584]]
['1', [73586, 73587]]
['1', [73620, 73621]]
['1', [73716, 73717]]
['1', [73810, 73811]]
['1', [73819, 73820]]
['1', [73844, 73845]]
['1', [73863, 73864]]
['1', [73871, 73872]]
['1', [73876, 73877]]
['1', [73877, 73878]]
['1', [73902, 73903]]
['1', [73916, 73917]]
['1', [73919, 73920]]
['1', [73933, 73934]]
['1', [73945, 73946]]
['1', [73950, 73951]]
['1', [73958, 73959]]
['1', [73971, 73972]]
['1', [73974, 73975]]
['1', [73987, 73988]]
['1', [73996, 73997]]
['1', [74010, 74011]]
['1', [74025, 74026]]
['1', [74028, 74029]]
['1', [74042, 74043]]
['1', [74058, 74059]]
['1', [74080, 74081]]
['1', [74083, 74084]]
['1', [74087, 74088]]
['1', [74095, 74096]]
['1', [74096, 74097]]
['1', [74105, 74106]]
['1', [74111, 74112]]
['1', [74127, 74128]]
['1', [74170, 74171]]
['1', [74182, 74183]]
['1', [74197, 74198]]
['1', [74212, 74213]]
['1', [74228, 74229]]
['1', [74258, 74259]]
['1', [74266, 74267]]
['1', [74267, 74268]]
['1', [74276, 74277]]
['1', [74282, 74283]]
['1', [74298, 74299]]
['1', [74303, 74304]]
['1', [74342, 74343]]
['1', [74345, 74346]]
['1', [74356, 74357]]
['1', [74371, 74372]]
['1', [74386, 74387]]
['1', [74389, 74390]]
['1', [74404, 74405]]
['1', [74426, 74427]]
['1', [74431, 74432]]
['1', [74434, 74435]]
['1', [74439, 74440]]
['1', [74452, 74453]]
['1', [74455, 74456]]
['1', [74468, 74469]]
['1', [74477, 74478]]
['1', [74544, 74545]]
['1', [74559, 74560]]
['1', [74562, 74563]]
['1', [74576, 74577]]
['1', [74598, 74599]]
['1', [74611, 74612]]
['1', [74631, 74632]]
['1', [74707, 74708]]
['1', [74739, 74740]]
['1', [74764, 74765]]
['1', [74793, 74794]]
['1', [74805, 74806]]
['1', [74832, 74833]]
['1', [74835, 74836]]
['1', [74870, 74871]]
['1', [74876, 74877]]
['1', [74910, 74911]]
['1', [75240, 75241]]
['\xe2\x80\xa0', [12528, 12531]]
['\xe2\x80\xa0', [23218, 23221]]
['ebws', [12607, 12611]]
['ebws', [23297, 23301]]
['ebws', [54501, 54505]]
['ebws', [66171, 66175]]
['cdc', [13206, 13209]]
['cdc', [23897, 23900]]
['cdc', [25679, 25682]]
['bmi', [14796, 14799]]
['bmi', [14890, 14893]]
['bmi', [27271, 27274]]
['bmi', [27365, 27368]]
['bmi', [29398, 29401]]
['bmi', [29791, 29794]]
['bmi', [29884, 29887]]
['bmi', [32059, 32062]]
['bmi', [32509, 32512]]
['bmi', [32540, 32543]]
['bmi', [33038, 33041]]
['bmi', [33189, 33192]]
['bmi', [33346, 33349]]
['bmi', [33372, 33375]]
['bmi', [33528, 33531]]
['bmi', [33560, 33563]]
['bmi', [33706, 33709]]
['bmi', [33721, 33724]]
['bmi', [33810, 33813]]
['bmi', [34496, 34499]]
['bmi', [34889, 34892]]
['bmi', [34982, 34985]]
['bmi', [37155, 37158]]
['bmi', [37605, 37608]]
['bmi', [37636, 37639]]
['bmi', [38133, 38136]]
['bmi', [38284, 38287]]
['bmi', [38441, 38444]]
['bmi', [38467, 38470]]
['bmi', [38623, 38626]]
['bmi', [38655, 38658]]
['bmi', [38801, 38804]]
['bmi', [38816, 38819]]
['bmi', [38905, 38908]]
['bmi', [39591, 39594]]
['bmi', [39984, 39987]]
['bmi', [40077, 40080]]
['bmi', [42250, 42253]]
['bmi', [42700, 42703]]
['bmi', [42731, 42734]]
['bmi', [43228, 43231]]
['bmi', [43379, 43382]]
['bmi', [43536, 43539]]
['bmi', [43562, 43565]]
['bmi', [43718, 43721]]
['bmi', [43750, 43753]]
['bmi', [43896, 43899]]
['bmi', [43911, 43914]]
['bmi', [44000, 44003]]
['bmi', [47100, 47103]]
['bmi', [47617, 47620]]
['bmi', [47658, 47661]]
['bmi', [51422, 51425]]
['bmi', [51522, 51525]]
['bmi', [51660, 51663]]
['bmi', [51812, 51815]]
['bmi', [51931, 51934]]
['bmi', [52276, 52279]]
['bmi', [52411, 52414]]
['bmi', [52562, 52565]]
['bmi', [52823, 52826]]
['bmi', [52882, 52885]]
['bmi', [52995, 52998]]
['bmi', [54303, 54306]]
['bmi', [58770, 58773]]
['bmi', [59287, 59290]]
['bmi', [59328, 59331]]
['bmi', [63092, 63095]]
['bmi', [63192, 63195]]
['bmi', [63330, 63333]]
['bmi', [63482, 63485]]
['bmi', [63601, 63604]]
