['b', [8395, 8396]]
['b', [8451, 8452]]
['b', [8565, 8566]]
['b', [8729, 8730]]
['b', [8757, 8758]]
['b', [8763, 8764]]
['b', [8810, 8811]]
['b', [8837, 8838]]
['b', [8843, 8844]]
['b', [8925, 8926]]
['b', [9074, 9075]]
['b', [9092, 9093]]
['b', [9153, 9154]]
['b', [9603, 9604]]
['b', [9650, 9651]]
['b', [9709, 9710]]
['b', [9721, 9722]]
['b', [9818, 9819]]
['b', [9821, 9822]]
['b', [9830, 9831]]
['b', [9873, 9874]]
['b', [9879, 9880]]
['b', [9955, 9956]]
['b', [10016, 10017]]
['b', [10267, 10268]]
['b', [10299, 10300]]
['b', [10324, 10325]]
['b', [10353, 10354]]
['b', [10403, 10404]]
['b', [10467, 10468]]
['b', [10573, 10574]]
['b', [10581, 10582]]
['b', [10582, 10583]]
['b', [10590, 10591]]
['b', [10644, 10645]]
['b', [10655, 10656]]
['b', [10675, 10676]]
['b', [10676, 10677]]
['b', [10698, 10699]]
['b', [10715, 10716]]
['b', [10727, 10728]]
['b', [10795, 10796]]
['b', [10839, 10840]]
['b', [10886, 10887]]
['b', [11010, 11011]]
['b', [11064, 11065]]
['b', [11138, 11139]]
['b', [11190, 11191]]
['b', [11287, 11288]]
['b', [11344, 11345]]
['b', [11684, 11685]]
['b', [11737, 11738]]
['b', [11777, 11778]]
['b', [11901, 11902]]
['b', [11910, 11911]]
['b', [11951, 11952]]
['b', [12051, 12052]]
['b', [12164, 12165]]
['b', [12256, 12257]]
['b', [12267, 12268]]
['b', [12303, 12304]]
['b', [12356, 12357]]
['b', [12420, 12421]]
['b', [12463, 12464]]
['b', [12499, 12500]]
['b', [12512, 12513]]
['b', [12539, 12540]]
['b', [12572, 12573]]
['b', [12582, 12583]]
['b', [12597, 12598]]
['b', [12678, 12679]]
['b', [12742, 12743]]
['b', [12757, 12758]]
['b', [12770, 12771]]
['b', [12875, 12876]]
['b', [12952, 12953]]
['b', [12972, 12973]]
['b', [12975, 12976]]
['b', [13308, 13309]]
['b', [13326, 13327]]
['b', [13408, 13409]]
['b', [13623, 13624]]
['b', [13642, 13643]]
['b', [13694, 13695]]
['b', [13715, 13716]]
['b', [13717, 13718]]
['b', [13775, 13776]]
['b', [13944, 13945]]
['b', [14681, 14682]]
['b', [14722, 14723]]
['b', [14825, 14826]]
['b', [14845, 14846]]
['b', [14908, 14909]]
['b', [15348, 15349]]
['b', [15382, 15383]]
['b', [15500, 15501]]
['b', [15574, 15575]]
['b', [15624, 15625]]
['b', [15683, 15684]]
['b', [15835, 15836]]
['b', [15935, 15936]]
['b', [15942, 15943]]
['b', [15957, 15958]]
['b', [15964, 15965]]
['b', [16150, 16151]]
['b', [16244, 16245]]
['b', [16293, 16294]]
['b', [16313, 16314]]
['b', [16395, 16396]]
['b', [16407, 16408]]
['b', [16424, 16425]]
['b', [16453, 16454]]
['b', [16477, 16478]]
['b', [16519, 16520]]
['b', [16564, 16565]]
['b', [16682, 16683]]
['b', [16694, 16695]]
['b', [16763, 16764]]
['b', [16824, 16825]]
['b', [16863, 16864]]
['b', [16879, 16880]]
['b', [16887, 16888]]
['b', [16932, 16933]]
['b', [16949, 16950]]
['b', [16973, 16974]]
['b', [17052, 17053]]
['b', [17091, 17092]]
['b', [17153, 17154]]
