['lines', [44519, 44524]]
['lines', [44644, 44649]]
['lines', [44761, 44766]]
['lines', [45031, 45036]]
['lines', [45059, 45064]]
['lines', [45249, 45254]]
['lines', [49393, 49398]]
['lines', [51046, 51051]]
['lines', [52693, 52698]]
['lines', [52935, 52940]]
['lines', [52985, 52990]]
['lines', [53488, 53493]]
['lines', [53627, 53632]]
['lines', [53690, 53695]]
['lines', [54475, 54480]]
['lines', [54717, 54722]]
['lines', [54767, 54772]]
['lines', [55270, 55275]]
['lines', [55409, 55414]]
['lines', [55472, 55477]]
['lines', [58383, 58388]]
['lines', [58808, 58813]]
['lines', [63349, 63354]]
['lines', [65613, 65618]]
['lines', [66038, 66043]]
['lines', [70579, 70584]]
['mrna', [506, 510]]
['mrna', [1259, 1263]]
['mrna', [1807, 1811]]
['mrna', [1956, 1960]]
['mrna', [15115, 15119]]
['mrna', [25209, 25213]]
['mrna', [30267, 30271]]
['mrna', [34373, 34377]]
['mrna', [34438, 34442]]
['mrna', [34711, 34715]]
['mrna', [34956, 34960]]
['mrna', [37916, 37920]]
['mrna', [42022, 42026]]
['mrna', [42087, 42091]]
['mrna', [42360, 42364]]
['mrna', [42605, 42609]]
['mrna', [46849, 46853]]
['mrna', [48824, 48828]]
['mrna', [56368, 56372]]
['mrna', [56433, 56437]]
['mrna', [56706, 56710]]
['mrna', [56951, 56955]]
['mrna', [57312, 57316]]
['mrna', [57377, 57381]]
['mrna', [57650, 57654]]
['mrna', [57895, 57899]]
['mrna', [58584, 58588]]
['mrna', [58709, 58713]]
['mrna', [59281, 59285]]
['mrna', [59501, 59505]]
['mrna', [59780, 59784]]
['mrna', [59910, 59914]]
['mrna', [61561, 61565]]
['mrna', [64923, 64927]]
['mrna', [65814, 65818]]
['mrna', [65939, 65943]]
['mrna', [66511, 66515]]
['mrna', [66731, 66735]]
['mrna', [67010, 67014]]
['mrna', [67140, 67144]]
['mrna', [68791, 68795]]
['mrna', [72153, 72157]]
['her2-tyrosine', [892, 905]]
['her2-tyrosine', [59178, 59191]]
['her2-tyrosine', [66408, 66421]]
['positive', [950, 958]]
['positive', [3581, 3589]]
['positive', [14351, 14359]]
['positive', [14552, 14560]]
['positive', [24444, 24452]]
['positive', [24645, 24653]]
['positive', [27882, 27890]]
['positive', [28093, 28101]]
['positive', [28828, 28836]]
['positive', [29201, 29209]]
['positive', [29879, 29887]]
['positive', [30508, 30516]]
['positive', [35531, 35539]]
['positive', [35742, 35750]]
['positive', [36477, 36485]]
['positive', [36850, 36858]]
['positive', [37528, 37536]]
['positive', [38157, 38165]]
['positive', [43172, 43180]]
['positive', [43383, 43391]]
['positive', [44463, 44471]]
['positive', [44674, 44682]]
['positive', [45410, 45418]]
['positive', [45783, 45791]]
['positive', [46461, 46469]]
['positive', [47090, 47098]]
['positive', [47385, 47393]]
['positive', [47758, 47766]]
['positive', [48436, 48444]]
['positive', [49065, 49073]]
['cancer', [73, 79]]
['cancer', [180, 186]]
['cancer', [360, 366]]
['cancer', [472, 478]]
['cancer', [702, 708]]
['cancer', [966, 972]]
['cancer', [1124, 1130]]
['cancer', [1742, 1748]]
['cancer', [1878, 1884]]
['cancer', [1991, 1997]]
['cancer', [2038, 2044]]
['cancer', [2202, 2208]]
['cancer', [3417, 3423]]
['cancer', [3555, 3561]]
['cancer', [3922, 3928]]
['cancer', [4190, 4196]]
['cancer', [4258, 4264]]
['cancer', [6428, 6434]]
['cancer', [6515, 6521]]
['cancer', [6674, 6680]]
['cancer', [6948, 6954]]
['cancer', [7054, 7060]]
['cancer', [7271, 7277]]
['cancer', [7833, 7839]]
['cancer', [12779, 12785]]
['cancer', [13189, 13195]]
['cancer', [17920, 17926]]
['cancer', [22872, 22878]]
['cancer', [23282, 23288]]
['cancer', [27541, 27547]]
['cancer', [28051, 28057]]
['cancer', [28769, 28775]]
['cancer', [28844, 28850]]
['cancer', [29013, 29019]]
['cancer', [29386, 29392]]
['cancer', [30331, 30337]]
['cancer', [30823, 30829]]
['cancer', [32569, 32575]]
['cancer', [34306, 34312]]
['cancer', [35110, 35116]]
['cancer', [35190, 35196]]
['cancer', [35700, 35706]]
['cancer', [36418, 36424]]
['cancer', [36493, 36499]]
['cancer', [36662, 36668]]
['cancer', [37035, 37041]]
['cancer', [37980, 37986]]
['cancer', [38472, 38478]]
['cancer', [40218, 40224]]
['cancer', [41955, 41961]]
['cancer', [42759, 42765]]
['cancer', [42831, 42837]]
['cancer', [43341, 43347]]
['cancer', [44059, 44065]]
['cancer', [44122, 44128]]
['cancer', [44632, 44638]]
['cancer', [45350, 45356]]
['cancer', [45426, 45432]]
['cancer', [45595, 45601]]
['cancer', [45968, 45974]]
['cancer', [46913, 46919]]
['cancer', [47401, 47407]]
['cancer', [47570, 47576]]
['cancer', [47943, 47949]]
['cancer', [48888, 48894]]
['cancer', [49381, 49387]]
['cancer', [51034, 51040]]
['cancer', [52781, 52787]]
['cancer', [54563, 54569]]
['cancer', [56301, 56307]]
