['erythropoietin', [2015, 2029]]
['epo', [2031, 2034]]
['epo', [2126, 2129]]
['epo', [2843, 2846]]
['epo', [2879, 2882]]
['epo', [4100, 4103]]
['epo', [27380, 27383]]
['epo', [27750, 27753]]
['epo', [28193, 28196]]
['epo', [28522, 28525]]
['epo', [29607, 29610]]
['epo', [30167, 30170]]
['epo', [30269, 30272]]
['epo', [32210, 32213]]
['epo', [32580, 32583]]
['epo', [33023, 33026]]
['epo', [33352, 33355]]
['epo', [34437, 34440]]
['epo', [34997, 35000]]
['epo', [35099, 35102]]
['endogenous', [2051, 2061]]
['eec', [2082, 2085]]
['eec', [2104, 2107]]
['eec', [2711, 2714]]
['eec', [27347, 27350]]
['eec', [27473, 27476]]
['eec', [32177, 32180]]
['eec', [32303, 32306]]
['protein', [2236, 2243]]
['protein', [2519, 2526]]
['protein', [2658, 2665]]
['protein', [26972, 26979]]
['protein', [27962, 27969]]
['protein', [31802, 31809]]
['protein', [32792, 32799]]
['tyrosine', [539, 547]]
['tyrosine', [2244, 2252]]
['tyrosine', [2527, 2535]]
['tyrosine', [2666, 2674]]
['tyrosine', [3367, 3375]]
['tyrosine', [4153, 4161]]
['tyrosine', [26980, 26988]]
['tyrosine', [28158, 28166]]
['tyrosine', [31810, 31818]]
['tyrosine', [32988, 32996]]
['platelet-derived', [2572, 2588]]
['growth', [1935, 1941]]
['growth', [2094, 2100]]
['growth', [2589, 2595]]
['growth', [2690, 2696]]
['growth', [3614, 3620]]
['growth', [27739, 27745]]
['growth', [32569, 32575]]
['factor', [2596, 2602]]
['receptors', [2603, 2612]]
['pdgfrs', [2614, 2620]]
['pdgfrs', [2993, 2999]]
['progenitors', [2778, 2789]]
['jh2', [3304, 3307]]
['pseudokinase', [3308, 3320]]
['auto-inhibitory', [3321, 3336]]
['domain', [3337, 3343]]
['domain', [28174, 28180]]
['domain', [33004, 33010]]
['cytokine', [3568, 3576]]
['murine', [3785, 3791]]
['murine', [28255, 28261]]
['murine', [33085, 33091]]
['marrow', [3792, 3798]]
['marrow', [5412, 5418]]
['marrow', [5545, 5551]]
['marrow', [6749, 6755]]
['marrow', [11894, 11900]]
['marrow', [17029, 17035]]
['marrow', [17784, 17790]]
['mpns', [3956, 3960]]
['kinase', [548, 554]]
['kinase', [594, 600]]
['kinase', [2253, 2259]]
['kinase', [2536, 2542]]
['kinase', [2675, 2681]]
['kinase', [3314, 3320]]
['kinase', [3376, 3382]]
['kinase', [4162, 4168]]
['kinase', [26989, 26995]]
['kinase', [27588, 27594]]
['kinase', [28167, 28173]]
['kinase', [28359, 28365]]
['kinase', [31819, 31825]]
['kinase', [32418, 32424]]
['kinase', [32997, 33003]]
['kinase', [33189, 33195]]
['alt', [2171, 2174]]
['alt', [4780, 4783]]
['alt', [28625, 28628]]
['alt', [31689, 31692]]
['alt', [33455, 33458]]
['alt', [36519, 36522]]
['uln', [4816, 4819]]
['uln', [4847, 4850]]
['uln', [4884, 4887]]
['uln', [27074, 27077]]
['uln', [31904, 31907]]
['chr', [128, 131]]
['chr', [1351, 1354]]
['chr', [2425, 2428]]
['chr', [5735, 5738]]
['chr', [7231, 7234]]
['chr', [7582, 7585]]
['chr', [8079, 8082]]
['chr', [8207, 8210]]
['chr', [12376, 12379]]
['chr', [12727, 12730]]
['chr', [13224, 13227]]
['chr', [13352, 13355]]
['chr', [18267, 18270]]
['chr', [18618, 18621]]
['chr', [19115, 19118]]
['chr', [19243, 19246]]
['chr', [21263, 21266]]
['chr', [21614, 21617]]
['chr', [22111, 22114]]
['chr', [22239, 22242]]
['chr', [29398, 29401]]
['chr', [30011, 30014]]
['chr', [30323, 30326]]
['chr', [30452, 30455]]
['chr', [30745, 30748]]
['chr', [30968, 30971]]
['chr', [31290, 31293]]
['chr', [34228, 34231]]
['chr', [34841, 34844]]
['chr', [35153, 35156]]
['chr', [35282, 35285]]
['chr', [35575, 35578]]
['chr', [35798, 35801]]
['chr', [36120, 36123]]
['phr', [5987, 5990]]
['phr', [7241, 7244]]
['phr', [8280, 8283]]
['phr', [8571, 8574]]
['phr', [8784, 8787]]
['phr', [9244, 9247]]
['phr', [9415, 9418]]
['phr', [9714, 9717]]
['phr', [12386, 12389]]
['phr', [13425, 13428]]
['phr', [13716, 13719]]
['phr', [13929, 13932]]
['phr', [14389, 14392]]
['phr', [14560, 14563]]
['phr', [14859, 14862]]
['phr', [18277, 18280]]
['phr', [19316, 19319]]
['phr', [19607, 19610]]
['phr', [19820, 19823]]
['phr', [20280, 20283]]
['phr', [20451, 20454]]
['phr', [20750, 20753]]
['phr', [21273, 21276]]
['phr', [22312, 22315]]
['phr', [22603, 22606]]
['phr', [22816, 22819]]
['phr', [23276, 23279]]
['phr', [23447, 23450]]
['phr', [23746, 23749]]
['phr', [29420, 29423]]
['phr', [29459, 29462]]
['phr', [30869, 30872]]
['phr', [31301, 31304]]
['phr', [34250, 34253]]
['phr', [34289, 34292]]
['phr', [35699, 35702]]
['phr', [36131, 36134]]
['table', [4580, 4585]]
['table', [4637, 4642]]
['table', [6418, 6423]]
['table', [6685, 6690]]
['table', [11018, 11023]]
['table', [11563, 11568]]
['table', [11830, 11835]]
['table', [16163, 16168]]
['table', [16698, 16703]]
['table', [16965, 16970]]
['table', [17453, 17458]]
['table', [17720, 17725]]
['table', [25832, 25837]]
['table', [26439, 26444]]
['1', [98, 99]]
['1', [571, 572]]
['1', [792, 793]]
['1', [833, 834]]
['1', [951, 952]]
['1', [1019, 1020]]
['1', [1078, 1079]]
['1', [1308, 1309]]
['1', [1477, 1478]]
['1', [2549, 2550]]
['1', [2641, 2642]]
['1', [2987, 2988]]
['1', [3133, 3134]]
['1', [3361, 3362]]
['1', [3489, 3490]]
['1', [3490, 3491]]
['1', [3496, 3497]]
['1', [3730, 3731]]
['1', [3828, 3829]]
['1', [3929, 3930]]
['1', [4014, 4015]]
['1', [4072, 4073]]
['1', [4077, 4078]]
['1', [4383, 4384]]
['1', [4833, 4834]]
['1', [4894, 4895]]
['1', [4925, 4926]]
['1', [5696, 5697]]
['1', [5756, 5757]]
['1', [6342, 6343]]
['1', [6372, 6373]]
['1', [6424, 6425]]
['1', [6475, 6476]]
['1', [6533, 6534]]
['1', [6555, 6556]]
['1', [6593, 6594]]
['1', [6986, 6987]]
['1', [7058, 7059]]
['1', [7169, 7170]]
['1', [7213, 7214]]
['1', [7229, 7230]]
['1', [7279, 7280]]
['1', [7347, 7348]]
['1', [7553, 7554]]
['1', [7821, 7822]]
['1', [7853, 7854]]
['1', [7870, 7871]]
['1', [7906, 7907]]
['1', [8486, 8487]]
['1', [8503, 8504]]
['1', [8581, 8582]]
['1', [8994, 8995]]
['1', [9002, 9003]]
['1', [9034, 9035]]
['1', [9051, 9052]]
['1', [9279, 9280]]
['1', [9402, 9403]]
['1', [9617, 9618]]
['1', [9625, 9626]]
['1', [9672, 9673]]
['1', [10124, 10125]]
['1', [10166, 10167]]
['1', [10207, 10208]]
['1', [10323, 10324]]
['1', [10553, 10554]]
['1', [10615, 10616]]
['1', [11185, 11186]]
['1', [11487, 11488]]
['1', [11517, 11518]]
['1', [11569, 11570]]
['1', [11620, 11621]]
['1', [11678, 11679]]
['1', [11700, 11701]]
['1', [11738, 11739]]
['1', [12131, 12132]]
['1', [12203, 12204]]
['1', [12314, 12315]]
['1', [12358, 12359]]
['1', [12374, 12375]]
['1', [12424, 12425]]
['1', [12492, 12493]]
['1', [12698, 12699]]
['1', [12966, 12967]]
['1', [12998, 12999]]
['1', [13015, 13016]]
['1', [13051, 13052]]
['1', [13631, 13632]]
['1', [13648, 13649]]
['1', [13726, 13727]]
['1', [14139, 14140]]
['1', [14147, 14148]]
['1', [14179, 14180]]
['1', [14196, 14197]]
['1', [14424, 14425]]
['1', [14547, 14548]]
['1', [14762, 14763]]
['1', [14770, 14771]]
['1', [14817, 14818]]
['1', [15269, 15270]]
['1', [15311, 15312]]
['1', [15352, 15353]]
['1', [15468, 15469]]
['1', [15698, 15699]]
['1', [15760, 15761]]
['1', [16330, 16331]]
['1', [16622, 16623]]
['1', [16652, 16653]]
['1', [16704, 16705]]
['1', [16755, 16756]]
['1', [16813, 16814]]
['1', [16835, 16836]]
['1', [16873, 16874]]
['1', [17266, 17267]]
['1', [17338, 17339]]
['1', [17377, 17378]]
['1', [17407, 17408]]
['1', [17459, 17460]]
['1', [17510, 17511]]
['1', [17568, 17569]]
['1', [17590, 17591]]
['1', [17628, 17629]]
['1', [18021, 18022]]
['1', [18093, 18094]]
['1', [18205, 18206]]
['1', [18249, 18250]]
['1', [18265, 18266]]
['1', [18315, 18316]]
['1', [18383, 18384]]
['1', [18589, 18590]]
['1', [18857, 18858]]
['1', [18889, 18890]]
['1', [18906, 18907]]
['1', [18942, 18943]]
['1', [19522, 19523]]
['1', [19539, 19540]]
['1', [19617, 19618]]
['1', [20030, 20031]]
['1', [20038, 20039]]
['1', [20070, 20071]]
['1', [20087, 20088]]
['1', [20315, 20316]]
['1', [20438, 20439]]
['1', [20653, 20654]]
['1', [20661, 20662]]
['1', [20708, 20709]]
['1', [21201, 21202]]
['1', [21245, 21246]]
['1', [21261, 21262]]
['1', [21311, 21312]]
['1', [21379, 21380]]
['1', [21585, 21586]]
['1', [21853, 21854]]
['1', [21885, 21886]]
['1', [21902, 21903]]
['1', [21938, 21939]]
['1', [22518, 22519]]
['1', [22535, 22536]]
['1', [22613, 22614]]
['1', [23026, 23027]]
['1', [23034, 23035]]
['1', [23066, 23067]]
['1', [23083, 23084]]
['1', [23311, 23312]]
['1', [23434, 23435]]
['1', [23649, 23650]]
['1', [23657, 23658]]
['1', [23704, 23705]]
['1', [24157, 24158]]
['1', [24199, 24200]]
['1', [24240, 24241]]
['1', [24356, 24357]]
['1', [24586, 24587]]
['1', [24648, 24649]]
['1', [24937, 24938]]
['1', [24979, 24980]]
['1', [25020, 25021]]
['1', [25136, 25137]]
['1', [25366, 25367]]
['1', [25428, 25429]]
['1', [25999, 26000]]
['1', [26606, 26607]]
['1', [26927, 26928]]
['1', [27034, 27035]]
['1', [27398, 27399]]
['1', [27791, 27792]]
['1', [27852, 27853]]
['1', [27853, 27854]]
['1', [27859, 27860]]
['1', [28066, 28067]]
['1', [28349, 28350]]
['1', [29077, 29078]]
['1', [29317, 29318]]
['1', [29342, 29343]]
['1', [29512, 29513]]
['1', [29553, 29554]]
['1', [29801, 29802]]
['1', [30330, 30331]]
['1', [30372, 30373]]
['1', [30813, 30814]]
['1', [31581, 31582]]
['1', [31757, 31758]]
['1', [31864, 31865]]
['1', [32228, 32229]]
['1', [32621, 32622]]
['1', [32682, 32683]]
['1', [32683, 32684]]
['1', [32689, 32690]]
['1', [32896, 32897]]
['1', [33179, 33180]]
['1', [33907, 33908]]
['1', [34147, 34148]]
['1', [34172, 34173]]
['1', [34342, 34343]]
['1', [34383, 34384]]
['1', [34631, 34632]]
['1', [35160, 35161]]
['1', [35202, 35203]]
['1', [35643, 35644]]
['1', [36411, 36412]]
['1\xe2\x80\x933', [6475, 6480]]
['1\xe2\x80\x933', [11620, 11625]]
['1\xe2\x80\x933', [16755, 16760]]
['1\xe2\x80\x933', [17510, 17515]]
['20q', [6901, 6904]]
['20q', [12046, 12049]]
['20q', [17181, 17184]]
['20q', [17936, 17939]]
['t', [3, 4]]
['t', [15, 16]]
['t', [18, 19]]
['t', [36, 37]]
['t', [60, 61]]
['t', [77, 78]]
['t', [85, 86]]
['t', [88, 89]]
['t', [106, 107]]
['t', [150, 151]]
['t', [176, 177]]
['t', [203, 204]]
['t', [230, 231]]
['t', [234, 235]]
['t', [239, 240]]
['t', [250, 251]]
['t', [262, 263]]
['t', [288, 289]]
['t', [298, 299]]
['t', [303, 304]]
['t', [326, 327]]
['t', [347, 348]]
['t', [374, 375]]
['t', [391, 392]]
['t', [425, 426]]
['t', [429, 430]]
['t', [435, 436]]
['t', [442, 443]]
['t', [451, 452]]
['t', [481, 482]]
['t', [500, 501]]
['t', [503, 504]]
['t', [506, 507]]
['t', [511, 512]]
['t', [523, 524]]
['t', [534, 535]]
['t', [539, 540]]
['t', [561, 562]]
['t', [592, 593]]
['t', [608, 609]]
['t', [612, 613]]
['t', [631, 632]]
['t', [667, 668]]
['t', [679, 680]]
['t', [686, 687]]
['t', [688, 689]]
['t', [693, 694]]
['t', [730, 731]]
['t', [734, 735]]
['t', [739, 740]]
['t', [746, 747]]
['t', [761, 762]]
['t', [772, 773]]
['t', [778, 779]]
['t', [797, 798]]
['t', [840, 841]]
['t', [844, 845]]
['t', [874, 875]]
['t', [881, 882]]
['t', [890, 891]]
['t', [899, 900]]
['t', [919, 920]]
['t', [930, 931]]
['t', [935, 936]]
['t', [959, 960]]
['t', [983, 984]]
['t', [998, 999]]
['t', [1025, 1026]]
['t', [1058, 1059]]
['t', [1084, 1085]]
['t', [1086, 1087]]
['t', [1105, 1106]]
['t', [1119, 1120]]
['t', [1125, 1126]]
['t', [1149, 1150]]
['t', [1156, 1157]]
['t', [1160, 1161]]
['t', [1164, 1165]]
['t', [1186, 1187]]
['t', [1196, 1197]]
['t', [1202, 1203]]
['t', [1227, 1228]]
