['chart', [12984, 12989]]
['chart', [13184, 13189]]
['chart', [13212, 13217]]
['chart', [13561, 13566]]
['chart', [16468, 16473]]
['chart', [23782, 23787]]
['chart', [23976, 23981]]
['chart', [24062, 24067]]
['chart', [24262, 24267]]
['chart', [24290, 24295]]
['chart', [24639, 24644]]
['chart', [27546, 27551]]
['chart', [28868, 28873]]
['chart', [29062, 29067]]
['chart', [29149, 29154]]
['chart', [29349, 29354]]
['chart', [29377, 29382]]
['chart', [29726, 29731]]
['chart', [32634, 32639]]
['chart', [38797, 38802]]
['chart', [40177, 40182]]
['chart', [40245, 40250]]
['chart', [44214, 44219]]
['chart', [45594, 45599]]
['chart', [45662, 45667]]
['chart', [50649, 50654]]
['chart', [52299, 52304]]
['chart', [56193, 56198]]
['chart', [56494, 56499]]
['chart', [56841, 56846]]
['chart', [61946, 61951]]
['chart', [63596, 63601]]
['chart', [67490, 67495]]
['chart', [67791, 67796]]
['chart', [68138, 68143]]
['chart', [72932, 72937]]
['chart', [75106, 75111]]
['review\\.', [16474, 16482]]
['review\\.', [27552, 27560]]
['review\\.', [32640, 32648]]
['review\\.', [40183, 40191]]
['review\\.', [45600, 45608]]
['review\\.', [50655, 50663]]
['review\\.', [52305, 52313]]
['review\\.', [61952, 61960]]
['review\\.', [63602, 63610]]
['statistical', [17341, 17352]]
['statistical', [33509, 33520]]
['analyses\\.', [17353, 17363]]
['analyses\\.', [18649, 18659]]
['analyses\\.', [33521, 33531]]
['analyses\\.', [34817, 34827]]
['cases', [932, 937]]
['cases', [1282, 1287]]
['cases', [5950, 5955]]
['cases', [6301, 6306]]
['cases', [10992, 10997]]
['cases', [12256, 12261]]
['cases', [12416, 12421]]
['cases', [12554, 12559]]
['cases', [12587, 12592]]
['cases', [12656, 12661]]
['cases', [13372, 13377]]
['cases', [14303, 14308]]
['cases', [17240, 17245]]
['cases', [17363, 17368]]
['cases', [22069, 22074]]
['cases', [23334, 23339]]
['cases', [23494, 23499]]
['cases', [23632, 23637]]
['cases', [23665, 23670]]
['cases', [23734, 23739]]
['cases', [24450, 24455]]
['cases', [25381, 25386]]
['cases', [28420, 28425]]
['cases', [28580, 28585]]
['cases', [28718, 28723]]
['cases', [28751, 28756]]
['cases', [28820, 28825]]
['cases', [29537, 29542]]
['cases', [30468, 30473]]
['cases', [33408, 33413]]
['cases', [33531, 33536]]
['cases', [35887, 35892]]
['cases', [36215, 36220]]
['cases', [36403, 36408]]
['cases', [36621, 36626]]
['cases', [36697, 36702]]
['cases', [41304, 41309]]
['cases', [41632, 41637]]
['cases', [41820, 41825]]
['cases', [42038, 42043]]
['cases', [42114, 42119]]
['cases', [48830, 48835]]
['cases', [50224, 50229]]
['cases', [50593, 50598]]
['cases', [51720, 51725]]
['cases', [60127, 60132]]
['cases', [61521, 61526]]
['cases', [61890, 61895]]
['cases', [63017, 63022]]
['cases', [69589, 69594]]
['cases', [70409, 70414]]
['figure', [13107, 13113]]
['figure', [15921, 15927]]
['figure', [17807, 17813]]
['figure', [24185, 24191]]
['figure', [26999, 27005]]
['figure', [29272, 29278]]
['figure', [32087, 32093]]
['figure', [33975, 33981]]
['figure', [38244, 38250]]
['figure', [43661, 43667]]
['figure', [70633, 70639]]
['figure', [70651, 70657]]
['1', [913, 914]]
['1', [1467, 1468]]
['1', [1480, 1481]]
['1', [1486, 1487]]
['1', [1487, 1488]]
['1', [1615, 1616]]
['1', [1630, 1631]]
['1', [1645, 1646]]
['1', [1661, 1662]]
['1', [2000, 2001]]
['1', [2013, 2014]]
['1', [2019, 2020]]
['1', [2023, 2024]]
['1', [2066, 2067]]
['1', [2156, 2157]]
['1', [2169, 2170]]
['1', [2170, 2171]]
['1', [2179, 2180]]
['1', [2277, 2278]]
['1', [2278, 2279]]
['1', [2292, 2293]]
['1', [2864, 2865]]
['1', [3284, 3285]]
['1', [3396, 3397]]
['1', [3397, 3398]]
['1', [3499, 3500]]
['1', [3511, 3512]]
['1', [3518, 3519]]
['1', [3621, 3622]]
['1', [3629, 3630]]
['1', [3636, 3637]]
['1', [3903, 3904]]
['1', [4042, 4043]]
['1', [4046, 4047]]
['1', [4410, 4411]]
['1', [4415, 4416]]
['1', [5931, 5932]]
['1', [6486, 6487]]
