['matched', [51416, 51423]]
['matched', [58231, 58238]]
['matched', [58247, 58254]]
['matched', [64371, 64378]]
['matched', [64387, 64394]]
['matched', [65235, 65242]]
['matched', [65251, 65258]]
['controls\\.', [615, 625]]
['controls\\.', [2063, 2073]]
['controls\\.', [11237, 11247]]
['controls\\.', [20652, 20662]]
['controls\\.', [26804, 26814]]
['controls\\.', [32948, 32958]]
['controls\\.', [34842, 34852]]
['controls\\.', [65492, 65502]]
['controls\\.', [70675, 70685]]
['controls\\.', [70807, 70817]]
['controls\\.', [75990, 76000]]
['up-regulated', [625, 637]]
['up-regulated', [1305, 1317]]
['up-regulated', [25011, 25023]]
['up-regulated', [31163, 31175]]
['up-regulated', [41167, 41179]]
['up-regulated', [42647, 42659]]
['up-regulated', [46393, 46405]]
['up-regulated', [46764, 46776]]
['up-regulated', [47274, 47286]]
['up-regulated', [47318, 47330]]
['up-regulated', [47617, 47629]]
['up-regulated', [53224, 53236]]
['up-regulated', [53595, 53607]]
['up-regulated', [54105, 54117]]
['up-regulated', [54149, 54161]]
['up-regulated', [54448, 54460]]
['51', [947, 949]]
['51', [22911, 22913]]
['51', [23280, 23282]]
['51', [23635, 23637]]
['51', [29063, 29065]]
['51', [29432, 29434]]
['51', [29787, 29789]]
['51', [37102, 37104]]
['51', [38171, 38173]]
['51', [38541, 38543]]
['51', [38896, 38898]]
['51', [39435, 39437]]
['51', [39790, 39792]]
['51', [67845, 67847]]
['51', [69304, 69306]]
['51', [73160, 73162]]
['51', [74619, 74621]]
['list', [1056, 1060]]
['list', [21405, 21409]]
['list', [27557, 27561]]
['list', [33701, 33705]]
['list', [35595, 35599]]
['list', [70445, 70449]]
['list', [75760, 75764]]
['included', [1061, 1069]]
['multiple', [1070, 1078]]
['cathepsin', [1127, 1136]]
['cathepsin', [1143, 1152]]
['cathepsin', [8818, 8827]]
['cathepsin', [8834, 8843]]
['cathepsin', [9676, 9685]]
['cathepsin', [10093, 10102]]
['cathepsin', [10110, 10119]]
['cathepsin', [17998, 18007]]
['cathepsin', [18014, 18023]]
['cathepsin', [18857, 18866]]
['cathepsin', [19275, 19284]]
['cathepsin', [19292, 19301]]
['cathepsin', [24455, 24464]]
['cathepsin', [24468, 24477]]
['cathepsin', [24651, 24660]]
['cathepsin', [25178, 25187]]
['cathepsin', [25191, 25200]]
['cathepsin', [25387, 25396]]
['cathepsin', [25433, 25442]]
['cathepsin', [25446, 25455]]
['cathepsin', [25487, 25496]]
['cathepsin', [25503, 25512]]
['cathepsin', [25993, 26002]]
['cathepsin', [26198, 26207]]
['cathepsin', [30607, 30616]]
['cathepsin', [30620, 30629]]
['cathepsin', [30803, 30812]]
['cathepsin', [31330, 31339]]
['cathepsin', [31343, 31352]]
