['ovarian', [68798, 68805]]
['ovarian', [68848, 68855]]
['ovarian', [69532, 69539]]
['ovarian', [70334, 70341]]
['ovarian', [70520, 70527]]
['ovarian', [71340, 71347]]
['ovarian', [71578, 71585]]
['ovarian', [71750, 71757]]
['ovarian', [72616, 72623]]
['ovarian', [72740, 72747]]
['ovarian', [72782, 72789]]
['ovarian', [73216, 73223]]
['ovarian', [73284, 73291]]
['ovarian', [74004, 74011]]
['ovarian', [74795, 74802]]
['ovarian', [74999, 75006]]
['ovarian', [75175, 75182]]
['ovarian', [75252, 75259]]
['ovarian', [75747, 75754]]
['ovarian', [75949, 75956]]
['ovarian', [76314, 76321]]
['ovarian', [77269, 77276]]
['ovarian', [77710, 77717]]
['ovarian', [77882, 77889]]
['ovarian', [78748, 78755]]
['ovarian', [78872, 78879]]
['ovarian', [78914, 78921]]
['ovarian', [79348, 79355]]
['ovarian', [79416, 79423]]
['ovarian', [80136, 80143]]
['ovarian', [80927, 80934]]
['ovarian', [81131, 81138]]
['ovarian', [81307, 81314]]
['ovarian', [81384, 81391]]
['ovarian', [81879, 81886]]
['ovarian', [82081, 82088]]
['ovarian', [82446, 82453]]
['ovarian', [83401, 83408]]
['tumor', [140, 145]]
['tumor', [356, 361]]
['tumor', [564, 569]]
['tumor', [680, 685]]
['tumor', [806, 811]]
['tumor', [939, 944]]
['tumor', [1023, 1028]]
['tumor', [1094, 1099]]
['tumor', [1116, 1121]]
['tumor', [1403, 1408]]
['tumor', [1831, 1836]]
['tumor', [2201, 2206]]
['tumor', [2393, 2398]]
['tumor', [2679, 2684]]
['tumor', [2897, 2902]]
['tumor', [2915, 2920]]
['tumor', [3120, 3125]]
['tumor', [3609, 3614]]
['tumor', [4449, 4454]]
['tumor', [5928, 5933]]
['tumor', [5997, 6002]]
['tumor', [6237, 6242]]
['tumor', [7585, 7590]]
['tumor', [7829, 7834]]
['tumor', [9249, 9254]]
['tumor', [9381, 9386]]
['tumor', [10861, 10866]]
['tumor', [11004, 11009]]
['tumor', [11177, 11182]]
['tumor', [11329, 11334]]
['tumor', [11521, 11526]]
['tumor', [17660, 17665]]
['tumor', [18717, 18722]]
['tumor', [18771, 18776]]
['tumor', [18878, 18883]]
['tumor', [19248, 19253]]
['tumor', [19440, 19445]]
['tumor', [19726, 19731]]
['tumor', [19944, 19949]]
['tumor', [19962, 19967]]
['tumor', [20167, 20172]]
['tumor', [20656, 20661]]
['tumor', [21497, 21502]]
['tumor', [22977, 22982]]
['tumor', [23046, 23051]]
['tumor', [23286, 23291]]
['tumor', [24634, 24639]]
['tumor', [24879, 24884]]
['tumor', [26300, 26305]]
['tumor', [26432, 26437]]
['tumor', [27912, 27917]]
['tumor', [28055, 28060]]
['tumor', [28228, 28233]]
['tumor', [28380, 28385]]
['tumor', [28572, 28577]]
['tumor', [34717, 34722]]
['tumor', [35775, 35780]]
['tumor', [35829, 35834]]
['tumor', [36028, 36033]]
['tumor', [36136, 36141]]
['tumor', [36605, 36610]]
['tumor', [36699, 36704]]
['tumor', [36900, 36905]]
