['p-creb', [22582, 22588]]
['p-creb', [25002, 25008]]
['p-creb', [26091, 26097]]
['p-creb', [26383, 26389]]
['p-creb', [30529, 30535]]
['p-creb', [31670, 31676]]
['p-creb', [31823, 31829]]
['p-creb', [32094, 32100]]
['p-creb', [33183, 33189]]
['p-creb', [33475, 33481]]
['p-creb', [37621, 37627]]
['p-creb', [38762, 38768]]
['p-creb', [38915, 38921]]
['p-creb', [39186, 39192]]
['p-creb', [40275, 40281]]
['p-creb', [40567, 40573]]
['p-creb', [48716, 48722]]
['p-creb', [49857, 49863]]
['p-creb', [50010, 50016]]
['p-creb', [50345, 50351]]
['p-creb', [51486, 51492]]
['p-creb', [51639, 51645]]
['p-creb', [56390, 56396]]
['p-creb', [61915, 61921]]
['p-creb', [66644, 66650]]
['p-creb', [67010, 67016]]
['p-creb', [71181, 71187]]
['p-creb', [71547, 71553]]
['bcl-2', [1501, 1506]]
['bcl-2', [1927, 1932]]
['bcl-2', [6093, 6098]]
['bcl-2', [6645, 6650]]
['bcl-2', [7305, 7310]]
['bcl-2', [13659, 13664]]
['bcl-2', [16231, 16236]]
['bcl-2', [22590, 22595]]
['bcl-2', [25013, 25018]]
['bcl-2', [26102, 26107]]
['bcl-2', [26394, 26399]]
['bcl-2', [30540, 30545]]
['bcl-2', [31543, 31548]]
['bcl-2', [31681, 31686]]
['bcl-2', [31834, 31839]]
['bcl-2', [32036, 32041]]
['bcl-2', [32105, 32110]]
['bcl-2', [33194, 33199]]
['bcl-2', [33486, 33491]]
['bcl-2', [37632, 37637]]
['bcl-2', [38635, 38640]]
['bcl-2', [38773, 38778]]
['bcl-2', [38926, 38931]]
['bcl-2', [39128, 39133]]
['bcl-2', [39197, 39202]]
['bcl-2', [40286, 40291]]
['bcl-2', [40578, 40583]]
['bcl-2', [48727, 48732]]
['bcl-2', [49730, 49735]]
['bcl-2', [49868, 49873]]
['bcl-2', [50021, 50026]]
['bcl-2', [50223, 50228]]
['bcl-2', [50356, 50361]]
['bcl-2', [51359, 51364]]
['bcl-2', [51497, 51502]]
['bcl-2', [51650, 51655]]
['bcl-2', [51852, 51857]]
['bcl-2', [52730, 52735]]
['bcl-2', [52808, 52813]]
['bcl-2', [52947, 52952]]
['bcl-2', [53227, 53232]]
['bcl-2', [53308, 53313]]
['bcl-2', [55997, 56002]]
['bcl-2', [56401, 56406]]
['bcl-2', [56835, 56840]]
['bcl-2', [58255, 58260]]
['bcl-2', [58333, 58338]]
['bcl-2', [58472, 58477]]
['bcl-2', [58752, 58757]]
['bcl-2', [58833, 58838]]
['bcl-2', [61522, 61527]]
['bcl-2', [61926, 61931]]
['bcl-2', [62360, 62365]]
['bcl-2', [66046, 66051]]
['bcl-2', [66655, 66660]]
['bcl-2', [67021, 67026]]
['bcl-2', [70583, 70588]]
['bcl-2', [71192, 71197]]
['bcl-2', [71558, 71563]]
['putative', [1540, 1548]]
['putative', [54669, 54677]]
['putative', [60194, 60202]]
['pro-death', [1549, 1558]]
['pro-death', [1681, 1690]]
['pro-death', [5252, 5261]]
['p-c-jun', [1568, 1575]]
['p-c-jun', [1983, 1990]]
['p-c-jun', [13642, 13649]]
['p-c-jun', [22573, 22580]]
['p-c-jun', [24993, 25000]]
['p-c-jun', [25911, 25918]]
['p-c-jun', [26024, 26031]]
['p-c-jun', [26374, 26381]]
['p-c-jun', [30929, 30936]]
['p-c-jun', [31123, 31130]]
['p-c-jun', [31194, 31201]]
['p-c-jun', [31371, 31378]]
['p-c-jun', [32085, 32092]]
['p-c-jun', [33003, 33010]]
['p-c-jun', [33116, 33123]]
['p-c-jun', [33466, 33473]]
['p-c-jun', [38021, 38028]]
['p-c-jun', [38215, 38222]]
['p-c-jun', [38286, 38293]]
['p-c-jun', [38463, 38470]]
['p-c-jun', [39177, 39184]]
['p-c-jun', [40095, 40102]]
['p-c-jun', [40208, 40215]]
['p-c-jun', [40558, 40565]]
['p-c-jun', [49116, 49123]]
['p-c-jun', [49310, 49317]]
['p-c-jun', [49381, 49388]]
['p-c-jun', [49558, 49565]]
['p-c-jun', [50745, 50752]]
['p-c-jun', [50939, 50946]]
['p-c-jun', [51010, 51017]]
['p-c-jun', [51187, 51194]]
['p-c-jun', [56332, 56339]]
['p-c-jun', [61857, 61864]]
['p-c-jun', [66519, 66526]]
['p-c-jun', [67001, 67008]]
['p-c-jun', [71056, 71063]]
['p-c-jun', [71538, 71545]]
['fas-l', [1580, 1585]]
['fas-l', [1995, 2000]]
['fas-l', [6159, 6164]]
['fas-l', [6750, 6755]]
['fas-l', [7289, 7294]]
['fas-l', [16215, 16220]]
['fas-l', [30502, 30507]]
['fas-l', [30703, 30708]]
['fas-l', [30792, 30797]]
['fas-l', [30941, 30946]]
['fas-l', [31135, 31140]]
['fas-l', [31206, 31211]]
['fas-l', [31383, 31388]]
['fas-l', [37594, 37599]]
['fas-l', [37795, 37800]]
['fas-l', [37884, 37889]]
['fas-l', [38033, 38038]]
['fas-l', [38227, 38232]]
['fas-l', [38298, 38303]]
['fas-l', [38475, 38480]]
['fas-l', [48689, 48694]]
['fas-l', [48890, 48895]]
['fas-l', [48979, 48984]]
['fas-l', [49128, 49133]]
['fas-l', [49322, 49327]]
['fas-l', [49393, 49398]]
['fas-l', [49570, 49575]]
['fas-l', [50318, 50323]]
['fas-l', [50519, 50524]]
['fas-l', [50608, 50613]]
['fas-l', [50757, 50762]]
['fas-l', [50951, 50956]]
['fas-l', [51022, 51027]]
['fas-l', [51199, 51204]]
['fas-l', [55044, 55049]]
['fas-l', [55193, 55198]]
['fas-l', [55340, 55345]]
['fas-l', [55563, 55568]]
['fas-l', [56018, 56023]]
['fas-l', [56344, 56349]]
['fas-l', [56915, 56920]]
['fas-l', [60569, 60574]]
['fas-l', [60718, 60723]]
['fas-l', [60865, 60870]]
['fas-l', [61088, 61093]]
['fas-l', [61543, 61548]]
['fas-l', [61869, 61874]]
['fas-l', [62440, 62445]]
['fas-l', [66036, 66041]]
['fas-l', [66531, 66536]]
['fas-l', [70573, 70578]]
['fas-l', [71068, 71073]]
['n-methyl-d-aspartate', [2741, 2761]]
['\\(', [446, 448]]
['\\(', [502, 504]]
['\\(', [1915, 1917]]
['\\(', [1982, 1984]]
['\\(', [2259, 2261]]
['\\(', [2630, 2632]]
['\\(', [2762, 2764]]
['\\(', [2927, 2929]]
['\\(', [3160, 3162]]
['\\(', [3500, 3502]]
['\\(', [3718, 3720]]
['\\(', [4080, 4082]]
['\\(', [4343, 4345]]
['\\(', [4449, 4451]]
['\\(', [4642, 4644]]
['\\(', [4812, 4814]]
['\\(', [4904, 4906]]
['\\(', [5029, 5031]]
['\\(', [5176, 5178]]
['\\(', [5183, 5185]]
['\\(', [5348, 5350]]
['\\(', [7181, 7183]]
['\\(', [7236, 7238]]
['\\(', [7274, 7276]]
['\\(', [7367, 7369]]
['\\(', [7472, 7474]]
['\\(', [7514, 7516]]
['\\(', [7564, 7566]]
['\\(', [7634, 7636]]
['\\(', [7662, 7664]]
['\\(', [7709, 7711]]
['\\(', [7752, 7754]]
['\\(', [7876, 7878]]
['\\(', [7952, 7954]]
['\\(', [8002, 8004]]
['\\(', [8030, 8032]]
['\\(', [8149, 8151]]
['\\(', [8211, 8213]]
['\\(', [8583, 8585]]
['\\(', [8952, 8954]]
['\\(', [9104, 9106]]
['\\(', [9206, 9208]]
['\\(', [10518, 10520]]
['\\(', [10586, 10588]]
['\\(', [10619, 10621]]
['\\(', [10685, 10687]]
['\\(', [11225, 11227]]
['\\(', [11325, 11327]]
['\\(', [11876, 11878]]
['\\(', [12015, 12017]]
['\\(', [12150, 12152]]
['\\(', [12175, 12177]]
['\\(', [12364, 12366]]
['\\(', [12497, 12499]]
['\\(', [12716, 12718]]
['\\(', [12848, 12850]]
['\\(', [12885, 12887]]
