['6', [21655, 21656]]
['6', [21680, 21681]]
['6', [23524, 23525]]
['6', [23593, 23594]]
['6', [25024, 25025]]
['6', [27619, 27620]]
['6', [27736, 27737]]
['6', [27996, 27997]]
['6', [28159, 28160]]
['6', [28437, 28438]]
['6', [29102, 29103]]
['6', [29123, 29124]]
['6', [31443, 31444]]
['6', [34038, 34039]]
['6', [34155, 34156]]
['6', [34415, 34416]]
['6', [34578, 34579]]
['6', [34856, 34857]]
['6', [35521, 35522]]
['6', [35542, 35543]]
['6', [37997, 37998]]
['6', [38000, 38001]]
['6', [38009, 38010]]
['6', [38052, 38053]]
['6', [38072, 38073]]
['6', [38080, 38081]]
['6', [38140, 38141]]
['6', [38178, 38179]]
['6', [38286, 38287]]
['6', [38318, 38319]]
['6', [38354, 38355]]
['6', [38395, 38396]]
['6', [38562, 38563]]
['6', [38892, 38893]]
['6', [38917, 38918]]
['6', [38964, 38965]]
['6', [38982, 38983]]
['6', [39008, 39009]]
['6', [39011, 39012]]
['6', [39020, 39021]]
['6', [39071, 39072]]
['6', [39089, 39090]]
['6', [39156, 39157]]
['6', [39194, 39195]]
['6', [39216, 39217]]
['6', [39217, 39218]]
['6', [39278, 39279]]
['6', [39282, 39283]]
['6', [39336, 39337]]
['6', [39385, 39386]]
['6', [39404, 39405]]
['6', [39471, 39472]]
['6', [39533, 39534]]
['6', [39534, 39535]]
['6', [39541, 39542]]
['6', [39577, 39578]]
['6', [39589, 39590]]
['6', [39597, 39598]]
['6', [39610, 39611]]
['6', [39625, 39626]]
['6', [39690, 39691]]
['6', [39770, 39771]]
['6', [39789, 39790]]
['6', [39801, 39802]]
['6', [39807, 39808]]
['6', [39833, 39834]]
['6', [39939, 39940]]
['6', [40055, 40056]]
['6', [40348, 40349]]
['6', [40352, 40353]]
['6', [40529, 40530]]
['6', [40533, 40534]]
['6', [40536, 40537]]
['6', [40543, 40544]]
['6', [40546, 40547]]
['6', [40555, 40556]]
['6', [40822, 40823]]
['6', [41138, 41139]]
['6', [41144, 41145]]
['6', [41152, 41153]]
['6', [41165, 41166]]
['6', [41170, 41171]]
['6', [41278, 41279]]
['ada', [7606, 7609]]
['ada', [7636, 7639]]
['ada', [14250, 14253]]
['ada', [14280, 14283]]
['ada', [30086, 30089]]
['ada', [36505, 36508]]
['ada', [40761, 40764]]
['\xe2\x80\x9cyes\xe2\x80\x9d', [8039, 8048]]
['\xe2\x80\x9cyes\xe2\x80\x9d', [14683, 14692]]
['iadls', [8347, 8352]]
['iadls', [8556, 8561]]
['iadls', [14991, 14996]]
['iadls', [15200, 15205]]
['iadls', [40378, 40383]]
['oars', [8427, 8431]]
['oars', [15071, 15075]]
['adls', [8248, 8252]]
['adls', [8348, 8352]]
['adls', [8481, 8485]]
['adls', [8557, 8561]]
['adls', [11075, 11079]]
['adls', [14892, 14896]]
['adls', [14992, 14996]]
['adls', [15125, 15129]]
['adls', [15201, 15205]]
['adls', [17721, 17725]]
['adls', [20899, 20903]]
['adls', [24172, 24176]]
['adls', [25234, 25238]]
['adls', [26303, 26307]]
['adls', [26542, 26546]]
['adls', [31653, 31657]]
['adls', [32722, 32726]]
['adls', [32961, 32965]]
['adls', [40307, 40311]]
['adls', [40379, 40383]]
['adls', [41335, 41339]]
['stata', [11514, 11519]]
['stata', [18160, 18165]]
['8\\.0', [11520, 11524]]
['8\\.0', [18166, 18170]]
['8\\.0', [38218, 38222]]
['table', [10370, 10375]]
['table', [17016, 17021]]
['table', [18269, 18274]]
['table', [18543, 18548]]
['table', [18832, 18837]]
['table', [20016, 20021]]
