['\xe2\x80\x93', [7981, 7984]]
['\xe2\x80\x93', [17165, 17168]]
['\xe2\x80\x93', [48570, 48573]]
['\xe2\x80\x93', [53630, 53633]]
['\xe2\x80\x93', [55028, 55031]]
['\xe2\x80\x93', [60088, 60091]]
['3', [563, 564]]
['3', [966, 967]]
['3', [1286, 1287]]
['3', [1291, 1292]]
['3', [1435, 1436]]
['3', [2232, 2233]]
['3', [2238, 2239]]
['3', [2250, 2251]]
['3', [3405, 3406]]
['3', [3601, 3602]]
['3', [3936, 3937]]
['3', [4531, 4532]]
['3', [4536, 4537]]
['3', [5948, 5949]]
['3', [6344, 6345]]
['3', [6704, 6705]]
['3', [7147, 7148]]
['3', [7171, 7172]]
['3', [7237, 7238]]
['3', [8518, 8519]]
['3', [9612, 9613]]
['3', [9776, 9777]]
['3', [9959, 9960]]
['3', [10350, 10351]]
['3', [11650, 11651]]
['3', [11665, 11666]]
['3', [11767, 11768]]
['3', [11959, 11960]]
['3', [12655, 12656]]
['3', [12837, 12838]]
['3', [13501, 13502]]
['3', [13586, 13587]]
['3', [13646, 13647]]
['3', [13723, 13724]]
['3', [14703, 14704]]
['3', [15527, 15528]]
['3', [15887, 15888]]
['3', [16331, 16332]]
['3', [16355, 16356]]
['3', [16421, 16422]]
['3', [17702, 17703]]
['3', [18797, 18798]]
['3', [18961, 18962]]
['3', [19144, 19145]]
['3', [19535, 19536]]
['3', [20837, 20838]]
['3', [20852, 20853]]
['3', [20954, 20955]]
['3', [21146, 21147]]
['3', [21843, 21844]]
['3', [22025, 22026]]
['3', [22689, 22690]]
['3', [22774, 22775]]
['3', [22834, 22835]]
['3', [22911, 22912]]
['3', [23891, 23892]]
['3', [24630, 24631]]
['3', [24870, 24871]]
['3', [24874, 24875]]
['3', [24888, 24889]]
['3', [25016, 25017]]
['3', [25020, 25021]]
['3', [25090, 25091]]
['3', [25091, 25092]]
['3', [25094, 25095]]
['3', [25110, 25111]]
['3', [26843, 26844]]
['3', [26847, 26848]]
['3', [26851, 26852]]
['3', [26862, 26863]]
['3', [27068, 27069]]
['3', [27611, 27612]]
['3', [28070, 28071]]
['3', [28108, 28109]]
['3', [28220, 28221]]
['3', [28358, 28359]]
['3', [28432, 28433]]
['3', [28543, 28544]]
['3', [28624, 28625]]
['3', [28665, 28666]]
['3', [28914, 28915]]
['3', [28979, 28980]]
['3', [28987, 28988]]
['3', [28991, 28992]]
['3', [29063, 29064]]
['3', [29146, 29147]]
['3', [29151, 29152]]
['3', [29632, 29633]]
['3', [30545, 30546]]
['3', [30785, 30786]]
['3', [30789, 30790]]
['3', [30803, 30804]]
['3', [30931, 30932]]
['3', [30935, 30936]]
['3', [31005, 31006]]
['3', [31006, 31007]]
['3', [31009, 31010]]
['3', [31025, 31026]]
['3', [32758, 32759]]
['3', [32762, 32763]]
['3', [32766, 32767]]
['3', [32777, 32778]]
['3', [32983, 32984]]
['3', [33526, 33527]]
['3', [33985, 33986]]
['3', [34023, 34024]]
['3', [34135, 34136]]
['3', [34273, 34274]]
['3', [34347, 34348]]
['3', [34458, 34459]]
['3', [34539, 34540]]
['3', [34580, 34581]]
['3', [34829, 34830]]
['3', [34894, 34895]]
['3', [34902, 34903]]
['3', [34906, 34907]]
['3', [34978, 34979]]
['3', [35061, 35062]]
['3', [35066, 35067]]
['3', [35547, 35548]]
['3', [36452, 36453]]
['3', [36800, 36801]]
['3', [37041, 37042]]
['3', [37045, 37046]]
['3', [37059, 37060]]
['3', [37187, 37188]]
['3', [37191, 37192]]
['3', [37261, 37262]]
['3', [37262, 37263]]
['3', [37265, 37266]]
['3', [37281, 37282]]
['3', [37483, 37484]]
['3', [37487, 37488]]
['3', [37501, 37502]]
['3', [37629, 37630]]
['3', [37633, 37634]]
['3', [37703, 37704]]
['3', [37704, 37705]]
['3', [37707, 37708]]
['3', [37723, 37724]]
['3', [41051, 41052]]
['3', [41055, 41056]]
['3', [41059, 41060]]
['3', [41070, 41071]]
['3', [41276, 41277]]
['3', [41458, 41459]]
['3', [41462, 41463]]
['3', [41466, 41467]]
['3', [41477, 41478]]
['3', [41683, 41684]]
['3', [42227, 42228]]
['3', [42959, 42960]]
['3', [43419, 43420]]
['3', [43457, 43458]]
['3', [43569, 43570]]
['3', [43707, 43708]]
['3', [43781, 43782]]
['3', [43892, 43893]]
['3', [43973, 43974]]
['3', [44014, 44015]]
['3', [44240, 44241]]
['3', [44278, 44279]]
['3', [44390, 44391]]
['3', [44528, 44529]]
['3', [44602, 44603]]
['3', [44713, 44714]]
['3', [44794, 44795]]
['3', [44835, 44836]]
['3', [45085, 45086]]
['3', [45150, 45151]]
['3', [45158, 45159]]
['3', [45162, 45163]]
['3', [45234, 45235]]
['3', [45317, 45318]]
['3', [45322, 45323]]
['3', [45803, 45804]]
['3', [46657, 46658]]
['3', [46722, 46723]]
['3', [46730, 46731]]
['3', [46734, 46735]]
['3', [46806, 46807]]
['3', [46889, 46890]]
['3', [46894, 46895]]
['3', [47375, 47376]]
['3', [48139, 48140]]
['3', [48452, 48453]]
['3', [48568, 48569]]
['3', [48573, 48574]]
['3', [49184, 49185]]
['3', [49308, 49309]]
['3', [49314, 49315]]
['3', [50886, 50887]]
['3', [51325, 51326]]
['3', [51352, 51353]]
['3', [51658, 51659]]
['3', [51725, 51726]]
['3', [51902, 51903]]
['3', [51921, 51922]]
['3', [52151, 52152]]
['3', [52247, 52248]]
['3', [52248, 52249]]
['3', [52572, 52573]]
['3', [52578, 52579]]
['3', [52669, 52670]]
['3', [52717, 52718]]
['3', [53749, 53750]]
['3', [54597, 54598]]
['3', [54910, 54911]]
['3', [55026, 55027]]
['3', [55031, 55032]]
['3', [55642, 55643]]
['3', [55766, 55767]]
['3', [55772, 55773]]
['3', [57344, 57345]]
['3', [57783, 57784]]
['3', [57810, 57811]]
['3', [58116, 58117]]
['3', [58183, 58184]]
['3', [58360, 58361]]
['3', [58379, 58380]]
['3', [58609, 58610]]
['3', [58705, 58706]]
['3', [58706, 58707]]
['3', [59030, 59031]]
['3', [59036, 59037]]
['3', [59127, 59128]]
['3', [59175, 59176]]
['3', [60207, 60208]]
['heat', [3242, 3246]]
['heat', [7723, 7727]]
['heat', [8479, 8483]]
['heat', [16907, 16911]]
['heat', [17663, 17667]]
['exchangers', [3247, 3257]]
['cooled', [3457, 3463]]
['cooled', [7360, 7366]]
['cooled', [7621, 7627]]
['cooled', [16544, 16550]]
['cooled', [16805, 16811]]
['perfluorocarbons', [3104, 3120]]
['perfluorocarbons', [3464, 3480]]
['6', [834, 835]]
['6', [909, 910]]
['6', [3157, 3158]]
['6', [3481, 3482]]
['6', [4227, 4228]]
['6', [6729, 6730]]
['6', [8103, 8104]]
['6', [8398, 8399]]
['6', [10076, 10077]]
['6', [10510, 10511]]
['6', [11615, 11616]]
['6', [12450, 12451]]
['6', [14696, 14697]]
['6', [15912, 15913]]
['6', [17287, 17288]]
['6', [17582, 17583]]
['6', [19261, 19262]]
['6', [19696, 19697]]
['6', [20802, 20803]]
['6', [21637, 21638]]
['6', [23884, 23885]]
['6', [25472, 25473]]
['6', [25478, 25479]]
['6', [26863, 26864]]
['6', [27612, 27613]]
['6', [27615, 27616]]
['6', [28986, 28987]]
['6', [28990, 28991]]
['6', [29145, 29146]]
['6', [29515, 29516]]
['6', [29516, 29517]]
['6', [30000, 30001]]
['6', [31387, 31388]]
['6', [31393, 31394]]
['6', [32778, 32779]]
['6', [33527, 33528]]
['6', [33530, 33531]]
['6', [34901, 34902]]
['6', [34905, 34906]]
['6', [35060, 35061]]
['6', [35430, 35431]]
['6', [35431, 35432]]
['6', [35915, 35916]]
['6', [38086, 38087]]
['6', [38092, 38093]]
['6', [38557, 38558]]
['6', [38563, 38564]]
['6', [41071, 41072]]
['6', [41478, 41479]]
['6', [42228, 42229]]
['6', [42231, 42232]]
['6', [42960, 42961]]
['6', [42963, 42964]]
['6', [45157, 45158]]
['6', [45161, 45162]]
['6', [45316, 45317]]
['6', [45686, 45687]]
['6', [45687, 45688]]
['6', [46171, 46172]]
