['metastasis', [3203, 3213]]
['metastasis', [4865, 4875]]
['metastasis', [11423, 11433]]
['metastasis', [29289, 29299]]
['metastasis', [29869, 29879]]
['metastasis', [32389, 32399]]
['metastasis', [32498, 32508]]
['metastasis', [34579, 34589]]
['metastasis', [35159, 35169]]
['metastasis', [37679, 37689]]
['metastasis', [37788, 37798]]
['efficiency', [1826, 1836]]
['modifier', [1837, 1845]]
['locus', [1846, 1851]]
['locus', [2074, 2079]]
['locus', [29260, 29265]]
['locus', [34550, 34555]]
['mtes1', [1853, 1858]]
['mtes1', [2068, 2073]]
['mtes1', [29254, 29259]]
['mtes1', [34544, 34549]]
['4', [465, 466]]
['4', [483, 484]]
['4', [486, 487]]
['4', [497, 498]]
['4', [499, 500]]
['4', [724, 725]]
['4', [1089, 1090]]
['4', [1106, 1107]]
['4', [1124, 1125]]
['4', [1126, 1127]]
['4', [1147, 1148]]
['4', [1302, 1303]]
['4', [2080, 2081]]
['4', [2620, 2621]]
['4', [2727, 2728]]
['4', [2729, 2730]]
['4', [2816, 2817]]
['4', [4001, 4002]]
['4', [5105, 5106]]
['4', [5725, 5726]]
['4', [5838, 5839]]
['4', [6523, 6524]]
['4', [6580, 6581]]
['4', [7216, 7217]]
['4', [7305, 7306]]
['4', [7306, 7307]]
['4', [7308, 7309]]
['4', [7336, 7337]]
['4', [7453, 7454]]
['4', [7455, 7456]]
['4', [8136, 8137]]
['4', [8312, 8313]]
['4', [9128, 9129]]
['4', [9471, 9472]]
['4', [10559, 10560]]
['4', [11663, 11664]]
['4', [12284, 12285]]
['4', [12397, 12398]]
['4', [13082, 13083]]
['4', [13139, 13140]]
['4', [13776, 13777]]
['4', [13865, 13866]]
['4', [13866, 13867]]
['4', [13868, 13869]]
['4', [13896, 13897]]
['4', [14013, 14014]]
['4', [14015, 14016]]
['4', [14696, 14697]]
['4', [14872, 14873]]
['4', [15689, 15690]]
['4', [16032, 16033]]
['4', [17282, 17283]]
['4', [17289, 17290]]
['4', [17290, 17291]]
['4', [17379, 17380]]
['4', [17551, 17552]]
['4', [17648, 17649]]
['4', [17778, 17779]]
['4', [17808, 17809]]
['4', [17819, 17820]]
['4', [17820, 17821]]
['4', [17830, 17831]]
['4', [17832, 17833]]
['4', [17845, 17846]]
['4', [17879, 17880]]
['4', [17893, 17894]]
['4', [18133, 18134]]
['4', [18229, 18230]]
['4', [18242, 18243]]
['4', [18244, 18245]]
['4', [18395, 18396]]
['4', [18563, 18564]]
['4', [18750, 18751]]
['4', [18764, 18765]]
['4', [18896, 18897]]
['4', [18897, 18898]]
['4', [19097, 19098]]
['4', [19151, 19152]]
['4', [19848, 19849]]
['4', [19855, 19856]]
['4', [19856, 19857]]
['4', [19945, 19946]]
['4', [20117, 20118]]
['4', [20214, 20215]]
['4', [20344, 20345]]
['4', [20374, 20375]]
['4', [20385, 20386]]
['4', [20386, 20387]]
['4', [20396, 20397]]
['4', [20398, 20399]]
['4', [20411, 20412]]
['4', [20445, 20446]]
['4', [20459, 20460]]
['4', [20699, 20700]]
['4', [20795, 20796]]
['4', [20808, 20809]]
['4', [20810, 20811]]
['4', [20961, 20962]]
['4', [21129, 21130]]
['4', [21316, 21317]]
['4', [21330, 21331]]
['4', [21462, 21463]]
['4', [21463, 21464]]
['4', [21663, 21664]]
['4', [21717, 21718]]
['4', [22406, 22407]]
['4', [22413, 22414]]
['4', [22414, 22415]]
['4', [22503, 22504]]
['4', [22675, 22676]]
['4', [22772, 22773]]
['4', [23109, 23110]]
['4', [23116, 23117]]
['4', [23117, 23118]]
['4', [23206, 23207]]
['4', [23378, 23379]]
['4', [23475, 23476]]
['4', [23606, 23607]]
['4', [23636, 23637]]
['4', [23647, 23648]]
['4', [23648, 23649]]
['4', [23658, 23659]]
['4', [23660, 23661]]
['4', [23673, 23674]]
['4', [23707, 23708]]
['4', [23721, 23722]]
['4', [23961, 23962]]
['4', [24057, 24058]]
['4', [24070, 24071]]
['4', [24072, 24073]]
['4', [24223, 24224]]
['4', [24378, 24379]]
['4', [24408, 24409]]
['4', [24419, 24420]]
['4', [24420, 24421]]
['4', [24430, 24431]]
['4', [24432, 24433]]
['4', [24445, 24446]]
['4', [24479, 24480]]
['4', [24493, 24494]]
['4', [24733, 24734]]
['4', [24829, 24830]]
['4', [24842, 24843]]
['4', [24844, 24845]]
['4', [24995, 24996]]
['4', [25164, 25165]]
['4', [25351, 25352]]
['4', [25365, 25366]]
['4', [25497, 25498]]
['4', [25498, 25499]]
['4', [25755, 25756]]
['4', [25942, 25943]]
['4', [25956, 25957]]
['4', [26088, 26089]]
['4', [26089, 26090]]
['4', [26290, 26291]]
['4', [26344, 26345]]
['4', [26785, 26786]]
['4', [26839, 26840]]
['4', [27256, 27257]]
['4', [27272, 27273]]
