['protein', [3058, 3065]]
['protein', [5630, 5637]]
['protein', [6357, 6364]]
['protein', [6622, 6629]]
['protein', [7022, 7029]]
['protein', [10671, 10678]]
['protein', [10789, 10796]]
['protein', [10904, 10911]]
['protein', [29110, 29117]]
['protein', [29724, 29731]]
['protein', [30903, 30910]]
['protein', [36511, 36518]]
['protein', [52246, 52253]]
['protein', [52470, 52477]]
['protein', [53233, 53240]]
['p16\\.', [988, 993]]
['\xe2\x80\x9chpv', [1602, 1608]]
['\xe2\x80\x9chpv', [1617, 1623]]
['\xe2\x80\x9chpv', [1633, 1639]]
['rna\xe2\x80\x9d', [1609, 1615]]
['rna\xe2\x80\x9d', [1625, 1631]]
['mrna\xe2\x80\x9d', [1624, 1631]]
['transcript', [931, 941]]
['transcript', [1640, 1650]]
['transcript', [5426, 5436]]
['transcript', [6322, 6332]]
['transcript', [8623, 8633]]
['transcript', [9113, 9123]]
['transcript', [9317, 9327]]
['transcript', [9426, 9436]]
['transcript', [10248, 10258]]
['transcript', [10623, 10633]]
['transcript', [10705, 10715]]
['transcript', [10740, 10750]]
['transcript', [10852, 10862]]
['transcript', [10988, 10998]]
['transcript', [11068, 11078]]
['transcript', [11198, 11208]]
['transcript', [11285, 11295]]
['transcript', [11344, 11354]]
['transcript', [12153, 12163]]
['transcript', [12641, 12651]]
['transcript', [12699, 12709]]
['transcript', [13436, 13446]]
['transcript', [13832, 13842]]
['transcript', [15955, 15965]]
['transcript', [16029, 16039]]
['transcript', [16685, 16695]]
['transcript', [17488, 17498]]
['transcript', [23274, 23284]]
['transcript', [23348, 23358]]
['transcript', [24004, 24014]]
['transcript', [24807, 24817]]
['transcript', [55138, 55148]]
['transcript', [55202, 55212]]
['\xe2\x80\x9cp16\xe2\x80\x9d', [1689, 1698]]
['\xe2\x80\x9cp16\xe2\x80\x9d', [1726, 1735]]
['\xe2\x80\x9cp16\xe2\x80\x9d', [1751, 1760]]
['\xe2\x80\x9cp16\xe2\x80\x9d', [1782, 1791]]
['\xe2\x80\x9cp16\xe2\x80\x9d', [1812, 1821]]
['\xe2\x80\x9ccin\xe2\x80\x9d', [1740, 1749]]
['types', [2910, 2915]]
['types', [3819, 3824]]
['types', [4481, 4486]]
['types', [8158, 8163]]
['types', [9966, 9971]]
['types', [11041, 11046]]
['types', [12245, 12250]]
['types', [12538, 12543]]
['types', [13257, 13262]]
['types', [16022, 16027]]
