['class', [666, 671]]
['class', [769, 774]]
['class', [864, 869]]
['class', [1102, 1107]]
['class', [1197, 1202]]
['class', [2725, 2730]]
['class', [3409, 3414]]
['class', [3511, 3516]]
['class', [3664, 3669]]
['class', [3718, 3723]]
['class', [3829, 3834]]
['class', [3887, 3892]]
['class', [4090, 4095]]
['class', [4150, 4155]]
['class', [4259, 4264]]
['class', [4400, 4405]]
['class', [4537, 4542]]
['class', [8975, 8980]]
['class', [12498, 12503]]
['class', [13511, 13516]]
['class', [14412, 14417]]
['class', [15580, 15585]]
['class', [16551, 16556]]
['class', [16688, 16693]]
['class', [21127, 21132]]
['class', [24652, 24657]]
['class', [25665, 25670]]
['class', [26566, 26571]]
['class', [27734, 27739]]
['class', [28708, 28713]]
['class', [28835, 28840]]
['class', [29790, 29795]]
['class', [29846, 29851]]
['class', [29983, 29988]]
['class', [30075, 30080]]
['class', [30232, 30237]]
['class', [30268, 30273]]
['class', [30428, 30433]]
['class', [30511, 30516]]
['class', [30637, 30642]]
['class', [30883, 30888]]
['class', [31200, 31205]]
['class', [31395, 31400]]
['class', [31473, 31478]]
['class', [31522, 31527]]
['class', [33316, 33321]]
['class', [34046, 34051]]
['class', [34129, 34134]]
['class', [34343, 34348]]
['class', [34745, 34750]]
['class', [34821, 34826]]
['class', [35482, 35487]]
['class', [37653, 37658]]
['class', [37780, 37785]]
['class', [38735, 38740]]
['class', [38791, 38796]]
['class', [38928, 38933]]
['class', [39020, 39025]]
['class', [39177, 39182]]
['class', [39213, 39218]]
['class', [39373, 39378]]
['class', [39456, 39461]]
['class', [39582, 39587]]
['class', [39828, 39833]]
['class', [40145, 40150]]
['class', [40340, 40345]]
['class', [40418, 40423]]
['class', [40467, 40472]]
['class', [42261, 42266]]
['class', [42991, 42996]]
['class', [43074, 43079]]
['class', [43288, 43293]]
['class', [43690, 43695]]
['class', [43766, 43771]]
['class', [44427, 44432]]
['class', [46590, 46595]]
['class', [46717, 46722]]
['class', [47672, 47677]]
['class', [47728, 47733]]
['class', [47865, 47870]]
['class', [47957, 47962]]
['class', [48114, 48119]]
['class', [48150, 48155]]
['class', [48310, 48315]]
['class', [48393, 48398]]
['class', [48519, 48524]]
['class', [48765, 48770]]
['class', [49082, 49087]]
['class', [49285, 49290]]
['class', [49412, 49417]]
['class', [50367, 50372]]
['class', [50423, 50428]]
['class', [50560, 50565]]
['class', [50652, 50657]]
['class', [50809, 50814]]
['class', [50845, 50850]]
['class', [51005, 51010]]
['class', [51088, 51093]]
['class', [51214, 51219]]
['class', [51460, 51465]]
['class', [51777, 51782]]
['class', [51973, 51978]]
['class', [52051, 52056]]
['class', [52100, 52105]]
['class', [53894, 53899]]
