['r', [11076, 11077]]
['r', [11079, 11080]]
['r', [11082, 11083]]
['r', [11125, 11126]]
['r', [11140, 11141]]
['r', [11172, 11173]]
['r', [11220, 11221]]
['r', [11237, 11238]]
['r', [11246, 11247]]
['r', [11288, 11289]]
['r', [11328, 11329]]
['r', [11348, 11349]]
['r', [11359, 11360]]
['r', [11422, 11423]]
['r', [11452, 11453]]
['r', [11474, 11475]]
['r', [11502, 11503]]
['r', [11510, 11511]]
['r', [11546, 11547]]
['r', [11601, 11602]]
['r', [11607, 11608]]
['r', [11635, 11636]]
['r', [11651, 11652]]
['r', [11660, 11661]]
['r', [11667, 11668]]
['r', [11684, 11685]]
['r', [11692, 11693]]
['r', [11695, 11696]]
['r', [11713, 11714]]
['r', [11736, 11737]]
['r', [11739, 11740]]
['r', [11759, 11760]]
['r', [11762, 11763]]
['r', [11766, 11767]]
['r', [11773, 11774]]
['r', [11801, 11802]]
['r', [11819, 11820]]
['r', [11890, 11891]]
['r', [11903, 11904]]
['r', [11934, 11935]]
['r', [11942, 11943]]
['r', [11946, 11947]]
['r', [11985, 11986]]
['r', [12052, 12053]]
['r', [12097, 12098]]
['r', [12102, 12103]]
['r', [12103, 12104]]
['r', [12189, 12190]]
['r', [12229, 12230]]
['r', [12237, 12238]]
['r', [12253, 12254]]
['r', [12260, 12261]]
['r', [12269, 12270]]
['r', [12278, 12279]]
['r', [12306, 12307]]
['r', [12339, 12340]]
['r', [12342, 12343]]
['r', [12374, 12375]]
['r', [12379, 12380]]
['r', [12389, 12390]]
['r', [12411, 12412]]
['r', [12431, 12432]]
['r', [12445, 12446]]
['r', [12472, 12473]]
['r', [12502, 12503]]
['r', [12512, 12513]]
['r', [12516, 12517]]
['r', [12531, 12532]]
['r', [12578, 12579]]
['r', [12588, 12589]]
['r', [12607, 12608]]
['r', [12628, 12629]]
['r', [12681, 12682]]
['r', [12695, 12696]]
['r', [12708, 12709]]
['r', [12766, 12767]]
['r', [12778, 12779]]
['r', [12825, 12826]]
['r', [12853, 12854]]
['r', [12859, 12860]]
['r', [12883, 12884]]
['r', [12897, 12898]]
['r', [12910, 12911]]
['r', [12946, 12947]]
['r', [12950, 12951]]
['r', [12955, 12956]]
['r', [12958, 12959]]
['r', [12975, 12976]]
['r', [12981, 12982]]
['r', [12984, 12985]]
['r', [13012, 13013]]
['r', [13035, 13036]]
['r', [13041, 13042]]
['r', [13044, 13045]]
['r', [13057, 13058]]
['r', [13132, 13133]]
['r', [13138, 13139]]
['r', [13141, 13142]]
['r', [13150, 13151]]
['r', [13173, 13174]]
['r', [13180, 13181]]
['r', [13213, 13214]]
['r', [13243, 13244]]
['r', [13254, 13255]]
