['rpm', [31581, 31584]]
['rpm', [32406, 32409]]
['rpm', [32647, 32650]]
['rpm', [33331, 33334]]
['rpm', [33388, 33391]]
['rpm', [33420, 33423]]
['rpm', [33599, 33602]]
['rpm', [33854, 33857]]
['rpm', [34385, 34388]]
['rpm', [34510, 34513]]
['rpm', [35335, 35338]]
['cytokine', [373, 381]]
['cytokine', [817, 825]]
['cytokine', [3021, 3029]]
['cytokine', [6523, 6531]]
['cytokine', [9862, 9870]]
['cytokine', [11974, 11982]]
['cytokine', [12264, 12272]]
['cytokine', [13872, 13880]]
['cytokine', [15114, 15122]]
['cytokine', [15404, 15412]]
['cytokine', [17012, 17020]]
['cytokine', [20037, 20045]]
['cytokine', [21329, 21337]]
['cytokine', [26338, 26346]]
['cytokine', [27630, 27638]]
['elisa\\.', [852, 859]]
['elisa\\.', [31125, 31132]]
['elisa\\.', [31482, 31489]]
['elisa\\.', [34054, 34061]]
['elisa\\.', [34411, 34418]]
['map', [859, 862]]
['map', [1452, 1455]]
['map', [1499, 1502]]
['map', [6856, 6859]]
['map', [10196, 10199]]
['map', [12941, 12944]]
['map', [13031, 13034]]
['map', [13496, 13499]]
['map', [16081, 16084]]
['map', [16171, 16174]]
['map', [16636, 16639]]
['map', [31605, 31608]]
['map', [31681, 31684]]
['map', [32074, 32077]]
['map', [34534, 34537]]
['map', [34610, 34613]]
['map', [35003, 35006]]
['kinase', [863, 869]]
['kinase', [12945, 12951]]
['kinase', [13035, 13041]]
['kinase', [13500, 13506]]
['kinase', [16085, 16091]]
['kinase', [16175, 16181]]
['kinase', [16640, 16646]]
['erk1\\/2', [1323, 1330]]
['erk1\\/2', [7125, 7132]]
['erk1\\/2', [7142, 7149]]
['erk1\\/2', [10465, 10472]]
['erk1\\/2', [10482, 10489]]
['erk1\\/2', [13043, 13050]]
['erk1\\/2', [13166, 13173]]
['erk1\\/2', [16183, 16190]]
['erk1\\/2', [16306, 16313]]
['erk1\\/2', [17459, 17466]]
['erk1\\/2', [23760, 23767]]
['erk1\\/2', [32031, 32038]]
['erk1\\/2', [34960, 34967]]
['p38', [1331, 1334]]
['p38', [7071, 7074]]
['p38', [7085, 7088]]
['p38', [10411, 10414]]
['p38', [10425, 10428]]
['p38', [13051, 13054]]
['p38', [13174, 13177]]
['p38', [13822, 13825]]
['p38', [16191, 16194]]
['p38', [16314, 16317]]
['p38', [16962, 16965]]
['p38', [17467, 17470]]
['p38', [21297, 21300]]
['p38', [23768, 23771]]
['p38', [27598, 27601]]
['p38', [32047, 32050]]
['p38', [34976, 34979]]
['jnk', [1339, 1342]]
['jnk', [7098, 7101]]
['jnk', [7112, 7115]]
['jnk', [10438, 10441]]
['jnk', [10452, 10455]]
['jnk', [13059, 13062]]
['jnk', [13182, 13185]]
['jnk', [16199, 16202]]
['jnk', [16322, 16325]]
['jnk', [17472, 17475]]
['jnk', [23773, 23776]]
['jnk', [32063, 32066]]
['jnk', [34992, 34995]]
['mapk', [1452, 1456]]
['mapk', [1499, 1503]]
['mapk', [6856, 6860]]
['mapk', [10196, 10200]]
['mapk', [31605, 31609]]
['mapk', [31681, 31685]]
['mapk', [32074, 32078]]
['mapk', [34534, 34538]]
['mapk', [34610, 34614]]
['mapk', [35003, 35007]]
['nf', [361, 363]]
['nf', [561, 563]]
['nf', [1026, 1028]]
['nf', [1049, 1051]]
['nf', [1256, 1258]]
['nf', [1461, 1463]]
['nf', [1827, 1829]]
['nf', [2416, 2418]]
['nf', [2961, 2963]]
['nf', [3645, 3647]]
['nf', [6539, 6541]]
['nf', [6656, 6658]]
['nf', [6909, 6911]]
['nf', [7196, 7198]]
['nf', [9878, 9880]]
['nf', [9996, 9998]]
['nf', [10249, 10251]]
['nf', [10536, 10538]]
['nf', [12022, 12024]]
['nf', [12449, 12451]]
['nf', [12485, 12487]]
['nf', [12886, 12888]]
['nf', [13253, 13255]]
['nf', [13347, 13349]]
['nf', [13511, 13513]]
['nf', [13830, 13832]]
['nf', [15162, 15164]]
['nf', [15589, 15591]]
['nf', [15625, 15627]]
['nf', [16026, 16028]]
['nf', [16393, 16395]]
['nf', [16487, 16489]]
['nf', [16651, 16653]]
['nf', [16970, 16972]]
['nf', [17258, 17260]]
['nf', [17338, 17340]]
['nf', [17481, 17483]]
['nf', [17520, 17522]]
['nf', [18284, 18286]]
['nf', [18601, 18603]]
['nf', [18901, 18903]]
