['i', [10651, 10652]]
['i', [10662, 10663]]
['i', [10689, 10690]]
['i', [10691, 10692]]
['i', [10696, 10697]]
['i', [10699, 10700]]
['i', [10707, 10708]]
['i', [10743, 10744]]
['i', [10811, 10812]]
['i', [10818, 10819]]
['i', [10838, 10839]]
['i', [10840, 10841]]
['i', [10884, 10885]]
['i', [10897, 10898]]
['i', [10914, 10915]]
['i', [10935, 10936]]
['i', [10941, 10942]]
['i', [10954, 10955]]
['i', [10981, 10982]]
['i', [11000, 11001]]
['i', [11013, 11014]]
['i', [11019, 11020]]
['i', [11028, 11029]]
['i', [11036, 11037]]
['i', [11040, 11041]]
['i', [11051, 11052]]
['i', [11067, 11068]]
['i', [11069, 11070]]
['i', [11078, 11079]]
['i', [11090, 11091]]
['i', [11119, 11120]]
['i', [11150, 11151]]
['i', [11169, 11170]]
['i', [11171, 11172]]
['i', [11183, 11184]]
['i', [11201, 11202]]
['i', [11208, 11209]]
['i', [11217, 11218]]
['i', [11228, 11229]]
['i', [11264, 11265]]
['i', [11270, 11271]]
['i', [11285, 11286]]
['i', [11309, 11310]]
['i', [11319, 11320]]
['i', [11322, 11323]]
['i', [11328, 11329]]
['i', [11351, 11352]]
['i', [11370, 11371]]
['i', [11382, 11383]]
['i', [11384, 11385]]
['i', [11395, 11396]]
['i', [11403, 11404]]
['i', [11407, 11408]]
['i', [11435, 11436]]
['i', [11441, 11442]]
['i', [11456, 11457]]
['i', [11465, 11466]]
['i', [11503, 11504]]
['i', [11521, 11522]]
['i', [11534, 11535]]
['i', [11544, 11545]]
['i', [11555, 11556]]
['i', [11558, 11559]]
['i', [11564, 11565]]
['i', [11596, 11597]]
['i', [11604, 11605]]
['i', [11613, 11614]]
['i', [11622, 11623]]
['i', [11642, 11643]]
['i', [11662, 11663]]
['i', [11670, 11671]]
['i', [11678, 11679]]
['i', [11710, 11711]]
['i', [11750, 11751]]
['i', [11772, 11773]]
['i', [11829, 11830]]
['i', [11838, 11839]]
['i', [11861, 11862]]
['i', [11866, 11867]]
['i', [11912, 11913]]
['i', [11915, 11916]]
['i', [11930, 11931]]
['i', [11937, 11938]]
['i', [11953, 11954]]
['i', [11969, 11970]]
['i', [11971, 11972]]
['i', [11996, 11997]]
['i', [12027, 12028]]
['i', [12032, 12033]]
['i', [12038, 12039]]
['i', [12063, 12064]]
['i', [12087, 12088]]
['i', [12097, 12098]]
['i', [12120, 12121]]
['i', [12135, 12136]]
['i', [12138, 12139]]
['i', [12143, 12144]]
['i', [12169, 12170]]
['i', [12181, 12182]]
['i', [12191, 12192]]
['i', [12194, 12195]]
['i', [12208, 12209]]
['i', [12218, 12219]]
['i', [12229, 12230]]
['i', [12232, 12233]]
['i', [12244, 12245]]
['i', [12246, 12247]]
['i', [12252, 12253]]
