['re', [2114, 2116]]
['re', [2175, 2177]]
['re', [2249, 2251]]
['re', [2412, 2414]]
['re', [2446, 2448]]
['re', [2561, 2563]]
['re', [2758, 2760]]
['re', [2794, 2796]]
['re', [2803, 2805]]
['re', [2862, 2864]]
['re', [2946, 2948]]
['re', [3089, 3091]]
['re', [3225, 3227]]
['re', [3262, 3264]]
['re', [3318, 3320]]
['re', [3523, 3525]]
['re', [3569, 3571]]
['re', [3624, 3626]]
['re', [3691, 3693]]
['re', [3815, 3817]]
['re', [3832, 3834]]
['re', [4097, 4099]]
['re', [4258, 4260]]
['re', [4335, 4337]]
['re', [4344, 4346]]
['re', [4452, 4454]]
['re', [4693, 4695]]
['re', [4794, 4796]]
['re', [4842, 4844]]
['re', [4869, 4871]]
['re', [4904, 4906]]
['re', [4967, 4969]]
['re', [4994, 4996]]
['re', [5034, 5036]]
['re', [5108, 5110]]
['re', [5261, 5263]]
['re', [5398, 5400]]
['re', [5413, 5415]]
['re', [5421, 5423]]
['re', [5430, 5432]]
['re', [5472, 5474]]
['re', [5529, 5531]]
['re', [5696, 5698]]
['re', [5794, 5796]]
['re', [5820, 5822]]
['re', [5968, 5970]]
['re', [6152, 6154]]
['re', [6182, 6184]]
['re', [6240, 6242]]
['re', [6257, 6259]]
['re', [6327, 6329]]
['re', [6372, 6374]]
['re', [6396, 6398]]
['re', [6469, 6471]]
['re', [6488, 6490]]
['re', [6567, 6569]]
['re', [6584, 6586]]
['re', [6608, 6610]]
['re', [6634, 6636]]
['re', [6646, 6648]]
['re', [6684, 6686]]
['re', [6729, 6731]]
['re', [6776, 6778]]
['re', [6915, 6917]]
['re', [6946, 6948]]
['re', [7010, 7012]]
['re', [7047, 7049]]
['re', [7075, 7077]]
['re', [7122, 7124]]
['re', [7409, 7411]]
['re', [7421, 7423]]
['re', [7486, 7488]]
['re', [7549, 7551]]
['re', [7584, 7586]]
['re', [7618, 7620]]
['re', [7682, 7684]]
['re', [7706, 7708]]
['re', [7725, 7727]]
['re', [7798, 7800]]
['re', [7815, 7817]]
['re', [7828, 7830]]
['re', [8010, 8012]]
['re', [8028, 8030]]
['re', [8100, 8102]]
['re', [8127, 8129]]
['re', [8132, 8134]]
['re', [8150, 8152]]
['re', [8357, 8359]]
['re', [8424, 8426]]
['re', [8444, 8446]]
['re', [8550, 8552]]
['re', [8610, 8612]]
['re', [8615, 8617]]
['re', [8755, 8757]]
['re', [8852, 8854]]
['re', [9012, 9014]]
['re', [9107, 9109]]
['re', [9155, 9157]]
['re', [9205, 9207]]
['re', [9288, 9290]]
['re', [9526, 9528]]
['re', [9609, 9611]]
['re', [9684, 9686]]
['re', [9754, 9756]]
['re', [9955, 9957]]
['re', [9964, 9966]]
['re', [9985, 9987]]
['re', [10047, 10049]]
['re', [10110, 10112]]
['re', [10152, 10154]]
['re', [10161, 10163]]
['re', [10182, 10184]]
['re', [10313, 10315]]
['re', [10357, 10359]]
['re', [10370, 10372]]
['re', [10384, 10386]]
['re', [10590, 10592]]
['re', [10599, 10601]]
['re', [10619, 10621]]
['re', [10636, 10638]]
['re', [10680, 10682]]
['re', [10720, 10722]]
['re', [10764, 10766]]
['re', [10771, 10773]]
['re', [10787, 10789]]
['re', [10972, 10974]]
['re', [11074, 11076]]
['re', [11233, 11235]]
['re', [11284, 11286]]
['re', [11394, 11396]]
['re', [11464, 11466]]
['re', [11482, 11484]]
['re', [11572, 11574]]
['re', [11683, 11685]]
['re', [11735, 11737]]
['re', [11805, 11807]]
['re', [11809, 11811]]
['re', [12008, 12010]]
['re', [12319, 12321]]
['re', [12420, 12422]]
['re', [12468, 12470]]
['re', [12495, 12497]]
['re', [12530, 12532]]
['re', [12593, 12595]]
['re', [12620, 12622]]
['re', [12660, 12662]]
['re', [12734, 12736]]
['re', [12887, 12889]]
['re', [13024, 13026]]
['re', [13039, 13041]]
['re', [13047, 13049]]
['re', [13056, 13058]]
['re', [13098, 13100]]
['re', [13155, 13157]]
['re', [13322, 13324]]
['re', [13420, 13422]]
['re', [13446, 13448]]
['re', [13594, 13596]]
['re', [13778, 13780]]
['re', [13808, 13810]]
['re', [13866, 13868]]
['re', [13883, 13885]]
['re', [13953, 13955]]
['re', [13998, 14000]]
['re', [14022, 14024]]
['re', [14095, 14097]]
['re', [14114, 14116]]
['re', [14193, 14195]]
['re', [14210, 14212]]
['re', [14234, 14236]]
['re', [14260, 14262]]
['re', [14272, 14274]]
['re', [14310, 14312]]
['re', [14355, 14357]]
['re', [14402, 14404]]
['re', [14541, 14543]]
['re', [14572, 14574]]
['re', [14636, 14638]]
['re', [14673, 14675]]
['re', [14701, 14703]]
['re', [14749, 14751]]
['re', [15036, 15038]]
['re', [15048, 15050]]
['re', [15113, 15115]]
['re', [15176, 15178]]
['re', [15211, 15213]]
['re', [15245, 15247]]
['re', [15309, 15311]]
['re', [15333, 15335]]
['re', [15352, 15354]]
['re', [15425, 15427]]
['re', [15442, 15444]]
['re', [15455, 15457]]
['re', [15637, 15639]]
['re', [15655, 15657]]
['re', [15727, 15729]]
['re', [15754, 15756]]
