['th17', [67529, 67533]]
['th17', [67638, 67642]]
['th17', [69582, 69586]]
['th17', [69907, 69911]]
['th17', [69988, 69992]]
['th17', [70282, 70286]]
['th17', [70932, 70936]]
['th17', [71093, 71097]]
['th17', [71687, 71691]]
['cells', [86, 91]]
['cells', [474, 479]]
['cells', [658, 663]]
['cells', [681, 686]]
['cells', [1180, 1185]]
['cells', [1433, 1438]]
['cells', [2474, 2479]]
['cells', [2618, 2623]]
['cells', [2940, 2945]]
['cells', [3109, 3114]]
['cells', [3187, 3192]]
['cells', [3303, 3308]]
['cells', [4010, 4015]]
['cells', [4847, 4852]]
['cells', [5328, 5333]]
['cells', [6207, 6212]]
['cells', [7154, 7159]]
['cells', [7508, 7513]]
['cells', [8861, 8866]]
['cells', [9005, 9010]]
['cells', [9327, 9332]]
['cells', [9496, 9501]]
['cells', [9574, 9579]]
['cells', [9690, 9695]]
['cells', [9916, 9921]]
['cells', [10060, 10065]]
['cells', [10382, 10387]]
['cells', [10551, 10556]]
['cells', [10630, 10635]]
['cells', [10746, 10751]]
['cells', [11455, 11460]]
['cells', [12293, 12298]]
['cells', [12774, 12779]]
['cells', [13654, 13659]]
['cells', [14602, 14607]]
['cells', [14956, 14961]]
['cells', [16850, 16855]]
['cells', [17319, 17324]]
['cells', [17632, 17637]]
['cells', [18464, 18469]]
['cells', [18537, 18542]]
['cells', [18773, 18778]]
['cells', [19389, 19394]]
['cells', [19450, 19455]]
['cells', [19478, 19483]]
['cells', [20608, 20613]]
['cells', [22630, 22635]]
['cells', [22681, 22686]]
['cells', [22765, 22770]]
['cells', [23323, 23328]]
['cells', [26238, 26243]]
['cells', [26707, 26712]]
['cells', [27020, 27025]]
['cells', [27852, 27857]]
['cells', [27925, 27930]]
['cells', [28161, 28166]]
['cells', [28777, 28782]]
['cells', [28838, 28843]]
['cells', [28866, 28871]]
['cells', [29996, 30001]]
['cells', [32018, 32023]]
['cells', [32069, 32074]]
['cells', [32153, 32158]]
['cells', [32711, 32716]]
['cells', [36830, 36835]]
['cells', [37299, 37304]]
['cells', [37612, 37617]]
['cells', [38699, 38704]]
['cells', [39168, 39173]]
['cells', [39481, 39486]]
['cells', [40314, 40319]]
['cells', [40387, 40392]]
['cells', [40623, 40628]]
['cells', [41239, 41244]]
['cells', [41300, 41305]]
['cells', [41328, 41333]]
['cells', [41421, 41426]]
['cells', [41494, 41499]]
['cells', [41730, 41735]]
['cells', [42346, 42351]]
['cells', [42407, 42412]]
['cells', [42435, 42440]]
['cells', [43566, 43571]]
['cells', [44736, 44741]]
['cells', [48536, 48541]]
['cells', [48587, 48592]]
['cells', [48671, 48676]]
['cells', [49229, 49234]]
['cells', [49746, 49751]]
['cells', [49797, 49802]]
['cells', [49881, 49886]]
['cells', [50439, 50444]]
['cells', [52932, 52937]]
['cells', [53815, 53820]]
['cells', [54164, 54169]]
['cells', [54449, 54454]]
['cells', [54636, 54641]]
['cells', [55167, 55172]]
['cells', [55267, 55272]]
['cells', [55300, 55305]]
['cells', [55454, 55459]]
['cells', [55656, 55661]]
['cells', [56337, 56342]]
['cells', [57061, 57066]]
['cells', [60234, 60239]]
['cells', [60315, 60320]]
['cells', [60544, 60549]]
['cells', [60609, 60614]]
['cells', [61259, 61264]]
['cells', [61420, 61425]]
['cells', [62014, 62019]]
['cells', [62151, 62156]]
['cells', [62610, 62615]]
['cells', [63493, 63498]]
['cells', [63842, 63847]]
['cells', [64127, 64132]]
['cells', [64314, 64319]]
['cells', [64845, 64850]]
['cells', [64945, 64950]]
['cells', [64978, 64983]]
['cells', [65132, 65137]]
['cells', [65334, 65339]]
['cells', [66015, 66020]]
['cells', [66739, 66744]]
['cells', [69912, 69917]]
['cells', [69993, 69998]]
['cells', [70222, 70227]]
['cells', [70287, 70292]]
['cells', [70937, 70942]]
['cells', [71098, 71103]]
['cells', [71692, 71697]]
['cells', [71829, 71834]]
['cells', [73411, 73416]]
['cells', [80648, 80653]]
['il\\-17\\.', [406, 414]]
['il\\-17\\.', [1194, 1202]]
['il\\-17\\.', [23194, 23202]]
['il\\-17\\.', [32582, 32590]]
['il\\-17\\.', [49100, 49108]]
['il\\-17\\.', [50310, 50318]]
['dendritic', [0, 9]]
['dendritic', [464, 473]]
['dendritic', [648, 657]]
['il-12p40', [526, 534]]
['il-12p40', [4226, 4234]]
['il-12p40', [5503, 5511]]
['il-12p40', [5895, 5903]]
['il-12p40', [11671, 11679]]
['il-12p40', [12949, 12957]]
['il-12p40', [13341, 13349]]
['il-12p40', [15926, 15934]]
['il-12p40', [19908, 19916]]
['il-12p40', [22255, 22263]]
['il-12p40', [23222, 23230]]
['il-12p40', [24002, 24010]]
['il-12p40', [25314, 25322]]
['il-12p40', [29296, 29304]]
['il-12p40', [31643, 31651]]
['il-12p40', [32610, 32618]]
['il-12p40', [33390, 33398]]
['il-12p40', [34694, 34702]]
['il-12p40', [35905, 35913]]
['il-12p40', [42866, 42874]]
['il-12p40', [44036, 44044]]
['il-12p40', [47226, 47234]]
['il-12p40', [48160, 48168]]
['il-12p40', [49128, 49136]]
['il-12p40', [50338, 50346]]
['il-12p40', [51119, 51127]]
['il-12p40', [52164, 52172]]
['il-12p40', [53931, 53939]]
['il-12p40', [54046, 54054]]
['il-12p40', [54260, 54268]]
['il-12p40', [63609, 63617]]
['il-12p40', [63724, 63732]]
['il-12p40', [63938, 63946]]
['il-12p40', [72598, 72606]]
['il-12p40', [72989, 72997]]
['il-12p40', [74980, 74988]]
['il-12p40', [77141, 77149]]
['il-12p40', [77784, 77792]]
['il-12p40', [78948, 78956]]
['il-12p40', [79835, 79843]]
['il-12p40', [80226, 80234]]
['il-12p40', [82217, 82225]]
['il-12p40', [84378, 84386]]
['il-12p40', [85021, 85029]]
['il-12p40', [86185, 86193]]
['il-6', [536, 540]]
['il-6', [733, 737]]
['il-6', [987, 991]]
['il-6', [4309, 4313]]
['il-6', [5111, 5115]]
['il-6', [5513, 5517]]
['il-6', [5792, 5796]]
['il-6', [11754, 11758]]
['il-6', [12557, 12561]]
['il-6', [12959, 12963]]
['il-6', [13238, 13242]]
['il-6', [15939, 15943]]
['il-6', [17043, 17047]]
['il-6', [17250, 17254]]
['il-6', [18562, 18566]]
['il-6', [18978, 18982]]
['il-6', [19902, 19906]]
['il-6', [22108, 22112]]
['il-6', [22707, 22711]]
['il-6', [23358, 23362]]
['il-6', [24022, 24026]]
['il-6', [25327, 25331]]
['il-6', [26431, 26435]]
['il-6', [26638, 26642]]
['il-6', [27950, 27954]]
['il-6', [28366, 28370]]
['il-6', [29290, 29294]]
['il-6', [31496, 31500]]
['il-6', [32095, 32099]]
['il-6', [32746, 32750]]
['il-6', [33410, 33414]]
['il-6', [34707, 34711]]
['il-6', [35918, 35922]]
['il-6', [37023, 37027]]
['il-6', [37230, 37234]]
['il-6', [38892, 38896]]
['il-6', [39099, 39103]]
['il-6', [40412, 40416]]
['il-6', [40828, 40832]]
['il-6', [41519, 41523]]
['il-6', [41935, 41939]]
['il-6', [42860, 42864]]
['il-6', [44030, 44034]]
['il-6', [47079, 47083]]
['il-6', [48013, 48017]]
['il-6', [48613, 48617]]
['il-6', [49264, 49268]]
['il-6', [49823, 49827]]
['il-6', [50474, 50478]]
['il-6', [51139, 51143]]
['il-6', [52184, 52188]]
['il-6', [53941, 53945]]
['il-6', [54794, 54798]]
['il-6', [56470, 56474]]
['il-6', [56526, 56530]]
['il-6', [56652, 56656]]
['il-6', [56803, 56807]]
['il-6', [56947, 56951]]
['il-6', [57219, 57223]]
['il-6', [58066, 58070]]
['il-6', [60726, 60730]]
['il-6', [63619, 63623]]
['il-6', [64472, 64476]]
['il-6', [66148, 66152]]
['il-6', [66204, 66208]]
['il-6', [66330, 66334]]
['il-6', [66481, 66485]]
['il-6', [66625, 66629]]
['il-6', [66897, 66901]]
['il-6', [67744, 67748]]
['il-6', [70404, 70408]]
['il-6', [72731, 72735]]
['il-6', [72999, 73003]]
['il-6', [73365, 73369]]
['il-6', [73548, 73552]]
['il-6', [73735, 73739]]
['il-6', [74961, 74965]]
['il-6', [76898, 76902]]
['il-6', [77862, 77866]]
['il-6', [78847, 78851]]
['il-6', [78968, 78972]]
['il-6', [79968, 79972]]
['il-6', [80236, 80240]]
['il-6', [80602, 80606]]
['il-6', [80785, 80789]]
['il-6', [80972, 80976]]
['il-6', [82198, 82202]]
['il-6', [84135, 84139]]
['il-6', [85099, 85103]]
['il-6', [86084, 86088]]
['il-6', [86205, 86209]]
['tgf-', [546, 550]]
['tgf-', [614, 618]]
['tgf-', [4239, 4243]]
['tgf-', [5862, 5866]]
['tgf-', [11684, 11688]]
['tgf-', [13308, 13312]]
['tgf-', [16232, 16236]]
['tgf-', [18568, 18572]]
['tgf-', [18984, 18988]]
['tgf-', [22713, 22717]]
['tgf-', [25620, 25624]]
['tgf-', [27956, 27960]]
['tgf-', [28372, 28376]]
['tgf-', [32101, 32105]]
['tgf-', [35000, 35004]]
['tgf-', [36211, 36215]]
['tgf-', [40418, 40422]]
['tgf-', [40834, 40838]]
['tgf-', [41525, 41529]]
['tgf-', [41941, 41945]]
['tgf-', [48619, 48623]]
['tgf-', [49829, 49833]]
['tgf-', [53951, 53955]]
['tgf-', [54800, 54804]]
['tgf-', [55187, 55191]]
['tgf-', [56479, 56483]]
['tgf-', [56956, 56960]]
['tgf-', [57229, 57233]]
['tgf-', [58072, 58076]]
['tgf-', [60735, 60739]]
['tgf-', [62107, 62111]]
['tgf-', [63629, 63633]]
['tgf-', [64478, 64482]]
['tgf-', [64865, 64869]]
['tgf-', [66157, 66161]]
['tgf-', [66634, 66638]]
['tgf-', [66907, 66911]]
['tgf-', [67750, 67754]]
['tgf-', [70413, 70417]]
['tgf-', [71785, 71789]]
['tgf-', [72944, 72948]]
['tgf-', [73009, 73013]]
['tgf-', [73371, 73375]]
['tgf-', [73554, 73558]]
['tgf-', [78856, 78860]]
