['right', [4054, 4059]]
['right', [4175, 4180]]
['right', [4294, 4299]]
['right', [4660, 4665]]
['right', [6404, 6409]]
['right', [6689, 6694]]
['right', [6775, 6780]]
['right', [6983, 6988]]
['right', [7160, 7165]]
['right', [7576, 7581]]
['right', [7736, 7741]]
['right', [7901, 7906]]
['right', [8086, 8091]]
['right', [8161, 8166]]
['right', [8617, 8622]]
['right', [9066, 9071]]
['right', [9211, 9216]]
['right', [9393, 9398]]
['right', [10060, 10065]]
['right', [10574, 10579]]
['right', [10698, 10703]]
['right', [11107, 11112]]
['right', [11457, 11462]]
['right', [13839, 13844]]
['right', [14067, 14072]]
['right', [14950, 14955]]
['right', [15568, 15573]]
['right', [15807, 15812]]
['right', [15997, 16002]]
['right', [17644, 17649]]
['right', [17929, 17934]]
['right', [18015, 18020]]
['right', [18223, 18228]]
['right', [18400, 18405]]
['right', [18816, 18821]]
['right', [18976, 18981]]
['right', [19141, 19146]]
['right', [19326, 19331]]
['right', [19401, 19406]]
['right', [19857, 19862]]
['right', [20306, 20311]]
['right', [20451, 20456]]
['right', [20633, 20638]]
['right', [21300, 21305]]
['right', [21814, 21819]]
['right', [21938, 21943]]
['right', [22347, 22352]]
['right', [22697, 22702]]
['right', [25544, 25549]]
['right', [25668, 25673]]
['right', [26077, 26082]]
['right', [26427, 26432]]
['right', [28810, 28815]]
['right', [29038, 29043]]
['right', [29921, 29926]]
['right', [30539, 30544]]
['right', [30778, 30783]]
['right', [30968, 30973]]
['right', [31615, 31620]]
['right', [34290, 34295]]
['right', [34444, 34449]]
['right', [34676, 34681]]
['right', [35326, 35331]]
['right', [35572, 35577]]
['right', [35709, 35714]]
['right', [35937, 35942]]
['right', [37053, 37058]]
['right', [43426, 43431]]
['right', [43580, 43585]]
['right', [43812, 43817]]
['right', [44462, 44467]]
['right', [44708, 44713]]
['right', [44845, 44850]]
['right', [45073, 45078]]
['right', [46190, 46195]]
['right', [51057, 51062]]
['right', [52639, 52644]]
['right', [57420, 57425]]
['right', [58630, 58635]]
['homologues', [7177, 7187]]
['homologues', [11474, 11484]]
['homologues', [18417, 18427]]
['homologues', [22714, 22724]]
['homologues', [26444, 26454]]
['homologues', [56561, 56571]]
['homologues', [58077, 58087]]
['left', [363, 367]]
['left', [1641, 1645]]
['left', [2051, 2055]]
['left', [2272, 2276]]
['left', [2340, 2344]]
['left', [2431, 2435]]
['left', [2738, 2742]]
['left', [3446, 3450]]
['left', [4003, 4007]]
['left', [4134, 4138]]
['left', [4670, 4674]]
['left', [5438, 5442]]
['left', [6417, 6421]]
['left', [6467, 6471]]
['left', [7849, 7853]]
['left', [8039, 8043]]
['left', [8069, 8073]]
['left', [8221, 8225]]
['left', [8305, 8309]]
['left', [8499, 8503]]
['left', [8826, 8830]]
['left', [9261, 9265]]
['left', [9622, 9626]]
['left', [10029, 10033]]
['left', [10465, 10469]]
['left', [13053, 13057]]
['left', [13852, 13856]]
['left', [14157, 14161]]
['left', [14411, 14415]]
['left', [14797, 14801]]
['left', [15058, 15062]]
['left', [15703, 15707]]
['left', [15877, 15881]]
['left', [16136, 16140]]
