['human', [39413, 39418]]
['human', [39626, 39631]]
['human', [40221, 40226]]
['human', [40332, 40337]]
['human', [40817, 40822]]
['human', [41368, 41373]]
['human', [41774, 41779]]
['human', [41939, 41944]]
['human', [42050, 42055]]
['human', [42535, 42540]]
['human', [43086, 43091]]
['human', [43492, 43497]]
['human', [45323, 45328]]
['human', [45466, 45471]]
['human', [47621, 47626]]
['human', [47764, 47769]]
['human', [49466, 49471]]
['human', [49718, 49723]]
['human', [50015, 50020]]
['human', [50399, 50404]]
['human', [51746, 51751]]
['human', [51998, 52003]]
['human', [52295, 52300]]
['human', [52679, 52684]]
['human', [56881, 56886]]
['human', [58732, 58737]]
['human', [59293, 59298]]
['human', [59398, 59403]]
['human', [59477, 59482]]
['human', [59973, 59978]]
['human', [61070, 61075]]
['human', [61283, 61288]]
['human', [61810, 61815]]
['human', [61915, 61920]]
['human', [61994, 61999]]
['human', [62490, 62495]]
['human', [63587, 63592]]
['human', [63800, 63805]]
['human', [66415, 66420]]
['human', [66643, 66648]]
['human', [66833, 66838]]
['human', [67309, 67314]]
['human', [67386, 67391]]
['human', [67552, 67557]]
['human', [68408, 68413]]
['human', [68654, 68659]]
['human', [72942, 72947]]
['human', [73024, 73029]]
['human', [75722, 75727]]
['human', [76931, 76936]]
['human', [77049, 77054]]
['human', [78054, 78059]]
['human', [80833, 80838]]
['human', [81061, 81066]]
['human', [81251, 81256]]
['human', [81727, 81732]]
['human', [81804, 81809]]
['human', [81970, 81975]]
['human', [82826, 82831]]
['human', [83072, 83077]]
['human', [87360, 87365]]
['human', [87442, 87447]]
['human', [90140, 90145]]
['human', [91349, 91354]]
['human', [91467, 91472]]
['human', [92472, 92477]]
['human', [93204, 93209]]
['human', [93303, 93308]]
['human', [93494, 93499]]
['human', [93574, 93579]]
['human', [93871, 93876]]
['human', [93964, 93969]]
['human', [96233, 96238]]
['human', [96332, 96337]]
['human', [96525, 96530]]
['human', [96617, 96622]]
['human', [96810, 96815]]
['human', [96904, 96909]]
['human', [97097, 97102]]
['human', [97191, 97196]]
['human', [97443, 97448]]
['human', [97535, 97540]]
['human', [98064, 98069]]
['human', [98163, 98168]]
['human', [98354, 98359]]
['human', [98434, 98439]]
['human', [98731, 98736]]
['human', [98824, 98829]]
['human', [101093, 101098]]
['human', [101192, 101197]]
['human', [101385, 101390]]
['human', [101477, 101482]]
['human', [101670, 101675]]
['human', [101764, 101769]]
['human', [101957, 101962]]
['human', [102051, 102056]]
['human', [102303, 102308]]
['human', [102395, 102400]]
['human', [103035, 103040]]
['human', [104124, 104129]]
['human', [105134, 105139]]
['human', [106223, 106228]]
['populations', [324, 335]]
['populations', [73030, 73041]]
['populations', [87448, 87459]]
['candidate', [494, 503]]
['genes', [504, 509]]
['genes', [2941, 2946]]
['genes', [3218, 3223]]
['genes', [3518, 3523]]
['genes', [4500, 4505]]
['genes', [8851, 8856]]
['genes', [9188, 9193]]
['genes', [9317, 9322]]
['genes', [10315, 10320]]
['genes', [14670, 14675]]
['genes', [15007, 15012]]
['genes', [15136, 15141]]
['genes', [20489, 20494]]
['genes', [24666, 24671]]
['genes', [25599, 25604]]
['genes', [25944, 25949]]
['genes', [26260, 26265]]
['genes', [26405, 26410]]
['genes', [26673, 26678]]
['genes', [26758, 26763]]
['genes', [26923, 26928]]
['genes', [27812, 27817]]
['genes', [27915, 27920]]
['genes', [32579, 32584]]
['genes', [36756, 36761]]
['genes', [37689, 37694]]
['genes', [38034, 38039]]
['genes', [38350, 38355]]
['genes', [38495, 38500]]
['genes', [38763, 38768]]
['genes', [38848, 38853]]
['genes', [39013, 39018]]
['genes', [39902, 39907]]
['genes', [40005, 40010]]
['genes', [48679, 48684]]
['genes', [50959, 50964]]
['genes', [56561, 56566]]
['genes', [58412, 58417]]
['genes', [59346, 59351]]
['genes', [59691, 59696]]
['genes', [60007, 60012]]
['genes', [60152, 60157]]
['genes', [60420, 60425]]
['genes', [60505, 60510]]
['genes', [60670, 60675]]
['genes', [61559, 61564]]
['genes', [61662, 61667]]
['genes', [61863, 61868]]
['genes', [62208, 62213]]
['genes', [62524, 62529]]
['genes', [62669, 62674]]
['genes', [62937, 62942]]
['genes', [63022, 63027]]
['genes', [63187, 63192]]
['genes', [64076, 64081]]
['genes', [64179, 64184]]
['genes', [65606, 65611]]
['genes', [68540, 68545]]
['genes', [70344, 70349]]
['genes', [73258, 73263]]
['genes', [76179, 76184]]
['genes', [77094, 77099]]
['genes', [80024, 80029]]
['genes', [82958, 82963]]
['genes', [84762, 84767]]
['genes', [87676, 87681]]
['genes', [90597, 90602]]
['genes', [91512, 91517]]
['genes', [96134, 96139]]
['genes', [100994, 100999]]
['genes', [104805, 104810]]
['genes', [106904, 106909]]
['primary', [1434, 1441]]
['primary', [1963, 1970]]
['primary', [4294, 4301]]
['primary', [9660, 9667]]
['primary', [10109, 10116]]
['primary', [15479, 15486]]
['primary', [17097, 17104]]
['primary', [18390, 18397]]
['primary', [18475, 18482]]
['primary', [18742, 18749]]
['primary', [19268, 19275]]
['primary', [21002, 21009]]
['primary', [29187, 29194]]
['primary', [30480, 30487]]
['primary', [30565, 30572]]
['primary', [30832, 30839]]
['primary', [31358, 31365]]
['primary', [33092, 33099]]
['primary', [41269, 41276]]
['primary', [42987, 42994]]
['primary', [44281, 44288]]
['primary', [44366, 44373]]
['primary', [44633, 44640]]
['primary', [45159, 45166]]
['primary', [46579, 46586]]
['primary', [46664, 46671]]
['primary', [46931, 46938]]
['primary', [47457, 47464]]
['primary', [49192, 49199]]
['primary', [51472, 51479]]
['primary', [64962, 64969]]
['primary', [68215, 68222]]
['primary', [68795, 68802]]
['primary', [68970, 68977]]
['primary', [69902, 69909]]
['primary', [70849, 70856]]
['primary', [79380, 79387]]
['primary', [82633, 82640]]
['primary', [83213, 83220]]
['primary', [83388, 83395]]
['primary', [84320, 84327]]
['primary', [85267, 85274]]
['site', [1442, 1446]]
['site', [7838, 7842]]
['site', [8148, 8152]]
['site', [13657, 13661]]
['site', [13967, 13971]]
['site', [64853, 64857]]
['site', [69010, 69014]]
['site', [69156, 69160]]
['site', [79271, 79275]]
['site', [83428, 83432]]
['site', [83574, 83578]]
['metastasis-predictive', [2493, 2514]]
['metastasis-predictive', [3411, 3432]]
['metastasis-predictive', [4008, 4029]]
['metastasis-predictive', [67859, 67880]]
['metastasis-predictive', [69291, 69312]]
['metastasis-predictive', [82277, 82298]]
['metastasis-predictive', [83709, 83730]]
['germline', [688, 696]]
['germline', [2749, 2757]]
['germline', [3011, 3019]]
['germline', [3467, 3475]]
