['cells', [66499, 66504]]
['cells', [66962, 66967]]
['cells', [67101, 67106]]
['cells', [67515, 67520]]
['cells', [67550, 67555]]
['cells', [67650, 67655]]
['cells', [67784, 67789]]
['cells', [68024, 68029]]
['cells', [68132, 68137]]
['cells', [68164, 68169]]
['cells', [68266, 68271]]
['cells', [68518, 68523]]
['cells', [68741, 68746]]
['cells', [69340, 69345]]
['cells', [70280, 70285]]
['cells', [70326, 70331]]
['cells', [70364, 70369]]
['cells', [70478, 70483]]
['cells', [70739, 70744]]
['cells', [70870, 70875]]
['cells', [71371, 71376]]
['cells', [71607, 71612]]
['autologous', [130, 140]]
['autologous', [627, 637]]
['autologous', [693, 703]]
['autologous', [1666, 1676]]
['autologous', [4690, 4700]]
['autologous', [4944, 4954]]
['autologous', [10994, 11004]]
['autologous', [11248, 11258]]
['autologous', [15185, 15195]]
['autologous', [24149, 24159]]
['autologous', [25226, 25236]]
['autologous', [34190, 34200]]
['autologous', [35837, 35847]]
['autologous', [37365, 37375]]
['autologous', [53276, 53286]]
['autologous', [54266, 54276]]
['autologous', [60305, 60315]]
['autologous', [69005, 69015]]
['stem', [141, 145]]
['stem', [638, 642]]
['stem', [704, 708]]
['stem', [3251, 3255]]
['stem', [4955, 4959]]
['stem', [7240, 7244]]
['stem', [9555, 9559]]
['stem', [11259, 11263]]
['stem', [13546, 13550]]
['cell', [85, 89]]
['cell', [146, 150]]
['cell', [255, 259]]
['cell', [441, 445]]
['cell', [481, 485]]
['cell', [643, 647]]
['cell', [709, 713]]
['cell', [806, 810]]
['cell', [877, 881]]
['cell', [897, 901]]
['cell', [922, 926]]
['cell', [955, 959]]
['cell', [985, 989]]
['cell', [1430, 1434]]
['cell', [1489, 1493]]
['cell', [1646, 1650]]
['cell', [3006, 3010]]
['cell', [3189, 3193]]
['cell', [3200, 3204]]
['cell', [3420, 3424]]
['cell', [3699, 3703]]
['cell', [3924, 3928]]
['cell', [4107, 4111]]
['cell', [4155, 4159]]
['cell', [4166, 4170]]
['cell', [4211, 4215]]
['cell', [4388, 4392]]
['cell', [4549, 4553]]
['cell', [4707, 4711]]
['cell', [4818, 4822]]
['cell', [4960, 4964]]
['cell', [5583, 5587]]
['cell', [5622, 5626]]
['cell', [5770, 5774]]
['cell', [5821, 5825]]
['cell', [5873, 5877]]
['cell', [6119, 6123]]
['cell', [6177, 6181]]
['cell', [6240, 6244]]
['cell', [6532, 6536]]
['cell', [6563, 6567]]
['cell', [6592, 6596]]
['cell', [6625, 6629]]
['cell', [6961, 6965]]
['cell', [7593, 7597]]
['cell', [7743, 7747]]
['cell', [7803, 7807]]
['cell', [9310, 9314]]
['cell', [9493, 9497]]
['cell', [9504, 9508]]
['cell', [9724, 9728]]
['cell', [10003, 10007]]
['cell', [10228, 10232]]
['cell', [10411, 10415]]
['cell', [10459, 10463]]
['cell', [10470, 10474]]
['cell', [10515, 10519]]
['cell', [10692, 10696]]
['cell', [10853, 10857]]
['cell', [11011, 11015]]
['cell', [11122, 11126]]
['cell', [11264, 11268]]
['cell', [11888, 11892]]
['cell', [11927, 11931]]
['cell', [12075, 12079]]
['cell', [12126, 12130]]
['cell', [12178, 12182]]
['cell', [12424, 12428]]
['cell', [12482, 12486]]
['cell', [12545, 12549]]
['cell', [12838, 12842]]
['cell', [12869, 12873]]
['cell', [12898, 12902]]
['cell', [12931, 12935]]
['cell', [13267, 13271]]
['cell', [13900, 13904]]
['cell', [14050, 14054]]
['cell', [14110, 14114]]
['cell', [15202, 15206]]
['cell', [15751, 15755]]
['cell', [15958, 15962]]
['cell', [16286, 16290]]
['cell', [16403, 16407]]
['cell', [16598, 16602]]
['cell', [16741, 16745]]
['cell', [16963, 16967]]
['cell', [17258, 17262]]
['cell', [17351, 17355]]
['cell', [17537, 17541]]
['cell', [17757, 17761]]
['cell', [17834, 17838]]
['cell', [18663, 18667]]
['cell', [18709, 18713]]
['cell', [18723, 18727]]
['cell', [18764, 18768]]
['cell', [18878, 18882]]
['cell', [18985, 18989]]
['cell', [19099, 19103]]
['cell', [19198, 19202]]
['cell', [19296, 19300]]
['cell', [19405, 19409]]
['cell', [19434, 19438]]
['cell', [19553, 19557]]
['cell', [19665, 19669]]
['cell', [19715, 19719]]
['cell', [19833, 19837]]
['cell', [19926, 19930]]
['cell', [19939, 19943]]
['cell', [19990, 19994]]
['cell', [20122, 20126]]
['cell', [20202, 20206]]
['cell', [20219, 20223]]
['cell', [20429, 20433]]
['cell', [20456, 20460]]
['cell', [20549, 20553]]
['cell', [20573, 20577]]
['cell', [20590, 20594]]
['cell', [20698, 20702]]
['cell', [20780, 20784]]
['cell', [20793, 20797]]
['cell', [20832, 20836]]
['cell', [20880, 20884]]
['cell', [20911, 20915]]
['cell', [21037, 21041]]
['cell', [21194, 21198]]
['cell', [21323, 21327]]
['cell', [21402, 21406]]
['cell', [21442, 21446]]
['cell', [21668, 21672]]
['cell', [21715, 21719]]
['cell', [21740, 21744]]
['cell', [21816, 21820]]
['cell', [22015, 22019]]
['cell', [22124, 22128]]
['cell', [22200, 22204]]
['cell', [22275, 22279]]
['cell', [22358, 22362]]
['cell', [22397, 22401]]
['cell', [22460, 22464]]
['cell', [22614, 22618]]
['cell', [22690, 22694]]
['cell', [22732, 22736]]
['cell', [22824, 22828]]
['cell', [22959, 22963]]
['cell', [23026, 23030]]
['cell', [23057, 23061]]
['cell', [23183, 23187]]
['cell', [23255, 23259]]
['cell', [23490, 23494]]
['cell', [23557, 23561]]
['cell', [23801, 23805]]
['cell', [23936, 23940]]
['cell', [24160, 24164]]
['cell', [25243, 25247]]
['cell', [25792, 25796]]
['cell', [25999, 26003]]
['cell', [26327, 26331]]
['cell', [26444, 26448]]
['cell', [26639, 26643]]
['cell', [26782, 26786]]
['cell', [27004, 27008]]
['cell', [27299, 27303]]
['cell', [27392, 27396]]
['cell', [27578, 27582]]
['cell', [27798, 27802]]
['cell', [27875, 27879]]
['cell', [28704, 28708]]
['cell', [28750, 28754]]
['cell', [28764, 28768]]
['cell', [28805, 28809]]
['cell', [28919, 28923]]
['cell', [29026, 29030]]
['cell', [29140, 29144]]
['cell', [29239, 29243]]
['cell', [29337, 29341]]
['cell', [29446, 29450]]
['cell', [29475, 29479]]
['cell', [29594, 29598]]
['cell', [29706, 29710]]
['cell', [29756, 29760]]
['cell', [29874, 29878]]
['cell', [29967, 29971]]
['cell', [29980, 29984]]
['cell', [30031, 30035]]
['cell', [30163, 30167]]
['cell', [30243, 30247]]
['cell', [30260, 30264]]
['cell', [30470, 30474]]
['cell', [30497, 30501]]
['cell', [30590, 30594]]
['cell', [30614, 30618]]
['cell', [30631, 30635]]
['cell', [30739, 30743]]
['cell', [30821, 30825]]
['cell', [30834, 30838]]
['cell', [30873, 30877]]
['cell', [30921, 30925]]
['cell', [30952, 30956]]
['cell', [31078, 31082]]
['cell', [31235, 31239]]
['cell', [31364, 31368]]
['cell', [31443, 31447]]
['cell', [31483, 31487]]
['cell', [31709, 31713]]
['cell', [31756, 31760]]
['cell', [31781, 31785]]
['cell', [31857, 31861]]
['cell', [32056, 32060]]
['cell', [32165, 32169]]
['cell', [32241, 32245]]
['cell', [32316, 32320]]
['cell', [32399, 32403]]
['cell', [32438, 32442]]
['cell', [32501, 32505]]
['cell', [32655, 32659]]
['cell', [32731, 32735]]
['cell', [32773, 32777]]
['cell', [32865, 32869]]
['cell', [33000, 33004]]
['cell', [33067, 33071]]
['cell', [33098, 33102]]
['cell', [33224, 33228]]
['cell', [33296, 33300]]
['cell', [33531, 33535]]
['cell', [33598, 33602]]
['cell', [33842, 33846]]
['cell', [33977, 33981]]
['cell', [34201, 34205]]
['cell', [35854, 35858]]
['cell', [36403, 36407]]
['cell', [36610, 36614]]
['cell', [36938, 36942]]
['cell', [37055, 37059]]
['cell', [37382, 37386]]
['cell', [37931, 37935]]
['cell', [38138, 38142]]
['cell', [38466, 38470]]
['cell', [38583, 38587]]
['cell', [38779, 38783]]
['cell', [38922, 38926]]
['cell', [39144, 39148]]
['cell', [39439, 39443]]
['cell', [39532, 39536]]
['cell', [39718, 39722]]
['cell', [39938, 39942]]
['cell', [40015, 40019]]
['cell', [41005, 41009]]
['cell', [41148, 41152]]
['cell', [41370, 41374]]
['cell', [41665, 41669]]
['cell', [41758, 41762]]
['cell', [41944, 41948]]
['cell', [42164, 42168]]
['cell', [42241, 42245]]
['cell', [43071, 43075]]
['cell', [43117, 43121]]
['cell', [43131, 43135]]
['cell', [43172, 43176]]
['cell', [43286, 43290]]
['cell', [43393, 43397]]
['cell', [43507, 43511]]
['cell', [43606, 43610]]
['cell', [43704, 43708]]
['cell', [43813, 43817]]
['cell', [43842, 43846]]
['cell', [43961, 43965]]
['cell', [44073, 44077]]
['cell', [44123, 44127]]
['cell', [44241, 44245]]
['cell', [44334, 44338]]
['cell', [44347, 44351]]
['cell', [44398, 44402]]
['cell', [44530, 44534]]
['cell', [44610, 44614]]
['cell', [44627, 44631]]
['cell', [44837, 44841]]
['cell', [44864, 44868]]
['cell', [44957, 44961]]
['cell', [44981, 44985]]
['cell', [44998, 45002]]
['cell', [45106, 45110]]
['cell', [45188, 45192]]
['cell', [45201, 45205]]
['cell', [45240, 45244]]
['cell', [45288, 45292]]
['cell', [45319, 45323]]
['cell', [45445, 45449]]
['cell', [45602, 45606]]
['cell', [45731, 45735]]
['cell', [45810, 45814]]
['cell', [45850, 45854]]
['cell', [46076, 46080]]
['cell', [46123, 46127]]
['cell', [46152, 46156]]
['cell', [46198, 46202]]
['cell', [46212, 46216]]
['cell', [46253, 46257]]
['cell', [46367, 46371]]
['cell', [46474, 46478]]
['cell', [46588, 46592]]
['cell', [46687, 46691]]
['cell', [46785, 46789]]
['cell', [46894, 46898]]
['cell', [46923, 46927]]
['cell', [47042, 47046]]
['cell', [47154, 47158]]
['cell', [47204, 47208]]
['cell', [47322, 47326]]
['cell', [47415, 47419]]
['cell', [47428, 47432]]
['cell', [47479, 47483]]
['cell', [47611, 47615]]
['cell', [47691, 47695]]
['cell', [47708, 47712]]
['cell', [47918, 47922]]
['cell', [47945, 47949]]
['cell', [48038, 48042]]
['cell', [48062, 48066]]
['cell', [48079, 48083]]
['cell', [48187, 48191]]
['cell', [48269, 48273]]
['cell', [48282, 48286]]
['cell', [48321, 48325]]
['cell', [48369, 48373]]
['cell', [48400, 48404]]
['cell', [48526, 48530]]
['cell', [48683, 48687]]
['cell', [48812, 48816]]
['cell', [48891, 48895]]
['cell', [48931, 48935]]
['cell', [49157, 49161]]
['cell', [49204, 49208]]
['cell', [49230, 49234]]
['cell', [49306, 49310]]
['cell', [49505, 49509]]
['cell', [49614, 49618]]
['cell', [49690, 49694]]
['cell', [49765, 49769]]
['cell', [49848, 49852]]
['cell', [49887, 49891]]
['cell', [49950, 49954]]
['cell', [50104, 50108]]
['cell', [50180, 50184]]
['cell', [50222, 50226]]
['cell', [50314, 50318]]
['cell', [50449, 50453]]
['cell', [50516, 50520]]
['cell', [50547, 50551]]
['cell', [50673, 50677]]
['cell', [50745, 50749]]
['cell', [50866, 50870]]
['cell', [50942, 50946]]
['cell', [51141, 51145]]
['cell', [51250, 51254]]
['cell', [51326, 51330]]
['cell', [51401, 51405]]
['cell', [51484, 51488]]
['cell', [51523, 51527]]
['cell', [51586, 51590]]
['cell', [51740, 51744]]
['cell', [51816, 51820]]
['cell', [51858, 51862]]
['cell', [51950, 51954]]
['cell', [52085, 52089]]
['cell', [52152, 52156]]
['cell', [52183, 52187]]
['cell', [52309, 52313]]
['cell', [52381, 52385]]
['cell', [52617, 52621]]
['cell', [52684, 52688]]
['cell', [52928, 52932]]
['cell', [53063, 53067]]
['cell', [53287, 53291]]
['cell', [53607, 53611]]
['cell', [53674, 53678]]
['cell', [53918, 53922]]
['cell', [54053, 54057]]
