['2', [28131, 28132]]
['2', [28157, 28158]]
['2', [28181, 28182]]
['2', [28218, 28219]]
['2', [28235, 28236]]
['2', [28259, 28260]]
['2', [28356, 28357]]
['2', [28447, 28448]]
['2', [28655, 28656]]
['2', [28696, 28697]]
['2', [29338, 29339]]
['2', [30092, 30093]]
['2', [30330, 30331]]
['2', [30412, 30413]]
['2', [30554, 30555]]
['2', [30662, 30663]]
['2', [30942, 30943]]
['2', [31073, 31074]]
['2', [31573, 31574]]
['2', [31593, 31594]]
['2', [31600, 31601]]
['2', [31897, 31898]]
['2', [32249, 32250]]
['2', [32631, 32632]]
['2', [32635, 32636]]
['2', [33106, 33107]]
['2', [33470, 33471]]
['2', [33971, 33972]]
['2', [33994, 33995]]
['2', [34509, 34510]]
['2', [34596, 34597]]
['2', [34598, 34599]]
['2', [35194, 35195]]
['2', [35557, 35558]]
['2', [35888, 35889]]
['2', [36046, 36047]]
['2', [36047, 36048]]
['2', [36053, 36054]]
['2', [36532, 36533]]
['2', [36895, 36896]]
['2', [37226, 37227]]
['2', [37384, 37385]]
['2', [37385, 37386]]
['2', [37391, 37392]]
['2', [37400, 37401]]
['2', [37525, 37526]]
['2', [37686, 37687]]
['2', [37767, 37768]]
['2', [37780, 37781]]
['2', [37913, 37914]]
['2', [37982, 37983]]
['2', [38105, 38106]]
['2', [38129, 38130]]
['2', [38131, 38132]]
['2', [38220, 38221]]
['2', [38257, 38258]]
['2', [38266, 38267]]
['2', [38268, 38269]]
['2', [38280, 38281]]
['2', [38304, 38305]]
['2', [38614, 38615]]
['2', [38616, 38617]]
['2', [38642, 38643]]
['2', [38683, 38684]]
['2', [38746, 38747]]
['2', [38835, 38836]]
['2', [38908, 38909]]
['2', [38910, 38911]]
['2', [38926, 38927]]
['2', [39019, 39020]]
['2', [39021, 39022]]
['2', [39031, 39032]]
['2', [39113, 39114]]
['2', [39157, 39158]]
['2', [39159, 39160]]
['2', [39224, 39225]]
['2', [39346, 39347]]
['2', [39383, 39384]]
['2', [39409, 39410]]
['2', [39433, 39434]]
['2', [39470, 39471]]
['2', [39487, 39488]]
['2', [39511, 39512]]
['2', [39608, 39609]]
['2', [39699, 39700]]
['2', [39907, 39908]]
['2', [39948, 39949]]
['2', [40107, 40108]]
['2', [40232, 40233]]
['2', [40393, 40394]]
['2', [40474, 40475]]
['2', [40487, 40488]]
['2', [40620, 40621]]
['2', [40689, 40690]]
['2', [40812, 40813]]
