['t', [3023, 3024]]
['t', [3044, 3045]]
['t', [3059, 3060]]
['t', [3076, 3077]]
['t', [3081, 3082]]
['t', [3087, 3088]]
['t', [3089, 3090]]
['t', [3110, 3111]]
['t', [3130, 3131]]
['t', [3144, 3145]]
['t', [3149, 3150]]
['t', [3159, 3160]]
['t', [3166, 3167]]
['t', [3172, 3173]]
['t', [3177, 3178]]
['t', [3189, 3190]]
['t', [3218, 3219]]
['t', [3228, 3229]]
['t', [3251, 3252]]
['t', [3256, 3257]]
['t', [3260, 3261]]
['t', [3280, 3281]]
['t', [3289, 3290]]
['t', [3299, 3300]]
['t', [3305, 3306]]
['t', [3310, 3311]]
['t', [3320, 3321]]
['t', [3330, 3331]]
['t', [3339, 3340]]
['t', [3371, 3372]]
['t', [3394, 3395]]
['t', [3419, 3420]]
['t', [3431, 3432]]
['t', [3444, 3445]]
['t', [3456, 3457]]
['t', [3458, 3459]]
['t', [3478, 3479]]
['t', [3506, 3507]]
['t', [3528, 3529]]
['t', [3537, 3538]]
['t', [3544, 3545]]
['t', [3556, 3557]]
['t', [3570, 3571]]
['t', [3589, 3590]]
['t', [3593, 3594]]
['t', [3628, 3629]]
['t', [3635, 3636]]
['t', [3658, 3659]]
['t', [3667, 3668]]
['t', [3699, 3700]]
['t', [3712, 3713]]
['t', [3740, 3741]]
['t', [3757, 3758]]
['t', [3770, 3771]]
['t', [3776, 3777]]
['t', [3780, 3781]]
['t', [3813, 3814]]
['t', [3832, 3833]]
['t', [3857, 3858]]
['t', [3885, 3886]]
['t', [3892, 3893]]
['t', [3903, 3904]]
['t', [3906, 3907]]
['t', [3913, 3914]]
['t', [3935, 3936]]
['t', [3964, 3965]]
['t', [3981, 3982]]
['t', [3986, 3987]]
['t', [4008, 4009]]
['t', [4021, 4022]]
['t', [4044, 4045]]
['t', [4073, 4074]]
['t', [4108, 4109]]
['t', [4122, 4123]]
['t', [4136, 4137]]
['t', [4144, 4145]]
['t', [4163, 4164]]
['t', [4182, 4183]]
['t', [4185, 4186]]
['t', [4189, 4190]]
['t', [4209, 4210]]
['t', [4237, 4238]]
['t', [4241, 4242]]
['t', [4255, 4256]]
['t', [4264, 4265]]
['t', [4267, 4268]]
['t', [4271, 4272]]
['t', [4296, 4297]]
['t', [4315, 4316]]
['t', [4330, 4331]]
['t', [4340, 4341]]
['t', [4343, 4344]]
['t', [4352, 4353]]
['t', [4357, 4358]]
['t', [4365, 4366]]
['t', [4371, 4372]]
['t', [4374, 4375]]
['t', [4383, 4384]]
['t', [4389, 4390]]
['t', [4419, 4420]]
['t', [4437, 4438]]
['t', [4458, 4459]]
['t', [4463, 4464]]
['t', [4475, 4476]]
['t', [4505, 4506]]
['t', [4542, 4543]]
['t', [4552, 4553]]
['t', [4559, 4560]]
['t', [4574, 4575]]
['t', [4578, 4579]]
['t', [4661, 4662]]
['t', [4665, 4666]]
['t', [4676, 4677]]
['t', [4680, 4681]]
['t', [4712, 4713]]
['t', [4716, 4717]]
['t', [4730, 4731]]
['t', [4746, 4747]]
['t', [4767, 4768]]
['t', [4778, 4779]]
['t', [4795, 4796]]
['t', [4813, 4814]]
['t', [4817, 4818]]
['t', [4834, 4835]]
['t', [4842, 4843]]
['t', [4847, 4848]]
['t', [4877, 4878]]
['t', [4889, 4890]]
['t', [4893, 4894]]
['t', [4920, 4921]]
['t', [4934, 4935]]
['t', [4947, 4948]]
['t', [4978, 4979]]
['t', [5018, 5019]]
