['brca1', [55702, 55707]]
['brca1', [55797, 55802]]
['brca1', [55835, 55840]]
['brca1', [55954, 55959]]
['brca1', [56642, 56647]]
['brca1', [56724, 56729]]
['brca1', [56825, 56830]]
['brca1', [57191, 57196]]
['brca1', [57923, 57928]]
['brca1', [58650, 58655]]
['brca1', [58730, 58735]]
['brca1', [58979, 58984]]
['brca1', [59144, 59149]]
['brca1', [59254, 59259]]
['brca1', [59818, 59823]]
['brca1', [61055, 61060]]
['brca1', [61155, 61160]]
['brca1', [61907, 61912]]
['brca1', [62025, 62030]]
['brca1', [62545, 62550]]
['brca1', [62679, 62684]]
['brca1', [62720, 62725]]
['brca1', [62763, 62768]]
['brca1', [63724, 63729]]
['brca1', [64576, 64581]]
['brca1', [66277, 66282]]
['brca1', [66412, 66417]]
['brca1', [66695, 66700]]
['brca1', [66909, 66914]]
['brca1', [67192, 67197]]
['brca1', [67272, 67277]]
['brca1', [67521, 67526]]
['brca1', [67686, 67691]]
['brca1', [67796, 67801]]
['brca1', [68360, 68365]]
['brca1', [69597, 69602]]
['brca1', [69697, 69702]]
['brca1', [70449, 70454]]
['brca1', [70567, 70572]]
['brca1', [71087, 71092]]
['brca1', [71221, 71226]]
['brca1', [71262, 71267]]
['brca1', [71305, 71310]]
['brca1', [72266, 72271]]
['brca1', [73118, 73123]]
['brca1', [74819, 74824]]
['brca1', [74954, 74959]]
['brca1', [75237, 75242]]
['brca1', [75451, 75456]]
['brca2', [185, 190]]
['brca2', [620, 625]]
['brca2', [1713, 1718]]
['brca2', [2369, 2374]]
['brca2', [2554, 2559]]
['brca2', [2723, 2728]]
['brca2', [2985, 2990]]
['brca2', [3315, 3320]]
['brca2', [6272, 6277]]
['brca2', [7623, 7628]]
['brca2', [13623, 13628]]
['brca2', [23607, 23612]]
['brca2', [32382, 32387]]
['brca2', [41149, 41154]]
['brca2', [43866, 43871]]
['brca2', [58659, 58664]]
['brca2', [58988, 58993]]
['brca2', [62035, 62040]]
['brca2', [63734, 63739]]
['brca2', [67201, 67206]]
['brca2', [67530, 67535]]
['brca2', [70577, 70582]]
['brca2', [72276, 72281]]
['brca1-interacting', [378, 395]]
['brca1-interacting', [3744, 3761]]
['brca1-interacting', [59144, 59161]]
['brca1-interacting', [67686, 67703]]
['protein', [396, 403]]
['protein', [894, 901]]
['protein', [2617, 2624]]
['protein', [2950, 2957]]
['protein', [3270, 3277]]
['protein', [3666, 3673]]
['protein', [3762, 3769]]
['protein', [3999, 4006]]
['protein', [4210, 4217]]
['protein', [5341, 5348]]
['protein', [6612, 6619]]
['protein', [8738, 8745]]
['protein', [10785, 10792]]
['protein', [11115, 11122]]
['protein', [11238, 11245]]
['protein', [11358, 11365]]
['protein', [12341, 12348]]
['protein', [14739, 14746]]
['protein', [16789, 16796]]
['protein', [17119, 17126]]
['protein', [17242, 17249]]
['protein', [17362, 17369]]
['protein', [18349, 18356]]
['protein', [18887, 18894]]
['protein', [19074, 19081]]
['protein', [20042, 20049]]
['protein', [21384, 21391]]
['protein', [26623, 26630]]
['protein', [26690, 26697]]
['protein', [27676, 27683]]
['protein', [35398, 35405]]
['protein', [35465, 35472]]
['protein', [36451, 36458]]
['protein', [46883, 46890]]
['protein', [46950, 46957]]
['protein', [47936, 47943]]
['protein', [50710, 50717]]
['protein', [50777, 50784]]
['protein', [51763, 51770]]
['protein', [59162, 59169]]
['protein', [59397, 59404]]
['protein', [59405, 59412]]
['protein', [59777, 59784]]
['protein', [61368, 61375]]
['protein', [61794, 61801]]
['protein', [62726, 62733]]
['protein', [64593, 64600]]
['protein', [64736, 64743]]
['protein', [67704, 67711]]
['protein', [67939, 67946]]
['protein', [67947, 67954]]
['protein', [68319, 68326]]
['protein', [69910, 69917]]
['protein', [70336, 70343]]
['protein', [71268, 71275]]
['protein', [73135, 73142]]
['protein', [73278, 73285]]
['ubiquitin', [842, 851]]
['ubiquitin', [942, 951]]
['ubiquitin', [4710, 4719]]
['ubiquitin', [4770, 4779]]
['ubiquitin', [4999, 5008]]
['ubiquitin', [5190, 5199]]
['ubiquitin', [6530, 6539]]
['ubiquitin', [10744, 10753]]
['ubiquitin', [11285, 11294]]
['ubiquitin', [11338, 11347]]
['ubiquitin', [11615, 11624]]
['ubiquitin', [16748, 16757]]
['ubiquitin', [17289, 17298]]
['ubiquitin', [17342, 17351]]
['ubiquitin', [17619, 17628]]
['ubiquitin', [19202, 19211]]
['ubiquitin', [19541, 19550]]
['ubiquitin', [19617, 19626]]
['ubiquitin', [19741, 19750]]
['ubiquitin', [19906, 19915]]
['ubiquitin', [19967, 19976]]
['ubiquitin', [20147, 20156]]
['ubiquitin', [20299, 20308]]
['ubiquitin', [25029, 25038]]
['ubiquitin', [26254, 26263]]
['ubiquitin', [26369, 26378]]
['ubiquitin', [26672, 26681]]
['ubiquitin', [26753, 26762]]
['ubiquitin', [26927, 26936]]
['ubiquitin', [27080, 27089]]
['ubiquitin', [27151, 27160]]
['ubiquitin', [27476, 27485]]
['ubiquitin', [27571, 27580]]
['ubiquitin', [27627, 27636]]
['ubiquitin', [27804, 27813]]
['ubiquitin', [27979, 27988]]
['ubiquitin', [28738, 28747]]
['ubiquitin', [28855, 28864]]
['ubiquitin', [29049, 29058]]
['ubiquitin', [33804, 33813]]
['ubiquitin', [35029, 35038]]
['ubiquitin', [35144, 35153]]
['ubiquitin', [35447, 35456]]
['ubiquitin', [35528, 35537]]
['ubiquitin', [35702, 35711]]
['ubiquitin', [35855, 35864]]
['ubiquitin', [35926, 35935]]
['ubiquitin', [36251, 36260]]
['ubiquitin', [36346, 36355]]
['ubiquitin', [36402, 36411]]
['ubiquitin', [36579, 36588]]
['ubiquitin', [36754, 36763]]
['ubiquitin', [37513, 37522]]
['ubiquitin', [37630, 37639]]
['ubiquitin', [37824, 37833]]
['ubiquitin', [42571, 42580]]
['ubiquitin', [45288, 45297]]
['ubiquitin', [46514, 46523]]
['ubiquitin', [46629, 46638]]
['ubiquitin', [46932, 46941]]
['ubiquitin', [47013, 47022]]
['ubiquitin', [47187, 47196]]
['ubiquitin', [47340, 47349]]
['ubiquitin', [47411, 47420]]
['ubiquitin', [47736, 47745]]
['ubiquitin', [47831, 47840]]
['ubiquitin', [47887, 47896]]
['ubiquitin', [48064, 48073]]
['ubiquitin', [48239, 48248]]
['ubiquitin', [48998, 49007]]
['ubiquitin', [49115, 49124]]
['ubiquitin', [49309, 49318]]
['ubiquitin', [50341, 50350]]
['ubiquitin', [50456, 50465]]
['ubiquitin', [50759, 50768]]
['ubiquitin', [50840, 50849]]
['ubiquitin', [51014, 51023]]
['ubiquitin', [51167, 51176]]
['ubiquitin', [51238, 51247]]
['ubiquitin', [51563, 51572]]
['ubiquitin', [51658, 51667]]
['ubiquitin', [51714, 51723]]
['ubiquitin', [51891, 51900]]
['ubiquitin', [52066, 52075]]
['ubiquitin', [52825, 52834]]
['ubiquitin', [52942, 52951]]
['ubiquitin', [53136, 53145]]
['ubiquitin', [60603, 60612]]
['ubiquitin', [60754, 60763]]
['ubiquitin', [62514, 62523]]
['ubiquitin', [64857, 64866]]
['ubiquitin', [65259, 65268]]
['ubiquitin', [65460, 65469]]
['ubiquitin', [65597, 65606]]
['ubiquitin', [65787, 65796]]
['ubiquitin', [65892, 65901]]
['ubiquitin', [66108, 66117]]
['ubiquitin', [66350, 66359]]
['ubiquitin', [66845, 66854]]
['ubiquitin', [67035, 67044]]
['ubiquitin', [69145, 69154]]
['ubiquitin', [69296, 69305]]
['ubiquitin', [71056, 71065]]
['ubiquitin', [73399, 73408]]
['ubiquitin', [73801, 73810]]
['ubiquitin', [74002, 74011]]
['ubiquitin', [74139, 74148]]
['ubiquitin', [74329, 74338]]
['ubiquitin', [74434, 74443]]
['ubiquitin', [74650, 74659]]
['ubiquitin', [74892, 74901]]
['ubiquitin', [75387, 75396]]
['ubiquitin', [75577, 75586]]
['interaction', [852, 863]]
['interaction', [4572, 4583]]
['interaction', [4616, 4627]]
['interaction', [5009, 5020]]
['interaction', [5516, 5527]]
['interaction', [19212, 19223]]
['interaction', [19524, 19535]]
['interaction', [19724, 19735]]
['interaction', [26799, 26810]]
['interaction', [35574, 35585]]
['interaction', [47059, 47070]]
['interaction', [50886, 50897]]
['interaction', [59413, 59424]]
['interaction', [61015, 61026]]
['interaction', [67955, 67966]]
['interaction', [69557, 69568]]
['motif', [864, 869]]
['motif', [5021, 5026]]
['motif', [19224, 19229]]
['dele81', [887, 893]]
['dele81', [1022, 1028]]
['dele81', [1209, 1215]]
['dele81', [6417, 6423]]
['dele81', [6666, 6672]]
['dele81', [8157, 8163]]
['dele81', [9560, 9566]]
['dele81', [14157, 14163]]
['dele81', [15562, 15568]]
['dele81', [18869, 18875]]
['dele81', [19096, 19102]]
['dele81', [19375, 19381]]
['dele81', [19946, 19952]]
['dele81', [20604, 20610]]
['dele81', [20688, 20694]]
['dele81', [20849, 20855]]
['dele81', [21029, 21035]]
['dele81', [21153, 21159]]
['dele81', [21346, 21352]]
['dele81', [21475, 21481]]
['dele81', [21706, 21712]]
['dele81', [21836, 21842]]
['dele81', [22118, 22124]]
['dele81', [22901, 22907]]
['dele81', [24629, 24635]]
['dele81', [25128, 25134]]
['dele81', [25423, 25429]]
['dele81', [25562, 25568]]
['dele81', [25791, 25797]]
['dele81', [26223, 26229]]
['dele81', [27524, 27530]]
['dele81', [27604, 27610]]
['dele81', [27743, 27749]]
['dele81', [28258, 28264]]
['dele81', [28517, 28523]]
['dele81', [28928, 28934]]
['dele81', [29358, 29364]]
['dele81', [29501, 29507]]
['dele81', [29591, 29597]]
['dele81', [29870, 29876]]
['dele81', [29954, 29960]]
['dele81', [30055, 30061]]
['dele81', [30177, 30183]]
['dele81', [30356, 30362]]
['dele81', [30431, 30437]]
['dele81', [30694, 30700]]
['dele81', [30808, 30814]]
['dele81', [30913, 30919]]
['dele81', [31123, 31129]]
['dele81', [31233, 31239]]
['dele81', [31363, 31369]]
['dele81', [31461, 31467]]
['dele81', [31548, 31554]]
['dele81', [31629, 31635]]
['dele81', [31922, 31928]]
['dele81', [31951, 31957]]
['dele81', [33404, 33410]]
['dele81', [33903, 33909]]
['dele81', [34198, 34204]]
['dele81', [34337, 34343]]
['dele81', [34566, 34572]]
['dele81', [34998, 35004]]
['dele81', [36299, 36305]]
['dele81', [36379, 36385]]
['dele81', [36518, 36524]]
['dele81', [37033, 37039]]
['dele81', [37292, 37298]]
['dele81', [37703, 37709]]
['dele81', [38133, 38139]]
['dele81', [38276, 38282]]
['dele81', [38366, 38372]]
['dele81', [38645, 38651]]
['dele81', [38729, 38735]]
['dele81', [38830, 38836]]
['dele81', [38952, 38958]]
['dele81', [39131, 39137]]
['dele81', [39206, 39212]]
['dele81', [39469, 39475]]
