['primary', [4488, 4495]]
['primary', [5668, 5675]]
['primary', [15481, 15488]]
['primary', [67955, 67962]]
['primary', [72697, 72704]]
['cultured', [724, 732]]
['cultured', [5911, 5919]]
['cultured', [6442, 6450]]
['cultured', [10113, 10121]]
['cultured', [15724, 15732]]
['cultured', [16255, 16263]]
['cultured', [19932, 19940]]
['cultured', [69698, 69706]]
['cultured', [74440, 74448]]
['human', [733, 738]]
['human', [4496, 4501]]
['human', [4575, 4580]]
['human', [5676, 5681]]
['human', [6336, 6341]]
['human', [15489, 15494]]
['human', [16149, 16154]]
['human', [26544, 26549]]
['human', [37249, 37254]]
['human', [47946, 47951]]
['human', [49734, 49739]]
['umbilical', [739, 748]]
['umbilical', [5682, 5691]]
['umbilical', [15495, 15504]]
['cells', [761, 766]]
['cells', [878, 883]]
['cells', [1100, 1105]]
['cells', [2701, 2706]]
['cells', [4531, 4536]]
['cells', [5713, 5718]]
['cells', [6681, 6686]]
['cells', [7547, 7552]]
['cells', [7819, 7824]]
['cells', [8251, 8256]]
['cells', [8409, 8414]]
['cells', [8464, 8469]]
['cells', [8511, 8516]]
['cells', [8573, 8578]]
['cells', [8664, 8669]]
['cells', [8766, 8771]]
['cells', [8842, 8847]]
['cells', [9133, 9138]]
['cells', [11417, 11422]]
['cells', [11450, 11455]]
['cells', [12358, 12363]]
['cells', [12469, 12474]]
['cells', [12520, 12525]]
['cells', [12697, 12702]]
['cells', [13409, 13414]]
['cells', [14007, 14012]]
['cells', [14127, 14132]]
['cells', [14471, 14476]]
['cells', [15526, 15531]]
['cells', [16495, 16500]]
['cells', [17363, 17368]]
['cells', [17635, 17640]]
['cells', [18068, 18073]]
['cells', [18226, 18231]]
['cells', [18281, 18286]]
['cells', [18328, 18333]]
['cells', [18390, 18395]]
['cells', [18481, 18486]]
['cells', [18583, 18588]]
['cells', [18659, 18664]]
['cells', [18951, 18956]]
['cells', [21238, 21243]]
['cells', [21271, 21276]]
['cells', [22181, 22186]]
['cells', [22292, 22297]]
['cells', [22343, 22348]]
['cells', [22520, 22525]]
['cells', [23233, 23238]]
['cells', [23832, 23837]]
['cells', [23952, 23957]]
['cells', [24296, 24301]]
['cells', [25093, 25098]]
['cells', [25396, 25401]]
['cells', [26251, 26256]]
['cells', [26334, 26339]]
['cells', [26566, 26571]]
['cells', [26642, 26647]]
['cells', [26784, 26789]]
['cells', [26898, 26903]]
['cells', [27581, 27586]]
['cells', [27720, 27725]]
['cells', [28025, 28030]]
['cells', [29663, 29668]]
['cells', [30746, 30751]]
['cells', [34090, 34095]]
['cells', [35693, 35698]]
['cells', [35798, 35803]]
['cells', [36101, 36106]]
['cells', [36956, 36961]]
['cells', [37039, 37044]]
['cells', [37271, 37276]]
['cells', [37347, 37352]]
['cells', [37489, 37494]]
['cells', [37603, 37608]]
['cells', [38286, 38291]]
['cells', [38425, 38430]]
['cells', [38730, 38735]]
['cells', [40368, 40373]]
['cells', [41451, 41456]]
['cells', [44795, 44800]]
['cells', [46398, 46403]]
['cells', [46495, 46500]]
['cells', [46798, 46803]]
['cells', [47653, 47658]]
['cells', [47736, 47741]]
['cells', [47968, 47973]]
['cells', [48044, 48049]]
['cells', [48186, 48191]]
['cells', [48283, 48288]]
['cells', [48586, 48591]]
['cells', [49441, 49446]]
['cells', [49524, 49529]]
['cells', [49756, 49761]]
['cells', [49832, 49837]]
['cells', [49974, 49979]]
['cells', [50089, 50094]]
['cells', [50772, 50777]]
['cells', [50911, 50916]]
['cells', [51216, 51221]]
['cells', [51863, 51868]]
['cells', [52546, 52551]]
['cells', [52685, 52690]]
['cells', [52990, 52995]]
['cells', [54629, 54634]]
['cells', [56386, 56391]]
['cells', [57470, 57475]]
['cells', [59381, 59386]]
['cells', [64523, 64528]]
['cells', [66126, 66131]]
['cells', [66199, 66204]]
['cells', [67802, 67807]]
['cells', [69718, 69723]]
['cells', [70266, 70271]]
['cells', [70557, 70562]]
['cells', [70664, 70669]]
['cells', [71276, 71281]]
['cells', [71531, 71536]]
['cells', [72320, 72325]]
['cells', [74460, 74465]]
['cells', [75008, 75013]]
['cells', [75299, 75304]]
['cells', [75406, 75411]]
['cells', [76018, 76023]]
['cells', [76273, 76278]]
['cells', [77062, 77067]]
['cells', [77387, 77392]]
['cells', [77573, 77578]]
['cells', [77911, 77916]]
['cells', [78326, 78331]]
['cells', [78498, 78503]]
['cells', [78683, 78688]]
['cells', [79063, 79068]]
['cells', [79255, 79260]]
['cells', [79286, 79291]]
['cells', [80958, 80963]]
['cells', [82960, 82965]]
['cells', [83839, 83844]]
['cells', [83871, 83876]]
['cells', [84505, 84510]]
['cells', [84691, 84696]]
['cells', [85029, 85034]]
['cells', [85444, 85449]]
['cells', [85616, 85621]]
['cells', [85801, 85806]]
['cells', [86181, 86186]]
['cells', [86373, 86378]]
['cells', [86404, 86409]]
['cells', [88076, 88081]]
['cells', [90078, 90083]]
['cells', [90957, 90962]]
['cells', [90989, 90994]]
['huvecs', [768, 774]]
['huvecs', [5720, 5726]]
['huvecs', [5899, 5905]]
['huvecs', [6652, 6658]]
['huvecs', [7049, 7055]]
['huvecs', [7339, 7345]]
['huvecs', [7513, 7519]]
['huvecs', [8262, 8268]]
['huvecs', [9118, 9124]]
['huvecs', [13301, 13307]]
['huvecs', [15533, 15539]]
['huvecs', [15712, 15718]]
['huvecs', [16466, 16472]]
['huvecs', [16864, 16870]]
['huvecs', [17155, 17161]]
['huvecs', [17329, 17335]]
['huvecs', [18079, 18085]]
['huvecs', [18936, 18942]]
['huvecs', [23125, 23131]]
['huvecs', [25066, 25072]]
['huvecs', [25364, 25370]]
['huvecs', [26757, 26763]]
['huvecs', [27106, 27112]]
['huvecs', [27834, 27840]]
['huvecs', [28297, 28303]]
['huvecs', [33968, 33974]]
['huvecs', [34017, 34023]]
['huvecs', [35771, 35777]]
['huvecs', [36069, 36075]]
['huvecs', [37462, 37468]]
['huvecs', [37811, 37817]]
['huvecs', [38539, 38545]]
['huvecs', [39002, 39008]]
['huvecs', [44673, 44679]]
['huvecs', [44722, 44728]]
['huvecs', [46468, 46474]]
['huvecs', [46766, 46772]]
['huvecs', [48159, 48165]]
['huvecs', [48256, 48262]]
['huvecs', [48554, 48560]]
['huvecs', [49947, 49953]]
['huvecs', [50297, 50303]]
['huvecs', [51025, 51031]]
['huvecs', [51488, 51494]]
['huvecs', [52071, 52077]]
['huvecs', [52799, 52805]]
['huvecs', [53262, 53268]]
['huvecs', [62604, 62610]]
['huvecs', [62653, 62659]]
['huvecs', [64400, 64406]]
['huvecs', [64449, 64455]]
['huvecs', [69259, 69265]]
['huvecs', [74001, 74007]]
['huvecs', [77368, 77374]]
['huvecs', [77558, 77564]]
['huvecs', [77896, 77902]]
['huvecs', [78376, 78382]]
['huvecs', [78775, 78781]]
['huvecs', [78992, 78998]]
['huvecs', [79160, 79166]]
['huvecs', [79168, 79174]]
['huvecs', [82802, 82808]]
['huvecs', [84207, 84213]]
['huvecs', [84486, 84492]]
['huvecs', [84676, 84682]]
['huvecs', [85014, 85020]]
['huvecs', [85494, 85500]]
['huvecs', [85893, 85899]]
['huvecs', [86110, 86116]]
['huvecs', [86278, 86284]]
