['c-terminus', [743, 753]]
['c-terminus', [5547, 5557]]
['c-terminus', [59710, 59720]]
['c-terminus', [66973, 66983]]
['zinc', [754, 758]]
['zinc', [2251, 2255]]
['zinc', [5373, 5377]]
['zinc', [5558, 5562]]
['zinc', [59382, 59386]]
['zinc', [59480, 59484]]
['zinc', [59567, 59571]]
['zinc', [59721, 59725]]
['zinc', [60090, 60094]]
['zinc', [60234, 60238]]
['zinc', [66645, 66649]]
['zinc', [66743, 66747]]
['zinc', [66830, 66834]]
['zinc', [66984, 66988]]
['zinc', [67353, 67357]]
['zinc', [67497, 67501]]
['finger', [759, 765]]
['finger', [2256, 2262]]
['finger', [5378, 5384]]
['finger', [5563, 5569]]
['finger', [59387, 59393]]
['finger', [59485, 59491]]
['finger', [59572, 59578]]
['finger', [59726, 59732]]
['finger', [60095, 60101]]
['finger', [60239, 60245]]
['finger', [66650, 66656]]
['finger', [66748, 66754]]
['finger', [66835, 66841]]
['finger', [66989, 66995]]
['finger', [67358, 67364]]
['finger', [67502, 67508]]
['domains', [766, 773]]
['domains', [5385, 5392]]
['domains', [5891, 5898]]
['domains', [59394, 59401]]
['domains', [59579, 59586]]
['domains', [60102, 60109]]
['domains', [66657, 66664]]
['domains', [66842, 66849]]
['domains', [67365, 67372]]
['transcription', [937, 950]]
['transcription', [2263, 2276]]
['transcription', [59295, 59308]]
['transcription', [66558, 66571]]
['factor', [951, 957]]
['factor', [2277, 2283]]
['human', [1003, 1008]]
['human', [1625, 1630]]
['human', [3656, 3661]]
['human', [4107, 4112]]
['human', [4971, 4976]]
['human', [5507, 5512]]
['human', [6367, 6372]]
['human', [10601, 10606]]
['human', [11529, 11534]]
['human', [11603, 11608]]
['human', [11724, 11729]]
['human', [12963, 12968]]
['human', [13644, 13649]]
['human', [24047, 24052]]
['human', [24975, 24980]]
['human', [25049, 25054]]
['human', [25171, 25176]]
['human', [26411, 26416]]
['human', [27093, 27098]]
['human', [33374, 33379]]
['human', [33664, 33669]]
['human', [33892, 33897]]
['human', [34139, 34144]]
['human', [34284, 34289]]
['human', [34456, 34461]]
['human', [39327, 39332]]
['human', [39617, 39622]]
['human', [39845, 39850]]
['human', [40092, 40097]]
['human', [40237, 40242]]
['human', [40409, 40414]]
['human', [45272, 45277]]
['human', [45562, 45567]]
['human', [45790, 45795]]
['human', [46037, 46042]]
['human', [46182, 46187]]
['human', [46354, 46359]]
['human', [46637, 46642]]
['human', [46927, 46932]]
['human', [47155, 47160]]
['human', [47402, 47407]]
['human', [47547, 47552]]
['human', [47719, 47724]]
['human', [58373, 58378]]
['human', [58547, 58552]]
['human', [60385, 60390]]
['human', [63092, 63097]]
['human', [63173, 63178]]
['human', [65636, 65641]]
['human', [65810, 65815]]
['human', [67648, 67653]]
['human', [70355, 70360]]
['human', [70436, 70441]]
['dendritic', [1009, 1018]]
['dendritic', [11935, 11944]]
['dendritic', [25382, 25391]]
['dendritic', [33391, 33400]]
['dendritic', [33680, 33689]]
['dendritic', [39344, 39353]]
['dendritic', [39633, 39642]]
['dendritic', [45289, 45298]]
['dendritic', [45578, 45587]]
['dendritic', [46654, 46663]]
['dendritic', [46943, 46952]]
['dendritic', [59023, 59032]]
['dendritic', [66286, 66295]]
['cells', [1019, 1024]]
['cells', [2068, 2073]]
['cells', [3143, 3148]]
['cells', [3174, 3179]]
['cells', [3203, 3208]]
['cells', [3236, 3241]]
['cells', [3289, 3294]]
['cells', [3511, 3516]]
['cells', [3705, 3710]]
['cells', [4063, 4068]]
['cells', [6500, 6505]]
['cells', [9494, 9499]]
['cells', [11316, 11321]]
['cells', [11945, 11950]]
['cells', [12729, 12734]]
['cells', [13083, 13088]]
['cells', [13194, 13199]]
['cells', [13966, 13971]]
['cells', [14750, 14755]]
['cells', [16238, 16243]]
['cells', [16271, 16276]]
['cells', [16297, 16302]]
['cells', [16332, 16337]]
['cells', [16380, 16385]]
['cells', [16437, 16442]]
['cells', [18556, 18561]]
['cells', [18866, 18871]]
['cells', [19943, 19948]]
['cells', [22938, 22943]]
