['pspd', [46610, 46614]]
['pspd', [47810, 47814]]
['pspd', [48309, 48313]]
['pspd', [48909, 48913]]
['pspd', [54399, 54403]]
['pspd', [54539, 54543]]
['pspd', [55739, 55743]]
['pspd', [56238, 56242]]
['pspd', [56838, 56842]]
['spss', [14601, 14605]]
['spss', [14612, 14616]]
['spss', [23203, 23207]]
['spss', [23214, 23218]]
['statistical', [14264, 14275]]
['statistical', [14574, 14585]]
['statistical', [14655, 14666]]
['statistical', [22866, 22877]]
['statistical', [23176, 23187]]
['statistical', [23257, 23268]]
['analyses\\.', [14667, 14677]]
['analyses\\.', [23269, 23279]]
['3\\.', [7492, 7495]]
['3\\.', [7579, 7582]]
['3\\.', [16091, 16094]]
['3\\.', [16178, 16181]]
['3\\.', [23280, 23283]]
['3\\.', [23291, 23294]]
['3\\.', [25081, 25084]]
['3\\.', [25911, 25914]]
['3\\.', [27298, 27301]]
['3\\.', [27865, 27868]]
['3\\.', [27876, 27879]]
['3\\.', [29666, 29669]]
['3\\.', [30496, 30499]]
['3\\.', [31883, 31886]]
['3\\.', [32450, 32453]]
['3\\.', [34240, 34243]]
['3\\.', [35071, 35074]]
['3\\.', [36861, 36864]]
['3\\.', [37692, 37695]]
['3\\.', [39080, 39083]]
['3\\.', [40468, 40471]]
['3\\.', [41035, 41038]]
['results', [1093, 1100]]
['results', [10136, 10143]]
['results', [18736, 18743]]
['results', [23283, 23290]]
['results', [27868, 27875]]
['3\\.1', [23291, 23295]]
['3\\.1', [27876, 27880]]
['3\\.1', [32450, 32454]]
['3\\.1', [35071, 35075]]
['f1', [23645, 23647]]
['f1', [23701, 23703]]
['f1', [24904, 24906]]
['f1', [25075, 25077]]
['f1', [25116, 25118]]
['f1', [25397, 25399]]
['f1', [26561, 26563]]
['f1', [27598, 27600]]
['f1', [27732, 27734]]
['f1', [27842, 27844]]
['f1', [28230, 28232]]
['f1', [28286, 28288]]
['f1', [29489, 29491]]
['f1', [29660, 29662]]
['f1', [29701, 29703]]
['f1', [29982, 29984]]
['f1', [31146, 31148]]
['f1', [32183, 32185]]
['f1', [32317, 32319]]
['f1', [32427, 32429]]
['f1', [32804, 32806]]
['f1', [32860, 32862]]
['f1', [34063, 34065]]
['f1', [34234, 34236]]
['f1', [34275, 34277]]
['f1', [34556, 34558]]
['f1', [35425, 35427]]
['f1', [35481, 35483]]
['f1', [36684, 36686]]
['f1', [36855, 36857]]
['f1', [36896, 36898]]
['f1', [37177, 37179]]
['f1', [38342, 38344]]
['f1', [39730, 39732]]
['f1', [40768, 40770]]
['f1', [40902, 40904]]
['f1', [41012, 41014]]
['f1', [41335, 41337]]
['f1', [41469, 41471]]
['f1', [41579, 41581]]
['t11\\=1\\.7', [24048, 24057]]
['t11\\=1\\.7', [28633, 28642]]
['t11\\=1\\.7', [33207, 33216]]
['t11\\=1\\.7', [35828, 35837]]
['500', [24473, 24476]]
['500', [29058, 29061]]
['500', [33632, 33635]]
['500', [36253, 36256]]
['\\%', [1341, 1343]]
['\\%', [13956, 13958]]
['\\%', [14070, 14072]]
['\\%', [14188, 14190]]
['\\%', [22558, 22560]]
['\\%', [22672, 22674]]
['\\%', [22790, 22792]]
['\\%', [24150, 24152]]
['\\%', [24167, 24169]]
['\\%', [24300, 24302]]
['\\%', [24357, 24359]]
['\\%', [24476, 24478]]
['\\%', [28735, 28737]]
['\\%', [28752, 28754]]
['\\%', [28885, 28887]]
['\\%', [28942, 28944]]
['\\%', [29061, 29063]]
['\\%', [33309, 33311]]
['\\%', [33326, 33328]]
['\\%', [33459, 33461]]
['\\%', [33516, 33518]]
['\\%', [33635, 33637]]
['\\%', [35930, 35932]]
['\\%', [35947, 35949]]
['\\%', [36080, 36082]]
['\\%', [36137, 36139]]
['\\%', [36256, 36258]]
['\\%', [44262, 44264]]
['\\%', [44612, 44614]]
['\\%', [52191, 52193]]
['\\%', [52541, 52543]]
['minification', [1209, 1221]]
['minification', [1413, 1425]]
['minification', [1497, 1509]]
['minification', [24478, 24490]]
['minification', [29063, 29075]]
['minification', [33637, 33649]]
['minification', [36258, 36270]]
['minification', [42334, 42346]]
['minification', [42907, 42919]]
['minification', [42949, 42961]]
['minification', [43366, 43378]]
['minification', [44002, 44014]]
['minification', [44583, 44595]]
['minification', [50263, 50275]]
['minification', [50836, 50848]]
['minification', [50878, 50890]]
['minification', [51295, 51307]]
['minification', [51931, 51943]]
['minification', [52512, 52524]]
['factor', [24491, 24497]]
['factor', [29076, 29082]]
['factor', [33650, 33656]]
['factor', [36271, 36277]]
['sides\\.', [13823, 13830]]
['sides\\.', [22425, 22432]]
['sides\\.', [25195, 25202]]
['sides\\.', [29780, 29787]]
['sides\\.', [34354, 34361]]
['sides\\.', [36975, 36982]]
['6', [2364, 2365]]
['6', [3977, 3978]]
['6', [4070, 4071]]
['6', [6339, 6340]]
['6', [6431, 6432]]
['6', [10347, 10348]]
['6', [10455, 10456]]
['6', [11840, 11841]]
['6', [11843, 11844]]
['6', [11943, 11944]]
['6', [11993, 11994]]
['6', [12202, 12203]]
['6', [12546, 12547]]
['6', [12587, 12588]]
['6', [12595, 12596]]
['6', [12596, 12597]]
['6', [12650, 12651]]
['6', [12656, 12657]]
['6', [13010, 13011]]
['6', [14938, 14939]]
['6', [15030, 15031]]
['6', [18947, 18948]]
['6', [19055, 19056]]
['6', [20441, 20442]]
['6', [20444, 20445]]
['6', [20544, 20545]]
['6', [20594, 20595]]
['6', [20803, 20804]]
['6', [21147, 21148]]
['6', [21188, 21189]]
['6', [21196, 21197]]
['6', [21197, 21198]]
['6', [21251, 21252]]
['6', [21257, 21258]]
['6', [21611, 21612]]
['6', [23710, 23711]]
['6', [24334, 24335]]
['6', [24425, 24426]]
['6', [25209, 25210]]
['6', [25406, 25407]]
['6', [26336, 26337]]
['6', [26564, 26565]]
['6', [26690, 26691]]
['6', [26730, 26731]]
['6', [27859, 27860]]
['6', [27860, 27861]]
['6', [28295, 28296]]
['6', [28919, 28920]]
['6', [29010, 29011]]
['6', [29794, 29795]]
['6', [29991, 29992]]
['6', [30921, 30922]]
['6', [31149, 31150]]
['6', [31275, 31276]]
['6', [31315, 31316]]
['6', [32444, 32445]]
['6', [32445, 32446]]
['6', [32869, 32870]]
['6', [33493, 33494]]
['6', [33584, 33585]]
['6', [34368, 34369]]
['6', [34565, 34566]]
['6', [35490, 35491]]
['6', [36114, 36115]]
['6', [36205, 36206]]
['6', [36989, 36990]]
['6', [37186, 37187]]
['6', [38117, 38118]]
['6', [38345, 38346]]
['6', [38471, 38472]]
['6', [38511, 38512]]
['6', [39505, 39506]]
['6', [39733, 39734]]
['6', [39859, 39860]]
['6', [39899, 39900]]
['6', [41029, 41030]]
['6', [41030, 41031]]
['6', [41596, 41597]]
['6', [41597, 41598]]
['6', [45328, 45329]]
['6', [48033, 48034]]
['6', [53257, 53258]]
['6', [55962, 55963]]
['8', [2454, 2455]]
['8', [4064, 4065]]
['8', [6186, 6187]]
['8', [6334, 6335]]
['8', [8062, 8063]]
['8', [8063, 8064]]
['8', [10341, 10342]]
['8', [11791, 11792]]
['8', [11996, 11997]]
['8', [14785, 14786]]
['8', [14933, 14934]]
['8', [16661, 16662]]
['8', [16662, 16663]]
['8', [18941, 18942]]
['8', [20392, 20393]]
['8', [20597, 20598]]
['8', [23661, 23662]]
['8', [24094, 24095]]
['8', [24155, 24156]]
['8', [24172, 24173]]
['8', [24424, 24425]]
['8', [24920, 24921]]
['8', [24921, 24922]]
['8', [25083, 25084]]
['8', [25091, 25092]]
['8', [25673, 25674]]
['8', [25685, 25686]]
['8', [26209, 26210]]
['8', [27748, 27749]]
['8', [28246, 28247]]
['8', [28679, 28680]]
['8', [28740, 28741]]
