['3', [58190, 58191]]
['3', [58210, 58211]]
['3', [58539, 58540]]
['3', [58629, 58630]]
['3', [58632, 58633]]
['3', [59106, 59107]]
['3', [59804, 59805]]
['3', [59909, 59910]]
['3', [59927, 59928]]
['3', [59928, 59929]]
['3', [59943, 59944]]
['3', [60096, 60097]]
['3', [60128, 60129]]
['3', [60643, 60644]]
['3', [61509, 61510]]
['3', [61624, 61625]]
['3', [61793, 61794]]
['3', [62495, 62496]]
['3', [62632, 62633]]
['3', [62746, 62747]]
['3', [63035, 63036]]
['3', [63117, 63118]]
['3', [63303, 63304]]
['3', [63489, 63490]]
['3', [63730, 63731]]
['3', [63800, 63801]]
['3', [63889, 63890]]
['3', [64191, 64192]]
['3', [64210, 64211]]
['3', [64992, 64993]]
['3', [65236, 65237]]
['3', [65756, 65757]]
['3', [65952, 65953]]
['3', [65984, 65985]]
['3', [65998, 65999]]
['3', [66018, 66019]]
['3', [66564, 66565]]
['3', [66859, 66860]]
['3', [66910, 66911]]
['3', [66957, 66958]]
['3', [66985, 66986]]
['3', [68349, 68350]]
['3', [68523, 68524]]
['3', [68927, 68928]]
['3', [69278, 69279]]
['3', [69379, 69380]]
['3', [69568, 69569]]
['3', [69898, 69899]]
['3', [70016, 70017]]
['3', [70060, 70061]]
['3', [70095, 70096]]
['3', [71218, 71219]]
['3', [71268, 71269]]
['3', [71300, 71301]]
['3', [71346, 71347]]
['3', [71366, 71367]]
['3', [71385, 71386]]
['3', [71419, 71420]]
['3', [71565, 71566]]
['3', [71567, 71568]]
['3', [71570, 71571]]
['3', [71603, 71604]]
['3', [71620, 71621]]
['3', [71628, 71629]]
['3', [71683, 71684]]
['3', [71701, 71702]]
['3', [71748, 71749]]
['3', [71751, 71752]]
['3', [71762, 71763]]
['3', [71768, 71769]]
['3', [71789, 71790]]
['3', [71801, 71802]]
['3', [71815, 71816]]
['3', [71837, 71838]]
['3', [71839, 71840]]
['3', [71840, 71841]]
['3', [71842, 71843]]
['3', [71859, 71860]]
['3', [71876, 71877]]
['3', [71917, 71918]]
['3', [71920, 71921]]
['3', [71926, 71927]]
['3', [71985, 71986]]
['3', [72028, 72029]]
['3', [72041, 72042]]
['3', [72080, 72081]]
['3', [72089, 72090]]
['3', [72118, 72119]]
['3', [72128, 72129]]
['3', [72158, 72159]]
['3', [72179, 72180]]
['3', [72188, 72189]]
['3', [72199, 72200]]
['3', [72241, 72242]]
['3', [72244, 72245]]
['3', [72271, 72272]]
['3', [72280, 72281]]
['3', [72293, 72294]]
['3', [72310, 72311]]
['3', [72329, 72330]]
['3', [72341, 72342]]
['3', [72385, 72386]]
['3', [72406, 72407]]
['3', [72412, 72413]]
['3', [72417, 72418]]
['3', [72422, 72423]]
['3', [72463, 72464]]
['3', [72515, 72516]]
['3', [72597, 72598]]
['3', [72635, 72636]]
['3', [72749, 72750]]
['3', [72859, 72860]]
['3', [72922, 72923]]
['3', [72924, 72925]]
['3', [72940, 72941]]
['3', [72945, 72946]]
['3', [72953, 72954]]
['3', [72994, 72995]]
['3', [73004, 73005]]
['3', [73008, 73009]]
['3', [73047, 73048]]
['3', [73061, 73062]]
['3', [73062, 73063]]
['3', [73080, 73081]]
['3', [73082, 73083]]
['3', [73108, 73109]]
['3', [73126, 73127]]
['3', [73148, 73149]]
['3', [73151, 73152]]
['3', [73154, 73155]]
['3', [73181, 73182]]
['3', [73226, 73227]]
['3', [73233, 73234]]
['3', [73252, 73253]]
['3', [73292, 73293]]
['3', [73312, 73313]]
['3', [73332, 73333]]
['3', [73338, 73339]]
['3', [73339, 73340]]
['3', [73352, 73353]]
['3', [73359, 73360]]
['3', [73380, 73381]]
['3', [73401, 73402]]
['3', [73404, 73405]]
['3', [73429, 73430]]
['3', [73450, 73451]]
['3', [73461, 73462]]
['3', [73503, 73504]]
['3', [73506, 73507]]
['3', [73533, 73534]]
['3', [73541, 73542]]
['3', [73553, 73554]]
['3', [73565, 73566]]
['3', [73568, 73569]]
['3', [73586, 73587]]
['3', [73588, 73589]]
